Cluster,Secteur,Usage_final,A_réseau_reality,Cooking_reality,BC_sufficiency,TOTAL_access
C1,HOUSEHOLDS,COOKING,0.0,14.378358054,0.0,14.378358054
C1,HOUSEHOLDS,ELECTRICITY,1.042019,0.0,0.3592174140623836,1.4012364140623836
C1,HOUSEHOLDS,FOOD_PRESERVATION,1.0957222626135443,0.0,1.6570685299307597,2.752790792544304
C1,HOUSEHOLDS,HEAT_LOW_T_HW,0.31198889999999996,0.0,4.330951159976559,4.642940059976559
C1,HOUSEHOLDS,LIGHTING_R_C,0.3558918039501752,0.0,0.09679645386505568,0.4526882578152309
C1,HOUSEHOLDS,SPACE_COOLING,4.7380445,0.0,1.0071085637488602,5.745153063748861
C1,INDUSTRY,LIGHTING_R_C,0.012778559998211002,0.0,0.0,0.012778559998211002
C1,INDUSTRY,MECHANICAL_ENERGY_IND,0.6426864000642687,0.0,0.08269804652910723,0.7253844465933759
C1,PUBLIC_LIGHTING,LIGHTING_P,0.345099999951686,0.0,0.01301688663007854,0.35811688658176455
C1,SERVICES,COOKING,0.10242750000000002,0.0,0.007084902285758107,0.10951240228575812
C1,SERVICES,ELECTRICITY,1.8408129999999998,0.0,0.012089762458488449,1.8529027624584882
C1,SERVICES,FOOD_PRESERVATION,0.07423737747182152,0.0,0.13057165151666006,0.20480902898848158
C1,SERVICES,HEAT_LOW_T_HW,0.053652500000000006,0.0,0.00043457485505130793,0.05408707485505131
C1,SERVICES,LIGHTING_R_C,0.024875215996517472,0.0,0.005289234957910374,0.030164450954427845
C1,SERVICES,MECHANICAL_ENERGY_COMM,0.054323115005432306,0.0,0.20741266608976305,0.26173578109519535
C1,SERVICES,SPACE_COOLING,0.707237,0.0,0.017313035573935355,0.7245500355739354
C2,HOUSEHOLDS,COOKING,0.0,1.067154262,0.0,1.067154262
C2,HOUSEHOLDS,ELECTRICITY,0.0198541,0.0,0.04556341315196207,0.06541751315196206
C2,HOUSEHOLDS,FOOD_PRESERVATION,0.010059314057900259,0.0,0.2102957757770906,0.22035508983499086
C2,HOUSEHOLDS,HEAT_LOW_T_HW,0.0153393,0.0,0.5497778159980755,0.5651171159980755
C2,HOUSEHOLDS,LIGHTING_R_C,0.008575819998799385,0.0,0.01233074054039101,0.020906560539190395
C2,HOUSEHOLDS,SPACE_COOLING,0.10783725000000001,0.0,0.14539063445797304,0.25322788445797306
C2,INDUSTRY,LIGHTING_R_C,0.00028899999995954,0.0,0.0,0.00028899999995954
C2,INDUSTRY,MECHANICAL_ENERGY_IND,0.014535000001453498,0.0,0.010742735142353901,0.0252777351438074
C2,PUBLIC_LIGHTING,LIGHTING_P,0.0033047999995373285,0.0,0.0016516207209591115,0.00495642072049644
C2,SERVICES,COOKING,0.0034903,0.0,0.0008801253875758934,0.004370425387575893
C2,SERVICES,ELECTRICITY,0.0576208,0.0,0.002315625487611388,0.05993642548761139
C2,SERVICES,FOOD_PRESERVATION,0.0025297355392807732,0.0,0.016494479186123224,0.019024214725404
C2,SERVICES,HEAT_LOW_T_HW,0.0018283,0.0,0.00010811966798943656,0.0019364196679894365
C2,SERVICES,LIGHTING_R_C,0.0008476539998813285,0.0,0.0007279861395907336,0.001575640139472062
C2,SERVICES,MECHANICAL_ENERGY_COMM,0.0018511350001851133,0.0,0.025848127277304535,0.027699262277489648
C2,SERVICES,SPACE_COOLING,0.0241,0.0,0.0048055404496272856,0.028905540449627287
C3,HOUSEHOLDS,COOKING,0.0,53.074124247,0.0,53.074124247
C3,HOUSEHOLDS,ELECTRICITY,7.643861899999999,0.0,0.4499307597315723,8.093792659731571
C3,HOUSEHOLDS,FOOD_PRESERVATION,7.797071675865348,0.0,2.074352864653155,9.871424540518504
C3,HOUSEHOLDS,HEAT_LOW_T_HW,1.9174473,0.0,5.422438642303808,7.339885942303808
C3,HOUSEHOLDS,LIGHTING_R_C,1.8115706937463798,0.0,0.12232181537789996,1.9338925091242798
C3,HOUSEHOLDS,SPACE_COOLING,33.3605965,0.0,1.5565638107637891,34.91716031076379
C3,INDUSTRY,LIGHTING_R_C,0.1262107199823305,0.0,0.0,0.1262107199823305
C3,INDUSTRY,MECHANICAL_ENERGY_IND,6.347656800634765,0.0,0.10560594236864333,6.453262743003409
C3,PUBLIC_LIGHTING,LIGHTING_P,1.8206523997451085,0.0,0.01632718820650752,1.836979587951616
C3,SERVICES,COOKING,1.1037347,0.0,0.008917079274288033,1.112651779274288
C3,SERVICES,ELECTRICITY,18.842403400000002,0.0,0.01689405903357737,18.85929745903358
C3,SERVICES,FOOD_PRESERVATION,0.7999651714600264,0.0,0.1649592757120659,0.9649244471720924
C3,SERVICES,HEAT_LOW_T_HW,0.5781468,0.0,0.0006361619853593086,0.5787829619853593
C3,SERVICES,LIGHTING_R_C,0.268049879962473,0.0,0.006807891073034102,0.27485777103550707
C3,SERVICES,MECHANICAL_ENERGY_COMM,0.5853736350585375,0.0,0.2613165598610902,0.8466901949196277
C3,SERVICES,SPACE_COOLING,7.621026,0.0,0.03244574456390228,7.653471744563902
C4,HOUSEHOLDS,COOKING,0.0,21.965367889,0.0,21.965367889
C4,HOUSEHOLDS,ELECTRICITY,1.9259550000000003,0.0,0.5616941801466541,2.4876491801466543
C4,HOUSEHOLDS,FOOD_PRESERVATION,1.7362153237489382,0.0,2.592374057573096,4.328589381322034
C4,HOUSEHOLDS,HEAT_LOW_T_HW,0.4922852999999999,0.0,6.776489929103632,7.268775229103632
C4,HOUSEHOLDS,LIGHTING_R_C,0.6372631219107832,0.0,0.15085668440707825,0.7881198063178614
C4,HOUSEHOLDS,SPACE_COOLING,9.04139675,0.0,1.887339469035062,10.928736219035063
C4,INDUSTRY,LIGHTING_R_C,0.02704903999621313,0.0,0.0,0.02704903999621313
C4,INDUSTRY,MECHANICAL_ENERGY_IND,1.3604076001360408,0.0,0.12619923719926415,1.486606837335305
C4,PUBLIC_LIGHTING,LIGHTING_P,0.38156839994658054,0.0,0.020324792805510174,0.40189319275209073
C4,SERVICES,COOKING,0.3029108000000001,0.0,0.011029049018292585,0.3139398490182927
C4,SERVICES,ELECTRICITY,5.088733700000001,0.0,0.023277680110725847,5.112011380110727
C4,SERVICES,FOOD_PRESERVATION,0.21954378530540813,0.0,0.20432548235161288,0.42386926765702104
C4,SERVICES,HEAT_LOW_T_HW,0.1586674,0.0,0.0008942890097186512,0.15956168900971865
C4,SERVICES,LIGHTING_R_C,0.07356403198970103,0.0,0.008614627552136647,0.08217865954183767
C4,SERVICES,MECHANICAL_ENERGY_COMM,0.16065076501606507,0.0,0.3195617823984832,0.4802125474145483
C4,SERVICES,SPACE_COOLING,2.0915269999999997,0.0,0.047034215191566885,2.1385612151915665
C5,HOUSEHOLDS,COOKING,0.0,20.165721092,0.0,20.165721092
C5,HOUSEHOLDS,ELECTRICITY,4.9609794,0.0,0.04528861617226504,5.006268016172266
C5,HOUSEHOLDS,FOOD_PRESERVATION,5.060650568920648,0.0,0.20932944160707945,5.2699800105277275
C5,HOUSEHOLDS,HEAT_LOW_T_HW,1.1567235,0.0,0.5472262139019102,1.7039497139019102
C5,HOUSEHOLDS,LIGHTING_R_C,0.7916171038891736,0.0,0.012416985285708525,0.8040340891748822
C5,HOUSEHOLDS,SPACE_COOLING,18.316819749999997,0.0,0.14312707631905724,18.459946826319054
C5,INDUSTRY,LIGHTING_R_C,0.06563988999081043,0.0,0.0,0.06563988999081043
C5,INDUSTRY,MECHANICAL_ENERGY_IND,3.30130035033013,0.0,0.010611391913863472,3.3119117422439937
C5,PUBLIC_LIGHTING,LIGHTING_P,0.7506043998949153,0.0,0.0016476501096615356,0.7522520500045768
C5,SERVICES,COOKING,0.7928923,0.0,0.0008993748647236614,0.7937916748647237
C5,SERVICES,ELECTRICITY,13.0902289,0.0,0.0015271570780012696,13.091756057078001
C5,SERVICES,FOOD_PRESERVATION,0.574672700199454,0.0,0.016591765654406176,0.5912644658538602
C5,SERVICES,HEAT_LOW_T_HW,0.4153245,0.0,5.3559806110149863e-05,0.41537805980611014
C5,SERVICES,LIGHTING_R_C,0.19255957797304166,0.0,0.0006701396482748182,0.19322971762131647
C5,SERVICES,MECHANICAL_ENERGY_COMM,0.4205161125420516,0.0,0.02640545994614687,0.44692157248819847
C5,SERVICES,SPACE_COOLING,5.474732749999999,0.0,0.002400178625885323,5.477132928625885
