time,community
0,5671.64200000003
1,9102.633000000036
2,13007.619000000037
3,16242.604000000034
4,19152.59300000004
5,22447.583000000035
6,24505.578000000034
7,26214.568000000036
8,27481.572000000036
9,35234.57000000003
10,37671.56500000003
11,37460.55700000002
12,35320.55700000002
13,35229.552000000025
14,35899.53900000002
15,30000.535000000018
16,29320.537000000015
17,29150.538000000015
18,30287.53400000001
19,24217.52900000001
20,23450.51700000001
21,22451.52100000001
22,22681.50500000001
23,20683.50500000001
24,18647.501000000004
25,20406.486000000004
26,20118.475000000006
27,20621.466000000004
28,20396.451000000005
29,20021.449000000004
30,23034.446000000004
31,24426.45
32,25711.457000000002
33,26894.465000000004
34,28947.472000000005
35,28975.484000000004
36,28633.485000000004
37,28828.481000000003
38,27816.485000000004
39,29494.471
40,29624.464000000004
41,29854.460000000006
42,29642.454000000005
43,31034.446000000007
44,31454.448000000004
45,29462.444000000003
46,28517.436
47,28197.430000000004
48,29352.425000000003
49,29797.412000000004
50,28937.409000000003
51,28532.403000000002
52,28599.404000000002
53,25784.409000000003
54,24439.405000000002
55,25154.398
56,25224.391000000003
57,25679.389000000003
58,25107.382
59,24047.382000000005
60,24952.374000000003
61,26362.362000000005
62,25195.356000000003
63,25717.353000000003
64,26057.348000000005
65,27045.345000000005
66,26813.344000000005
67,26388.340000000004
68,25430.333000000006
69,25205.331000000006
70,25550.325000000008
71,25981.320000000007
72,26806.316000000006
73,27571.315000000006
74,29931.302000000003
75,29291.299000000003
76,27686.298000000006
77,27399.297000000006
78,28327.301000000007
79,27852.295000000006
80,27662.285000000007
81,27882.276000000005
82,26922.276000000005
83,26342.275000000005
84,26774.272000000004
85,26589.272000000004
86,27169.272000000004
87,26364.276000000005
88,26952.274000000005
89,25977.274000000005
90,25632.275
91,26419.275000000005
92,26236.273000000005
93,26059.273000000005
94,25284.275000000005
95,26992.278
96,26232.278
97,26212.282000000003
98,25037.287000000004
99,24669.285000000003
100,26259.282000000003
101,25312.283
102,26072.286000000004
103,26046.289000000004
104,27224.293000000005
105,25662.297000000002
106,25102.295000000002
107,26290.294
108,27062.292000000005
109,27844.291000000005
110,26269.294000000005
111,27026.294
112,25282.295000000002
113,25052.300000000003
114,25224.304000000004
115,26401.302000000003
116,27819.297000000006
117,27593.297000000006
118,28001.296000000006
119,28222.294000000005
120,28414.294000000005
121,29944.296000000006
122,29569.298000000006
123,30178.295000000006
124,28783.297000000006
125,30333.294000000005
126,28197.297000000006
127,28605.294000000005
128,28807.293000000005
129,27599.296000000006
130,29364.296000000006
131,28195.298000000006
132,28980.297000000006
133,28375.301000000007
134,29510.303000000004
135,27763.304000000007
136,27193.303000000004
137,27367.304000000007
138,27384.301000000007
139,27004.299000000006
140,26244.297000000006
141,27994.295000000006
142,27463.289000000004
143,26650.294000000005
144,27230.294
145,27830.293
146,29030.289
147,29290.282000000003
148,29643.284
149,29045.286000000004
150,28913.283000000003
151,29348.279000000002
152,28185.281000000003
153,29750.278000000002
154,29563.274
155,30543.271
156,28758.275
157,28525.278000000002
158,29308.278000000002
159,29058.284000000003
160,30008.287000000004
161,29208.287000000004
162,29993.288000000004
163,29423.285000000003
164,30203.286000000004
165,29808.287000000004
166,29195.293000000005
167,29222.291000000005
168,28869.291000000005
169,29039.293000000005
170,29287.288000000004
171,29837.293000000005
172,29827.297000000006
173,29477.289000000004
174,30685.286000000004
175,30870.287000000004
176,31652.287000000004
177,31677.284000000003
178,32267.281000000003
179,29937.282000000003
180,28524.287000000004
181,29914.285000000003
182,30091.287000000004
183,29321.287000000004
184,29704.286000000004
185,30056.290000000005
186,28316.290000000005
187,28726.287000000004
188,28623.296000000006
189,28628.297000000002
190,29616.296000000002
191,29874.292000000005
192,29127.292000000005
193,29502.291000000005
194,29712.290000000005
195,30550.281000000003
196,30360.280000000002
197,30137.277000000002
198,31304.276
199,31327.273
200,31142.271
