departamento,provincia,municipio,cluster,appareil,variante,trajectoire,annee,acces,possession
Beni,Vaca Diez,Riberalta,C3,refrigerador,centrale,acces_2035,2050,1.0,0.5881040953481024
Beni,Vaca Diez,Riberalta,C3,microondas,centrale,acces_2035,2050,1.0,0.0766864514812912
Beni,Vaca Diez,Riberalta,C3,calefon,centrale,acces_2035,2050,1.0,0.0293774731002341
Beni,Vaca Diez,Riberalta,C3,aire_acondicionado,centrale,acces_2035,2050,1.0,0.0886685431673337
Beni,Vaca Diez,Riberalta,C3,lavadora,centrale,acces_2035,2050,1.0,0.3360973045851914
Beni,Vaca Diez,Riberalta,C3,radio,centrale,acces_2035,2050,1.0,0.4456435295145152
Beni,Vaca Diez,Riberalta,C3,television,centrale,acces_2035,2050,1.0,0.6646428445052183
Beni,Vaca Diez,Riberalta,C3,telefono,centrale,acces_2035,2050,1.0,0.8980726264535877
Beni,Vaca Diez,Riberalta,C3,computadora,centrale,acces_2035,2050,1.0,0.2563569960474675
Beni,Vaca Diez,Riberalta,C3,internet,centrale,acces_2035,2050,1.0,0.3408245193887109
Beni,Vaca Diez,Guayaramerín,C3,refrigerador,centrale,acces_2035,2024,0.9242493802222018,0.5411799352115442
Beni,Vaca Diez,Guayaramerín,C3,microondas,centrale,acces_2035,2024,0.9242493802222018,0.0847158142730931
Beni,Vaca Diez,Guayaramerín,C3,calefon,centrale,acces_2035,2024,0.9242493802222018,0.0249337390792186
Beni,Vaca Diez,Guayaramerín,C3,aire_acondicionado,centrale,acces_2035,2024,0.9242493802222018,0.1135872766542313
Beni,Vaca Diez,Guayaramerín,C3,lavadora,centrale,acces_2035,2024,0.9242493802222018,0.3520172769215667
Beni,Vaca Diez,Guayaramerín,C3,radio,centrale,acces_2035,2024,0.9242493802222018,0.475461327051433
Beni,Vaca Diez,Guayaramerín,C3,television,centrale,acces_2035,2024,0.9242493802222018,0.6636863823933975
Beni,Vaca Diez,Guayaramerín,C3,telefono,centrale,acces_2035,2024,0.9242493802222018,0.8390330188679245
Beni,Vaca Diez,Guayaramerín,C3,computadora,centrale,acces_2035,2024,0.9242493802222018,0.2262630233929624
Beni,Vaca Diez,Guayaramerín,C3,internet,centrale,acces_2035,2024,0.9242493802222018,0.3903086298407706
Beni,Vaca Diez,Guayaramerín,C3,refrigerador,centrale,acces_2035,2035,1.0,0.5881040953481024
Beni,Vaca Diez,Guayaramerín,C3,microondas,centrale,acces_2035,2035,1.0,0.0766864514812912
Beni,Vaca Diez,Guayaramerín,C3,calefon,centrale,acces_2035,2035,1.0,0.0293774731002341
Beni,Vaca Diez,Guayaramerín,C3,aire_acondicionado,centrale,acces_2035,2035,1.0,0.0886685431673337
Beni,Vaca Diez,Guayaramerín,C3,lavadora,centrale,acces_2035,2035,1.0,0.3360973045851914
Beni,Vaca Diez,Guayaramerín,C3,radio,centrale,acces_2035,2035,1.0,0.4456435295145152
Beni,Vaca Diez,Guayaramerín,C3,television,centrale,acces_2035,2035,1.0,0.6646428445052183
Beni,Vaca Diez,Guayaramerín,C3,telefono,centrale,acces_2035,2035,1.0,0.8980726264535877
Beni,Vaca Diez,Guayaramerín,C3,computadora,centrale,acces_2035,2035,1.0,0.2563569960474675
Beni,Vaca Diez,Guayaramerín,C3,internet,centrale,acces_2035,2035,1.0,0.3408245193887109
Beni,Vaca Diez,Guayaramerín,C3,refrigerador,centrale,acces_2035,2050,1.0,0.5881040953481024
Beni,Vaca Diez,Guayaramerín,C3,microondas,centrale,acces_2035,2050,1.0,0.0766864514812912
Beni,Vaca Diez,Guayaramerín,C3,calefon,centrale,acces_2035,2050,1.0,0.0293774731002341
Beni,Vaca Diez,Guayaramerín,C3,aire_acondicionado,centrale,acces_2035,2050,1.0,0.0886685431673337
Beni,Vaca Diez,Guayaramerín,C3,lavadora,centrale,acces_2035,2050,1.0,0.3360973045851914
Beni,Vaca Diez,Guayaramerín,C3,radio,centrale,acces_2035,2050,1.0,0.4456435295145152
Beni,Vaca Diez,Guayaramerín,C3,television,centrale,acces_2035,2050,1.0,0.6646428445052183
Beni,Vaca Diez,Guayaramerín,C3,telefono,centrale,acces_2035,2050,1.0,0.8980726264535877
Beni,Vaca Diez,Guayaramerín,C3,computadora,centrale,acces_2035,2050,1.0,0.2563569960474675
Beni,Vaca Diez,Guayaramerín,C3,internet,centrale,acces_2035,2050,1.0,0.3408245193887109
Beni,General José Ballivián,Reyes,C1,refrigerador,centrale,acces_2035,2024,0.7919227392449517,0.4228043143297381
Beni,General José Ballivián,Reyes,C1,microondas,centrale,acces_2035,2024,0.7919227392449517,0.0644067796610169
Beni,General José Ballivián,Reyes,C1,calefon,centrale,acces_2035,2024,0.7919227392449517,0.0117139334155363
Beni,General José Ballivián,Reyes,C1,aire_acondicionado,centrale,acces_2035,2024,0.7919227392449517,0.0523882896764252
Beni,General José Ballivián,Reyes,C1,lavadora,centrale,acces_2035,2024,0.7919227392449517,0.1796056685150955
Beni,General José Ballivián,Reyes,C1,radio,centrale,acces_2035,2024,0.7919227392449517,0.4182322143517092
Beni,General José Ballivián,Reyes,C1,television,centrale,acces_2035,2024,0.7919227392449517,0.4898273736128237
Beni,General José Ballivián,Reyes,C1,telefono,centrale,acces_2035,2024,0.7919227392449517,0.8381128584643849
Beni,General José Ballivián,Reyes,C1,computadora,centrale,acces_2035,2024,0.7919227392449517,0.1470860314523589
Beni,General José Ballivián,Reyes,C1,internet,centrale,acces_2035,2024,0.7919227392449517,0.2238667900092507
Beni,General José Ballivián,Reyes,C1,refrigerador,centrale,acces_2035,2035,1.0,0.5881040953481024
Beni,General José Ballivián,Reyes,C1,microondas,centrale,acces_2035,2035,1.0,0.0766864514812912
Beni,General José Ballivián,Reyes,C1,calefon,centrale,acces_2035,2035,1.0,0.0293774731002341
Beni,General José Ballivián,Reyes,C1,aire_acondicionado,centrale,acces_2035,2035,1.0,0.0886685431673337
Beni,General José Ballivián,Reyes,C1,lavadora,centrale,acces_2035,2035,1.0,0.3360973045851914
Beni,General José Ballivián,Reyes,C1,radio,centrale,acces_2035,2035,1.0,0.4456435295145152
Beni,General José Ballivián,Reyes,C1,television,centrale,acces_2035,2035,1.0,0.6646428445052183
Beni,General José Ballivián,Reyes,C1,telefono,centrale,acces_2035,2035,1.0,0.8980726264535877
Beni,General José Ballivián,Reyes,C1,computadora,centrale,acces_2035,2035,1.0,0.2563569960474675
Beni,General José Ballivián,Reyes,C1,internet,centrale,acces_2035,2035,1.0,0.3408245193887109
Beni,General José Ballivián,Reyes,C1,refrigerador,centrale,acces_2035,2050,1.0,0.5881040953481024
Beni,General José Ballivián,Reyes,C1,microondas,centrale,acces_2035,2050,1.0,0.0766864514812912
Beni,General José Ballivián,Reyes,C1,calefon,centrale,acces_2035,2050,1.0,0.0293774731002341
Beni,General José Ballivián,Reyes,C1,aire_acondicionado,centrale,acces_2035,2050,1.0,0.0886685431673337
Beni,General José Ballivián,Reyes,C1,lavadora,centrale,acces_2035,2050,1.0,0.3360973045851914
Beni,General José Ballivián,Reyes,C1,radio,centrale,acces_2035,2050,1.0,0.4456435295145152
Beni,General José Ballivián,Reyes,C1,television,centrale,acces_2035,2050,1.0,0.6646428445052183
Beni,General José Ballivián,Reyes,C1,telefono,centrale,acces_2035,2050,1.0,0.8980726264535877
Beni,General José Ballivián,Reyes,C1,computadora,centrale,acces_2035,2050,1.0,0.2563569960474675
Beni,General José Ballivián,Reyes,C1,internet,centrale,acces_2035,2050,1.0,0.3408245193887109
Beni,General José Ballivián,Santa Rosa,C1,refrigerador,centrale,acces_2035,2024,0.8522686025408348,0.4254826254826255
Beni,General José Ballivián,Santa Rosa,C1,microondas,centrale,acces_2035,2024,0.8522686025408348,0.0513513513513513
Beni,General José Ballivián,Santa Rosa,C1,calefon,centrale,acces_2035,2024,0.8522686025408348,0.025472790428406
Beni,General José Ballivián,Santa Rosa,C1,aire_acondicionado,centrale,acces_2035,2024,0.8522686025408348,0.0621621621621621
Beni,General José Ballivián,Santa Rosa,C1,lavadora,centrale,acces_2035,2024,0.8522686025408348,0.1678888460054033
Beni,General José Ballivián,Santa Rosa,C1,radio,centrale,acces_2035,2024,0.8522686025408348,0.3172333848531685
Beni,General José Ballivián,Santa Rosa,C1,television,centrale,acces_2035,2024,0.8522686025408348,0.4870506378044066
Beni,General José Ballivián,Santa Rosa,C1,telefono,centrale,acces_2035,2024,0.8522686025408348,0.8758220502901354
Beni,General José Ballivián,Santa Rosa,C1,computadora,centrale,acces_2035,2024,0.8522686025408348,0.1481624758220502
Beni,General José Ballivián,Santa Rosa,C1,internet,centrale,acces_2035,2024,0.8522686025408348,0.2457430340557275
Beni,General José Ballivián,Santa Rosa,C1,refrigerador,centrale,acces_2035,2035,1.0,0.5881040953481024
Beni,General José Ballivián,Santa Rosa,C1,microondas,centrale,acces_2035,2035,1.0,0.0766864514812912
Beni,General José Ballivián,Santa Rosa,C1,calefon,centrale,acces_2035,2035,1.0,0.0293774731002341
Beni,General José Ballivián,Santa Rosa,C1,aire_acondicionado,centrale,acces_2035,2035,1.0,0.0886685431673337
Beni,General José Ballivián,Santa Rosa,C1,lavadora,centrale,acces_2035,2035,1.0,0.3360973045851914
Beni,General José Ballivián,Santa Rosa,C1,radio,centrale,acces_2035,2035,1.0,0.4456435295145152
Beni,General José Ballivián,Santa Rosa,C1,television,centrale,acces_2035,2035,1.0,0.6646428445052183
Beni,General José Ballivián,Santa Rosa,C1,telefono,centrale,acces_2035,2035,1.0,0.8980726264535877
Beni,General José Ballivián,Santa Rosa,C1,computadora,centrale,acces_2035,2035,1.0,0.2563569960474675
Beni,General José Ballivián,Santa Rosa,C1,internet,centrale,acces_2035,2035,1.0,0.3408245193887109
Beni,General José Ballivián,Santa Rosa,C1,refrigerador,centrale,acces_2035,2050,1.0,0.5881040953481024
Beni,General José Ballivián,Santa Rosa,C1,microondas,centrale,acces_2035,2050,1.0,0.0766864514812912
Beni,General José Ballivián,Santa Rosa,C1,calefon,centrale,acces_2035,2050,1.0,0.0293774731002341
Beni,General José Ballivián,Santa Rosa,C1,aire_acondicionado,centrale,acces_2035,2050,1.0,0.0886685431673337
Beni,General José Ballivián,Santa Rosa,C1,lavadora,centrale,acces_2035,2050,1.0,0.3360973045851914
Beni,General José Ballivián,Santa Rosa,C1,radio,centrale,acces_2035,2050,1.0,0.4456435295145152
Beni,General José Ballivián,Santa Rosa,C1,television,centrale,acces_2035,2050,1.0,0.6646428445052183
Beni,General José Ballivián,Santa Rosa,C1,telefono,centrale,acces_2035,2050,1.0,0.8980726264535877
Beni,General José Ballivián,Santa Rosa,C1,computadora,centrale,acces_2035,2050,1.0,0.2563569960474675
Beni,General José Ballivián,Santa Rosa,C1,internet,centrale,acces_2035,2050,1.0,0.3408245193887109
Beni,Yacuma,Exaltación,C1,refrigerador,centrale,acces_2035,2024,0.8123711340206186,0.0985810306198655
Beni,Yacuma,Exaltación,C1,microondas,centrale,acces_2035,2024,0.8123711340206186,0.0029873039581777
Beni,Yacuma,Exaltación,C1,calefon,centrale,acces_2035,2024,0.8123711340206186,0.0164424514200298
Beni,Yacuma,Exaltación,C1,aire_acondicionado,centrale,acces_2035,2024,0.8123711340206186,0.005227781926811
Beni,Yacuma,Exaltación,C1,lavadora,centrale,acces_2035,2024,0.8123711340206186,0.022404779686333
Beni,Yacuma,Exaltación,C1,radio,centrale,acces_2035,2024,0.8123711340206186,0.4846441947565543
Beni,Yacuma,Exaltación,C1,television,centrale,acces_2035,2024,0.8123711340206186,0.29812734082397
Beni,Yacuma,Exaltación,C1,telefono,centrale,acces_2035,2024,0.8123711340206186,0.7514970059880239
Beni,Yacuma,Exaltación,C1,computadora,centrale,acces_2035,2024,0.8123711340206186,0.0696629213483146
Beni,Yacuma,Exaltación,C1,internet,centrale,acces_2035,2024,0.8123711340206186,0.0434456928838951
Beni,Yacuma,Exaltación,C1,refrigerador,centrale,acces_2035,2035,1.0,0.5881040953481024
Beni,Yacuma,Exaltación,C1,microondas,centrale,acces_2035,2035,1.0,0.0766864514812912
Beni,Yacuma,Exaltación,C1,calefon,centrale,acces_2035,2035,1.0,0.0293774731002341
Beni,Yacuma,Exaltación,C1,aire_acondicionado,centrale,acces_2035,2035,1.0,0.0886685431673337
Beni,Yacuma,Exaltación,C1,lavadora,centrale,acces_2035,2035,1.0,0.3360973045851914
Beni,Yacuma,Exaltación,C1,radio,centrale,acces_2035,2035,1.0,0.4456435295145152
Beni,Yacuma,Exaltación,C1,television,centrale,acces_2035,2035,1.0,0.6646428445052183
Beni,Yacuma,Exaltación,C1,telefono,centrale,acces_2035,2035,1.0,0.8980726264535877
