departamento,provincia,municipio,cluster,trajectoire,annee,hh_total,acc,part_dispersee,hh_A,hh_B,hh_C
La Paz,Abel Iturralde,Ixiamas,C1,acces_2035,2024,3306.0,0.6845130066545675,0.2886254985683954,1470.0,793.0,1043.0
La Paz,Abel Iturralde,Ixiamas,C1,acces_2035,2035,4059.330684013142,1.0,0.2886254985683954,3408.6634230088825,650.6672610042601,-5.005696157268187e-13
La Paz,Abel Iturralde,Ixiamas,C1,acces_2035,2050,4811.556447167031,1.0,0.2886254985683954,4040.315447517685,771.2409996493465,0.0
Beni,Vaca Diez,Riberalta,C3,acces_2035,2024,27442.0,0.8934115589242767,0.06239061379449533,23121.0,1396.0,2925.0
Beni,Vaca Diez,Riberalta,C3,acces_2035,2035,33049.84030230333,1.0,0.06239061379449533,32725.159111718393,324.6811905849406,1.1555216771466127e-12
Beni,Vaca Diez,Riberalta,C3,acces_2035,2050,38893.263225201175,1.0,0.06239061379449533,38511.17632571284,382.0868994883378,-1.3598252923647865e-12
Beni,Vaca Diez,Guayaramerín,C3,acces_2035,2024,10891.0,0.9242493802222018,0.07479207398893405,9420.0,646.0,825.0
Beni,Vaca Diez,Guayaramerín,C3,acces_2035,2035,12371.56176562688,1.0,0.07479207398893405,12246.586226532667,124.97553909421384,3.710305480708192e-13
Beni,Vaca Diez,Guayaramerín,C3,acces_2035,2050,13537.038630148883,1.0,0.07479207398893405,13400.289630095995,136.74900005289084,-1.2179516921189994e-12
Beni,General José Ballivián,Reyes,C1,acces_2035,2024,3417.0,0.7919227392449517,0.31337264183864605,2353.0,353.0,710.9999999999999
Beni,General José Ballivián,Reyes,C1,acces_2035,2035,3667.8875984801934,1.0,0.31337264183864605,3309.977669650245,357.90992882994846,0.0
Beni,General José Ballivián,Reyes,C1,acces_2035,2050,3805.690711998762,1.0,0.31337264183864605,3434.3340508936994,371.35666110506304,-2.6312999953521634e-13
Beni,General José Ballivián,Santa Rosa,C1,acces_2035,2024,2755.0,0.8522686025408348,0.24673544524393468,1728.0,620.0,407.00000000000006
Beni,General José Ballivián,Santa Rosa,C1,acces_2035,2035,3396.6207095930745,1.0,0.24673544524393468,3084.2089039197226,312.41180567335186,0.0
Beni,General José Ballivián,Santa Rosa,C1,acces_2035,2050,4047.827522396201,1.0,0.24673544524393468,3675.5195099782973,372.3080124179037,0.0
Beni,Yacuma,Exaltación,C1,acces_2035,2024,1455.0,0.8123711340206186,0.3602386612441766,292.0,890.0,273.0
Beni,Yacuma,Exaltación,C1,acces_2035,2035,1818.512576703737,1.0,0.3602386612441766,1294.8839873774775,523.6285893262593,1.61377602896419e-13
Beni,Yacuma,Exaltación,C1,acces_2035,2050,2207.703755251076,1.0,0.3602386612441766,1572.010157185442,635.6935980656339,0.0
