trajectoire,annee,avail_exterior_GWh
acces_2035,2024,11.592629999999998
acces_2035,2035,28.89086614417082
acces_2035,2050,33.03650073797284
acces_2050,2024,11.592629999999998
acces_2050,2035,20.072178636670607
acces_2050,2050,33.03650073797284
