departamento,provincia,municipio,cluster,trajectoire,annee,secteur,usage_final,demande_GWh
Pando,Federico Román,Nueva Esperanza,C4,acces_2050,2024,SERVICES,ELECTRICITY,0.012299849849849847
Pando,Federico Román,Nueva Esperanza,C4,acces_2050,2035,SERVICES,ELECTRICITY,0.042919066481141854
Pando,Federico Román,Nueva Esperanza,C4,acces_2050,2050,SERVICES,ELECTRICITY,0.06954703822997901
Pando,Federico Román,Santos Mercado,C4,acces_2035,2024,SERVICES,ELECTRICITY,0.03256241241241241
Pando,Federico Román,Santos Mercado,C4,acces_2035,2035,SERVICES,ELECTRICITY,0.0939415726584159
Pando,Federico Román,Santos Mercado,C4,acces_2035,2050,SERVICES,ELECTRICITY,0.11558852860040389
Pando,Federico Román,Santos Mercado,C4,acces_2050,2024,SERVICES,ELECTRICITY,0.03256241241241241
Pando,Federico Román,Santos Mercado,C4,acces_2050,2035,SERVICES,ELECTRICITY,0.06863918226609765
Pando,Federico Román,Santos Mercado,C4,acces_2050,2050,SERVICES,ELECTRICITY,0.11558852860040389
Pando,Federico Román,Villa Nueva,C4,acces_2035,2024,SERVICES,ELECTRICITY,0.12508574574574574
Pando,Federico Román,Villa Nueva,C4,acces_2035,2035,SERVICES,ELECTRICITY,0.28830319002681387
Pando,Federico Román,Villa Nueva,C4,acces_2035,2050,SERVICES,ELECTRICITY,0.30719912965052876
Pando,Federico Román,Villa Nueva,C4,acces_2050,2024,SERVICES,ELECTRICITY,0.12508574574574574
Pando,Federico Román,Villa Nueva,C4,acces_2050,2035,SERVICES,ELECTRICITY,0.21687335688434556
Pando,Federico Román,Villa Nueva,C4,acces_2050,2050,SERVICES,ELECTRICITY,0.30719912965052876
Pando,Madre de Dios,Puerto Gonzalo Moreno,C3,acces_2035,2024,SERVICES,ELECTRICITY,0.27994187187187186
Pando,Madre de Dios,Puerto Gonzalo Moreno,C3,acces_2035,2035,SERVICES,ELECTRICITY,0.5126597715486557
Pando,Madre de Dios,Puerto Gonzalo Moreno,C3,acces_2035,2050,SERVICES,ELECTRICITY,0.6489609408914853
Pando,Madre de Dios,Puerto Gonzalo Moreno,C3,acces_2050,2024,SERVICES,ELECTRICITY,0.27994187187187186
Pando,Madre de Dios,Puerto Gonzalo Moreno,C3,acces_2050,2035,SERVICES,ELECTRICITY,0.45356786468552274
Pando,Madre de Dios,Puerto Gonzalo Moreno,C3,acces_2050,2050,SERVICES,ELECTRICITY,0.6489609408914853
Pando,Madre de Dios,San Lorenzo,C4,acces_2035,2024,SERVICES,ELECTRICITY,0.3472488188188188
Pando,Madre de Dios,San Lorenzo,C4,acces_2035,2035,SERVICES,ELECTRICITY,0.5975043645320214
