municipio,departamento,provincia,cluster,pop_2024,pop_2035,pop_2050,hh_2024,hh_2035,hh_2050,hhsize_2024,hhsize_2035,hhsize_2050
Ixiamas,La Paz,Abel Iturralde,C1,11330.0,12340.08285911973,13202.987533119656,3306.0,4059.330684013142,4811.5564471670305,3.427102238354507,3.0399304268850686,2.7440159287528196
Riberalta,Beni,Vaca Diez,C3,107816.0,119705.38507794084,131414.15985208738,27442.0,33049.84030230333,38893.263225201175,3.9288681582975,3.6219656126325743,3.3788411913695278
Guayaramerín,Beni,Vaca Diez,C3,40130.0,41989.276423105395,42834.47743394923,10891.0,12371.56176562688,13537.038630148883,3.6846937838582314,3.3940158258570317,3.1642428306698367
Reyes,Beni,General José Ballivián,C1,11284.0,10725.881687338622,10036.290707960141,3417.0,3667.8875984801934,3805.690711998762,3.302311969563945,2.924266733741498,2.6371798097825576
Santa Rosa,Beni,General José Ballivián,C1,10953.0,11979.229071602025,12887.062621342351,2755.0,3396.6207095930745,4047.8275223962005,3.9756805807622504,3.5268079941245998,3.1836985518873027
Exaltación,Beni,Yacuma,C1,7810.0,8661.484502665035,9494.380890340122,1455.0,1818.512576703737,2207.703755251076,5.367697594501718,4.762950013997138,4.300568347432264
Cobija,Pando,Nicolás Suárez,C5,51908.0,58693.91084789174,65991.00918095758,15564.0,19083.756415751872,22993.877001280594,3.3351323567206372,3.0755952638048427,2.869938339553715
Porvenir,Pando,Nicolás Suárez,C4,9096.0,10259.294622647325,11497.637098899431,2230.0,2833.5541812786396,3515.947216980914,4.0789237668161435,3.6206452978491575,3.270139279500408
Bolpebra,Pando,Nicolás Suárez,C2,2338.0,2580.9914457503523,2811.701379458412,802.0,997.8566693723261,1204.023589566086,2.915211970074813,2.586535245962582,2.3352543951997746
Bella Flor,Pando,Nicolás Suárez,C4,3421.0,3343.3902049196627,3197.22413179395,1235.0,1362.7293324460297,1444.9168757252498,2.7700404858299597,2.453451412041192,2.2127391447270357
Puerto Rico,Pando,Manuripi,C4,6870.0,7697.423296822431,8552.704352145845,1989.0,2510.9854298130017,3089.4010258807066,3.4539969834087483,3.065498989134188,2.7684021208310745
San Pedro,Pando,Manuripi,C4,3248.0,3691.6639138481773,4178.0267029763745,612.0,783.5092492407259,981.6366191817149,5.30718954248366,4.7117043192861505,4.25618464239766
Filadelfia,Pando,Manuripi,C4,7993.0,9144.202078839604,10433.825117008253,2514.0,3239.0988233119588,4090.963777158671,3.1793953858393,2.8230698035602733,2.5504564902930866
Puerto Gonzalo Moreno,Pando,Madre de Dios,C3,11760.0,13478.807311558145,15415.324066619793,1965.0,2536.3614912165317,3210.705483694447,5.984732824427481,5.314229599461871,4.801226442259012
San Lorenzo,Pando,Madre de Dios,C4,9602.0,10953.817890231554,12454.456324912244,1850.0,2376.984644823175,2991.6646967329652,5.19027027027027,4.6082829832695085,4.163052209197468
Sena,Pando,Madre de Dios,C4,10247.0,11698.505577486058,13313.8137633683,2875.0,3696.7058180250374,4657.018581180977,3.5641739130434784,3.1645757475329686,2.8588706553951604
Santa Rosa,Pando,Abuná,C4,2827.0,3157.0191962000063,3492.604609049646,860.0,1082.18263777553,1325.7767036682858,3.2872093023255813,2.917270233321601,2.634383753603434
Ingavi,Pando,Abuná,C4,2545.0,2912.0731272041307,3323.515167134007,649.0,836.3350954088609,1056.5204283426247,3.921417565485362,3.4819453867118892,3.1457178469777833
Nueva Esperanza,Pando,Federico Román,C4,1572.0,1521.9694767780263,1444.3958743980163,489.0,534.5711855291104,562.5292784665278,3.214723926380368,2.847084762474813,2.5676812384512395
Villa Nueva,Pando,Federico Román,C4,2485.0,2443.0546443819326,2347.8220801558246,708.0,785.8236695192683,837.3280479922954,3.5098870056497176,3.108909465499409,2.803945342312751
Santos Mercado,Pando,Federico Román,C4,2282.0,2556.966718934827,2841.255919777935,601.0,758.7596855086014,933.6006746251476,3.7970049916805326,3.3699295940069303,3.04333104827579
