N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE VIVIENDAS | 2012 | Total,NÚMERO DE VIVIENDAS | 2012 | Red de empresa eléctrica (servicio público),NÚMERO DE VIVIENDAS | 2012 | Motor propio,NÚMERO DE VIVIENDAS | 2012 | Panel solar,NÚMERO DE VIVIENDAS | 2012 | Otra,NÚMERO DE VIVIENDAS | 2012 | No tiene,NÚMERO DE VIVIENDAS | 2024 | Total,NÚMERO DE VIVIENDAS | 2024 | Servicio público de energía eléctrica,NÚMERO DE VIVIENDAS | 2024 | Motor propio,NÚMERO DE VIVIENDAS | 2024 | Panel solar,NÚMERO DE VIVIENDAS | 2024 | Otra,NÚMERO DE VIVIENDAS | 2024 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2012 | Red de empresa eléctrica (servicio público),DISTRIBUCIÓN PORCENTUAL | 2012 | Motor propio,DISTRIBUCIÓN PORCENTUAL | 2012 | Panel solar,DISTRIBUCIÓN PORCENTUAL | 2012 | Otra,DISTRIBUCIÓN PORCENTUAL | 2012 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2024 | Servicio público de energía eléctrica,DISTRIBUCIÓN PORCENTUAL | 2024 | Motor propio,DISTRIBUCIÓN PORCENTUAL | 2024 | Panel solar,DISTRIBUCIÓN PORCENTUAL | 2024 | Otra,DISTRIBUCIÓN PORCENTUAL | 2024 | No tiene
217,Municipio/TIOC,La Paz,Muñecas,Ayata,Ayata,2747,1397,113,24,28,1185,3494,2635,45,41,51,722,50.8554787,4.1135784,0.8736804,1.0192938,43.1379687,75.4149971,1.2879222,1.1734402,1.4596451,20.6639954
218,Municipio/TIOC,La Paz,Muñecas,Ayata,Urbana,,,,,,,,,,,,,,,,,,,,,,
219,Municipio/TIOC,La Paz,Muñecas,Ayata,Rural,2747,1397,113,24,28,1185,3494,2635,45,41,51,722,50.8554787,4.1135784,0.8736804,1.0192938,43.1379687,75.4149971,1.2879222,1.1734402,1.4596451,20.6639954
220,Municipio/TIOC,La Paz,Muñecas,Aucapata,Aucapata,1938,1236,27,9,71,595,2500,1844,61,88,20,487,63.7770898,1.3931889,0.4643963,3.6635707,30.7017544,73.76,2.44,3.52,0.8,19.48
221,Municipio/TIOC,La Paz,Muñecas,Aucapata,Urbana,,,,,,,,,,,,,,,,,,,,,,
222,Municipio/TIOC,La Paz,Muñecas,Aucapata,Rural,1938,1236,27,9,71,595,2500,1844,61,88,20,487,63.7770898,1.3931889,0.4643963,3.6635707,30.7017544,73.76,2.44,3.52,0.8,19.48
223,Provincia,La Paz,Larecaja,,Larecaja,29451,18965,698,117,637,9034,39439,30280,1123,671,390,6975,64.3950969,2.3700384,0.39727,2.1629147,30.67468,76.7767945,2.8474353,1.7013616,0.9888689,17.6855397
224,Provincia,La Paz,Larecaja,,Urbana,4928,4572,85,0,15,256,8590,8138,66,13,35,338,92.775974,1.7248377,0,0.3043831,5.1948052,94.7380675,0.7683353,0.1513388,0.4074505,3.9348079
225,Provincia,La Paz,Larecaja,,Rural,24523,14393,613,117,622,8778,30849,22142,1057,658,355,6637,58.6918403,2.4996942,0.4771031,2.5363944,35.794968,71.7754222,3.4263671,2.1329703,1.1507666,21.5144737
226,Municipio/TIOC,La Paz,Larecaja,Sorata,Sorata,8775,5375,86,25,302,2987,11459,9113,205,106,31,2004,61.2535613,0.980057,0.2849003,3.4415954,34.039886,79.5270093,1.7889868,0.9250371,0.2705297,17.488437
227,Municipio/TIOC,La Paz,Larecaja,Sorata,Urbana,1125,1023,0,0,2,100,1792,1633,2,4,3,150,90.9333333,0,0,0.1777778,8.8888889,91.1272321,0.1116071,0.2232143,0.1674107,8.3705357
228,Municipio/TIOC,La Paz,Larecaja,Sorata,Rural,7650,4352,86,25,300,2887,9667,7480,203,102,28,1854,56.8888889,1.124183,0.3267974,3.9215686,37.7385621,77.3766422,2.0999276,1.055136,0.2896452,19.178649
229,Municipio/TIOC,La Paz,Larecaja,Guanay,Guanay,4681,2699,276,35,110,1561,6269,4260,387,263,94,1265,57.65862,5.896176,0.7477035,2.3499252,33.3475753,67.9534216,6.1732334,4.1952465,1.4994417,20.1786569
230,Municipio/TIOC,La Paz,Larecaja,Guanay,Urbana,1290,1180,79,0,3,28,1505,1451,14,0,3,37,91.4728682,6.124031,0,0.2325581,2.1705426,96.4119601,0.9302326,0,0.1993355,2.4584718
231,Municipio/TIOC,La Paz,Larecaja,Guanay,Rural,3391,1519,197,35,107,1533,4764,2809,373,263,91,1228,44.7950457,5.8094957,1.0321439,3.1554114,45.2079033,58.9630563,7.829555,5.5205709,1.9101595,25.7766583
232,Municipio/TIOC,La Paz,Larecaja,Tacacoma,Tacacoma,2980,1611,181,14,63,1111,4152,2892,193,89,49,929,54.0604027,6.0738255,0.4697987,2.114094,37.2818792,69.6531792,4.6483622,2.1435453,1.1801541,22.3747592
233,Municipio/TIOC,La Paz,Larecaja,Tacacoma,Urbana,,,,,,,,,,,,,,,,,,,,,,
234,Municipio/TIOC,La Paz,Larecaja,Tacacoma,Rural,2980,1611,181,14,63,1111,4152,2892,193,89,49,929,54.0604027,6.0738255,0.4697987,2.114094,37.2818792,69.6531792,4.6483622,2.1435453,1.1801541,22.3747592
235,Municipio/TIOC,La Paz,Larecaja,Quiabaya,Quiabaya,1027,677,1,3,5,341,1391,1066,1,10,8,306,65.9201558,0.097371,0.292113,0.4868549,33.2035054,76.635514,0.0718907,0.7189073,0.5751258,21.9985622
236,Municipio/TIOC,La Paz,Larecaja,Quiabaya,Urbana,,,,,,,,,,,,,,,,,,,,,,
237,Municipio/TIOC,La Paz,Larecaja,Quiabaya,Rural,1027,677,1,3,5,341,1391,1066,1,10,8,306,65.9201558,0.097371,0.292113,0.4868549,33.2035054,76.635514,0.0718907,0.7189073,0.5751258,21.9985622
238,Municipio/TIOC,La Paz,Larecaja,Combaya,Combaya,994,681,1,1,10,301,1425,1082,2,11,6,324,68.5110664,0.1006036,0.1006036,1.0060362,30.2816901,75.9298246,0.1403509,0.7719298,0.4210526,22.7368421
239,Municipio/TIOC,La Paz,Larecaja,Combaya,Urbana,,,,,,,,,,,,,,,,,,,,,,
240,Municipio/TIOC,La Paz,Larecaja,Combaya,Rural,994,681,1,1,10,301,1425,1082,2,11,6,324,68.5110664,0.1006036,0.1006036,1.0060362,30.2816901,75.9298246,0.1403509,0.7719298,0.4210526,22.7368421
241,Municipio/TIOC,La Paz,Larecaja,Tipuani,Tipuani,3457,2983,27,6,55,386,3243,2810,76,11,98,248,86.2886896,0.781024,0.1735609,1.5909748,11.1657507,86.6481653,2.3435091,0.3391921,3.0218933,7.6472402
242,Municipio/TIOC,La Paz,Larecaja,Tipuani,Urbana,740,706,2,0,4,28,893,824,1,1,16,51,95.4054054,0.2702703,0,0.5405405,3.7837838,92.2732363,0.1119821,0.1119821,1.7917133,5.7110862
243,Municipio/TIOC,La Paz,Larecaja,Tipuani,Rural,2717,2277,25,6,51,358,2350,1986,75,10,82,197,83.805668,0.9201325,0.2208318,1.8770703,13.1762974,84.5106383,3.1914894,0.4255319,3.4893617,8.3829787
244,Municipio/TIOC,La Paz,Larecaja,Mapiri,Mapiri,4050,3526,62,4,51,407,6898,6280,139,63,70,346,87.0617284,1.5308642,0.0987654,1.2592593,10.0493827,91.0408814,2.0150768,0.9133082,1.0147869,5.0159467
245,Municipio/TIOC,La Paz,Larecaja,Mapiri,Urbana,1773,1663,4,0,6,100,3465,3385,34,3,10,33,93.7958263,0.2256063,0,0.3384095,5.6401579,97.6911977,0.981241,0.0865801,0.2886003,0.952381
246,Municipio/TIOC,La Paz,Larecaja,Mapiri,Rural,2277,1863,58,4,45,307,3433,2895,105,60,60,313,81.8181818,2.5472112,0.1756697,1.9762846,13.4826526,84.3285756,3.0585494,1.7477425,1.7477425,9.11739
247,Municipio/TIOC,La Paz,Larecaja,Teoponte,Teoponte,3487,1413,64,29,41,1940,4602,2777,120,118,34,1553,40.5219386,1.8353886,0.8316605,1.1757958,55.6352165,60.343329,2.6075619,2.5641026,0.7388092,33.7461973
