N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE VIVIENDAS | 2012 | Total,NÚMERO DE VIVIENDAS | 2012 | Red de empresa eléctrica (servicio público),NÚMERO DE VIVIENDAS | 2012 | Motor propio,NÚMERO DE VIVIENDAS | 2012 | Panel solar,NÚMERO DE VIVIENDAS | 2012 | Otra,NÚMERO DE VIVIENDAS | 2012 | No tiene,NÚMERO DE VIVIENDAS | 2024 | Total,NÚMERO DE VIVIENDAS | 2024 | Servicio público de energía eléctrica,NÚMERO DE VIVIENDAS | 2024 | Motor propio,NÚMERO DE VIVIENDAS | 2024 | Panel solar,NÚMERO DE VIVIENDAS | 2024 | Otra,NÚMERO DE VIVIENDAS | 2024 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2012 | Red de empresa eléctrica (servicio público),DISTRIBUCIÓN PORCENTUAL | 2012 | Motor propio,DISTRIBUCIÓN PORCENTUAL | 2012 | Panel solar,DISTRIBUCIÓN PORCENTUAL | 2012 | Otra,DISTRIBUCIÓN PORCENTUAL | 2012 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2024 | Servicio público de energía eléctrica,DISTRIBUCIÓN PORCENTUAL | 2024 | Motor propio,DISTRIBUCIÓN PORCENTUAL | 2024 | Panel solar,DISTRIBUCIÓN PORCENTUAL | 2024 | Otra,DISTRIBUCIÓN PORCENTUAL | 2024 | No tiene
898,Provincia,Potosí,Nor Lípez,,Nor Lípez,3679,2093,60,272,237,1017,4822,3789,84,325,58,566,56.8904594,1.630878,7.3933134,6.4419679,27.6433814,78.5773538,1.7420158,6.7399419,1.2028204,11.7378681
899,Provincia,Potosí,Nor Lípez,,Urbana,,,,,,,711,681,1,17,0,12,,,,,,95.7805907,0.140647,2.3909986,0,1.6877637
900,Provincia,Potosí,Nor Lípez,,Rural,3679,2093,60,272,237,1017,4111,3108,83,308,58,554,56.8904594,1.630878,7.3933134,6.4419679,27.6433814,75.6020433,2.0189735,7.4920944,1.4108489,13.4760399
901,Municipio/TIOC,Potosí,Nor Lípez,"Colcha ""K""","Colcha ""K""",3307,1906,46,263,215,877,4165,3362,20,290,47,446,57.635319,1.3909888,7.9528273,6.5013607,26.5195041,80.7202881,0.4801921,6.9627851,1.1284514,10.7082833
902,Municipio/TIOC,Potosí,Nor Lípez,"Colcha ""K""",Urbana,,,,,,,711,681,1,17,0,12,,,,,,95.7805907,0.140647,2.3909986,0,1.6877637
903,Municipio/TIOC,Potosí,Nor Lípez,"Colcha ""K""",Rural,3307,1906,46,263,215,877,3454,2681,19,273,47,434,57.635319,1.3909888,7.9528273,6.5013607,26.5195041,77.6201506,0.5500869,7.9038796,1.3607412,12.5651419
904,Municipio/TIOC,Potosí,Nor Lípez,San Pedro de Quemes,San Pedro de Quemes,372,187,14,9,22,140,657,427,64,35,11,120,50.2688172,3.7634409,2.4193548,5.9139785,37.6344086,64.9923896,9.7412481,5.3272451,1.674277,18.2648402
905,Municipio/TIOC,Potosí,Nor Lípez,San Pedro de Quemes,Urbana,,,,,,,,,,,,,,,,,,,,,,
906,Municipio/TIOC,Potosí,Nor Lípez,San Pedro de Quemes,Rural,372,187,14,9,22,140,657,427,64,35,11,120,50.2688172,3.7634409,2.4193548,5.9139785,37.6344086,64.9923896,9.7412481,5.3272451,1.674277,18.2648402
907,Provincia,Potosí,Sur Lípez,,Sur Lípez,1944,656,12,569,12,695,2125,661,63,313,86,1002,33.744856,0.617284,29.2695473,0.617284,35.7510288,31.1058824,2.9647059,14.7294118,4.0470588,47.1529412
908,Provincia,Potosí,Sur Lípez,,Urbana,,,,,,,,,,,,,,,,,,,,,,
909,Provincia,Potosí,Sur Lípez,,Rural,1944,656,12,569,12,695,2125,661,63,313,86,1002,33.744856,0.617284,29.2695473,0.617284,35.7510288,31.1058824,2.9647059,14.7294118,4.0470588,47.1529412
910,Municipio/TIOC,Potosí,Sur Lípez,San Pablo,San Pablo,871,358,7,305,9,192,1111,347,51,246,85,382,41.1021814,0.8036739,35.0172216,1.0332951,22.043628,31.2331233,4.590459,22.1422142,7.6507651,34.3834383
911,Municipio/TIOC,Potosí,Sur Lípez,San Pablo,Urbana,,,,,,,,,,,,,,,,,,,,,,
912,Municipio/TIOC,Potosí,Sur Lípez,San Pablo,Rural,871,358,7,305,9,192,1111,347,51,246,85,382,41.1021814,0.8036739,35.0172216,1.0332951,22.043628,31.2331233,4.590459,22.1422142,7.6507651,34.3834383
913,Municipio/TIOC,Potosí,Sur Lípez,Mojinete,Mojinete,358,74,3,38,1,242,324,74,8,29,1,212,20.6703911,0.8379888,10.6145251,0.2793296,67.5977654,22.8395062,2.4691358,8.9506173,0.308642,65.4320988
914,Municipio/TIOC,Potosí,Sur Lípez,Mojinete,Urbana,,,,,,,,,,,,,,,,,,,,,,
915,Municipio/TIOC,Potosí,Sur Lípez,Mojinete,Rural,358,74,3,38,1,242,324,74,8,29,1,212,20.6703911,0.8379888,10.6145251,0.2793296,67.5977654,22.8395062,2.4691358,8.9506173,0.308642,65.4320988
916,Municipio/TIOC,Potosí,Sur Lípez,San Antonio de Esmoruco,San Antonio de Esmoruco,715,224,2,226,2,261,690,240,4,38,0,408,31.3286713,0.2797203,31.6083916,0.2797203,36.5034965,34.7826087,0.5797101,5.5072464,0,59.1304348
917,Municipio/TIOC,Potosí,Sur Lípez,San Antonio de Esmoruco,Urbana,,,,,,,,,,,,,,,,,,,,,,
918,Municipio/TIOC,Potosí,Sur Lípez,San Antonio de Esmoruco,Rural,715,224,2,226,2,261,690,240,4,38,0,408,31.3286713,0.2797203,31.6083916,0.2797203,36.5034965,34.7826087,0.5797101,5.5072464,0,59.1304348
919,Provincia,Potosí,José María Linares,,José María Linares,14472,8615,32,410,184,5231,15097,11234,42,206,105,3510,59.5287452,0.2211166,2.8330569,1.2714207,36.1456606,74.4121349,0.278201,1.3645095,0.6955024,23.2496522
