N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE HOGARES | 2001 | Total hogares,NÚMERO DE HOGARES | 2001 | Vehículo automotor | Tiene,NÚMERO DE HOGARES | 2001 | Vehículo automotor | No tiene,NÚMERO DE HOGARES | 2001 | Bicicleta | Tiene,NÚMERO DE HOGARES | 2001 | Bicicleta | No tiene,NÚMERO DE HOGARES | 2001 | Motocicleta o cuadratrack | Tiene,NÚMERO DE HOGARES | 2001 | Motocicleta o cuadratrack | No tiene,NÚMERO DE HOGARES | 2012 | Total hogares,NÚMERO DE HOGARES | 2012 | Vehículo automotor | Tiene,NÚMERO DE HOGARES | 2012 | Vehículo automotor | No tiene,NÚMERO DE HOGARES | 2012 | Bicicleta | Tiene,NÚMERO DE HOGARES | 2012 | Bicicleta | No tiene,NÚMERO DE HOGARES | 2012 | Motocicleta o cuadratrack | Tiene,NÚMERO DE HOGARES | 2012 | Motocicleta o cuadratrack | No tiene,NÚMERO DE HOGARES | 2012 | Carreta o carretón | Tiene,NÚMERO DE HOGARES | 2012 | Carreta o carretón | No tiene,NÚMERO DE HOGARES | 2012 | Deslizador o balsa o canoa o bote | Tiene,NÚMERO DE HOGARES | 2012 | Deslizador o balsa o canoa o bote | No tiene,NÚMERO DE HOGARES | 2024 | Total hogares,NÚMERO DE HOGARES | 2024 | Vehículo automotor | Tiene,NÚMERO DE HOGARES | 2024 | Vehículo automotor | No tiene,NÚMERO DE HOGARES | 2024 | Vehículo automotor | Sin especificar,NÚMERO DE HOGARES | 2024 | Bicicleta | Tiene,NÚMERO DE HOGARES | 2024 | Bicicleta | No tiene,NÚMERO DE HOGARES | 2024 | Bicicleta | Sin especificar,NÚMERO DE HOGARES | 2024 | Motocicleta o cuadratrack | Tiene,NÚMERO DE HOGARES | 2024 | Motocicleta o cuadratrack | No tiene,NÚMERO DE HOGARES | 2024 | Motocicleta o cuadratrack | Sin especificar,NÚMERO DE HOGARES | 2024 | Carreta o carretón | Tiene,NÚMERO DE HOGARES | 2024 | Carreta o carretón | No tiene,NÚMERO DE HOGARES | 2024 | Carreta o carretón | Sin especificar,NÚMERO DE HOGARES | 2024 | Deslizador o balsa o canoa o bote | Tiene,NÚMERO DE HOGARES | 2024 | Deslizador o balsa o canoa o bote | No tiene,NÚMERO DE HOGARES | 2024 | Deslizador o balsa o canoa o bote | Sin especificar,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Vehículo automotor | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Vehículo automotor | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Bicicleta | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Bicicleta | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Motocicleta o cuadratrack | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Motocicleta o cuadratrack | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Vehículo automotor | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Vehículo automotor | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Bicicleta | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Bicicleta | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Motocicleta o cuadratrack | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Motocicleta o cuadratrack | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Carreta o carretón | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Carreta o carretón | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Deslizador o balsa o canoa o bote | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Deslizador o balsa o canoa o bote | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Vehículo automotor | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Vehículo automotor | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Bicicleta | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Bicicleta | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Motocicleta o cuadratrack | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Motocicleta o cuadratrack | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Carreta o carretón | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Carreta o carretón | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Deslizador o balsa o canoa o bote | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Deslizador o balsa o canoa o bote | No tiene
239,Municipio/TIOC,La Paz,Larecaja,Combaya,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Municipio/TIOC,La Paz,Larecaja,Combaya,Rural,863.0,1,862,22,841,1,862,994.0,38,956,76,918,3,991,32,962,2,992,1425.0,123,1221,81,108,1237,80,28,1316,81,76,1268,81,6,1337,82,0.1158749,99.8841251,2.5492468,97.4507532,0.1158749,99.8841251,3.8229376,96.1770624,7.6458753,92.3541247,0.3018109,99.6981891,3.2193159,96.7806841,0.2012072,99.7987928,9.1517857,90.8482143,8.0297398,91.9702602,2.0833333,97.9166667,5.6547619,94.3452381,0.446761,99.553239
241,Municipio/TIOC,La Paz,Larecaja,Tipuani,Tipuani,2776.0,92,2684,307,2469,25,2751,3457.0,511,2946,514,2943,276,3181,98,3359,10,3447,3243.0,770,2389,84,705,2454,84,532,2627,84,133,3026,84,26,3133,84,3.314121,96.685879,11.0590778,88.9409222,0.9005764,99.0994236,14.7816025,85.2183975,14.868383,85.131617,7.983801,92.016199,2.8348279,97.1651721,0.2892682,99.7107318,24.3748022,75.6251978,22.317189,77.682811,16.8407724,83.1592276,4.2101931,95.7898069,0.8230453,99.1769547
242,Municipio/TIOC,La Paz,Larecaja,Tipuani,Urbana,627.0,44,583,123,504,17,610,740.0,138,602,165,575,98,642,43,697,0,740,893.0,222,640,31,265,597,31,192,670,31,41,821,31,8,854,31,7.0175439,92.9824561,19.6172249,80.3827751,2.7113238,97.2886762,18.6486486,81.3513514,22.2972973,77.7027027,13.2432432,86.7567568,5.8108108,94.1891892,0,100,25.7540603,74.2459397,30.7424594,69.2575406,22.2737819,77.7262181,4.7563805,95.2436195,0.9280742,99.0719258
243,Municipio/TIOC,La Paz,Larecaja,Tipuani,Rural,2149.0,48,2101,184,1965,8,2141,2717.0,373,2344,349,2368,178,2539,55,2662,10,2707,2350.0,548,1749,53,440,1857,53,340,1957,53,92,2205,53,18,2279,53,2.233597,97.766403,8.5621219,91.4378781,0.3722662,99.6277338,13.7283769,86.2716231,12.8450497,87.1549503,6.5513434,93.4486566,2.0242915,97.9757085,0.368053,99.631947,23.8572051,76.1427949,19.1554201,80.8445799,14.8019155,85.1980845,4.0052242,95.9947758,0.7836308,99.2163692
244,Municipio/TIOC,La Paz,Larecaja,Mapiri,Mapiri,2284.0,47,2237,267,2017,77,2207,4050.0,673,3377,382,3668,489,3561,107,3943,40,4010,6898.0,2569,4045,284,1348,5268,282,2290,4326,282,210,6403,285,124,6490,284,2.0577933,97.9422067,11.6900175,88.3099825,3.3712785,96.6287215,16.617284,83.382716,9.4320988,90.5679012,12.0740741,87.9259259,2.6419753,97.3580247,0.9876543,99.0123457,38.8418506,61.1581494,20.3748489,79.6251511,34.6130593,65.3869407,3.1755633,96.8244367,1.874811,98.125189
245,Municipio/TIOC,La Paz,Larecaja,Mapiri,Urbana,560.0,10,550,63,497,19,541,1773.0,349,1424,201,1572,218,1555,84,1689,23,1750,3465.0,1316,2003,146,787,2532,146,1223,2097,145,121,3197,147,58,3260,147,1.7857143,98.2142857,11.25,88.75,3.3928571,96.6071429,19.6841512,80.3158488,11.3367174,88.6632826,12.2955443,87.7044557,4.7377327,95.2622673,1.2972363,98.7027637,39.6504971,60.3495029,23.7119614,76.2880386,36.8373494,63.1626506,3.6467752,96.3532248,1.748041,98.251959
246,Municipio/TIOC,La Paz,Larecaja,Mapiri,Rural,1724.0,37,1687,204,1520,58,1666,2277.0,324,1953,181,2096,271,2006,23,2254,17,2260,3433.0,1253,2042,138,561,2736,136,1067,2229,137,89,3206,138,66,3230,137,2.1461717,97.8538283,11.8329466,88.1670534,3.3642691,96.6357309,14.229249,85.770751,7.9490558,92.0509442,11.9016249,88.0983751,1.010101,98.989899,0.7465964,99.2534036,38.0273141,61.9726859,17.0154686,82.9845314,32.3725728,67.6274272,2.7010622,97.2989378,2.0024272,97.9975728
247,Municipio/TIOC,La Paz,Larecaja,Teoponte,Teoponte,2287.0,48,2239,375,1912,30,2257,3487.0,448,3039,408,3079,315,3172,305,3182,181,3306,4602.0,1393,3049,160,655,3787,160,995,3447,160,225,4217,160,190,4251,161,2.0988194,97.9011806,16.3970267,83.6029733,1.3117621,98.6882379,12.8477201,87.1522799,11.7006022,88.2993978,9.0335532,90.9664468,8.7467737,91.2532263,5.1907083,94.8092917,31.3597479,68.6402521,14.7456101,85.2543899,22.3998199,77.6001801,5.0652859,94.9347141,4.2783157,95.7216843
248,Municipio/TIOC,La Paz,Larecaja,Teoponte,Urbana,,,,,,,,,,,,,,,,,,,935.0,388,506,41,195,699,41,291,603,41,54,840,41,64,830,41,,,,,,,,,,,,,,,,,43.4004474,56.5995526,21.8120805,78.1879195,32.5503356,67.4496644,6.0402685,93.9597315,7.1588367,92.8411633
249,Municipio/TIOC,La Paz,Larecaja,Teoponte,Rural,2287.0,48,2239,375,1912,30,2257,3487.0,448,3039,408,3079,315,3172,305,3182,181,3306,3667.0,1005,2543,119,460,3088,119,704,2844,119,171,3377,119,126,3421,120,2.0988194,97.9011806,16.3970267,83.6029733,1.3117621,98.6882379,12.8477201,87.1522799,11.7006022,88.2993978,9.0335532,90.9664468,8.7467737,91.2532263,5.1907083,94.8092917,28.3258174,71.6741826,12.9650507,87.0349493,19.8421646,80.1578354,4.8196167,95.1803833,3.5522977,96.4477023
250,Provincia,La Paz,Franz Tamayo,,Franz Tamayo,4127.0,83,4044,1189,2938,107,4020,6855.0,873,5982,1642,5213,930,5925,437,6418,125,6730,9232.0,1774,7049,409,1696,7135,401,3096,5730,406,639,8183,410,234,8590,408,2.0111461,97.9888539,28.8102738,71.1897262,2.5926823,97.4073177,12.7352298,87.2647702,23.9533187,76.0466813,13.5667396,86.4332604,6.3749088,93.6250912,1.8234865,98.1765135,20.1065397,79.8934603,19.205073,80.794927,35.0781781,64.9218219,7.2432555,92.7567445,2.6518586,97.3481414
251,Provincia,La Paz,Franz Tamayo,,Urbana,507.0,11,496,209,298,58,449,1420.0,185,1235,390,1030,259,1161,165,1255,2,1418,1835.0,447,1313,75,337,1424,74,741,1019,75,136,1624,75,18,1742,75,2.1696252,97.8303748,41.2228797,58.7771203,11.4398422,88.5601578,13.028169,86.971831,27.4647887,72.5352113,18.2394366,81.7605634,11.6197183,88.3802817,0.1408451,99.8591549,25.3977273,74.6022727,19.1368541,80.8631459,42.1022727,57.8977273,7.7272727,92.2727273,1.0227273,98.9772727
252,Provincia,La Paz,Franz Tamayo,,Rural,3620.0,72,3548,980,2640,49,3571,5435.0,688,4747,1252,4183,671,4764,272,5163,123,5312,7397.0,1327,5736,334,1359,5711,327,2355,4711,331,503,6559,335,216,6848,333,1.9889503,98.0110497,27.0718232,72.9281768,1.3535912,98.6464088,12.6586937,87.3413063,23.0358786,76.9641214,12.3459062,87.6540938,5.0045998,94.9954002,2.2631095,97.7368905,18.7880504,81.2119496,19.2220651,80.7779349,33.3286159,66.6713841,7.1226282,92.8773718,3.0577576,96.9422424
253,Municipio/TIOC,La Paz,Franz Tamayo,Apolo,Apolo,2689.0,11,2678,688,2001,77,2612,4625.0,482,4143,1136,3489,553,4072,318,4307,114,4511,6164.0,1002,4900,262,708,5200,256,1975,3929,260,379,5522,263,164,5739,261,0.409074,99.590926,25.5857196,74.4142804,2.863518,97.136482,10.4216216,89.5783784,24.5621622,75.4378378,11.9567568,88.0432432,6.8756757,93.1243243,2.4648649,97.5351351,16.9772958,83.0227042,11.9837508,88.0162492,33.451897,66.548103,6.4226402,93.5773598,2.7782483,97.2217517
254,Municipio/TIOC,La Paz,Franz Tamayo,Apolo,Urbana,507.0,11,496,209,298,58,449,1420.0,185,1235,390,1030,259,1161,165,1255,2,1418,1835.0,447,1313,75,337,1424,74,741,1019,75,136,1624,75,18,1742,75,2.1696252,97.8303748,41.2228797,58.7771203,11.4398422,88.5601578,13.028169,86.971831,27.4647887,72.5352113,18.2394366,81.7605634,11.6197183,88.3802817,0.1408451,99.8591549,25.3977273,74.6022727,19.1368541,80.8631459,42.1022727,57.8977273,7.7272727,92.2727273,1.0227273,98.9772727
255,Municipio/TIOC,La Paz,Franz Tamayo,Apolo,Rural,2182.0,0,2182,479,1703,19,2163,3205.0,297,2908,746,2459,294,2911,153,3052,112,3093,4329.0,555,3587,187,371,3776,182,1234,2910,185,243,3898,188,146,3997,186,0,100,21.9523373,78.0476627,0.8707608,99.1292392,9.2667707,90.7332293,23.276131,76.723869,9.1731669,90.8268331,4.773791,95.226209,3.4945398,96.5054602,13.399324,86.600676,8.9462262,91.0537738,29.7779923,70.2220077,5.8681478,94.1318522,3.5240164,96.4759836
256,Municipio/TIOC,La Paz,Franz Tamayo,Pelechuco,Pelechuco,1438.0,72,1366,501,937,30,1408,2230.0,391,1839,506,1724,377,1853,119,2111,11,2219,3068.0,772,2149,147,988,1935,145,1121,1801,146,260,2661,147,70,2851,147,5.0069541,94.9930459,34.8400556,65.1599444,2.0862309,97.9137691,17.5336323,82.4663677,22.690583,77.309417,16.9058296,83.0941704,5.3363229,94.6636771,0.4932735,99.5067265,26.429305,73.570695,33.8008895,66.1991105,38.3641342,61.6358658,8.9010613,91.0989387,2.3964396,97.6035604
257,Municipio/TIOC,La Paz,Franz Tamayo,Pelechuco,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Municipio/TIOC,La Paz,Franz Tamayo,Pelechuco,Rural,1438.0,72,1366,501,937,30,1408,2230.0,391,1839,506,1724,377,1853,119,2111,11,2219,3068.0,772,2149,147,988,1935,145,1121,1801,146,260,2661,147,70,2851,147,5.0069541,94.9930459,34.8400556,65.1599444,2.0862309,97.9137691,17.5336323,82.4663677,22.690583,77.309417,16.9058296,83.0941704,5.3363229,94.6636771,0.4932735,99.5067265,26.429305,73.570695,33.8008895,66.1991105,38.3641342,61.6358658,8.9010613,91.0989387,2.3964396,97.6035604
259,Provincia,La Paz,Ingavi,,Ingavi,27626.0,971,26655,11450,16176,210,27416,44000.0,6561,37439,20116,23884,1603,42397,6858,37142,1144,42856,64052.0,16092,45874,2086,30318,31669,2065,7461,54506,2085,9385,52577,2090,1171,60786,2095,3.5148049,96.4851951,41.4464635,58.5535365,0.7601535,99.2398465,14.9113636,85.0886364,45.7181818,54.2818182,3.6431818,96.3568182,15.5863636,84.4136364,2.6,97.4,25.9690798,74.0309202,48.9102554,51.0897446,12.0402795,87.9597205,15.14638,84.85362,1.8900205,98.1099795
260,Provincia,La Paz,Ingavi,,Urbana,7813.0,619,7194,3551,4262,65,7748,21261.0,4049,17212,8355,12906,561,20700,3874,17387,217,21044,34456.0,10206,23348,902,16378,17187,891,2353,31201,902,5147,28406,903,363,33186,907,7.9226929,92.0773071,45.4498912,54.5501088,0.8319468,99.1680532,19.0442594,80.9557406,39.2973049,60.7026951,2.6386341,97.3613659,18.2211561,81.7788439,1.0206481,98.9793519,30.4166418,69.5833582,48.7948756,51.2051244,7.0125767,92.9874233,15.33991,84.66009,1.0819995,98.9180005
261,Provincia,La Paz,Ingavi,,Rural,19813.0,352,19461,7899,11914,145,19668,22739.0,2512,20227,11761,10978,1042,21697,2984,19755,927,21812,29596.0,5886,22526,1184,13940,14482,1174,5108,23305,1183,4238,24171,1187,808,27600,1188,1.7766113,98.2233887,39.8677636,60.1322364,0.7318427,99.2681573,11.0470997,88.9529003,51.7217116,48.2782884,4.5824355,95.4175645,13.1228286,86.8771714,4.0766964,95.9233036,20.7165986,79.2834014,49.0465133,50.9534867,17.9776863,82.0223137,14.9178077,85.0821923,2.8442692,97.1557308
262,Municipio/TIOC,La Paz,Ingavi,Viacha,Viacha,12793.0,745,12048,5459,7334,95,12698,26248.0,4670,21578,10739,15509,684,25564,4966,21282,69,26179,41941.0,11903,28779,1259,19628,21070,1243,3147,37535,1259,6629,34052,1260,317,40359,1265,5.8234972,94.1765028,42.6717736,57.3282264,0.7425936,99.2574064,17.7918318,82.2081682,40.9135934,59.0864066,2.6059128,97.3940872,18.9195367,81.0804633,0.2628772,99.7371228,29.2586402,70.7413598,48.2284142,51.7715858,7.7356079,92.2643921,16.2950763,83.7049237,0.7793293,99.2206707
263,Municipio/TIOC,La Paz,Ingavi,Viacha,Urbana,7302.0,553,6749,3251,4051,60,7242,19740.0,3616,16124,7598,12142,502,19238,3677,16063,38,19702,32953.0,9543,22548,862,15490,16612,851,2130,29961,862,4986,27105,862,269,31818,866,7.5732676,92.4267324,44.5220488,55.4779512,0.8216927,99.1783073,18.3181358,81.6818642,38.4903749,61.5096251,2.5430598,97.4569402,18.627153,81.372847,0.1925025,99.8074975,29.7373095,70.2626905,48.2524453,51.7475547,6.637375,93.362625,15.5370665,84.4629335,0.8383457,99.1616543
264,Municipio/TIOC,La Paz,Ingavi,Viacha,Rural,5491.0,192,5299,2208,3283,35,5456,6508.0,1054,5454,3141,3367,182,6326,1289,5219,31,6477,8988.0,2360,6231,397,4138,4458,392,1017,7574,397,1643,6947,398,48,8541,399,3.4966309,96.5033691,40.2112548,59.7887452,0.6374067,99.3625933,16.1954518,83.8045482,48.2636755,51.7363245,2.7965581,97.2034419,19.8063921,80.1936079,0.4763368,99.5236632,27.4706088,72.5293912,48.1386691,51.8613309,11.83797,88.16203,19.1268917,80.8731083,0.5588543,99.4411457
265,Municipio/TIOC,La Paz,Ingavi,Puerto Mayor de Guaqui,Puerto Mayor de Guaqui,2272.0,53,2219,929,1343,8,2264,2731.0,326,2405,1374,1357,146,2585,365,2366,65,2666,3220.0,681,2453,86,1477,1657,86,667,2467,86,461,2673,86,90,3045,85,2.3327465,97.6672535,40.8890845,59.1109155,0.3521127,99.6478873,11.9370194,88.0629806,50.3112413,49.6887587,5.3460271,94.6539729,13.3650677,86.6349323,2.3800806,97.6199194,21.7294193,78.2705807,47.1282706,52.8717294,21.2827058,78.7172942,14.7096362,85.2903638,2.8708134,97.1291866
266,Municipio/TIOC,La Paz,Ingavi,Puerto Mayor de Guaqui,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Municipio/TIOC,La Paz,Ingavi,Puerto Mayor de Guaqui,Rural,2272.0,53,2219,929,1343,8,2264,2731.0,326,2405,1374,1357,146,2585,365,2366,65,2666,3220.0,681,2453,86,1477,1657,86,667,2467,86,461,2673,86,90,3045,85,2.3327465,97.6672535,40.8890845,59.1109155,0.3521127,99.6478873,11.9370194,88.0629806,50.3112413,49.6887587,5.3460271,94.6539729,13.3650677,86.6349323,2.3800806,97.6199194,21.7294193,78.2705807,47.1282706,52.8717294,21.2827058,78.7172942,14.7096362,85.2903638,2.8708134,97.1291866
268,Municipio/TIOC,La Paz,Ingavi,Tiahuanacu,Tiahuanacu,2950.0,31,2919,1185,1765,17,2933,3594.0,335,3259,2099,1495,205,3389,422,3172,347,3247,4653.0,880,3598,175,2279,2203,171,1114,3365,174,641,3835,177,168,4308,177,1.0508475,98.9491525,40.1694915,59.8305085,0.5762712,99.4237288,9.3210907,90.6789093,58.4028937,41.5971063,5.703951,94.296049,11.7417919,88.2582081,9.6549805,90.3450195,19.6516302,80.3483698,50.8478358,49.1521642,24.8716231,75.1283769,14.3208222,85.6791778,3.7533512,96.2466488
269,Municipio/TIOC,La Paz,Ingavi,Tiahuanacu,Urbana,,,,,,,,440.0,13,427,210,230,9,431,12,428,115,325,,,,,,,,,,,,,,,,,,,,,,,2.9545455,97.0454545,47.7272727,52.2727273,2.0454545,97.9545455,2.7272727,97.2727273,26.1363636,73.8636364,,,,,,,,,,
270,Municipio/TIOC,La Paz,Ingavi,Tiahuanacu,Rural,2950.0,31,2919,1185,1765,17,2933,3154.0,322,2832,1889,1265,196,2958,410,2744,232,2922,4653.0,880,3598,175,2279,2203,171,1114,3365,174,641,3835,177,168,4308,177,1.0508475,98.9491525,40.1694915,59.8305085,0.5762712,99.4237288,10.2092581,89.7907419,59.8922004,40.1077996,6.214331,93.785669,12.9993659,87.0006341,7.3557387,92.6442613,19.6516302,80.3483698,50.8478358,49.1521642,24.8716231,75.1283769,14.3208222,85.6791778,3.7533512,96.2466488
271,Municipio/TIOC,La Paz,Ingavi,Desaguadero,Desaguadero,1444.0,76,1368,607,837,6,1438,2250.0,564,1686,961,1289,63,2187,286,1964,213,2037,2675.0,924,1676,75,1271,1329,75,381,2219,75,269,2330,76,205,2394,76,5.2631579,94.7368421,42.0360111,57.9639889,0.4155125,99.5844875,25.0666667,74.9333333,42.7111111,57.2888889,2.8,97.2,12.7111111,87.2888889,9.4666667,90.5333333,35.5384615,64.4615385,48.8846154,51.1153846,14.6538462,85.3461538,10.3501347,89.6498653,7.8876491,92.1123509
272,Municipio/TIOC,La Paz,Ingavi,Desaguadero,Urbana,511.0,66,445,300,211,5,506,1081.0,420,661,547,534,50,1031,185,896,64,1017,1503.0,663,800,40,888,575,40,223,1240,40,161,1301,41,94,1368,41,12.9158513,87.0841487,58.7084149,41.2915851,0.9784736,99.0215264,38.852914,61.147086,50.6012951,49.3987049,4.6253469,95.3746531,17.1137835,82.8862165,5.920444,94.079556,45.3178401,54.6821599,60.6971975,39.3028025,15.2426521,84.7573479,11.0123119,88.9876881,6.4295486,93.5704514
273,Municipio/TIOC,La Paz,Ingavi,Desaguadero,Rural,933.0,10,923,307,626,1,932,1169.0,144,1025,414,755,13,1156,101,1068,149,1020,1172.0,261,876,35,383,754,35,158,979,35,108,1029,35,111,1026,35,1.0718114,98.9281886,32.9046088,67.0953912,0.1071811,99.8928189,12.3182207,87.6817793,35.4148845,64.5851155,1.1120616,98.8879384,8.6398631,91.3601369,12.7459367,87.2540633,22.9551451,77.0448549,33.6851363,66.3148637,13.8962181,86.1037819,9.4986807,90.5013193,9.762533,90.237467
274,Municipio/TIOC,La Paz,Ingavi,La (Marka) San Andrés de Machaca,La (Marka) San Andrés de Machaca,2166.0,18,2148,1114,1052,55,2111,2391.0,137,2254,1780,611,342,2049,329,2062,44,2347,3114.0,392,2597,125,2010,979,125,930,2059,125,301,2688,125,28,2960,126,0.8310249,99.1689751,51.4312096,48.5687904,2.5392428,97.4607572,5.7298202,94.2701798,74.4458386,25.5541614,14.3036386,85.6963614,13.7599331,86.2400669,1.8402342,98.1597658,13.1147541,86.8852459,67.2465708,32.7534292,31.114085,68.885915,10.0702576,89.9297424,0.9370817,99.0629183
275,Municipio/TIOC,La Paz,Ingavi,La (Marka) San Andrés de Machaca,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Municipio/TIOC,La Paz,Ingavi,La (Marka) San Andrés de Machaca,Rural,2166.0,18,2148,1114,1052,55,2111,2391.0,137,2254,1780,611,342,2049,329,2062,44,2347,3114.0,392,2597,125,2010,979,125,930,2059,125,301,2688,125,28,2960,126,0.8310249,99.1689751,51.4312096,48.5687904,2.5392428,97.4607572,5.7298202,94.2701798,74.4458386,25.5541614,14.3036386,85.6963614,13.7599331,86.2400669,1.8402342,98.1597658,13.1147541,86.8852459,67.2465708,32.7534292,31.114085,68.885915,10.0702576,89.9297424,0.9370817,99.0629183
277,Municipio/TIOC,La Paz,Ingavi,Jesús de Machaka,Jesús de Machaka,4239.0,30,4209,1600,2639,22,4217,4967.0,278,4689,2500,2467,110,4857,318,4649,64,4903,5887.0,772,4855,260,2844,2784,259,893,4734,260,767,4860,260,73,5554,260,0.7077141,99.2922859,37.7447511,62.2552489,0.5189903,99.4810097,5.5969398,94.4030602,50.3321925,49.6678075,2.2146165,97.7853835,6.4022549,93.5977451,1.2885041,98.7114959,13.7195664,86.2804336,50.533049,49.466951,15.8699129,84.1300871,13.6307091,86.3692909,1.2973165,98.7026835
278,Municipio/TIOC,La Paz,Ingavi,Jesús de Machaka,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Municipio/TIOC,La Paz,Ingavi,Jesús de Machaka,Rural,4239.0,30,4209,1600,2639,22,4217,4967.0,278,4689,2500,2467,110,4857,318,4649,64,4903,5887.0,772,4855,260,2844,2784,259,893,4734,260,767,4860,260,73,5554,260,0.7077141,99.2922859,37.7447511,62.2552489,0.5189903,99.4810097,5.5969398,94.4030602,50.3321925,49.6678075,2.2146165,97.7853835,6.4022549,93.5977451,1.2885041,98.7114959,13.7195664,86.2804336,50.533049,49.466951,15.8699129,84.1300871,13.6307091,86.3692909,1.2973165,98.7026835
280,Municipio/TIOC,La Paz,Ingavi,Taraco,Taraco,1762.0,18,1744,556,1206,7,1755,1819.0,251,1568,663,1156,53,1766,172,1647,342,1477,2562.0,540,1916,106,809,1647,106,329,2127,106,317,2139,106,290,2166,106,1.0215664,98.9784336,31.5550511,68.4449489,0.3972758,99.6027242,13.7987905,86.2012095,36.4485981,63.5514019,2.9136888,97.0863112,9.4557449,90.5442551,18.8015393,81.1984607,21.9869707,78.0130293,32.9397394,67.0602606,13.3957655,86.6042345,12.9071661,87.0928339,11.8078176,88.1921824
281,Municipio/TIOC,La Paz,Ingavi,Taraco,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Municipio/TIOC,La Paz,Ingavi,Taraco,Rural,1762.0,18,1744,556,1206,7,1755,1819.0,251,1568,663,1156,53,1766,172,1647,342,1477,2562.0,540,1916,106,809,1647,106,329,2127,106,317,2139,106,290,2166,106,1.0215664,98.9784336,31.5550511,68.4449489,0.3972758,99.6027242,13.7987905,86.2012095,36.4485981,63.5514019,2.9136888,97.0863112,9.4557449,90.5442551,18.8015393,81.1984607,21.9869707,78.0130293,32.9397394,67.0602606,13.3957655,86.6042345,12.9071661,87.0928339,11.8078176,88.1921824
283,Provincia,La Paz,Loayza,,Loayza,11959.0,304,11655,2110,9849,131,11828,15147.0,1539,13608,2949,12198,1348,13799,968,14179,45,15102,21883.0,4205,16874,804,3665,17435,783,3701,17383,799,1668,19412,803,97,20977,809,2.5420186,97.4579814,17.6436157,82.3563843,1.0954093,98.9045907,10.1604278,89.8395722,19.4692018,80.5307982,8.899452,91.100548,6.3907044,93.6092956,0.2970885,99.7029115,19.9487642,80.0512358,17.3696682,82.6303318,17.5535951,82.4464049,7.9127135,92.0872865,0.4602828,99.5397172
284,Provincia,La Paz,Loayza,,Urbana,,,,,,,,,,,,,,,,,,,444.0,88,339,17,98,331,15,21,406,17,25,402,17,17,410,17,,,,,,,,,,,,,,,,,20.6088993,79.3911007,22.8438228,77.1561772,4.9180328,95.0819672,5.8548009,94.1451991,3.9812646,96.0187354
