N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE HOGARES | 2001 | Total hogares,NÚMERO DE HOGARES | 2001 | Vehículo automotor | Tiene,NÚMERO DE HOGARES | 2001 | Vehículo automotor | No tiene,NÚMERO DE HOGARES | 2001 | Bicicleta | Tiene,NÚMERO DE HOGARES | 2001 | Bicicleta | No tiene,NÚMERO DE HOGARES | 2001 | Motocicleta o cuadratrack | Tiene,NÚMERO DE HOGARES | 2001 | Motocicleta o cuadratrack | No tiene,NÚMERO DE HOGARES | 2012 | Total hogares,NÚMERO DE HOGARES | 2012 | Vehículo automotor | Tiene,NÚMERO DE HOGARES | 2012 | Vehículo automotor | No tiene,NÚMERO DE HOGARES | 2012 | Bicicleta | Tiene,NÚMERO DE HOGARES | 2012 | Bicicleta | No tiene,NÚMERO DE HOGARES | 2012 | Motocicleta o cuadratrack | Tiene,NÚMERO DE HOGARES | 2012 | Motocicleta o cuadratrack | No tiene,NÚMERO DE HOGARES | 2012 | Carreta o carretón | Tiene,NÚMERO DE HOGARES | 2012 | Carreta o carretón | No tiene,NÚMERO DE HOGARES | 2012 | Deslizador o balsa o canoa o bote | Tiene,NÚMERO DE HOGARES | 2012 | Deslizador o balsa o canoa o bote | No tiene,NÚMERO DE HOGARES | 2024 | Total hogares,NÚMERO DE HOGARES | 2024 | Vehículo automotor | Tiene,NÚMERO DE HOGARES | 2024 | Vehículo automotor | No tiene,NÚMERO DE HOGARES | 2024 | Vehículo automotor | Sin especificar,NÚMERO DE HOGARES | 2024 | Bicicleta | Tiene,NÚMERO DE HOGARES | 2024 | Bicicleta | No tiene,NÚMERO DE HOGARES | 2024 | Bicicleta | Sin especificar,NÚMERO DE HOGARES | 2024 | Motocicleta o cuadratrack | Tiene,NÚMERO DE HOGARES | 2024 | Motocicleta o cuadratrack | No tiene,NÚMERO DE HOGARES | 2024 | Motocicleta o cuadratrack | Sin especificar,NÚMERO DE HOGARES | 2024 | Carreta o carretón | Tiene,NÚMERO DE HOGARES | 2024 | Carreta o carretón | No tiene,NÚMERO DE HOGARES | 2024 | Carreta o carretón | Sin especificar,NÚMERO DE HOGARES | 2024 | Deslizador o balsa o canoa o bote | Tiene,NÚMERO DE HOGARES | 2024 | Deslizador o balsa o canoa o bote | No tiene,NÚMERO DE HOGARES | 2024 | Deslizador o balsa o canoa o bote | Sin especificar,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Vehículo automotor | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Vehículo automotor | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Bicicleta | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Bicicleta | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Motocicleta o cuadratrack | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2001 | Motocicleta o cuadratrack | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Vehículo automotor | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Vehículo automotor | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Bicicleta | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Bicicleta | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Motocicleta o cuadratrack | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Motocicleta o cuadratrack | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Carreta o carretón | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Carreta o carretón | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Deslizador o balsa o canoa o bote | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2012 | Deslizador o balsa o canoa o bote | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Vehículo automotor | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Vehículo automotor | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Bicicleta | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Bicicleta | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Motocicleta o cuadratrack | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Motocicleta o cuadratrack | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Carreta o carretón | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Carreta o carretón | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Deslizador o balsa o canoa o bote | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | 2024 | Deslizador o balsa o canoa o bote | No tiene
11,Municipio/TIOC,Chuquisaca,Oropeza,Sucre,Urbana,44815.0,8985,35830,14745,30070,1698,43117,63108.0,18429,44679,13486,49622,7024,56084,643,62465,121,62987,84913.0,32052,50773,2088,29104,53733,2076,17694,65137,2082,1627,81196,2090,904,81918,2091,20.0490907,79.9509093,32.9019302,67.0980698,3.78891,96.21109,29.2023198,70.7976802,21.3697154,78.6302846,11.1301261,88.8698739,1.0188883,98.9811117,0.1917348,99.8082652,38.6984606,61.3015394,35.1340585,64.8659415,21.3615675,78.6384325,1.9644302,98.0355698,1.0914974,98.9085026
12,Municipio/TIOC,Chuquisaca,Oropeza,Sucre,Rural,4941.0,84,4857,746,4195,11,4930,6841.0,817,6024,1008,5833,73,6768,100,6741,17,6824,7618.0,1310,5864,444,956,6223,439,576,6597,445,386,6787,445,54,7118,446,1.7000607,98.2999393,15.0981583,84.9018417,0.222627,99.777373,11.9426984,88.0573016,14.7346879,85.2653121,1.0670955,98.9329045,1.4617746,98.5382254,0.2485017,99.7514983,18.2603847,81.7396153,13.3166179,86.6833821,8.0301129,91.9698871,5.381291,94.618709,0.7529281,99.2470719
13,Municipio/TIOC,Chuquisaca,Oropeza,Yotala,Yotala,2204.0,154,2050,608,1596,15,2189,2646.0,567,2079,591,2055,87,2559,43,2603,4,2642,3056.0,962,1959,135,810,2112,134,326,2596,134,139,2783,134,25,2895,136,6.9872958,93.0127042,27.5862069,72.4137931,0.6805808,99.3194192,21.4285714,78.5714286,22.3356009,77.6643991,3.2879819,96.7120181,1.6250945,98.3749055,0.1511716,99.8488284,32.9339267,67.0660733,27.7207392,72.2792608,11.156742,88.843258,4.7570157,95.2429843,0.8561644,99.1438356
14,Municipio/TIOC,Chuquisaca,Oropeza,Yotala,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Municipio/TIOC,Chuquisaca,Oropeza,Yotala,Rural,2204.0,154,2050,608,1596,15,2189,2646.0,567,2079,591,2055,87,2559,43,2603,4,2642,3056.0,962,1959,135,810,2112,134,326,2596,134,139,2783,134,25,2895,136,6.9872958,93.0127042,27.5862069,72.4137931,0.6805808,99.3194192,21.4285714,78.5714286,22.3356009,77.6643991,3.2879819,96.7120181,1.6250945,98.3749055,0.1511716,99.8488284,32.9339267,67.0660733,27.7207392,72.2792608,11.156742,88.843258,4.7570157,95.2429843,0.8561644,99.1438356
16,Municipio/TIOC,Chuquisaca,Oropeza,Poroma,Poroma,4113.0,15,4098,114,3999,8,4105,4660.0,118,4542,217,4443,28,4632,39,4621,3,4657,4654.0,167,4206,281,185,4201,268,344,4035,275,124,4247,283,12,4361,281,0.3646973,99.6353027,2.7716995,97.2283005,0.1945052,99.8054948,2.5321888,97.4678112,4.6566524,95.3433476,0.6008584,99.3991416,0.8369099,99.1630901,0.0643777,99.9356223,3.8188886,96.1811114,4.2179663,95.7820337,7.8556748,92.1443252,2.8368794,97.1631206,0.2744112,99.7255888
17,Municipio/TIOC,Chuquisaca,Oropeza,Poroma,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Municipio/TIOC,Chuquisaca,Oropeza,Poroma,Rural,4113.0,15,4098,114,3999,8,4105,4660.0,118,4542,217,4443,28,4632,39,4621,3,4657,4654.0,167,4206,281,185,4201,268,344,4035,275,124,4247,283,12,4361,281,0.3646973,99.6353027,2.7716995,97.2283005,0.1945052,99.8054948,2.5321888,97.4678112,4.6566524,95.3433476,0.6008584,99.3991416,0.8369099,99.1630901,0.0643777,99.9356223,3.8188886,96.1811114,4.2179663,95.7820337,7.8556748,92.1443252,2.8368794,97.1631206,0.2744112,99.7255888
19,Provincia,Chuquisaca,Azurduy,,Azurduy,5611.0,24,5587,348,5263,6,5605,5956.0,171,5785,532,5424,115,5841,43,5913,7,5949,7048.0,365,6234,449,749,5860,439,1110,5491,447,137,6463,448,28,6572,448,0.4277312,99.5722688,6.202103,93.797897,0.1069328,99.8930672,2.8710544,97.1289456,8.9321692,91.0678308,1.9308261,98.0691739,0.721961,99.278039,0.1175285,99.8824715,5.5311411,94.4688589,11.3330307,88.6669693,16.815634,83.184366,2.0757576,97.9242424,0.4242424,99.5757576
20,Provincia,Chuquisaca,Azurduy,,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Provincia,Chuquisaca,Azurduy,,Rural,5611.0,24,5587,348,5263,6,5605,5956.0,171,5785,532,5424,115,5841,43,5913,7,5949,7048.0,365,6234,449,749,5860,439,1110,5491,447,137,6463,448,28,6572,448,0.4277312,99.5722688,6.202103,93.797897,0.1069328,99.8930672,2.8710544,97.1289456,8.9321692,91.0678308,1.9308261,98.0691739,0.721961,99.278039,0.1175285,99.8824715,5.5311411,94.4688589,11.3330307,88.6669693,16.815634,83.184366,2.0757576,97.9242424,0.4242424,99.5757576
22,Municipio/TIOC,Chuquisaca,Azurduy,Azurduy,Azurduy,2329.0,7,2322,121,2208,3,2326,2538.0,79,2459,194,2344,66,2472,8,2530,2,2536,2450.0,195,2104,151,224,2080,146,459,1841,150,49,2250,151,15,2284,151,0.3005582,99.6994418,5.1953628,94.8046372,0.1288106,99.8711894,3.1126872,96.8873128,7.643814,92.356186,2.6004728,97.3995272,0.3152088,99.6847912,0.0788022,99.9211978,8.4819487,91.5180513,9.7222222,90.2777778,19.9565217,80.0434783,2.1313615,97.8686385,0.6524576,99.3475424
23,Municipio/TIOC,Chuquisaca,Azurduy,Azurduy,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Municipio/TIOC,Chuquisaca,Azurduy,Azurduy,Rural,2329.0,7,2322,121,2208,3,2326,2538.0,79,2459,194,2344,66,2472,8,2530,2,2536,2450.0,195,2104,151,224,2080,146,459,1841,150,49,2250,151,15,2284,151,0.3005582,99.6994418,5.1953628,94.8046372,0.1288106,99.8711894,3.1126872,96.8873128,7.643814,92.356186,2.6004728,97.3995272,0.3152088,99.6847912,0.0788022,99.9211978,8.4819487,91.5180513,9.7222222,90.2777778,19.9565217,80.0434783,2.1313615,97.8686385,0.6524576,99.3475424
25,Municipio/TIOC,Chuquisaca,Azurduy,Tarvita,Tarvita,3282.0,17,3265,227,3055,3,3279,3418.0,92,3326,338,3080,49,3369,35,3383,5,3413,4598.0,170,4130,298,525,3780,293,651,3650,297,88,4213,297,13,4288,297,0.5179768,99.4820232,6.9165143,93.0834857,0.0914077,99.9085923,2.6916325,97.3083675,9.8888239,90.1111761,1.4335869,98.5664131,1.0239906,98.9760094,0.1462844,99.8537156,3.9534884,96.0465116,12.195122,87.804878,15.1360149,84.8639851,2.0460358,97.9539642,0.3022553,99.6977447
26,Municipio/TIOC,Chuquisaca,Azurduy,Tarvita,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Municipio/TIOC,Chuquisaca,Azurduy,Tarvita,Rural,3282.0,17,3265,227,3055,3,3279,3418.0,92,3326,338,3080,49,3369,35,3383,5,3413,4598.0,170,4130,298,525,3780,293,651,3650,297,88,4213,297,13,4288,297,0.5179768,99.4820232,6.9165143,93.0834857,0.0914077,99.9085923,2.6916325,97.3083675,9.8888239,90.1111761,1.4335869,98.5664131,1.0239906,98.9760094,0.1462844,99.8537156,3.9534884,96.0465116,12.195122,87.804878,15.1360149,84.8639851,2.0460358,97.9539642,0.3022553,99.6977447
28,Provincia,Chuquisaca,Zudáñez,,Zudáñez,7130.0,103,7027,1719,5411,70,7060,9116.0,466,8650,2141,6975,575,8541,105,9011,17,9099,11636.0,949,10063,624,2407,8611,618,3102,7913,621,455,10555,626,65,10946,625,1.4446003,98.5553997,24.1093969,75.8906031,0.9817672,99.0182328,5.1118912,94.8881088,23.4861781,76.5138219,6.307591,93.692409,1.151821,98.848179,0.1864853,99.8135147,8.6178714,91.3821286,21.8460701,78.1539299,28.1615978,71.8384022,4.1326067,95.8673933,0.5903188,99.4096812
29,Provincia,Chuquisaca,Zudáñez,,Urbana,,,,,,,,1385.0,151,1234,429,956,142,1243,16,1369,3,1382,2686.0,424,2132,130,871,1685,130,1079,1476,131,162,2394,130,27,2529,130,,,,,,,10.9025271,89.0974729,30.9747292,69.0252708,10.2527076,89.7472924,1.1552347,98.8447653,0.2166065,99.7833935,16.5884194,83.4115806,34.0766823,65.9233177,42.2309198,57.7690802,6.3380282,93.6619718,1.056338,98.943662
30,Provincia,Chuquisaca,Zudáñez,,Rural,7130.0,103,7027,1719,5411,70,7060,7731.0,315,7416,1712,6019,433,7298,89,7642,14,7717,8950.0,525,7931,494,1536,6926,488,2023,6437,490,293,8161,496,38,8417,495,1.4446003,98.5553997,24.1093969,75.8906031,0.9817672,99.0182328,4.0745052,95.9254948,22.1446126,77.8553874,5.6008278,94.3991722,1.1512094,98.8487906,0.1810891,99.8189109,6.2086093,93.7913907,18.1517372,81.8482628,23.9125296,76.0874704,3.465815,96.534185,0.4494382,99.5505618
31,Municipio/TIOC,Chuquisaca,Zudáñez,Zudáñez,Zudáñez,1698.0,28,1670,561,1137,30,1668,2586.0,183,2403,837,1749,218,2368,38,2548,4,2582,3187.0,314,2700,173,764,2253,170,1072,1944,171,118,2896,173,21,2992,174,1.6489988,98.3510012,33.0388693,66.9611307,1.7667845,98.2332155,7.0765661,92.9234339,32.3665893,67.6334107,8.4300077,91.5699923,1.4694509,98.5305491,0.154679,99.845321,10.4180491,89.5819509,25.3231687,74.6768313,35.5437666,64.4562334,3.915063,96.084937,0.6969798,99.3030202
32,Municipio/TIOC,Chuquisaca,Zudáñez,Zudáñez,Urbana,,,,,,,,825.0,109,716,289,536,114,711,7,818,0,825,1220.0,201,967,52,369,799,52,473,694,53,73,1095,52,16,1152,52,,,,,,,13.2121212,86.7878788,35.030303,64.969697,13.8181818,86.1818182,0.8484848,99.1515152,0,100,17.2089041,82.7910959,31.5924658,68.4075342,40.5312768,59.4687232,6.25,93.75,1.369863,98.630137
33,Municipio/TIOC,Chuquisaca,Zudáñez,Zudáñez,Rural,1698.0,28,1670,561,1137,30,1668,1761.0,74,1687,548,1213,104,1657,31,1730,4,1757,1967.0,113,1733,121,395,1454,118,599,1250,118,45,1801,121,5,1840,122,1.6489988,98.3510012,33.0388693,66.9611307,1.7667845,98.2332155,4.2021579,95.7978421,31.1186826,68.8813174,5.9057354,94.0942646,1.7603634,98.2396366,0.2271437,99.7728563,6.1213434,93.8786566,21.3628989,78.6371011,32.3958897,67.6041103,2.4377031,97.5622969,0.2710027,99.7289973
34,Municipio/TIOC,Chuquisaca,Zudáñez,Presto,Presto,1958.0,6,1952,136,1822,8,1950,2717.0,76,2641,338,2379,52,2665,30,2687,6,2711,3271.0,145,2900,226,488,2557,226,550,2495,226,124,2918,229,17,3027,227,0.3064351,99.6935649,6.9458631,93.0541369,0.4085802,99.5914198,2.7972028,97.2027972,12.4401914,87.5598086,1.9138756,98.0861244,1.104159,98.895841,0.2208318,99.7791682,4.7619048,95.2380952,16.0262726,83.9737274,18.0623974,81.9376026,4.0762656,95.9237344,0.5584757,99.4415243
