N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE HOGARES | Total hogares,NÚMERO DE HOGARES | Refrigerador o congelador | Tiene,NÚMERO DE HOGARES | Refrigerador o congelador | No tiene,NÚMERO DE HOGARES | Refrigerador o congelador | Sin especificar,NÚMERO DE HOGARES | Microondas | Tiene,NÚMERO DE HOGARES | Microondas | No tiene,NÚMERO DE HOGARES | Microondas | Sin especificar,NÚMERO DE HOGARES | Calefón o termotanque | Tiene,NÚMERO DE HOGARES | Calefón o termotanque | No tiene,NÚMERO DE HOGARES | Calefón o termotanque | Sin especificar,NÚMERO DE HOGARES | Aire Acondicionado | Tiene,NÚMERO DE HOGARES | Aire Acondicionado | No tiene,NÚMERO DE HOGARES | Aire Acondicionado | Sin especificar,NÚMERO DE HOGARES | Lavadora de ropa | Tiene,NÚMERO DE HOGARES | Lavadora de ropa | No tiene,NÚMERO DE HOGARES | Lavadora de ropa | Sin especificar,DISTRIBUCIÓN PORCENTUAL (1) | Refrigerador o congelador | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | Refrigerador o congelador | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | Microondas | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | Microondas | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | Calefón o termotanque | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | Calefón o termotanque | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | Aire Acondicionado | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | Aire Acondicionado | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | Lavadora de ropa | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | Lavadora de ropa | No tiene
1226,Municipio/TIOC,Santa Cruz,Germán Busch,Puerto Suárez,Urbana,3361.0,2197.0,956.0,208.0,436.0,2718.0,207.0,84.0,3068.0,209.0,796.0,2357.0,208.0,1120.0,2033.0,208.0,69.6796702,30.3203298,13.8237159,86.1762841,2.6649746,97.3350254,25.2457977,74.7542023,35.5217253,64.4782747
1227,Municipio/TIOC,Santa Cruz,Germán Busch,Puerto Suárez,Rural,1498.0,664.0,702.0,132.0,89.0,1277.0,132.0,47.0,1319.0,132.0,133.0,1233.0,132.0,272.0,1094.0,132.0,48.6090776,51.3909224,6.5153734,93.4846266,3.4407028,96.5592972,9.7364568,90.2635432,19.9121523,80.0878477
1228,Municipio/TIOC,Santa Cruz,Germán Busch,Puerto Quijarro,Puerto Quijarro,4954.0,3290.0,1270.0,394.0,539.0,4021.0,394.0,132.0,4428.0,394.0,1371.0,3189.0,394.0,2134.0,2426.0,394.0,72.1491228,27.8508772,11.8201754,88.1798246,2.8947368,97.1052632,30.0657895,69.9342105,46.7982456,53.2017544
1229,Municipio/TIOC,Santa Cruz,Germán Busch,Puerto Quijarro,Urbana,4821.0,3251.0,1216.0,354.0,536.0,3931.0,354.0,131.0,4336.0,354.0,1363.0,3104.0,354.0,2112.0,2355.0,354.0,72.7781509,27.2218491,11.9991045,88.0008955,2.932617,97.067383,30.5126483,69.4873517,47.2800537,52.7199463
1230,Municipio/TIOC,Santa Cruz,Germán Busch,Puerto Quijarro,Rural,133.0,39.0,54.0,40.0,3.0,90.0,40.0,1.0,92.0,40.0,8.0,85.0,40.0,22.0,71.0,40.0,41.9354839,58.0645161,3.2258065,96.7741935,1.0752688,98.9247312,8.6021505,91.3978495,23.655914,76.344086
1231,Municipio/TIOC,Santa Cruz,Germán Busch,El Carmen Rivero Tórrez,El Carmen Rivero Tórrez,2433.0,624.0,1653.0,156.0,76.0,2201.0,156.0,50.0,2227.0,156.0,107.0,2170.0,156.0,243.0,2034.0,156.0,27.4044796,72.5955204,3.3377251,96.6622749,2.1958718,97.8041282,4.6991656,95.3008344,10.6719368,89.3280632
1232,Municipio/TIOC,Santa Cruz,Germán Busch,El Carmen Rivero Tórrez,Urbana,1002.0,551.0,381.0,70.0,67.0,865.0,70.0,23.0,909.0,70.0,98.0,834.0,70.0,215.0,717.0,70.0,59.1201717,40.8798283,7.1888412,92.8111588,2.4678112,97.5321888,10.5150215,89.4849785,23.0686695,76.9313305
1233,Municipio/TIOC,Santa Cruz,Germán Busch,El Carmen Rivero Tórrez,Rural,1431.0,73.0,1272.0,86.0,9.0,1336.0,86.0,27.0,1318.0,86.0,9.0,1336.0,86.0,28.0,1317.0,86.0,5.4275093,94.5724907,0.669145,99.330855,2.0074349,97.9925651,0.669145,99.330855,2.0817844,97.9182156
1234,Provincia,Santa Cruz,Guarayos,,Guarayos,18897.0,5907.0,11982.0,1008.0,813.0,17076.0,1008.0,321.0,17569.0,1007.0,893.0,16995.0,1009.0,1584.0,16306.0,1007.0,33.0202918,66.9797082,4.5446923,95.4553077,1.7942985,98.2057015,4.9921735,95.0078265,8.8541084,91.1458916
1235,Provincia,Santa Cruz,Guarayos,,Urbana,8236.0,3920.0,3803.0,513.0,592.0,7134.0,510.0,133.0,7593.0,510.0,610.0,7116.0,510.0,1081.0,6645.0,510.0,50.7574777,49.2425223,7.6624385,92.3375615,1.72146,98.27854,7.8954181,92.1045819,13.9917163,86.0082837
1236,Provincia,Santa Cruz,Guarayos,,Rural,10661.0,1987.0,8179.0,495.0,221.0,9942.0,498.0,188.0,9976.0,497.0,283.0,9879.0,499.0,503.0,9661.0,497.0,19.545544,80.454456,2.1745548,97.8254452,1.8496655,98.1503345,2.7848849,97.2151151,4.948839,95.051161
1237,Municipio/TIOC,Santa Cruz,Guarayos,Ascención de Guarayos,Ascención de Guarayos,10803.0,3736.0,6458.0,609.0,585.0,9610.0,608.0,182.0,10013.0,608.0,661.0,9533.0,609.0,1142.0,9053.0,608.0,36.6490092,63.3509908,5.7381069,94.2618931,1.7851888,98.2148112,6.4842064,93.5157936,11.2015694,88.7984306
1238,Municipio/TIOC,Santa Cruz,Guarayos,Ascención de Guarayos,Urbana,6193.0,2994.0,2841.0,358.0,476.0,5361.0,356.0,105.0,5732.0,356.0,532.0,5305.0,356.0,900.0,4937.0,356.0,51.311054,48.688946,8.1548741,91.8451259,1.7988693,98.2011307,9.114271,90.885729,15.4188796,84.5811204
1239,Municipio/TIOC,Santa Cruz,Guarayos,Ascención de Guarayos,Rural,4610.0,742.0,3617.0,251.0,109.0,4249.0,252.0,77.0,4281.0,252.0,129.0,4228.0,253.0,242.0,4116.0,252.0,17.0222528,82.9777472,2.5011473,97.4988527,1.7668655,98.2331345,2.9607528,97.0392472,5.553006,94.446994
1240,Municipio/TIOC,Santa Cruz,Guarayos,Urubichá,Urubichá,1640.0,499.0,1003.0,138.0,48.0,1455.0,137.0,21.0,1482.0,137.0,40.0,1462.0,138.0,75.0,1428.0,137.0,33.2223702,66.7776298,3.1936128,96.8063872,1.3972056,98.6027944,2.6631158,97.3368842,4.99002,95.00998
