N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE HOGARES | Total hogares,NÚMERO DE HOGARES | Refrigerador o congelador | Tiene,NÚMERO DE HOGARES | Refrigerador o congelador | No tiene,NÚMERO DE HOGARES | Refrigerador o congelador | Sin especificar,NÚMERO DE HOGARES | Microondas | Tiene,NÚMERO DE HOGARES | Microondas | No tiene,NÚMERO DE HOGARES | Microondas | Sin especificar,NÚMERO DE HOGARES | Calefón o termotanque | Tiene,NÚMERO DE HOGARES | Calefón o termotanque | No tiene,NÚMERO DE HOGARES | Calefón o termotanque | Sin especificar,NÚMERO DE HOGARES | Aire Acondicionado | Tiene,NÚMERO DE HOGARES | Aire Acondicionado | No tiene,NÚMERO DE HOGARES | Aire Acondicionado | Sin especificar,NÚMERO DE HOGARES | Lavadora de ropa | Tiene,NÚMERO DE HOGARES | Lavadora de ropa | No tiene,NÚMERO DE HOGARES | Lavadora de ropa | Sin especificar,DISTRIBUCIÓN PORCENTUAL (1) | Refrigerador o congelador | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | Refrigerador o congelador | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | Microondas | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | Microondas | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | Calefón o termotanque | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | Calefón o termotanque | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | Aire Acondicionado | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | Aire Acondicionado | No tiene,DISTRIBUCIÓN PORCENTUAL (1) | Lavadora de ropa | Tiene,DISTRIBUCIÓN PORCENTUAL (1) | Lavadora de ropa | No tiene
1,País,,,,Bolivia,3623711.0,1925507.0,1569908.0,128296.0,682364.0,2813094.0,128253.0,273418.0,3221975.0,128318.0,228075.0,3267313.0,128323.0,930639.0,2564741.0,128331.0,55.0866492,44.9133508,19.5214475,80.4785525,7.8222392,92.1777608,6.5250267,93.4749733,26.6248305,73.3751695
2,País,,,,Urbana,2386919.0,1656792.0,656551.0,73576.0,650140.0,1663203.0,73576.0,254932.0,2058406.0,73581.0,216010.0,2097333.0,73576.0,877487.0,1435861.0,73571.0,71.6189514,28.3810486,28.1039171,71.8960829,11.020093,88.979907,9.3375691,90.6624309,37.9314742,62.0685258
3,País,,,,Rural,1236792.0,268715.0,913357.0,54720.0,32224.0,1149891.0,54677.0,18486.0,1163569.0,54737.0,12065.0,1169980.0,54747.0,53152.0,1128880.0,54760.0,22.7325408,77.2674592,2.7259615,97.2740385,1.5638866,98.4361134,1.0206887,98.9793113,4.4966634,95.5033366
4,Departamento,Chuquisaca,,,Chuquisaca,184969.0,91647.0,86524.0,6798.0,32912.0,145272.0,6785.0,13472.0,164700.0,6797.0,1687.0,176485.0,6797.0,39711.0,138459.0,6799.0,51.4376638,48.5623362,18.4707942,81.5292058,7.561233,92.438767,0.9468379,99.0531621,22.288264,77.711736
5,Departamento,Chuquisaca,,,Urbana,102961.0,74267.0,25913.0,2781.0,31016.0,69164.0,2781.0,12663.0,87517.0,2781.0,1352.0,98827.0,2782.0,37000.0,63179.0,2782.0,74.1335596,25.8664404,30.9602715,69.0397285,12.6402476,87.3597524,1.3495842,98.6504158,36.9338883,63.0661117
6,Departamento,Chuquisaca,,,Rural,82008.0,17380.0,60611.0,4017.0,1896.0,76108.0,4004.0,809.0,77183.0,4016.0,335.0,77658.0,4015.0,2711.0,75280.0,4017.0,22.2846226,77.7153774,2.4306446,97.5693554,1.0372859,98.9627141,0.4295257,99.5704743,3.4760421,96.5239579
7,Provincia,Chuquisaca,Oropeza,,Oropeza,100241.0,67400.0,29882.0,2959.0,29253.0,68031.0,2957.0,12276.0,85007.0,2958.0,1155.0,96125.0,2961.0,33824.0,63457.0,2960.0,69.2831151,30.7168849,30.0696929,69.9303071,12.6188543,87.3811457,1.1872944,98.8127056,34.7693794,65.2306206
8,Provincia,Chuquisaca,Oropeza,,Urbana,84913.0,63704.0,19117.0,2092.0,28704.0,54117.0,2092.0,12071.0,70750.0,2092.0,1091.0,81729.0,2093.0,33303.0,49517.0,2093.0,76.91769,23.08231,34.6578766,65.3421234,14.5748059,85.4251941,1.3173147,98.6826853,40.2113016,59.7886984
9,Provincia,Chuquisaca,Oropeza,,Rural,15328.0,3696.0,10765.0,867.0,549.0,13914.0,865.0,205.0,14257.0,866.0,64.0,14396.0,868.0,521.0,13940.0,867.0,25.5583985,74.4416015,3.795893,96.204107,1.417508,98.582492,0.4426003,99.5573997,3.6027937,96.3972063
10,Municipio/TIOC,Chuquisaca,Oropeza,Sucre,Sucre,92531.0,65544.0,24448.0,2539.0,28900.0,61093.0,2538.0,12138.0,77854.0,2539.0,1127.0,88863.0,2541.0,33461.0,56530.0,2540.0,72.8331407,27.1668593,32.1136088,67.8863912,13.4878656,86.5121344,1.2523614,98.7476386,37.1826071,62.8173929
11,Municipio/TIOC,Chuquisaca,Oropeza,Sucre,Urbana,84913.0,63704.0,19117.0,2092.0,28704.0,54117.0,2092.0,12071.0,70750.0,2092.0,1091.0,81729.0,2093.0,33303.0,49517.0,2093.0,76.91769,23.08231,34.6578766,65.3421234,14.5748059,85.4251941,1.3173147,98.6826853,40.2113016,59.7886984
12,Municipio/TIOC,Chuquisaca,Oropeza,Sucre,Rural,7618.0,1840.0,5331.0,447.0,196.0,6976.0,446.0,67.0,7104.0,447.0,36.0,7134.0,448.0,158.0,7013.0,447.0,25.6589039,74.3410961,2.73285,97.26715,0.9343188,99.0656812,0.5020921,99.4979079,2.2033189,97.7966811
13,Municipio/TIOC,Chuquisaca,Oropeza,Yotala,Yotala,3056.0,1580.0,1339.0,137.0,332.0,2588.0,136.0,124.0,2796.0,136.0,19.0,2901.0,136.0,332.0,2588.0,136.0,54.1281261,45.8718739,11.369863,88.630137,4.2465753,95.7534247,0.6506849,99.3493151,11.369863,88.630137
14,Municipio/TIOC,Chuquisaca,Oropeza,Yotala,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Municipio/TIOC,Chuquisaca,Oropeza,Yotala,Rural,3056.0,1580.0,1339.0,137.0,332.0,2588.0,136.0,124.0,2796.0,136.0,19.0,2901.0,136.0,332.0,2588.0,136.0,54.1281261,45.8718739,11.369863,88.630137,4.2465753,95.7534247,0.6506849,99.3493151,11.369863,88.630137
16,Municipio/TIOC,Chuquisaca,Oropeza,Poroma,Poroma,4654.0,276.0,4095.0,283.0,21.0,4350.0,283.0,14.0,4357.0,283.0,9.0,4361.0,284.0,31.0,4339.0,284.0,6.3143445,93.6856555,0.4804393,99.5195607,0.3202928,99.6797072,0.2059497,99.7940503,0.7093822,99.2906178
17,Municipio/TIOC,Chuquisaca,Oropeza,Poroma,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Municipio/TIOC,Chuquisaca,Oropeza,Poroma,Rural,4654.0,276.0,4095.0,283.0,21.0,4350.0,283.0,14.0,4357.0,283.0,9.0,4361.0,284.0,31.0,4339.0,284.0,6.3143445,93.6856555,0.4804393,99.5195607,0.3202928,99.6797072,0.2059497,99.7940503,0.7093822,99.2906178
19,Provincia,Chuquisaca,Azurduy,,Azurduy,7048.0,960.0,5635.0,453.0,125.0,6473.0,450.0,40.0,6557.0,451.0,28.0,6569.0,451.0,200.0,6394.0,454.0,14.5564822,85.4435178,1.8945135,98.1054865,0.6063362,99.3936638,0.4244353,99.5755647,3.0330604,96.9669396
20,Provincia,Chuquisaca,Azurduy,,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Provincia,Chuquisaca,Azurduy,,Rural,7048.0,960.0,5635.0,453.0,125.0,6473.0,450.0,40.0,6557.0,451.0,28.0,6569.0,451.0,200.0,6394.0,454.0,14.5564822,85.4435178,1.8945135,98.1054865,0.6063362,99.3936638,0.4244353,99.5755647,3.0330604,96.9669396
22,Municipio/TIOC,Chuquisaca,Azurduy,Azurduy,Azurduy,2450.0,377.0,1922.0,151.0,80.0,2218.0,152.0,20.0,2277.0,153.0,8.0,2290.0,152.0,100.0,2198.0,152.0,16.3984341,83.6015659,3.4812881,96.5187119,0.8707009,99.1292991,0.3481288,99.6518712,4.3516101,95.6483899
23,Municipio/TIOC,Chuquisaca,Azurduy,Azurduy,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Municipio/TIOC,Chuquisaca,Azurduy,Azurduy,Rural,2450.0,377.0,1922.0,151.0,80.0,2218.0,152.0,20.0,2277.0,153.0,8.0,2290.0,152.0,100.0,2198.0,152.0,16.3984341,83.6015659,3.4812881,96.5187119,0.8707009,99.1292991,0.3481288,99.6518712,4.3516101,95.6483899
25,Municipio/TIOC,Chuquisaca,Azurduy,Tarvita,Tarvita,4598.0,583.0,3713.0,302.0,45.0,4255.0,298.0,20.0,4280.0,298.0,20.0,4279.0,299.0,100.0,4196.0,302.0,13.5707635,86.4292365,1.0465116,98.9534884,0.4651163,99.5348837,0.4652245,99.5347755,2.3277467,97.6722533
26,Municipio/TIOC,Chuquisaca,Azurduy,Tarvita,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Municipio/TIOC,Chuquisaca,Azurduy,Tarvita,Rural,4598.0,583.0,3713.0,302.0,45.0,4255.0,298.0,20.0,4280.0,298.0,20.0,4279.0,299.0,100.0,4196.0,302.0,13.5707635,86.4292365,1.0465116,98.9534884,0.4651163,99.5348837,0.4652245,99.5347755,2.3277467,97.6722533
28,Provincia,Chuquisaca,Zudáñez,,Zudáñez,11636.0,2587.0,8421.0,628.0,354.0,10657.0,625.0,85.0,10923.0,628.0,50.0,10959.0,627.0,402.0,10609.0,625.0,23.5010901,76.4989099,3.2149669,96.7850331,0.7721657,99.2278343,0.4541739,99.5458261,3.6508946,96.3491054
29,Provincia,Chuquisaca,Zudáñez,,Urbana,2686.0,1378.0,1178.0,130.0,246.0,2310.0,130.0,41.0,2515.0,130.0,17.0,2539.0,130.0,281.0,2275.0,130.0,53.9123631,46.0876369,9.6244131,90.3755869,1.6040689,98.3959311,0.6651017,99.3348983,10.9937402,89.0062598
30,Provincia,Chuquisaca,Zudáñez,,Rural,8950.0,1209.0,7243.0,498.0,108.0,8347.0,495.0,44.0,8408.0,498.0,33.0,8420.0,497.0,121.0,8334.0,495.0,14.3043067,85.6956933,1.2773507,98.7226493,0.5205868,99.4794132,0.3903939,99.6096061,1.4311059,98.5688941
31,Municipio/TIOC,Chuquisaca,Zudáñez,Zudáñez,Zudáñez,3187.0,859.0,2152.0,176.0,163.0,2850.0,174.0,26.0,2986.0,175.0,18.0,2994.0,175.0,174.0,2838.0,175.0,28.528728,71.471272,5.4098905,94.5901095,0.8632138,99.1367862,0.5976096,99.4023904,5.7768924,94.2231076
32,Municipio/TIOC,Chuquisaca,Zudáñez,Zudáñez,Urbana,1220.0,675.0,493.0,52.0,138.0,1030.0,52.0,21.0,1147.0,52.0,10.0,1158.0,52.0,161.0,1007.0,52.0,57.7910959,42.2089041,11.8150685,88.1849315,1.7979452,98.2020548,0.8561644,99.1438356,13.7842466,86.2157534
33,Municipio/TIOC,Chuquisaca,Zudáñez,Zudáñez,Rural,1967.0,184.0,1659.0,124.0,25.0,1820.0,122.0,5.0,1839.0,123.0,8.0,1836.0,123.0,13.0,1831.0,123.0,9.9837222,90.0162778,1.3550136,98.6449864,0.2711497,99.7288503,0.4338395,99.5661605,0.7049892,99.2950108
34,Municipio/TIOC,Chuquisaca,Zudáñez,Presto,Presto,3271.0,505.0,2539.0,227.0,73.0,2971.0,227.0,12.0,3032.0,227.0,10.0,3034.0,227.0,74.0,2970.0,227.0,16.5900131,83.4099869,2.3981603,97.6018397,0.3942181,99.6057819,0.3285151,99.6714849,2.4310118,97.5689882
35,Municipio/TIOC,Chuquisaca,Zudáñez,Presto,Urbana,609.0,263.0,302.0,44.0,54.0,511.0,44.0,3.0,562.0,44.0,3.0,562.0,44.0,49.0,516.0,44.0,46.5486726,53.4513274,9.5575221,90.4424779,0.5309735,99.4690265,0.5309735,99.4690265,8.6725664,91.3274336
36,Municipio/TIOC,Chuquisaca,Zudáñez,Presto,Rural,2662.0,242.0,2237.0,183.0,19.0,2460.0,183.0,9.0,2470.0,183.0,7.0,2472.0,183.0,25.0,2454.0,183.0,9.7620008,90.2379992,0.7664381,99.2335619,0.3630496,99.6369504,0.2823719,99.7176281,1.0084712,98.9915288
37,Municipio/TIOC,Chuquisaca,Zudáñez,Mojocoya,Mojocoya,2543.0,748.0,1684.0,111.0,73.0,2359.0,111.0,24.0,2408.0,111.0,11.0,2421.0,111.0,99.0,2333.0,111.0,30.7565789,69.2434211,3.0016447,96.9983553,0.9868421,99.0131579,0.4523026,99.5476974,4.0707237,95.9292763
38,Municipio/TIOC,Chuquisaca,Zudáñez,Mojocoya,Urbana,857.0,440.0,383.0,34.0,54.0,769.0,34.0,17.0,806.0,34.0,4.0,819.0,34.0,71.0,752.0,34.0,53.4629405,46.5370595,6.5613609,93.4386391,2.0656136,97.9343864,0.4860267,99.5139733,8.6269745,91.3730255
39,Municipio/TIOC,Chuquisaca,Zudáñez,Mojocoya,Rural,1686.0,308.0,1301.0,77.0,19.0,1590.0,77.0,7.0,1602.0,77.0,7.0,1602.0,77.0,28.0,1581.0,77.0,19.1423244,80.8576756,1.1808577,98.8191423,0.4350528,99.5649472,0.4350528,99.5649472,1.7402113,98.2597887
40,Municipio/TIOC,Chuquisaca,Zudáñez,Icla,Icla,2635.0,475.0,2046.0,114.0,45.0,2477.0,113.0,23.0,2497.0,115.0,11.0,2510.0,114.0,55.0,2468.0,112.0,18.8417295,81.1582705,1.7842982,98.2157018,0.9126984,99.0873016,0.4363348,99.5636652,2.1799445,97.8200555
41,Municipio/TIOC,Chuquisaca,Zudáñez,Icla,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Municipio/TIOC,Chuquisaca,Zudáñez,Icla,Rural,2635.0,475.0,2046.0,114.0,45.0,2477.0,113.0,23.0,2497.0,115.0,11.0,2510.0,114.0,55.0,2468.0,112.0,18.8417295,81.1582705,1.7842982,98.2157018,0.9126984,99.0873016,0.4363348,99.5636652,2.1799445,97.8200555
43,Provincia,Chuquisaca,Tomina,,Tomina,10144.0,3487.0,6270.0,387.0,507.0,9254.0,383.0,115.0,9644.0,385.0,33.0,9724.0,387.0,664.0,9094.0,386.0,35.7384442,64.2615558,5.1941399,94.8058601,1.1783994,98.8216006,0.3382187,99.6617813,6.8046731,93.1953269
44,Provincia,Chuquisaca,Tomina,,Urbana,2053.0,1286.0,683.0,84.0,291.0,1678.0,84.0,52.0,1917.0,84.0,15.0,1954.0,84.0,347.0,1622.0,84.0,65.3123413,34.6876587,14.7790757,85.2209243,2.6409345,97.3590655,0.761808,99.238192,17.623159,82.376841
45,Provincia,Chuquisaca,Tomina,,Rural,8091.0,2201.0,5587.0,303.0,216.0,7576.0,299.0,63.0,7727.0,301.0,18.0,7770.0,303.0,317.0,7472.0,302.0,28.2614278,71.7385722,2.7720739,97.2279261,0.8087291,99.1912709,0.2311248,99.7688752,4.0698421,95.9301579
46,Municipio/TIOC,Chuquisaca,Tomina,Padilla,Padilla,3186.0,1273.0,1798.0,115.0,236.0,2835.0,115.0,47.0,3023.0,116.0,14.0,3057.0,115.0,291.0,2780.0,115.0,41.4522957,58.5477043,7.6847932,92.3152068,1.5309446,98.4690554,0.4558776,99.5441224,9.4757408,90.5242592
47,Municipio/TIOC,Chuquisaca,Tomina,Padilla,Urbana,1489.0,922.0,506.0,61.0,224.0,1204.0,61.0,39.0,1389.0,61.0,14.0,1414.0,61.0,257.0,1171.0,61.0,64.5658263,35.4341737,15.6862745,84.3137255,2.7310924,97.2689076,0.9803922,99.0196078,17.9971989,82.0028011
48,Municipio/TIOC,Chuquisaca,Tomina,Padilla,Rural,1697.0,351.0,1292.0,54.0,12.0,1631.0,54.0,8.0,1634.0,55.0,0.0,1643.0,54.0,34.0,1609.0,54.0,21.3633597,78.6366403,0.7303713,99.2696287,0.4872107,99.5127893,0.0,100.0,2.0693853,97.9306147
49,Municipio/TIOC,Chuquisaca,Tomina,Tomina,Tomina,2243.0,889.0,1247.0,107.0,99.0,2039.0,105.0,41.0,2097.0,105.0,4.0,2132.0,107.0,131.0,2007.0,105.0,41.6198502,58.3801498,4.6304958,95.3695042,1.9176801,98.0823199,0.1872659,99.8127341,6.1272217,93.8727783
50,Municipio/TIOC,Chuquisaca,Tomina,Tomina,Urbana,564.0,364.0,177.0,23.0,67.0,474.0,23.0,13.0,528.0,23.0,1.0,540.0,23.0,90.0,451.0,23.0,67.2828096,32.7171904,12.3844732,87.6155268,2.4029575,97.5970425,0.1848429,99.8151571,16.6358595,83.3641405
51,Municipio/TIOC,Chuquisaca,Tomina,Tomina,Rural,1679.0,525.0,1070.0,84.0,32.0,1565.0,82.0,28.0,1569.0,82.0,3.0,1592.0,84.0,41.0,1556.0,82.0,32.9153605,67.0846395,2.003757,97.996243,1.7532874,98.2467126,0.1880878,99.8119122,2.5673137,97.4326863
52,Municipio/TIOC,Chuquisaca,Tomina,Sopachuy,Sopachuy,2087.0,499.0,1503.0,85.0,71.0,1933.0,83.0,8.0,1995.0,84.0,3.0,2000.0,84.0,107.0,1896.0,84.0,24.9250749,75.0749251,3.5429142,96.4570858,0.3994009,99.6005991,0.1497753,99.8502247,5.341987,94.658013
53,Municipio/TIOC,Chuquisaca,Tomina,Sopachuy,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Municipio/TIOC,Chuquisaca,Tomina,Sopachuy,Rural,2087.0,499.0,1503.0,85.0,71.0,1933.0,83.0,8.0,1995.0,84.0,3.0,2000.0,84.0,107.0,1896.0,84.0,24.9250749,75.0749251,3.5429142,96.4570858,0.3994009,99.6005991,0.1497753,99.8502247,5.341987,94.658013
55,Municipio/TIOC,Chuquisaca,Tomina,Alcalá,Alcalá,1189.0,415.0,730.0,44.0,66.0,1079.0,44.0,7.0,1138.0,44.0,6.0,1139.0,44.0,86.0,1059.0,44.0,36.2445415,63.7554585,5.7641921,94.2358079,0.6113537,99.3886463,0.5240175,99.4759825,7.510917,92.489083
56,Municipio/TIOC,Chuquisaca,Tomina,Alcalá,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Municipio/TIOC,Chuquisaca,Tomina,Alcalá,Rural,1189.0,415.0,730.0,44.0,66.0,1079.0,44.0,7.0,1138.0,44.0,6.0,1139.0,44.0,86.0,1059.0,44.0,36.2445415,63.7554585,5.7641921,94.2358079,0.6113537,99.3886463,0.5240175,99.4759825,7.510917,92.489083
58,Municipio/TIOC,Chuquisaca,Tomina,El Villar,El Villar,1439.0,411.0,992.0,36.0,35.0,1368.0,36.0,12.0,1391.0,36.0,6.0,1396.0,37.0,49.0,1352.0,38.0,29.2943692,70.7056308,2.4946543,97.5053457,0.85531,99.14469,0.4279601,99.5720399,3.4975018,96.5024982
59,Municipio/TIOC,Chuquisaca,Tomina,El Villar,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Municipio/TIOC,Chuquisaca,Tomina,El Villar,Rural,1439.0,411.0,992.0,36.0,35.0,1368.0,36.0,12.0,1391.0,36.0,6.0,1396.0,37.0,49.0,1352.0,38.0,29.2943692,70.7056308,2.4946543,97.5053457,0.85531,99.14469,0.4279601,99.5720399,3.4975018,96.5024982
61,Provincia,Chuquisaca,Hernando Siles,,Hernando Siles,10043.0,5091.0,4544.0,408.0,893.0,8743.0,407.0,273.0,9362.0,408.0,151.0,9486.0,406.0,1619.0,8015.0,409.0,52.8386092,47.1613908,9.2673308,90.7326692,2.8334198,97.1665802,1.5668777,98.4331223,16.8050654,83.1949346
62,Provincia,Chuquisaca,Hernando Siles,,Urbana,4068.0,2916.0,995.0,157.0,685.0,3226.0,157.0,210.0,3701.0,157.0,127.0,3784.0,157.0,1251.0,2660.0,157.0,74.5589363,25.4410637,17.5147021,82.4852979,5.3694707,94.6305293,3.2472513,96.7527487,31.9867042,68.0132958
63,Provincia,Chuquisaca,Hernando Siles,,Rural,5975.0,2175.0,3549.0,251.0,208.0,5517.0,250.0,63.0,5661.0,251.0,24.0,5702.0,249.0,368.0,5355.0,252.0,37.9979036,62.0020964,3.6331878,96.3668122,1.1006289,98.8993711,0.4191408,99.5808592,6.430194,93.569806
64,Municipio/TIOC,Chuquisaca,Hernando Siles,Monteagudo,Monteagudo,7742.0,4163.0,3271.0,308.0,777.0,6657.0,308.0,244.0,7189.0,309.0,138.0,7296.0,308.0,1412.0,6021.0,309.0,55.9994619,44.0005381,10.4519774,89.5480226,3.2826584,96.7173416,1.8563358,98.1436642,18.9963676,81.0036324
65,Municipio/TIOC,Chuquisaca,Hernando Siles,Monteagudo,Urbana,4068.0,2916.0,995.0,157.0,685.0,3226.0,157.0,210.0,3701.0,157.0,127.0,3784.0,157.0,1251.0,2660.0,157.0,74.5589363,25.4410637,17.5147021,82.4852979,5.3694707,94.6305293,3.2472513,96.7527487,31.9867042,68.0132958
66,Municipio/TIOC,Chuquisaca,Hernando Siles,Monteagudo,Rural,3674.0,1247.0,2276.0,151.0,92.0,3431.0,151.0,34.0,3488.0,152.0,11.0,3512.0,151.0,161.0,3361.0,152.0,35.3959693,64.6040307,2.6114107,97.3885893,0.9653606,99.0346394,0.3122339,99.6877661,4.5712663,95.4287337
67,Municipio/TIOC,Chuquisaca,Hernando Siles,Huacareta,Huacareta,2301.0,928.0,1273.0,100.0,116.0,2086.0,99.0,29.0,2173.0,99.0,13.0,2190.0,98.0,207.0,1994.0,100.0,42.1626533,57.8373467,5.2679382,94.7320618,1.3169846,98.6830154,0.5901044,99.4098956,9.404816,90.595184
68,Municipio/TIOC,Chuquisaca,Hernando Siles,Huacareta,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Municipio/TIOC,Chuquisaca,Hernando Siles,Huacareta,Rural,2301.0,928.0,1273.0,100.0,116.0,2086.0,99.0,29.0,2173.0,99.0,13.0,2190.0,98.0,207.0,1994.0,100.0,42.1626533,57.8373467,5.2679382,94.7320618,1.3169846,98.6830154,0.5901044,99.4098956,9.404816,90.595184
70,Provincia,Chuquisaca,Yamparáez,,Yamparáez,7348.0,1476.0,5473.0,399.0,164.0,6785.0,399.0,115.0,6833.0,400.0,27.0,6922.0,399.0,209.0,6740.0,399.0,21.2404663,78.7595337,2.3600518,97.6399482,1.6551526,98.3448474,0.3885451,99.6114549,3.007627,96.992373
71,Provincia,Chuquisaca,Yamparáez,,Urbana,913.0,262.0,618.0,33.0,47.0,833.0,33.0,28.0,852.0,33.0,4.0,876.0,33.0,58.0,822.0,33.0,29.7727273,70.2272727,5.3409091,94.6590909,3.1818182,96.8181818,0.4545455,99.5454545,6.5909091,93.4090909
72,Provincia,Chuquisaca,Yamparáez,,Rural,6435.0,1214.0,4855.0,366.0,117.0,5952.0,366.0,87.0,5981.0,367.0,23.0,6046.0,366.0,151.0,5918.0,366.0,20.0032954,79.9967046,1.92783,98.07217,1.4337508,98.5662492,0.3789751,99.6210249,2.488054,97.511946
73,Municipio/TIOC,Chuquisaca,Yamparáez,Tarabuco,Tarabuco,4279.0,727.0,3307.0,245.0,88.0,3946.0,245.0,88.0,3944.0,247.0,17.0,4017.0,245.0,119.0,3914.0,246.0,18.0218146,81.9781854,2.1814576,97.8185424,2.1825397,97.8174603,0.4214179,99.5785821,2.9506571,97.0493429
74,Municipio/TIOC,Chuquisaca,Yamparáez,Tarabuco,Urbana,913.0,262.0,618.0,33.0,47.0,833.0,33.0,28.0,852.0,33.0,4.0,876.0,33.0,58.0,822.0,33.0,29.7727273,70.2272727,5.3409091,94.6590909,3.1818182,96.8181818,0.4545455,99.5454545,6.5909091,93.4090909
75,Municipio/TIOC,Chuquisaca,Yamparáez,Tarabuco,Rural,3366.0,465.0,2689.0,212.0,41.0,3113.0,212.0,60.0,3092.0,214.0,13.0,3141.0,212.0,61.0,3092.0,213.0,14.7431833,85.2568167,1.2999366,98.7000634,1.9035533,98.0964467,0.412175,99.587825,1.9346654,98.0653346
76,Municipio/TIOC,Chuquisaca,Yamparáez,Yamparáez,Yamparáez,3069.0,749.0,2166.0,154.0,76.0,2839.0,154.0,27.0,2889.0,153.0,10.0,2905.0,154.0,90.0,2826.0,153.0,25.6946827,74.3053173,2.6072041,97.3927959,0.9259259,99.0740741,0.3430532,99.6569468,3.0864198,96.9135802
77,Municipio/TIOC,Chuquisaca,Yamparáez,Yamparáez,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Municipio/TIOC,Chuquisaca,Yamparáez,Yamparáez,Rural,3069.0,749.0,2166.0,154.0,76.0,2839.0,154.0,27.0,2889.0,153.0,10.0,2905.0,154.0,90.0,2826.0,153.0,25.6946827,74.3053173,2.6072041,97.3927959,0.9259259,99.0740741,0.3430532,99.6569468,3.0864198,96.9135802
79,Provincia,Chuquisaca,Nor Cinti,,Nor Cinti,21769.0,4750.0,16064.0,955.0,801.0,20012.0,956.0,310.0,20500.0,959.0,84.0,20728.0,957.0,1352.0,19461.0,956.0,22.8211781,77.1788219,3.8485562,96.1514438,1.4896684,98.5103316,0.4036133,99.5963867,6.49594,93.50406
80,Provincia,Chuquisaca,Nor Cinti,,Urbana,4332.0,2341.0,1834.0,157.0,518.0,3657.0,157.0,155.0,4020.0,157.0,37.0,4138.0,157.0,887.0,3288.0,157.0,56.0718563,43.9281437,12.4071856,87.5928144,3.7125749,96.2874251,0.8862275,99.1137725,21.245509,78.754491
81,Provincia,Chuquisaca,Nor Cinti,,Rural,17437.0,2409.0,14230.0,798.0,283.0,16355.0,799.0,155.0,16480.0,802.0,47.0,16590.0,800.0,465.0,16173.0,799.0,14.4780335,85.5219665,1.7009256,98.2990744,0.9317704,99.0682296,0.2825029,99.7174971,2.7948071,97.2051929
82,Municipio/TIOC,Chuquisaca,Nor Cinti,Camargo,Camargo,5047.0,2285.0,2577.0,185.0,456.0,4405.0,186.0,134.0,4727.0,186.0,32.0,4829.0,186.0,710.0,4152.0,185.0,46.9971205,53.0028795,9.3807858,90.6192142,2.7566344,97.2433656,0.6583008,99.3416992,14.603044,85.396956
83,Municipio/TIOC,Chuquisaca,Nor Cinti,Camargo,Urbana,1817.0,1295.0,472.0,50.0,336.0,1431.0,50.0,96.0,1671.0,50.0,22.0,1745.0,50.0,554.0,1213.0,50.0,73.2880589,26.7119411,19.0152801,80.9847199,5.4329372,94.5670628,1.2450481,98.7549519,31.352575,68.647425
84,Municipio/TIOC,Chuquisaca,Nor Cinti,Camargo,Rural,3230.0,990.0,2105.0,135.0,120.0,2974.0,136.0,38.0,3056.0,136.0,10.0,3084.0,136.0,156.0,2939.0,135.0,31.9870759,68.0129241,3.8784745,96.1215255,1.2281836,98.7718164,0.3232062,99.6767938,5.0403877,94.9596123
85,Municipio/TIOC,Chuquisaca,Nor Cinti,San Lucas,San Lucas,8651.0,1328.0,6919.0,404.0,167.0,8081.0,403.0,88.0,8160.0,403.0,19.0,8229.0,403.0,298.0,7950.0,403.0,16.1028253,83.8971747,2.0247333,97.9752667,1.0669253,98.9330747,0.2303589,99.7696411,3.6129971,96.3870029
86,Municipio/TIOC,Chuquisaca,Nor Cinti,San Lucas,Urbana,990.0,407.0,563.0,20.0,60.0,910.0,20.0,12.0,958.0,20.0,5.0,965.0,20.0,107.0,863.0,20.0,41.9587629,58.0412371,6.185567,93.814433,1.2371134,98.7628866,0.5154639,99.4845361,11.0309278,88.9690722
87,Municipio/TIOC,Chuquisaca,Nor Cinti,San Lucas,Rural,7661.0,921.0,6356.0,384.0,107.0,7171.0,383.0,76.0,7202.0,383.0,14.0,7264.0,383.0,191.0,7087.0,383.0,12.6563144,87.3436856,1.4701841,98.5298159,1.0442429,98.9557571,0.1923605,99.8076395,2.6243473,97.3756527
