N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE VIVIENDAS | 2001 | Total,NÚMERO DE VIVIENDAS | 2001 | Tiene,NÚMERO DE VIVIENDAS | 2001 | No tiene,NÚMERO DE VIVIENDAS | 2012 | Total,NÚMERO DE VIVIENDAS | 2012 | Tiene,NÚMERO DE VIVIENDAS | 2012 | No tiene,NÚMERO DE VIVIENDAS | 2024 | Total,NÚMERO DE VIVIENDAS | 2024 | Tiene,NÚMERO DE VIVIENDAS | 2024 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2001 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2001 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2012 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2012 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2024 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2024 | No tiene
1201,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Ramón,San Ramón,1086,518,568,1685,1337,348,2433,2183,250,47.6979742,52.3020258,79.347181,20.652819,89.7246198,10.2753802
1202,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Ramón,Urbana,928,489,439,1446,1219,227,1959,1882,77,52.6939655,47.3060345,84.3015214,15.6984786,96.0694232,3.9305768
1203,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Ramón,Rural,158,29,129,239,118,121,474,301,173,18.3544304,81.6455696,49.3723849,50.6276151,63.5021097,36.4978903
1204,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,Cuatro Cañadas,Cuatro Cañadas,3321,1131,2190,5058,4268,790,6551,6181,370,34.0560072,65.9439928,84.3811783,15.6188217,94.3520073,5.6479927
1205,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,Cuatro Cañadas,Urbana,970,724,246,2076,1908,168,3053,2995,58,74.6391753,25.3608247,91.9075145,8.0924855,98.1002293,1.8997707
1206,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,Cuatro Cañadas,Rural,2351,407,1944,2982,2360,622,3498,3186,312,17.3117822,82.6882178,79.1415158,20.8584842,91.0806175,8.9193825
1207,Provincia,Santa Cruz,Ángel Sandoval,,Ángel Sandoval,2334,1088,1246,3215,2462,753,4145,3798,347,46.6152528,53.3847472,76.5785381,23.4214619,91.628468,8.371532
1208,Provincia,Santa Cruz,Ángel Sandoval,,Urbana,1009,775,234,1501,1429,72,2079,2011,68,76.8087215,23.1912785,95.2031979,4.7968021,96.7291967,3.2708033
1209,Provincia,Santa Cruz,Ángel Sandoval,,Rural,1325,313,1012,1714,1033,681,2066,1787,279,23.6226415,76.3773585,60.2683781,39.7316219,86.4956438,13.5043562
1210,Municipio/TIOC,Santa Cruz,Ángel Sandoval,San Matías,San Matías,2334,1088,1246,3215,2462,753,4145,3798,347,46.6152528,53.3847472,76.5785381,23.4214619,91.628468,8.371532
