N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE VIVIENDAS | 2001 | Total,NÚMERO DE VIVIENDAS | 2001 | Tiene,NÚMERO DE VIVIENDAS | 2001 | No tiene,NÚMERO DE VIVIENDAS | 2012 | Total,NÚMERO DE VIVIENDAS | 2012 | Tiene,NÚMERO DE VIVIENDAS | 2012 | No tiene,NÚMERO DE VIVIENDAS | 2024 | Total,NÚMERO DE VIVIENDAS | 2024 | Tiene,NÚMERO DE VIVIENDAS | 2024 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2001 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2001 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2012 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2012 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2024 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2024 | No tiene
151,Municipio/TIOC,La Paz,Omasuyos,Villa Ancoraimes,Villa Ancoraimes,4580,1239,3341,5027,3357,1670,6737,5030,1707,27.0524017,72.9475983,66.7793913,33.2206087,74.6623126,25.3376874
152,Municipio/TIOC,La Paz,Omasuyos,Villa Ancoraimes,Urbana,,,,,,,,,,,,,,,
153,Municipio/TIOC,La Paz,Omasuyos,Villa Ancoraimes,Rural,4580,1239,3341,5027,3357,1670,6737,5030,1707,27.0524017,72.9475983,66.7793913,33.2206087,74.6623126,25.3376874
154,Municipio/TIOC,La Paz,Omasuyos,Huarina,Huarina,2786,1116,1670,3297,2359,938,3956,3084,872,40.05743,59.94257,71.5498938,28.4501062,77.9575329,22.0424671
155,Municipio/TIOC,La Paz,Omasuyos,Huarina,Urbana,,,,,,,,,,,,,,,
156,Municipio/TIOC,La Paz,Omasuyos,Huarina,Rural,2786,1116,1670,3297,2359,938,3956,3084,872,40.05743,59.94257,71.5498938,28.4501062,77.9575329,22.0424671
157,Municipio/TIOC,La Paz,Omasuyos,Santiago de Huata,Santiago de Huata,2585,1151,1434,3797,2599,1198,4479,3645,834,44.5261122,55.4738878,68.4487753,31.5512247,81.3797723,18.6202277
158,Municipio/TIOC,La Paz,Omasuyos,Santiago de Huata,Urbana,,,,,,,,,,,,,,,
159,Municipio/TIOC,La Paz,Omasuyos,Santiago de Huata,Rural,2585,1151,1434,3797,2599,1198,4479,3645,834,44.5261122,55.4738878,68.4487753,31.5512247,81.3797723,18.6202277
160,Municipio/TIOC,La Paz,Omasuyos,Huatajata,Huatajata,1079,754,325,1662,1369,293,2509,2156,353,69.8795181,30.1204819,82.3706378,17.6293622,85.9306497,14.0693503
161,Municipio/TIOC,La Paz,Omasuyos,Huatajata,Urbana,,,,,,,,,,,,,,,
162,Municipio/TIOC,La Paz,Omasuyos,Huatajata,Rural,1079,754,325,1662,1369,293,2509,2156,353,69.8795181,30.1204819,82.3706378,17.6293622,85.9306497,14.0693503
163,Municipio/TIOC,La Paz,Omasuyos,Chua Cocani,Chua Cocani,1715,951,764,2032,1428,604,2631,2027,604,55.451895,44.548105,70.2755906,29.7244094,77.0429494,22.9570506
164,Municipio/TIOC,La Paz,Omasuyos,Chua Cocani,Urbana,,,,,,,,,,,,,,,
165,Municipio/TIOC,La Paz,Omasuyos,Chua Cocani,Rural,1715,951,764,2032,1428,604,2631,2027,604,55.451895,44.548105,70.2755906,29.7244094,77.0429494,22.9570506
166,Provincia,La Paz,Pacajes,,Pacajes,16352,1344,15008,18161,6948,11213,25502,17080,8422,8.2191781,91.7808219,38.2578052,61.7421948,66.9751392,33.0248608
167,Provincia,La Paz,Pacajes,,Urbana,,,,362,278,84,1345,1111,234,,,76.7955801,23.2044199,82.6022305,17.3977695
168,Provincia,La Paz,Pacajes,,Rural,16352,1344,15008,17799,6670,11129,24157,15969,8188,8.2191781,91.7808219,37.4740154,62.5259846,66.1050627,33.8949373
169,Municipio/TIOC,La Paz,Pacajes,Corocoro,Corocoro,3641,638,3003,3740,2032,1708,5244,3851,1393,17.5226586,82.4773414,54.3315508,45.6684492,73.4363082,26.5636918
170,Municipio/TIOC,La Paz,Pacajes,Corocoro,Urbana,,,,,,,857,763,94,,,,,89.0315053,10.9684947
171,Municipio/TIOC,La Paz,Pacajes,Corocoro,Rural,3641,638,3003,3740,2032,1708,4387,3088,1299,17.5226586,82.4773414,54.3315508,45.6684492,70.389788,29.610212
172,Municipio/TIOC,La Paz,Pacajes,Caquiaviri,Caquiaviri,4264,345,3919,4269,1651,2618,5233,4000,1233,8.0909944,91.9090056,38.6741626,61.3258374,76.4379897,23.5620103
173,Municipio/TIOC,La Paz,Pacajes,Caquiaviri,Urbana,,,,,,,,,,,,,,,
174,Municipio/TIOC,La Paz,Pacajes,Caquiaviri,Rural,4264,345,3919,4269,1651,2618,5233,4000,1233,8.0909944,91.9090056,38.6741626,61.3258374,76.4379897,23.5620103
175,Municipio/TIOC,La Paz,Pacajes,Calacoto,Calacoto,3083,78,3005,3533,1006,2527,5108,2857,2251,2.5300032,97.4699968,28.4743844,71.5256156,55.9318716,44.0681284
176,Municipio/TIOC,La Paz,Pacajes,Calacoto,Urbana,,,,,,,,,,,,,,,
177,Municipio/TIOC,La Paz,Pacajes,Calacoto,Rural,3083,78,3005,3533,1006,2527,5108,2857,2251,2.5300032,97.4699968,28.4743844,71.5256156,55.9318716,44.0681284
178,Municipio/TIOC,La Paz,Pacajes,Comanche,Comanche,1199,122,1077,1311,547,764,1930,1561,369,10.175146,89.824854,41.7238749,58.2761251,80.880829,19.119171
179,Municipio/TIOC,La Paz,Pacajes,Comanche,Urbana,,,,,,,,,,,,,,,
180,Municipio/TIOC,La Paz,Pacajes,Comanche,Rural,1199,122,1077,1311,547,764,1930,1561,369,10.175146,89.824854,41.7238749,58.2761251,80.880829,19.119171
181,Municipio/TIOC,La Paz,Pacajes,Charaña,Charaña,846,82,764,1159,488,671,1742,764,978,9.6926714,90.3073286,42.1052632,57.8947368,43.8576349,56.1423651
182,Municipio/TIOC,La Paz,Pacajes,Charaña,Urbana,,,,,,,,,,,,,,,
183,Municipio/TIOC,La Paz,Pacajes,Charaña,Rural,846,82,764,1159,488,671,1742,764,978,9.6926714,90.3073286,42.1052632,57.8947368,43.8576349,56.1423651
184,Municipio/TIOC,La Paz,Pacajes,Waldo Ballivián,Waldo Ballivián,558,13,545,1070,691,379,1463,1087,376,2.3297491,97.6702509,64.5794393,35.4205607,74.2993848,25.7006152
185,Municipio/TIOC,La Paz,Pacajes,Waldo Ballivián,Urbana,,,,362,278,84,488,348,140,,,76.7955801,23.2044199,71.3114754,28.6885246
186,Municipio/TIOC,La Paz,Pacajes,Waldo Ballivián,Rural,558,13,545,708,413,295,975,739,236,2.3297491,97.6702509,58.3333333,41.6666667,75.7948718,24.2051282
187,Municipio/TIOC,La Paz,Pacajes,Nazacara de Pacajes,Nazacara de Pacajes,111,28,83,289,122,167,1213,853,360,25.2252252,74.7747748,42.2145329,57.7854671,70.3215169,29.6784831
188,Municipio/TIOC,La Paz,Pacajes,Nazacara de Pacajes,Urbana,,,,,,,,,,,,,,,
189,Municipio/TIOC,La Paz,Pacajes,Nazacara de Pacajes,Rural,111,28,83,289,122,167,1213,853,360,25.2252252,74.7747748,42.2145329,57.7854671,70.3215169,29.6784831
190,Municipio/TIOC,La Paz,Pacajes,Santiago de Callapa,Santiago de Callapa,2650,38,2612,2790,411,2379,3569,2107,1462,1.4339623,98.5660377,14.7311828,85.2688172,59.0361446,40.9638554
191,Municipio/TIOC,La Paz,Pacajes,Santiago de Callapa,Urbana,,,,,,,,,,,,,,,
192,Municipio/TIOC,La Paz,Pacajes,Santiago de Callapa,Rural,2650,38,2612,2790,411,2379,3569,2107,1462,1.4339623,98.5660377,14.7311828,85.2688172,59.0361446,40.9638554
193,Provincia,La Paz,Camacho,,Camacho,19611,2669,16942,22099,12091,10008,28325,20486,7839,13.6097088,86.3902912,54.7128829,45.2871171,72.3248014,27.6751986
194,Provincia,La Paz,Camacho,,Urbana,,,,,,,,,,,,,,,
195,Provincia,La Paz,Camacho,,Rural,19611,2669,16942,22099,12091,10008,28325,20486,7839,13.6097088,86.3902912,54.7128829,45.2871171,72.3248014,27.6751986
196,Municipio/TIOC,La Paz,Camacho,Puerto Acosta,Puerto Acosta,4654,988,3666,5011,2795,2216,6604,4665,1939,21.2290503,78.7709497,55.77729,44.22271,70.6390067,29.3609933
197,Municipio/TIOC,La Paz,Camacho,Puerto Acosta,Urbana,,,,,,,,,,,,,,,
198,Municipio/TIOC,La Paz,Camacho,Puerto Acosta,Rural,4654,988,3666,5011,2795,2216,6604,4665,1939,21.2290503,78.7709497,55.77729,44.22271,70.6390067,29.3609933
199,Municipio/TIOC,La Paz,Camacho,Mocomoco,Mocomoco,5788,75,5713,6606,3183,3423,8013,5648,2365,1.2957844,98.7042156,48.1834696,51.8165304,70.4854611,29.5145389
200,Municipio/TIOC,La Paz,Camacho,Mocomoco,Urbana,,,,,,,,,,,,,,,
201,Municipio/TIOC,La Paz,Camacho,Mocomoco,Rural,5788,75,5713,6606,3183,3423,8013,5648,2365,1.2957844,98.7042156,48.1834696,51.8165304,70.4854611,29.5145389
202,Municipio/TIOC,La Paz,Camacho,Puerto Mayor de Carabuco,Puerto Mayor de Carabuco,4730,859,3871,5347,2885,2462,7065,5433,1632,18.1606765,81.8393235,53.9554891,46.0445109,76.9002123,23.0997877
203,Municipio/TIOC,La Paz,Camacho,Puerto Mayor de Carabuco,Urbana,,,,,,,,,,,,,,,
204,Municipio/TIOC,La Paz,Camacho,Puerto Mayor de Carabuco,Rural,4730,859,3871,5347,2885,2462,7065,5433,1632,18.1606765,81.8393235,53.9554891,46.0445109,76.9002123,23.0997877
205,Municipio/TIOC,La Paz,Camacho,Humanata,Humanata,1825,23,1802,2108,1281,827,2527,1820,707,1.260274,98.739726,60.7685009,39.2314991,72.0221607,27.9778393
206,Municipio/TIOC,La Paz,Camacho,Humanata,Urbana,,,,,,,,,,,,,,,
207,Municipio/TIOC,La Paz,Camacho,Humanata,Rural,1825,23,1802,2108,1281,827,2527,1820,707,1.260274,98.739726,60.7685009,39.2314991,72.0221607,27.9778393
208,Municipio/TIOC,La Paz,Camacho,Escoma,Escoma,2614,724,1890,3027,1947,1080,4116,2920,1196,27.6970161,72.3029839,64.32111,35.67889,70.9426628,29.0573372
209,Municipio/TIOC,La Paz,Camacho,Escoma,Urbana,,,,,,,,,,,,,,,
210,Municipio/TIOC,La Paz,Camacho,Escoma,Rural,2614,724,1890,3027,1947,1080,4116,2920,1196,27.6970161,72.3029839,64.32111,35.67889,70.9426628,29.0573372
211,Provincia,La Paz,Muñecas,,Muñecas,6765,200,6565,8623,5365,3258,12382,9711,2671,2.9563932,97.0436068,62.2173258,37.7826742,78.4283638,21.5716362
212,Provincia,La Paz,Muñecas,,Urbana,,,,,,,,,,,,,,,
213,Provincia,La Paz,Muñecas,,Rural,6765,200,6565,8623,5365,3258,12382,9711,2671,2.9563932,97.0436068,62.2173258,37.7826742,78.4283638,21.5716362
214,Municipio/TIOC,La Paz,Muñecas,Chuma,Chuma,3444,102,3342,3938,2460,1478,6388,4926,1462,2.9616725,97.0383275,62.468258,37.531742,77.1133375,22.8866625
215,Municipio/TIOC,La Paz,Muñecas,Chuma,Urbana,,,,,,,,,,,,,,,
216,Municipio/TIOC,La Paz,Muñecas,Chuma,Rural,3444,102,3342,3938,2460,1478,6388,4926,1462,2.9616725,97.0383275,62.468258,37.531742,77.1133375,22.8866625
217,Municipio/TIOC,La Paz,Muñecas,Ayata,Ayata,2148,47,2101,2747,1562,1185,3494,2772,722,2.1880819,97.8119181,56.8620313,43.1379687,79.3360046,20.6639954
218,Municipio/TIOC,La Paz,Muñecas,Ayata,Urbana,,,,,,,,,,,,,,,
219,Municipio/TIOC,La Paz,Muñecas,Ayata,Rural,2148,47,2101,2747,1562,1185,3494,2772,722,2.1880819,97.8119181,56.8620313,43.1379687,79.3360046,20.6639954
220,Municipio/TIOC,La Paz,Muñecas,Aucapata,Aucapata,1173,51,1122,1938,1343,595,2500,2013,487,4.3478261,95.6521739,69.2982456,30.7017544,80.52,19.48
221,Municipio/TIOC,La Paz,Muñecas,Aucapata,Urbana,,,,,,,,,,,,,,,
222,Municipio/TIOC,La Paz,Muñecas,Aucapata,Rural,1173,51,1122,1938,1343,595,2500,2013,487,4.3478261,95.6521739,69.2982456,30.7017544,80.52,19.48
223,Provincia,La Paz,Larecaja,,Larecaja,19804,6788,13016,29451,20417,9034,39439,32464,6975,34.2759039,65.7240961,69.32532,30.67468,82.3144603,17.6855397
224,Provincia,La Paz,Larecaja,,Urbana,2794,2135,659,4928,4672,256,8590,8252,338,76.4137437,23.5862563,94.8051948,5.1948052,96.0651921,3.9348079
225,Provincia,La Paz,Larecaja,,Rural,17010,4653,12357,24523,15745,8778,30849,24212,6637,27.3544974,72.6455026,64.205032,35.794968,78.4855263,21.5144737
226,Municipio/TIOC,La Paz,Larecaja,Sorata,Sorata,6149,1395,4754,8775,5788,2987,11459,9455,2004,22.6866157,77.3133843,65.960114,34.039886,82.511563,17.488437
227,Municipio/TIOC,La Paz,Larecaja,Sorata,Urbana,668,528,140,1125,1025,100,1792,1642,150,79.0419162,20.9580838,91.1111111,8.8888889,91.6294643,8.3705357
228,Municipio/TIOC,La Paz,Larecaja,Sorata,Rural,5481,867,4614,7650,4763,2887,9667,7813,1854,15.8182813,84.1817187,62.2614379,37.7385621,80.821351,19.178649
229,Municipio/TIOC,La Paz,Larecaja,Guanay,Guanay,2828,1371,1457,4681,3120,1561,6269,5004,1265,48.4794908,51.5205092,66.6524247,33.3475753,79.8213431,20.1786569
230,Municipio/TIOC,La Paz,Larecaja,Guanay,Urbana,939,755,184,1290,1262,28,1505,1468,37,80.4046858,19.5953142,97.8294574,2.1705426,97.5415282,2.4584718
231,Municipio/TIOC,La Paz,Larecaja,Guanay,Rural,1889,616,1273,3391,1858,1533,4764,3536,1228,32.6098465,67.3901535,54.7920967,45.2079033,74.2233417,25.7766583
232,Municipio/TIOC,La Paz,Larecaja,Tacacoma,Tacacoma,1920,387,1533,2980,1869,1111,4152,3223,929,20.15625,79.84375,62.7181208,37.2818792,77.6252408,22.3747592
233,Municipio/TIOC,La Paz,Larecaja,Tacacoma,Urbana,,,,,,,,,,,,,,,
234,Municipio/TIOC,La Paz,Larecaja,Tacacoma,Rural,1920,387,1533,2980,1869,1111,4152,3223,929,20.15625,79.84375,62.7181208,37.2818792,77.6252408,22.3747592
235,Municipio/TIOC,La Paz,Larecaja,Quiabaya,Quiabaya,697,60,637,1027,686,341,1391,1085,306,8.6083214,91.3916786,66.7964946,33.2035054,78.0014378,21.9985622
236,Municipio/TIOC,La Paz,Larecaja,Quiabaya,Urbana,,,,,,,,,,,,,,,
237,Municipio/TIOC,La Paz,Larecaja,Quiabaya,Rural,697,60,637,1027,686,341,1391,1085,306,8.6083214,91.3916786,66.7964946,33.2035054,78.0014378,21.9985622
238,Municipio/TIOC,La Paz,Larecaja,Combaya,Combaya,863,16,847,994,693,301,1425,1101,324,1.8539977,98.1460023,69.7183099,30.2816901,77.2631579,22.7368421
239,Municipio/TIOC,La Paz,Larecaja,Combaya,Urbana,,,,,,,,,,,,,,,
240,Municipio/TIOC,La Paz,Larecaja,Combaya,Rural,863,16,847,994,693,301,1425,1101,324,1.8539977,98.1460023,69.7183099,30.2816901,77.2631579,22.7368421
241,Municipio/TIOC,La Paz,Larecaja,Tipuani,Tipuani,2776,1747,1029,3457,3071,386,3243,2995,248,62.9322767,37.0677233,88.8342493,11.1657507,92.3527598,7.6472402
242,Municipio/TIOC,La Paz,Larecaja,Tipuani,Urbana,627,505,122,740,712,28,893,842,51,80.5422648,19.4577352,96.2162162,3.7837838,94.2889138,5.7110862
243,Municipio/TIOC,La Paz,Larecaja,Tipuani,Rural,2149,1242,907,2717,2359,358,2350,2153,197,57.7943229,42.2056771,86.8237026,13.1762974,91.6170213,8.3829787
244,Municipio/TIOC,La Paz,Larecaja,Mapiri,Mapiri,2284,1211,1073,4050,3643,407,6898,6552,346,53.0210158,46.9789842,89.9506173,10.0493827,94.9840533,5.0159467
245,Municipio/TIOC,La Paz,Larecaja,Mapiri,Urbana,560,347,213,1773,1673,100,3465,3432,33,61.9642857,38.0357143,94.3598421,5.6401579,99.047619,0.952381
246,Municipio/TIOC,La Paz,Larecaja,Mapiri,Rural,1724,864,860,2277,1970,307,3433,3120,313,50.1160093,49.8839907,86.5173474,13.4826526,90.88261,9.11739
247,Municipio/TIOC,La Paz,Larecaja,Teoponte,Teoponte,2287,601,1686,3487,1547,1940,4602,3049,1553,26.2789681,73.7210319,44.3647835,55.6352165,66.2538027,33.7461973
248,Municipio/TIOC,La Paz,Larecaja,Teoponte,Urbana,,,,,,,935,868,67,,,,,92.8342246,7.1657754
249,Municipio/TIOC,La Paz,Larecaja,Teoponte,Rural,2287,601,1686,3487,1547,1940,3667,2181,1486,26.2789681,73.7210319,44.3647835,55.6352165,59.4764112,40.5235888
250,Provincia,La Paz,Franz Tamayo,,Franz Tamayo,4127,120,4007,6855,4256,2599,9232,7208,2024,2.9076811,97.0923189,62.0860686,37.9139314,78.0762565,21.9237435
251,Provincia,La Paz,Franz Tamayo,,Urbana,507,21,486,1420,1220,200,1835,1758,77,4.1420118,95.8579882,85.915493,14.084507,95.8038147,4.1961853
252,Provincia,La Paz,Franz Tamayo,,Rural,3620,99,3521,5435,3036,2399,7397,5450,1947,2.7348066,97.2651934,55.8601656,44.1398344,73.6785183,26.3214817
253,Municipio/TIOC,La Paz,Franz Tamayo,Apolo,Apolo,2689,55,2634,4625,3043,1582,6164,4729,1435,2.04537,97.95463,65.7945946,34.2054054,76.7196626,23.2803374
254,Municipio/TIOC,La Paz,Franz Tamayo,Apolo,Urbana,507,21,486,1420,1220,200,1835,1758,77,4.1420118,95.8579882,85.915493,14.084507,95.8038147,4.1961853
255,Municipio/TIOC,La Paz,Franz Tamayo,Apolo,Rural,2182,34,2148,3205,1823,1382,4329,2971,1358,1.5582035,98.4417965,56.8798752,43.1201248,68.6301686,31.3698314
256,Municipio/TIOC,La Paz,Franz Tamayo,Pelechuco,Pelechuco,1438,65,1373,2230,1213,1017,3068,2479,589,4.5201669,95.4798331,54.3946188,45.6053812,80.8018253,19.1981747
257,Municipio/TIOC,La Paz,Franz Tamayo,Pelechuco,Urbana,,,,,,,,,,,,,,,
258,Municipio/TIOC,La Paz,Franz Tamayo,Pelechuco,Rural,1438,65,1373,2230,1213,1017,3068,2479,589,4.5201669,95.4798331,54.3946188,45.6053812,80.8018253,19.1981747
259,Provincia,La Paz,Ingavi,,Ingavi,27626,11144,16482,44000,32049,11951,64052,54770,9282,40.3388113,59.6611887,72.8386364,27.1613636,85.5086492,14.4913508
260,Provincia,La Paz,Ingavi,,Urbana,7813,6100,1713,21261,17367,3894,34456,31679,2777,78.0750032,21.9249968,81.6847749,18.3152251,91.9404458,8.0595542
261,Provincia,La Paz,Ingavi,,Rural,19813,5044,14769,22739,14682,8057,29596,23091,6505,25.4580326,74.5419674,64.5674832,35.4325168,78.0206785,21.9793215
262,Municipio/TIOC,La Paz,Ingavi,Viacha,Viacha,12793,6748,6045,26248,20340,5908,41941,37184,4757,52.7475963,47.2524037,77.4916184,22.5083816,88.6578765,11.3421235
263,Municipio/TIOC,La Paz,Ingavi,Viacha,Urbana,7302,5677,1625,19740,16159,3581,32953,30213,2740,77.7458231,22.2541769,81.8591692,18.1408308,91.6851273,8.3148727
264,Municipio/TIOC,La Paz,Ingavi,Viacha,Rural,5491,1071,4420,6508,4181,2327,8988,6971,2017,19.504644,80.495356,64.2440074,35.7559926,77.5589675,22.4410325
265,Municipio/TIOC,La Paz,Ingavi,Puerto Mayor de Guaqui,Puerto Mayor de Guaqui,2272,970,1302,2731,2124,607,3220,2699,521,42.693662,57.306338,77.7737093,22.2262907,83.8198758,16.1801242
266,Municipio/TIOC,La Paz,Ingavi,Puerto Mayor de Guaqui,Urbana,,,,,,,,,,,,,,,
267,Municipio/TIOC,La Paz,Ingavi,Puerto Mayor de Guaqui,Rural,2272,970,1302,2731,2124,607,3220,2699,521,42.693662,57.306338,77.7737093,22.2262907,83.8198758,16.1801242
268,Municipio/TIOC,La Paz,Ingavi,Tiahuanacu,Tiahuanacu,2950,1240,1710,3594,2681,913,4653,3660,993,42.0338983,57.9661017,74.5965498,25.4034502,78.6589297,21.3410703
269,Municipio/TIOC,La Paz,Ingavi,Tiahuanacu,Urbana,,,,440,215,225,,,,,,48.8636364,51.1363636,,
270,Municipio/TIOC,La Paz,Ingavi,Tiahuanacu,Rural,2950,1240,1710,3154,2466,688,4653,3660,993,42.0338983,57.9661017,78.1864299,21.8135701,78.6589297,21.3410703
271,Municipio/TIOC,La Paz,Ingavi,Desaguadero,Desaguadero,1444,924,520,2250,1936,314,2675,2509,166,63.9889197,36.0110803,86.0444444,13.9555556,93.7943925,6.2056075
272,Municipio/TIOC,La Paz,Ingavi,Desaguadero,Urbana,511,423,88,1081,993,88,1503,1466,37,82.778865,17.221135,91.8593895,8.1406105,97.5382568,2.4617432
273,Municipio/TIOC,La Paz,Ingavi,Desaguadero,Rural,933,501,432,1169,943,226,1172,1043,129,53.6977492,46.3022508,80.667237,19.332763,88.9931741,11.0068259
274,Municipio/TIOC,La Paz,Ingavi,La (Marka) San Andrés de Machaca,La (Marka) San Andrés de Machaca,2166,100,2066,2391,738,1653,3114,2240,874,4.6168052,95.3831948,30.8657465,69.1342535,71.9332049,28.0667951
275,Municipio/TIOC,La Paz,Ingavi,La (Marka) San Andrés de Machaca,Urbana,,,,,,,,,,,,,,,
276,Municipio/TIOC,La Paz,Ingavi,La (Marka) San Andrés de Machaca,Rural,2166,100,2066,2391,738,1653,3114,2240,874,4.6168052,95.3831948,30.8657465,69.1342535,71.9332049,28.0667951
277,Municipio/TIOC,La Paz,Ingavi,Jesús de Machaka,Jesús de Machaka,4239,416,3823,4967,2804,2163,5887,4318,1569,9.8136353,90.1863647,56.4525871,43.5474129,73.348055,26.651945
278,Municipio/TIOC,La Paz,Ingavi,Jesús de Machaka,Urbana,,,,,,,,,,,,,,,
279,Municipio/TIOC,La Paz,Ingavi,Jesús de Machaka,Rural,4239,416,3823,4967,2804,2163,5887,4318,1569,9.8136353,90.1863647,56.4525871,43.5474129,73.348055,26.651945
280,Municipio/TIOC,La Paz,Ingavi,Taraco,Taraco,1762,746,1016,1819,1426,393,2562,2160,402,42.338252,57.661748,78.3947224,21.6052776,84.3091335,15.6908665
281,Municipio/TIOC,La Paz,Ingavi,Taraco,Urbana,,,,,,,,,,,,,,,
282,Municipio/TIOC,La Paz,Ingavi,Taraco,Rural,1762,746,1016,1819,1426,393,2562,2160,402,42.338252,57.661748,78.3947224,21.6052776,84.3091335,15.6908665
283,Provincia,La Paz,Loayza,,Loayza,11959,2778,9181,15147,10489,4658,21883,17205,4678,23.229367,76.770633,69.2480359,30.7519641,78.6226751,21.3773249
284,Provincia,La Paz,Loayza,,Urbana,,,,,,,444,383,61,,,,,86.2612613,13.7387387
285,Provincia,La Paz,Loayza,,Rural,11959,2778,9181,15147,10489,4658,21439,16822,4617,23.229367,76.770633,69.2480359,30.7519641,78.4644806,21.5355194
286,Municipio/TIOC,La Paz,Loayza,Luribay,Luribay,2571,495,2076,3913,2797,1116,4434,3628,806,19.2532089,80.7467911,71.4796831,28.5203169,81.8222824,18.1777176
287,Municipio/TIOC,La Paz,Loayza,Luribay,Urbana,,,,,,,,,,,,,,,
288,Municipio/TIOC,La Paz,Loayza,Luribay,Rural,2571,495,2076,3913,2797,1116,4434,3628,806,19.2532089,80.7467911,71.4796831,28.5203169,81.8222824,18.1777176
289,Municipio/TIOC,La Paz,Loayza,Sapahaqui,Sapahaqui,3287,644,2643,4624,2832,1792,6638,5218,1420,19.5923334,80.4076666,61.2456747,38.7543253,78.6080145,21.3919855
290,Municipio/TIOC,La Paz,Loayza,Sapahaqui,Urbana,,,,,,,,,,,,,,,
291,Municipio/TIOC,La Paz,Loayza,Sapahaqui,Rural,3287,644,2643,4624,2832,1792,6638,5218,1420,19.5923334,80.4076666,61.2456747,38.7543253,78.6080145,21.3919855
292,Municipio/TIOC,La Paz,Loayza,Yaco,Yaco,2207,38,2169,2306,1542,764,4142,2991,1151,1.7217943,98.2782057,66.8690373,33.1309627,72.211492,27.788508
293,Municipio/TIOC,La Paz,Loayza,Yaco,Urbana,,,,,,,444,383,61,,,,,86.2612613,13.7387387
294,Municipio/TIOC,La Paz,Loayza,Yaco,Rural,2207,38,2169,2306,1542,764,3698,2608,1090,1.7217943,98.2782057,66.8690373,33.1309627,70.5246079,29.4753921
295,Municipio/TIOC,La Paz,Loayza,Malla,Malla,958,163,795,1234,898,336,1777,1167,610,17.0146138,82.9853862,72.7714749,27.2285251,65.6724817,34.3275183
296,Municipio/TIOC,La Paz,Loayza,Malla,Urbana,,,,,,,,,,,,,,,
297,Municipio/TIOC,La Paz,Loayza,Malla,Rural,958,163,795,1234,898,336,1777,1167,610,17.0146138,82.9853862,72.7714749,27.2285251,65.6724817,34.3275183
298,Municipio/TIOC,La Paz,Loayza,Cairoma,Cairoma,2936,1438,1498,3070,2420,650,4892,4201,691,48.9782016,51.0217984,78.8273616,21.1726384,85.8748978,14.1251022
299,Municipio/TIOC,La Paz,Loayza,Cairoma,Urbana,,,,,,,,,,,,,,,
300,Municipio/TIOC,La Paz,Loayza,Cairoma,Rural,2936,1438,1498,3070,2420,650,4892,4201,691,48.9782016,51.0217984,78.8273616,21.1726384,85.8748978,14.1251022
301,Provincia,La Paz,Inquisivi,,Inquisivi,15936,3754,12182,19846,12782,7064,30583,24024,6559,23.5567269,76.4432731,64.4059256,35.5940744,78.5534447,21.4465553
302,Provincia,La Paz,Inquisivi,,Urbana,1781,1531,250,3248,3121,127,5831,5593,238,85.9629422,14.0370578,96.0899015,3.9100985,95.9183673,4.0816327
303,Provincia,La Paz,Inquisivi,,Rural,14155,2223,11932,16598,9661,6937,24752,18431,6321,15.704698,84.295302,58.2058079,41.7941921,74.4626697,25.5373303
304,Municipio/TIOC,La Paz,Inquisivi,Inquisivi,Inquisivi,4091,346,3745,4894,1838,3056,7144,4940,2204,8.4575898,91.5424102,37.5561913,62.4438087,69.1489362,30.8510638
305,Municipio/TIOC,La Paz,Inquisivi,Inquisivi,Urbana,,,,,,,,,,,,,,,
306,Municipio/TIOC,La Paz,Inquisivi,Inquisivi,Rural,4091,346,3745,4894,1838,3056,7144,4940,2204,8.4575898,91.5424102,37.5561913,62.4438087,69.1489362,30.8510638
307,Municipio/TIOC,La Paz,Inquisivi,Quime,Quime,2305,1333,972,3387,2515,872,4434,3679,755,57.8308026,42.1691974,74.2545025,25.7454975,82.9724853,17.0275147
308,Municipio/TIOC,La Paz,Inquisivi,Quime,Urbana,732,565,167,1158,1071,87,1610,1533,77,77.1857923,22.8142077,92.4870466,7.5129534,95.2173913,4.7826087
309,Municipio/TIOC,La Paz,Inquisivi,Quime,Rural,1573,768,805,2229,1444,785,2824,2146,678,48.8239034,51.1760966,64.7824136,35.2175864,75.9915014,24.0084986
310,Municipio/TIOC,La Paz,Inquisivi,Cajuata,Cajuata,1925,334,1591,3019,2535,484,5809,5083,726,17.3506494,82.6493506,83.9682014,16.0317986,87.5021518,12.4978482
311,Municipio/TIOC,La Paz,Inquisivi,Cajuata,Urbana,,,,,,,706,702,4,,,,,99.4334278,0.5665722
312,Municipio/TIOC,La Paz,Inquisivi,Cajuata,Rural,1925,334,1591,3019,2535,484,5103,4381,722,17.3506494,82.6493506,83.9682014,16.0317986,85.8514599,14.1485401
