N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE VIVIENDAS | 2001 | Total,NÚMERO DE VIVIENDAS | 2001 | Leña,"NÚMERO DE VIVIENDAS | 2001 | Guano, bosta, taquia",NÚMERO DE VIVIENDAS | 2001 | Kerosén,NÚMERO DE VIVIENDAS | 2001 | Gas,NÚMERO DE VIVIENDAS | 2001 | Electricidad,NÚMERO DE VIVIENDAS | 2001 | Otro,NÚMERO DE VIVIENDAS | 2001 | No utiliza,NÚMERO DE VIVIENDAS | 2012 | Total,NÚMERO DE VIVIENDAS | 2012 | Leña,"NÚMERO DE VIVIENDAS | 2012 | Guano, bosta, taquia",NÚMERO DE VIVIENDAS | 2012 | Energía solar,NÚMERO DE VIVIENDAS | 2012 | Gas domiciliario (por cañería),NÚMERO DE VIVIENDAS | 2012 | Gas en garrafa,NÚMERO DE VIVIENDAS | 2012 | Electricidad,NÚMERO DE VIVIENDAS | 2012 | Otro,NÚMERO DE VIVIENDAS | 2012 | No cocina,NÚMERO DE VIVIENDAS | 2024 | Total,NÚMERO DE VIVIENDAS | 2024 | Leña,"NÚMERO DE VIVIENDAS | 2024 | Guano, bosta, taquia",NÚMERO DE VIVIENDAS | 2024 | Energía solar,NÚMERO DE VIVIENDAS | 2024 | Gas domiciliario (por cañería),NÚMERO DE VIVIENDAS | 2024 | Gas en garrafa,NÚMERO DE VIVIENDAS | 2024 | Electricidad,NÚMERO DE VIVIENDAS | 2024 | Otro,NÚMERO DE VIVIENDAS | 2024 | No cocina,DISTRIBUCIÓN PORCENTUAL | 2001 | Leña,"DISTRIBUCIÓN PORCENTUAL | 2001 | Guano, bosta, taquia",DISTRIBUCIÓN PORCENTUAL | 2001 | Kerosén,DISTRIBUCIÓN PORCENTUAL | 2001 | Gas,DISTRIBUCIÓN PORCENTUAL | 2001 | Electricidad,DISTRIBUCIÓN PORCENTUAL | 2001 | Otro,DISTRIBUCIÓN PORCENTUAL | 2001 | No utiliza,DISTRIBUCIÓN PORCENTUAL | 2012 | Leña,"DISTRIBUCIÓN PORCENTUAL | 2012 | Guano, bosta, taquia",DISTRIBUCIÓN PORCENTUAL | 2012 | Energía solar,DISTRIBUCIÓN PORCENTUAL | 2012 | Gas domiciliario (por cañería),DISTRIBUCIÓN PORCENTUAL | 2012 | Gas en garrafa,DISTRIBUCIÓN PORCENTUAL | 2012 | Electricidad,DISTRIBUCIÓN PORCENTUAL | 2012 | Otro,DISTRIBUCIÓN PORCENTUAL | 2012 | No cocina,DISTRIBUCIÓN PORCENTUAL | 2024 | Leña,"DISTRIBUCIÓN PORCENTUAL | 2024 | Guano, bosta, taquia",DISTRIBUCIÓN PORCENTUAL | 2024 | Energía solar,DISTRIBUCIÓN PORCENTUAL | 2024 | Gas domiciliario (por cañería),DISTRIBUCIÓN PORCENTUAL | 2024 | Gas en garrafa,DISTRIBUCIÓN PORCENTUAL | 2024 | Electricidad,DISTRIBUCIÓN PORCENTUAL | 2024 | Otro,DISTRIBUCIÓN PORCENTUAL | 2024 | No cocina
217,Municipio/TIOC,La Paz,Muñecas,Ayata,Ayata,2148,1977,132,4,28,0,0,7,2747,2395,108,3,0,216,3,2,20,3494,2765,15,1,12,645,2,2,52,92.0391061,6.1452514,0.1862197,1.3035382,0,0,0.3258845,87.1860211,3.9315617,0.10921,0,7.8631234,0.10921,0.0728067,0.728067,79.1356611,0.4293074,0.0286205,0.3434459,18.4602175,0.057241,0.057241,1.4882656
218,Municipio/TIOC,La Paz,Muñecas,Ayata,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Municipio/TIOC,La Paz,Muñecas,Ayata,Rural,2148,1977,132,4,28,0,0,7,2747,2395,108,3,0,216,3,2,20,3494,2765,15,1,12,645,2,2,52,92.0391061,6.1452514,0.1862197,1.3035382,0,0,0.3258845,87.1860211,3.9315617,0.10921,0,7.8631234,0.10921,0.0728067,0.728067,79.1356611,0.4293074,0.0286205,0.3434459,18.4602175,0.057241,0.057241,1.4882656
220,Municipio/TIOC,La Paz,Muñecas,Aucapata,Aucapata,1173,1036,47,0,70,0,4,16,1938,1379,44,0,0,475,6,0,34,2500,1362,20,0,2,1063,0,0,53,88.3205456,4.0068201,0,5.9676044,0,0.341006,1.3640239,71.1558308,2.2703818,0,0,24.5098039,0.3095975,0,1.754386,54.48,0.8,0,0.08,42.52,0,0,2.12
221,Municipio/TIOC,La Paz,Muñecas,Aucapata,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Municipio/TIOC,La Paz,Muñecas,Aucapata,Rural,1173,1036,47,0,70,0,4,16,1938,1379,44,0,0,475,6,0,34,2500,1362,20,0,2,1063,0,0,53,88.3205456,4.0068201,0,5.9676044,0,0.341006,1.3640239,71.1558308,2.2703818,0,0,24.5098039,0.3095975,0,1.754386,54.48,0.8,0,0.08,42.52,0,0,2.12
223,Provincia,La Paz,Larecaja,,Larecaja,19804,14132,379,112,4558,10,17,596,29451,14122,376,6,0,14096,33,31,787,39439,13676,333,15,213,24139,39,34,990,71.3593213,1.9137548,0.5655423,23.0155524,0.0504948,0.0858412,3.009493,47.9508336,1.2766969,0.0203728,0,47.8625514,0.1120505,0.1052596,2.6722352,34.6763356,0.8443419,0.0380334,0.5400745,61.2059129,0.0988869,0.0862091,2.5102056
224,Provincia,La Paz,Larecaja,,Urbana,2794,1012,7,27,1654,4,3,87,4928,295,3,0,0,4451,8,6,165,8590,292,2,1,132,7808,11,12,332,36.2204724,0.2505369,0.9663565,59.198282,0.1431639,0.1073729,3.1138153,5.9862013,0.0608766,0,0,90.3206169,0.1623377,0.1217532,3.3482143,3.3993015,0.0232829,0.0116414,1.5366705,90.8963912,0.1280559,0.1396973,3.8649593
225,Provincia,La Paz,Larecaja,,Rural,17010,13120,372,85,2904,6,14,509,24523,13827,373,6,0,9645,25,25,622,30849,13384,331,14,81,16331,28,22,658,77.1310994,2.1869489,0.4997061,17.0723104,0.0352734,0.0823045,2.9923574,56.383803,1.5210211,0.0244668,0,39.3304245,0.1019451,0.1019451,2.5363944,43.385523,1.0729683,0.0453823,0.2625693,52.9385069,0.0907647,0.0713151,2.1329703
226,Municipio/TIOC,La Paz,Larecaja,Sorata,Sorata,6149,5010,146,43,893,1,1,55,8775,5624,126,3,0,2847,14,14,147,11459,5556,40,6,40,5582,15,7,213,81.4766629,2.3743698,0.6993007,14.5226866,0.0162628,0.0162628,0.8944544,64.0911681,1.4358974,0.034188,0,32.4444444,0.1595442,0.1595442,1.6752137,48.4859063,0.3490706,0.0523606,0.3490706,48.7128022,0.1309015,0.0610874,1.8588009
227,Municipio/TIOC,La Paz,Larecaja,Sorata,Urbana,668,191,6,14,442,1,0,14,1125,144,0,0,0,956,3,3,19,1792,169,0,0,0,1554,5,4,60,28.5928144,0.8982036,2.0958084,66.1676647,0.1497006,0,2.0958084,12.8,0,0,0,84.9777778,0.2666667,0.2666667,1.6888889,9.4308036,0,0,0,86.71875,0.2790179,0.2232143,3.3482143
228,Municipio/TIOC,La Paz,Larecaja,Sorata,Rural,5481,4819,140,29,451,0,1,41,7650,5480,126,3,0,1891,11,11,128,9667,5387,40,6,40,4028,10,3,153,87.9219121,2.5542784,0.5291005,8.2284255,0,0.0182448,0.7480387,71.6339869,1.6470588,0.0392157,0,24.7189542,0.1437908,0.1437908,1.6732026,55.7256646,0.4137788,0.0620668,0.4137788,41.6675287,0.1034447,0.0310334,1.582704
229,Municipio/TIOC,La Paz,Larecaja,Guanay,Guanay,2828,1775,204,6,782,2,1,58,4681,1790,242,0,0,2546,4,4,95,6269,1382,260,4,132,4336,3,4,148,62.7652051,7.2135785,0.2121641,27.6520509,0.0707214,0.0353607,2.0509194,38.2396924,5.1698355,0,0,54.3900876,0.0854518,0.0854518,2.0294809,22.0449833,4.1473919,0.063806,2.105599,69.1657362,0.0478545,0.063806,2.3608231
230,Municipio/TIOC,La Paz,Larecaja,Guanay,Urbana,939,274,0,4,637,1,0,23,1290,35,3,0,0,1193,2,2,55,1505,6,1,1,127,1294,1,3,72,29.1799787,0,0.4259851,67.8381257,0.1064963,0,2.4494143,2.7131783,0.2325581,0,0,92.4806202,0.1550388,0.1550388,4.2635659,0.3986711,0.0664452,0.0664452,8.4385382,85.9800664,0.0664452,0.1993355,4.7840532
231,Municipio/TIOC,La Paz,Larecaja,Guanay,Rural,1889,1501,204,2,145,1,1,35,3391,1755,239,0,0,1353,2,2,40,4764,1376,259,3,5,3042,2,1,76,79.4600318,10.7993647,0.1058761,7.6760191,0.0529381,0.0529381,1.8528322,51.7546446,7.0480684,0,0,39.8997346,0.0589797,0.0589797,1.179593,28.8832914,5.4366079,0.0629723,0.1049538,63.8539043,0.0419815,0.0209908,1.5952981
232,Municipio/TIOC,La Paz,Larecaja,Tacacoma,Tacacoma,1920,1616,14,15,255,0,2,18,2980,1792,2,1,0,1131,2,2,50,4152,2116,8,1,8,1957,1,1,60,84.1666667,0.7291667,0.78125,13.28125,0,0.1041667,0.9375,60.1342282,0.0671141,0.033557,0,37.9530201,0.0671141,0.0671141,1.6778523,50.9633911,0.1926782,0.0240848,0.1926782,47.1339114,0.0240848,0.0240848,1.4450867
233,Municipio/TIOC,La Paz,Larecaja,Tacacoma,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Municipio/TIOC,La Paz,Larecaja,Tacacoma,Rural,1920,1616,14,15,255,0,2,18,2980,1792,2,1,0,1131,2,2,50,4152,2116,8,1,8,1957,1,1,60,84.1666667,0.7291667,0.78125,13.28125,0,0.1041667,0.9375,60.1342282,0.0671141,0.033557,0,37.9530201,0.0671141,0.0671141,1.6778523,50.9633911,0.1926782,0.0240848,0.1926782,47.1339114,0.0240848,0.0240848,1.4450867
235,Municipio/TIOC,La Paz,Larecaja,Quiabaya,Quiabaya,697,665,1,3,25,0,3,0,1027,794,0,0,0,206,0,0,27,1391,1075,6,1,6,263,1,3,36,95.4088953,0.143472,0.4304161,3.5868006,0,0.4304161,0,77.3125609,0,0,0,20.0584226,0,0,2.6290166,77.2825306,0.4313444,0.0718907,0.4313444,18.907261,0.0718907,0.2156722,2.5880661
236,Municipio/TIOC,La Paz,Larecaja,Quiabaya,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Municipio/TIOC,La Paz,Larecaja,Quiabaya,Rural,697,665,1,3,25,0,3,0,1027,794,0,0,0,206,0,0,27,1391,1075,6,1,6,263,1,3,36,95.4088953,0.143472,0.4304161,3.5868006,0,0.4304161,0,77.3125609,0,0,0,20.0584226,0,0,2.6290166,77.2825306,0.4313444,0.0718907,0.4313444,18.907261,0.0718907,0.2156722,2.5880661
238,Municipio/TIOC,La Paz,Larecaja,Combaya,Combaya,863,818,3,5,36,0,0,1,994,820,2,1,0,165,1,2,3,1425,887,8,0,6,492,1,2,29,94.7856315,0.3476246,0.5793743,4.1714948,0,0,0.1158749,82.4949698,0.2012072,0.1006036,0,16.5995976,0.1006036,0.2012072,0.3018109,62.245614,0.5614035,0,0.4210526,34.5263158,0.0701754,0.1403509,2.0350877
239,Municipio/TIOC,La Paz,Larecaja,Combaya,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Municipio/TIOC,La Paz,Larecaja,Combaya,Rural,863,818,3,5,36,0,0,1,994,820,2,1,0,165,1,2,3,1425,887,8,0,6,492,1,2,29,94.7856315,0.3476246,0.5793743,4.1714948,0,0,0.1158749,82.4949698,0.2012072,0.1006036,0,16.5995976,0.1006036,0.2012072,0.3018109,62.245614,0.5614035,0,0.4210526,34.5263158,0.0701754,0.1403509,2.0350877
241,Municipio/TIOC,La Paz,Larecaja,Tipuani,Tipuani,2776,844,8,24,1556,7,7,330,3457,364,1,0,0,2831,7,4,250,3243,227,4,0,3,2836,6,2,165,30.4034582,0.2881844,0.8645533,56.0518732,0.2521614,0.2521614,11.8876081,10.5293607,0.0289268,0,0,81.8918137,0.2024877,0.1157073,7.2317038,6.9996916,0.1233426,0,0.0925069,87.4498921,0.1850139,0.0616713,5.0878816
242,Municipio/TIOC,La Paz,Larecaja,Tipuani,Urbana,627,231,1,9,351,2,3,30,740,20,0,0,0,685,2,1,32,893,49,0,0,0,790,1,2,51,36.8421053,0.1594896,1.4354067,55.9808612,0.3189793,0.4784689,4.784689,2.7027027,0,0,0,92.5675676,0.2702703,0.1351351,4.3243243,5.4871221,0,0,0,88.4658455,0.1119821,0.2239642,5.7110862
243,Municipio/TIOC,La Paz,Larecaja,Tipuani,Rural,2149,613,7,15,1205,5,4,300,2717,344,1,0,0,2146,5,3,218,2350,178,4,0,3,2046,5,0,114,28.5248953,0.3257329,0.6979991,56.0725919,0.2326664,0.1861331,13.9599814,12.6610232,0.0368053,0,0,78.9841737,0.1840265,0.1104159,8.0235554,7.5744681,0.1702128,0,0.1276596,87.0638298,0.212766,0,4.8510638
244,Municipio/TIOC,La Paz,Larecaja,Mapiri,Mapiri,2284,1364,1,9,785,0,2,123,4050,704,0,0,0,3171,4,3,168,6898,454,1,1,9,6131,8,13,281,59.7197898,0.0437828,0.3940455,34.3695271,0,0.0875657,5.385289,17.382716,0,0,0,78.2962963,0.0987654,0.0740741,4.1481481,6.5816179,0.014497,0.014497,0.1304726,88.880835,0.1159756,0.1884604,4.0736445
245,Municipio/TIOC,La Paz,Larecaja,Mapiri,Urbana,560,316,0,0,224,0,0,20,1773,96,0,0,0,1617,1,0,59,3465,42,0,0,4,3278,3,2,136,56.4285714,0,0,40,0,0,3.5714286,5.4145516,0,0,0,91.2013536,0.0564016,0,3.3276932,1.2121212,0,0,0.1154401,94.6031746,0.0865801,0.0577201,3.9249639
246,Municipio/TIOC,La Paz,Larecaja,Mapiri,Rural,1724,1048,1,9,561,0,2,103,2277,608,0,0,0,1554,3,3,109,3433,412,1,1,5,2853,5,11,145,60.7888631,0.0580046,0.5220418,32.5406032,0,0.1160093,5.974478,26.7018006,0,0,0,68.2476943,0.1317523,0.1317523,4.7870004,12.0011652,0.029129,0.029129,0.1456452,83.1051558,0.1456452,0.3204195,4.223711
247,Municipio/TIOC,La Paz,Larecaja,Teoponte,Teoponte,2287,2040,2,7,226,0,1,11,3487,2234,3,1,0,1199,1,2,47,4602,1979,6,2,9,2542,4,2,58,89.1998251,0.0874508,0.3060778,9.8819414,0,0.0437254,0.4809794,64.0665328,0.0860338,0.0286779,0,34.384858,0.0286779,0.0573559,1.3478635,43.0030422,0.1303781,0.0434594,0.1955671,55.2368535,0.0869187,0.0434594,1.2603216
248,Municipio/TIOC,La Paz,Larecaja,Teoponte,Urbana,,,,,,,,,,,,,,,,,,935,26,1,0,1,892,1,1,13,,,,,,,,,,,,,,,,2.7807487,0.1069519,0,0.1069519,95.4010695,0.1069519,0.1069519,1.3903743
249,Municipio/TIOC,La Paz,Larecaja,Teoponte,Rural,2287,2040,2,7,226,0,1,11,3487,2234,3,1,0,1199,1,2,47,3667,1953,5,2,8,1650,3,1,45,89.1998251,0.0874508,0.3060778,9.8819414,0,0.0437254,0.4809794,64.0665328,0.0860338,0.0286779,0,34.384858,0.0286779,0.0573559,1.3478635,53.2587947,0.1363512,0.0545405,0.218162,44.9959095,0.0818107,0.0272702,1.2271612
250,Provincia,La Paz,Franz Tamayo,,Franz Tamayo,4127,3073,670,20,344,2,1,17,6855,3334,554,3,0,2856,16,22,70,9232,3611,150,3,21,5309,14,1,123,74.4608675,16.2345529,0.4846135,8.3353526,0.0484614,0.0242307,0.4119215,48.6360321,8.0816922,0.0437637,0,41.6630197,0.2334063,0.3209336,1.0211524,39.1139515,1.6247834,0.0324957,0.2274697,57.5064991,0.1516464,0.0108319,1.3323224
251,Provincia,La Paz,Franz Tamayo,,Urbana,507,402,1,4,87,0,0,13,1420,251,1,0,0,1130,5,0,33,1835,154,0,0,6,1638,5,0,32,79.2899408,0.1972387,0.7889546,17.1597633,0,0,2.5641026,17.6760563,0.0704225,0,0,79.5774648,0.3521127,0,2.3239437,8.3923706,0,0,0.3269755,89.2643052,0.2724796,0,1.7438692
252,Provincia,La Paz,Franz Tamayo,,Rural,3620,2671,669,16,257,2,1,4,5435,3083,553,3,0,1726,11,22,37,7397,3457,150,3,15,3671,9,1,91,73.7845304,18.480663,0.441989,7.0994475,0.0552486,0.0276243,0.1104972,56.724931,10.174793,0.0551978,0,31.7571297,0.2023919,0.4047838,0.6807728,46.7351629,2.0278491,0.040557,0.2027849,49.6282277,0.1216709,0.013519,1.2302285
253,Municipio/TIOC,La Paz,Franz Tamayo,Apolo,Apolo,2689,2577,1,4,93,0,0,14,4625,2877,3,3,0,1668,14,6,54,6164,3291,13,1,18,2754,11,0,76,95.8348829,0.0371885,0.1487542,3.4585348,0,0,0.5206396,62.2054054,0.0648649,0.0648649,0,36.0648649,0.3027027,0.1297297,1.1675676,53.3906554,0.210902,0.0162232,0.2920182,44.67878,0.1784555,0,1.2329656
254,Municipio/TIOC,La Paz,Franz Tamayo,Apolo,Urbana,507,402,1,4,87,0,0,13,1420,251,1,0,0,1130,5,0,33,1835,154,0,0,6,1638,5,0,32,79.2899408,0.1972387,0.7889546,17.1597633,0,0,2.5641026,17.6760563,0.0704225,0,0,79.5774648,0.3521127,0,2.3239437,8.3923706,0,0,0.3269755,89.2643052,0.2724796,0,1.7438692
255,Municipio/TIOC,La Paz,Franz Tamayo,Apolo,Rural,2182,2175,0,0,6,0,0,1,3205,2626,2,3,0,538,9,6,21,4329,3137,13,1,12,1116,6,0,44,99.6791934,0,0,0.2749771,0,0,0.0458295,81.9344774,0.0624025,0.0936037,0,16.7862715,0.2808112,0.1872075,0.6552262,72.4647725,0.3003003,0.0231,0.2772003,25.7796258,0.1386001,0,1.016401
256,Municipio/TIOC,La Paz,Franz Tamayo,Pelechuco,Pelechuco,1438,496,669,16,251,2,1,3,2230,457,551,0,0,1188,2,16,16,3068,320,137,2,3,2555,3,1,47,34.4923505,46.5229485,1.1126565,17.4547983,0.1390821,0.069541,0.2086231,20.4932735,24.7085202,0,0,53.2735426,0.0896861,0.7174888,0.7174888,10.4302477,4.4654498,0.065189,0.0977836,83.2790091,0.0977836,0.0325945,1.5319426
257,Municipio/TIOC,La Paz,Franz Tamayo,Pelechuco,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Municipio/TIOC,La Paz,Franz Tamayo,Pelechuco,Rural,1438,496,669,16,251,2,1,3,2230,457,551,0,0,1188,2,16,16,3068,320,137,2,3,2555,3,1,47,34.4923505,46.5229485,1.1126565,17.4547983,0.1390821,0.069541,0.2086231,20.4932735,24.7085202,0,0,53.2735426,0.0896861,0.7174888,0.7174888,10.4302477,4.4654498,0.065189,0.0977836,83.2790091,0.0977836,0.0325945,1.5319426
259,Provincia,La Paz,Ingavi,,Ingavi,27626,3147,14790,771,8692,34,38,154,44000,4799,10001,7,3921,24220,98,207,747,64052,5072,4282,11,12782,39991,117,157,1640,11.3914428,53.5365236,2.7908492,31.4631145,0.1230725,0.1375516,0.5574459,10.9068182,22.7295455,0.0159091,8.9113636,55.0454545,0.2227273,0.4704545,1.6977273,7.9185662,6.6851933,0.0171735,19.955661,62.4352089,0.1826641,0.2451133,2.5604197
260,Provincia,La Paz,Ingavi,,Urbana,7813,380,155,409,6717,18,27,107,21261,532,284,0,3892,15803,51,123,576,34456,410,22,4,12731,20185,59,79,966,4.8636887,1.983873,5.234865,85.9720978,0.2303853,0.3455779,1.3695124,2.5022341,1.3357791,0,18.3058182,74.3285829,0.2398758,0.5785241,2.7091858,1.1899234,0.0638495,0.011609,36.9485721,58.5819596,0.1712329,0.2292779,2.8035756
261,Provincia,La Paz,Ingavi,,Rural,19813,2767,14635,362,1975,16,11,47,22739,4267,9717,7,29,8417,47,84,171,29596,4662,4260,7,51,19806,58,78,674,13.9655782,73.8656438,1.8270832,9.9682027,0.0807551,0.0555191,0.237218,18.7651172,42.7327499,0.0307841,0.1275342,37.0156999,0.2066933,0.3694094,0.752012,15.7521287,14.393837,0.0236518,0.1723206,66.9212056,0.1959724,0.2635491,2.2773348
262,Municipio/TIOC,La Paz,Ingavi,Viacha,Viacha,12793,888,4287,464,6988,24,29,113,26248,1550,2540,2,3921,17410,66,147,612,41941,1338,1068,5,12366,25736,79,110,1239,6.941296,33.5105136,3.6269835,54.6236223,0.1876026,0.2266865,0.8832956,5.9052118,9.6769278,0.0076196,14.938281,66.3288632,0.2514477,0.5600427,2.3316062,3.1901958,2.5464343,0.0119215,29.4842755,61.36239,0.1883598,0.2622732,2.9541499
263,Municipio/TIOC,La Paz,Ingavi,Viacha,Urbana,7302,350,116,392,6300,18,27,99,19740,435,51,0,3892,14643,51,121,547,32953,399,22,4,12355,19101,58,79,935,4.7932073,1.5886059,5.3683922,86.2777321,0.2465078,0.3697617,1.3557929,2.2036474,0.2583587,0,19.7163121,74.1793313,0.2583587,0.6129686,2.7710233,1.2108154,0.0667618,0.0121385,37.4927928,57.9643735,0.1760083,0.2397354,2.8373744
264,Municipio/TIOC,La Paz,Ingavi,Viacha,Rural,5491,538,4171,72,688,6,2,14,6508,1115,2489,2,29,2767,15,26,65,8988,939,1046,1,11,6635,21,31,304,9.797851,75.9606629,1.3112366,12.5295939,0.1092697,0.0364232,0.2549627,17.1327597,38.2452366,0.0307314,0.4456054,42.5169023,0.2304856,0.3995083,0.9987707,10.447263,11.6377392,0.0111259,0.1223854,73.8206498,0.2336449,0.3449043,3.3822875
265,Municipio/TIOC,La Paz,Ingavi,Puerto Mayor de Guaqui,Puerto Mayor de Guaqui,2272,168,1611,80,402,4,1,6,2731,329,922,0,0,1423,13,16,28,3220,287,163,0,2,2693,7,6,62,7.3943662,70.9066901,3.5211268,17.693662,0.1760563,0.0440141,0.2640845,12.0468693,33.7605273,0,0,52.1054559,0.4760161,0.585866,1.0252655,8.9130435,5.0621118,0,0.0621118,83.6335404,0.2173913,0.1863354,1.9254658
266,Municipio/TIOC,La Paz,Ingavi,Puerto Mayor de Guaqui,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Municipio/TIOC,La Paz,Ingavi,Puerto Mayor de Guaqui,Rural,2272,168,1611,80,402,4,1,6,2731,329,922,0,0,1423,13,16,28,3220,287,163,0,2,2693,7,6,62,7.3943662,70.9066901,3.5211268,17.693662,0.1760563,0.0440141,0.2640845,12.0468693,33.7605273,0,0,52.1054559,0.4760161,0.585866,1.0252655,8.9130435,5.0621118,0,0.0621118,83.6335404,0.2173913,0.1863354,1.9254658
268,Municipio/TIOC,La Paz,Ingavi,Tiahuanacu,Tiahuanacu,2950,157,2441,65,279,2,1,5,3594,907,1409,0,0,1245,7,6,20,4653,816,507,0,5,3180,4,13,128,5.3220339,82.7457627,2.2033898,9.4576271,0.0677966,0.0338983,0.1694915,25.2365053,39.2042293,0,0,34.6410684,0.1947691,0.1669449,0.556483,17.5370729,10.896196,0,0.1074576,68.3430045,0.085966,0.2793896,2.7509134
269,Municipio/TIOC,La Paz,Ingavi,Tiahuanacu,Urbana,,,,,,,,,440,82,226,0,0,128,0,0,4,,,,,,,,,,,,,,,,,18.6363636,51.3636364,0,0,29.0909091,0,0,0.9090909,,,,,,,,
270,Municipio/TIOC,La Paz,Ingavi,Tiahuanacu,Rural,2950,157,2441,65,279,2,1,5,3154,825,1183,0,0,1117,7,6,16,4653,816,507,0,5,3180,4,13,128,5.3220339,82.7457627,2.2033898,9.4576271,0.0677966,0.0338983,0.1694915,26.1572606,37.5079264,0,0,35.4153456,0.2219404,0.1902346,0.5072923,17.5370729,10.896196,0,0.1074576,68.3430045,0.085966,0.2793896,2.7509134
271,Municipio/TIOC,La Paz,Ingavi,Desaguadero,Desaguadero,1444,290,645,22,471,0,6,10,2250,302,344,0,0,1570,2,2,30,2675,241,47,0,394,1943,2,1,47,20.0831025,44.66759,1.5235457,32.6177285,0,0.4155125,0.6925208,13.4222222,15.2888889,0,0,69.7777778,0.0888889,0.0888889,1.3333333,9.0093458,1.7570093,0,14.728972,72.635514,0.0747664,0.0373832,1.7570093
272,Municipio/TIOC,La Paz,Ingavi,Desaguadero,Urbana,511,30,39,17,417,0,0,8,1081,15,7,0,0,1032,0,2,25,1503,11,0,0,376,1084,1,0,31,5.8708415,7.6320939,3.3268102,81.6046967,0,0,1.5655577,1.3876041,0.6475486,0,0,95.46716,0,0.1850139,2.3126735,0.7318696,0,0,25.0166334,72.1224218,0.0665336,0,2.0625416
273,Municipio/TIOC,La Paz,Ingavi,Desaguadero,Rural,933,260,606,5,54,0,6,2,1169,287,337,0,0,538,2,0,5,1172,230,47,0,18,859,1,1,16,27.8670954,64.9517685,0.5359057,5.7877814,0,0.6430868,0.2143623,24.5508982,28.8280582,0,0,46.0222412,0.1710864,0,0.427716,19.6245734,4.0102389,0,1.5358362,73.2935154,0.0853242,0.0853242,1.3651877
274,Municipio/TIOC,La Paz,Ingavi,La (Marka) San Andrés de Machaca,La (Marka) San Andrés de Machaca,2166,594,1440,21,104,1,0,6,2391,676,1305,2,0,388,1,9,10,3114,1049,682,1,3,1334,4,9,32,27.4238227,66.4819945,0.9695291,4.8014774,0.0461681,0,0.2770083,28.2726893,54.5796738,0.083647,0,16.2275199,0.0418235,0.3764115,0.418235,33.6865768,21.9010918,0.032113,0.0963391,42.8387925,0.1284522,0.2890173,1.0276172
275,Municipio/TIOC,La Paz,Ingavi,La (Marka) San Andrés de Machaca,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Municipio/TIOC,La Paz,Ingavi,La (Marka) San Andrés de Machaca,Rural,2166,594,1440,21,104,1,0,6,2391,676,1305,2,0,388,1,9,10,3114,1049,682,1,3,1334,4,9,32,27.4238227,66.4819945,0.9695291,4.8014774,0.0461681,0,0.2770083,28.2726893,54.5796738,0.083647,0,16.2275199,0.0418235,0.3764115,0.418235,33.6865768,21.9010918,0.032113,0.0963391,42.8387925,0.1284522,0.2890173,1.0276172
277,Municipio/TIOC,La Paz,Ingavi,Jesús de Machaka,Jesús de Machaka,4239,181,3742,45,259,3,1,8,4967,546,3290,2,0,1084,6,13,26,5887,1116,1779,3,9,2844,14,13,109,4.269875,88.2755367,1.0615711,6.1099316,0.0707714,0.0235905,0.1887238,10.9925508,66.2371653,0.0402658,0,21.8240387,0.1207973,0.2617274,0.5234548,18.957024,30.2191269,0.0509597,0.1528792,48.3098352,0.2378121,0.2208255,1.8515373
278,Municipio/TIOC,La Paz,Ingavi,Jesús de Machaka,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Municipio/TIOC,La Paz,Ingavi,Jesús de Machaka,Rural,4239,181,3742,45,259,3,1,8,4967,546,3290,2,0,1084,6,13,26,5887,1116,1779,3,9,2844,14,13,109,4.269875,88.2755367,1.0615711,6.1099316,0.0707714,0.0235905,0.1887238,10.9925508,66.2371653,0.0402658,0,21.8240387,0.1207973,0.2617274,0.5234548,18.957024,30.2191269,0.0509597,0.1528792,48.3098352,0.2378121,0.2208255,1.8515373
280,Municipio/TIOC,La Paz,Ingavi,Taraco,Taraco,1762,869,624,74,189,0,0,6,1819,489,191,1,0,1100,3,14,21,2562,225,36,2,3,2261,7,5,23,49.3189557,35.4143019,4.199773,10.7264472,0,0,0.3405221,26.8829027,10.5002749,0.0549753,0,60.4727872,0.1649258,0.7696537,1.1544805,8.7822014,1.4051522,0.078064,0.117096,88.2513661,0.273224,0.19516,0.8977361
