N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE VIVIENDAS | 2001 | Total,NÚMERO DE VIVIENDAS | 2001 | Leña,"NÚMERO DE VIVIENDAS | 2001 | Guano, bosta, taquia",NÚMERO DE VIVIENDAS | 2001 | Kerosén,NÚMERO DE VIVIENDAS | 2001 | Gas,NÚMERO DE VIVIENDAS | 2001 | Electricidad,NÚMERO DE VIVIENDAS | 2001 | Otro,NÚMERO DE VIVIENDAS | 2001 | No utiliza,NÚMERO DE VIVIENDAS | 2012 | Total,NÚMERO DE VIVIENDAS | 2012 | Leña,"NÚMERO DE VIVIENDAS | 2012 | Guano, bosta, taquia",NÚMERO DE VIVIENDAS | 2012 | Energía solar,NÚMERO DE VIVIENDAS | 2012 | Gas domiciliario (por cañería),NÚMERO DE VIVIENDAS | 2012 | Gas en garrafa,NÚMERO DE VIVIENDAS | 2012 | Electricidad,NÚMERO DE VIVIENDAS | 2012 | Otro,NÚMERO DE VIVIENDAS | 2012 | No cocina,NÚMERO DE VIVIENDAS | 2024 | Total,NÚMERO DE VIVIENDAS | 2024 | Leña,"NÚMERO DE VIVIENDAS | 2024 | Guano, bosta, taquia",NÚMERO DE VIVIENDAS | 2024 | Energía solar,NÚMERO DE VIVIENDAS | 2024 | Gas domiciliario (por cañería),NÚMERO DE VIVIENDAS | 2024 | Gas en garrafa,NÚMERO DE VIVIENDAS | 2024 | Electricidad,NÚMERO DE VIVIENDAS | 2024 | Otro,NÚMERO DE VIVIENDAS | 2024 | No cocina,DISTRIBUCIÓN PORCENTUAL | 2001 | Leña,"DISTRIBUCIÓN PORCENTUAL | 2001 | Guano, bosta, taquia",DISTRIBUCIÓN PORCENTUAL | 2001 | Kerosén,DISTRIBUCIÓN PORCENTUAL | 2001 | Gas,DISTRIBUCIÓN PORCENTUAL | 2001 | Electricidad,DISTRIBUCIÓN PORCENTUAL | 2001 | Otro,DISTRIBUCIÓN PORCENTUAL | 2001 | No utiliza,DISTRIBUCIÓN PORCENTUAL | 2012 | Leña,"DISTRIBUCIÓN PORCENTUAL | 2012 | Guano, bosta, taquia",DISTRIBUCIÓN PORCENTUAL | 2012 | Energía solar,DISTRIBUCIÓN PORCENTUAL | 2012 | Gas domiciliario (por cañería),DISTRIBUCIÓN PORCENTUAL | 2012 | Gas en garrafa,DISTRIBUCIÓN PORCENTUAL | 2012 | Electricidad,DISTRIBUCIÓN PORCENTUAL | 2012 | Otro,DISTRIBUCIÓN PORCENTUAL | 2012 | No cocina,DISTRIBUCIÓN PORCENTUAL | 2024 | Leña,"DISTRIBUCIÓN PORCENTUAL | 2024 | Guano, bosta, taquia",DISTRIBUCIÓN PORCENTUAL | 2024 | Energía solar,DISTRIBUCIÓN PORCENTUAL | 2024 | Gas domiciliario (por cañería),DISTRIBUCIÓN PORCENTUAL | 2024 | Gas en garrafa,DISTRIBUCIÓN PORCENTUAL | 2024 | Electricidad,DISTRIBUCIÓN PORCENTUAL | 2024 | Otro,DISTRIBUCIÓN PORCENTUAL | 2024 | No cocina
1164,Municipio/TIOC,Santa Cruz,Florida,Mairana,Rural,989,679,1,3,299,1,0,6,1071,392,0,0,0,671,0,0,8,1831,645,2,0,8,1140,3,1,32,68.6552073,0.1011122,0.3033367,30.2325581,0.1011122,0,0.6066734,36.6013072,0,0,0,62.6517274,0,0,0.7469655,35.2266521,0.1092299,0,0.4369197,62.2610595,0.1638449,0.054615,1.7476789
1165,Municipio/TIOC,Santa Cruz,Florida,Quirusillas,Quirusillas,444,353,0,0,87,0,0,4,730,286,0,1,0,430,1,3,9,787,222,1,0,2,555,1,0,6,79.5045045,0,0,19.5945946,0,0,0.9009009,39.1780822,0,0.1369863,0,58.9041096,0.1369863,0.4109589,1.2328767,28.2083863,0.1270648,0,0.2541296,70.5209657,0.1270648,0,0.7623888
1166,Municipio/TIOC,Santa Cruz,Florida,Quirusillas,Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,Municipio/TIOC,Santa Cruz,Florida,Quirusillas,Rural,444,353,0,0,87,0,0,4,730,286,0,1,0,430,1,3,9,787,222,1,0,2,555,1,0,6,79.5045045,0,0,19.5945946,0,0,0.9009009,39.1780822,0,0.1369863,0,58.9041096,0.1369863,0.4109589,1.2328767,28.2083863,0.1270648,0,0.2541296,70.5209657,0.1270648,0,0.7623888
1168,Provincia,Santa Cruz,Obispo Santisteban,,Obispo Santisteban,27092,8607,127,48,17934,36,22,318,41546,3860,9,15,1000,35731,55,49,827,51149,1724,8,12,6986,41373,81,37,928,31.7695261,0.4687731,0.1771741,66.1966632,0.1328806,0.0812048,1.1737782,9.2909065,0.0216627,0.0361046,2.4069706,86.003466,0.1323834,0.1179416,1.9905647,3.3705449,0.0156406,0.0234609,13.658136,80.8872119,0.1583609,0.0723377,1.8143072
1169,Provincia,Santa Cruz,Obispo Santisteban,,Urbana,21587,4256,104,36,16843,35,13,300,34714,1499,3,3,995,31418,44,16,736,45332,809,6,9,6975,36646,72,29,786,19.7155696,0.4817714,0.166767,78.0238106,0.1621346,0.0602214,1.3897253,4.3181425,0.008642,0.008642,2.8662787,90.5052716,0.12675,0.0460909,2.1201821,1.7846113,0.0132357,0.0198535,15.386482,80.8391423,0.1588282,0.0639725,1.7338745
1170,Provincia,Santa Cruz,Obispo Santisteban,,Rural,5505,4351,23,12,1091,1,9,18,6832,2361,6,12,5,4313,11,33,91,5817,915,2,3,11,4727,9,8,142,79.0372389,0.417802,0.2179837,19.818347,0.0181653,0.1634877,0.3269755,34.5579625,0.087822,0.175644,0.073185,63.1293911,0.161007,0.4830211,1.3319672,15.7297576,0.034382,0.051573,0.1891009,81.2618188,0.1547189,0.1375279,2.4411209
1171,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Montero,Montero,16216,2351,70,21,13493,26,11,244,26343,1082,3,1,1000,23653,27,11,566,33384,417,4,6,6952,25307,51,23,624,14.4980266,0.4316724,0.1295017,83.2079428,0.1603355,0.0678342,1.5046867,4.107353,0.0113882,0.0037961,3.7960749,89.7885586,0.102494,0.0417568,2.1485784,1.2491014,0.0119818,0.0179727,20.824347,75.8057752,0.1527678,0.0688953,1.8691589
1172,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Montero,Urbana,15775,2013,62,21,13399,26,11,243,25783,890,2,1,995,23300,27,11,557,33175,376,4,6,6951,25150,51,23,614,12.7606973,0.3930269,0.133122,84.9381933,0.1648177,0.0697306,1.540412,3.4518869,0.007757,0.0038785,3.859132,90.3696234,0.1047202,0.0426638,2.1603382,1.1333836,0.0120573,0.0180859,20.9525245,75.810098,0.1537302,0.0693293,1.8507913
1173,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Montero,Rural,441,338,8,0,94,0,0,1,560,192,1,0,5,353,0,0,9,209,41,0,0,1,157,0,0,10,76.6439909,1.814059,0,21.3151927,0,0,0.2267574,34.2857143,0.1785714,0,0.8928571,63.0357143,0,0,1.6071429,19.6172249,0,0,0.4784689,75.1196172,0,0,4.784689
