N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE VIVIENDAS | Total,"NÚMERO DE VIVIENDAS | Hotel, hostal, residencial, alojamiento",NÚMERO DE VIVIENDAS | Hospital o clínica con internación,NÚMERO DE VIVIENDAS | Cuartel o establecimiento militar o policial,NÚMERO DE VIVIENDAS | Residencia u otro de adultos mayores,NÚMERO DE VIVIENDAS | Albergue de niñas(os) y adolescentes,NÚMERO DE VIVIENDAS | Recinto penitenciario o de reintegración,NÚMERO DE VIVIENDAS | Campamento de trabajo,"NÚMERO DE VIVIENDAS | Otra 
(Instituto de rehabilitación, convento)","DISTRIBUCIÓN PORCENTUAL | Hotel, hostal, residencial, alojamiento",DISTRIBUCIÓN PORCENTUAL | Hospital o clínica con internación,DISTRIBUCIÓN PORCENTUAL | Cuartel o establecimiento militar o policial,DISTRIBUCIÓN PORCENTUAL | Residencia u otro de adultos mayores,DISTRIBUCIÓN PORCENTUAL | Albergue de niñas(os) y adolescentes,DISTRIBUCIÓN PORCENTUAL | Recinto penitenciario o de reintegración,DISTRIBUCIÓN PORCENTUAL | Campamento de trabajo,"DISTRIBUCIÓN PORCENTUAL | Otra 
(Instituto de rehabilitación, convento)"
1137,Provincia,Santa Cruz,Valle Grande,,Rural,25,15,1,0,0,1,0,5,3,60,4,0,0,4,0,20,12
1138,Municipio/TIOC,Santa Cruz,Valle Grande,Vallegrande,Vallegrande,31,13,7,3,1,3,1,0,3,41.9354839,22.5806452,9.6774194,3.2258065,9.6774194,3.2258065,0,9.6774194
1139,Municipio/TIOC,Santa Cruz,Valle Grande,Vallegrande,Urbana,26,8,7,3,1,3,1,0,3,30.7692308,26.9230769,11.5384615,3.8461538,11.5384615,3.8461538,0,11.5384615
1140,Municipio/TIOC,Santa Cruz,Valle Grande,Vallegrande,Rural,5,5,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
1141,Municipio/TIOC,Santa Cruz,Valle Grande,Trigal,Trigal,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,100
1142,Municipio/TIOC,Santa Cruz,Valle Grande,Trigal,Urbana,,,,,,,,,,,,,,,,,
1143,Municipio/TIOC,Santa Cruz,Valle Grande,Trigal,Rural,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,100
1144,Municipio/TIOC,Santa Cruz,Valle Grande,Moromoro,Moromoro,11,7,0,0,0,0,0,3,1,63.6363636,0,0,0,0,0,27.2727273,9.0909091
1145,Municipio/TIOC,Santa Cruz,Valle Grande,Moromoro,Urbana,,,,,,,,,,,,,,,,,
1146,Municipio/TIOC,Santa Cruz,Valle Grande,Moromoro,Rural,11,7,0,0,0,0,0,3,1,63.6363636,0,0,0,0,0,27.2727273,9.0909091
1147,Municipio/TIOC,Santa Cruz,Valle Grande,Postrervalle,Postrervalle,6,2,1,0,0,1,0,2,0,33.3333333,16.6666667,0,0,16.6666667,0,33.3333333,0
1148,Municipio/TIOC,Santa Cruz,Valle Grande,Postrervalle,Urbana,,,,,,,,,,,,,,,,,
1149,Municipio/TIOC,Santa Cruz,Valle Grande,Postrervalle,Rural,6,2,1,0,0,1,0,2,0,33.3333333,16.6666667,0,0,16.6666667,0,33.3333333,0
1150,Municipio/TIOC,Santa Cruz,Valle Grande,Pucará,Pucará,1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
1151,Municipio/TIOC,Santa Cruz,Valle Grande,Pucará,Urbana,,,,,,,,,,,,,,,,,
1152,Municipio/TIOC,Santa Cruz,Valle Grande,Pucará,Rural,1,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
1153,Provincia,Santa Cruz,Florida,,Florida,94,58,4,3,0,5,0,9,15,61.7021277,4.2553191,3.1914894,0,5.3191489,0,9.5744681,15.9574468
1154,Provincia,Santa Cruz,Florida,,Urbana,76,50,3,2,0,4,0,3,14,65.7894737,3.9473684,2.6315789,0,5.2631579,0,3.9473684,18.4210526
1155,Provincia,Santa Cruz,Florida,,Rural,18,8,1,1,0,1,0,6,1,44.4444444,5.5555556,5.5555556,0,5.5555556,0,33.3333333,5.5555556
1156,Municipio/TIOC,Santa Cruz,Florida,Samaipata,Samaipata,53,42,1,1,0,5,0,3,1,79.245283,1.8867925,1.8867925,0,9.4339623,0,5.6603774,1.8867925
1157,Municipio/TIOC,Santa Cruz,Florida,Samaipata,Urbana,48,39,1,1,0,4,0,2,1,81.25,2.0833333,2.0833333,0,8.3333333,0,4.1666667,2.0833333
1158,Municipio/TIOC,Santa Cruz,Florida,Samaipata,Rural,5,3,0,0,0,1,0,1,0,60,0,0,0,20,0,20,0
1159,Municipio/TIOC,Santa Cruz,Florida,Pampagrande,Pampagrande,12,2,0,0,0,0,0,5,5,16.6666667,0,0,0,0,0,41.6666667,41.6666667
1160,Municipio/TIOC,Santa Cruz,Florida,Pampagrande,Urbana,5,1,0,0,0,0,0,0,4,20,0,0,0,0,0,0,80
1161,Municipio/TIOC,Santa Cruz,Florida,Pampagrande,Rural,7,1,0,0,0,0,0,5,1,14.2857143,0,0,0,0,0,71.4285714,14.2857143
1162,Municipio/TIOC,Santa Cruz,Florida,Mairana,Mairana,24,10,2,2,0,0,0,1,9,41.6666667,8.3333333,8.3333333,0,0,0,4.1666667,37.5
1163,Municipio/TIOC,Santa Cruz,Florida,Mairana,Urbana,23,10,2,1,0,0,0,1,9,43.4782609,8.6956522,4.3478261,0,0,0,4.3478261,39.1304348
1164,Municipio/TIOC,Santa Cruz,Florida,Mairana,Rural,1,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0
1165,Municipio/TIOC,Santa Cruz,Florida,Quirusillas,Quirusillas,5,4,1,0,0,0,0,0,0,80,20,0,0,0,0,0,0
1166,Municipio/TIOC,Santa Cruz,Florida,Quirusillas,Urbana,,,,,,,,,,,,,,,,,
1167,Municipio/TIOC,Santa Cruz,Florida,Quirusillas,Rural,5,4,1,0,0,0,0,0,0,80,20,0,0,0,0,0,0
1168,Provincia,Santa Cruz,Obispo Santisteban,,Obispo Santisteban,500,146,31,15,4,6,1,258,39,29.2,6.2,3,0.8,1.2,0.2,51.6,7.8
1169,Provincia,Santa Cruz,Obispo Santisteban,,Urbana,339,143,29,15,4,5,1,108,34,42.1828909,8.5545723,4.4247788,1.179941,1.4749263,0.2949853,31.8584071,10.0294985
1170,Provincia,Santa Cruz,Obispo Santisteban,,Rural,161,3,2,0,0,1,0,150,5,1.863354,1.242236,0,0,0.621118,0,93.1677019,3.1055901
1171,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Montero,Montero,221,117,23,12,3,4,1,37,24,52.9411765,10.4072398,5.4298643,1.3574661,1.8099548,0.4524887,16.7420814,10.8597285
1172,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Montero,Urbana,216,117,23,12,3,4,1,32,24,54.1666667,10.6481481,5.5555556,1.3888889,1.8518519,0.462963,14.8148148,11.1111111
1173,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Montero,Rural,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,100,0
1174,Municipio/TIOC,Santa Cruz,Obispo Santisteban,General Saavedra,General Saavedra,25,3,1,1,0,1,0,17,2,12,4,4,0,4,0,68,8
1175,Municipio/TIOC,Santa Cruz,Obispo Santisteban,General Saavedra,Urbana,14,3,1,1,0,1,0,6,2,21.4285714,7.1428571,7.1428571,0,7.1428571,0,42.8571429,14.2857143
1176,Municipio/TIOC,Santa Cruz,Obispo Santisteban,General Saavedra,Rural,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,100,0
1177,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Mineros,Mineros,32,6,2,2,0,0,0,15,7,18.75,6.25,6.25,0,0,0,46.875,21.875
1178,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Mineros,Urbana,17,6,2,2,0,0,0,4,3,35.2941176,11.7647059,11.7647059,0,0,0,23.5294118,17.6470588
1179,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Mineros,Rural,15,0,0,0,0,0,0,11,4,0,0,0,0,0,0,73.3333333,26.6666667
1180,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Fernández Alonso,Fernández Alonso,59,6,1,0,1,0,0,48,3,10.1694915,1.6949153,0,1.6949153,0,0,81.3559322,5.0847458
1181,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Fernández Alonso,Urbana,11,6,1,0,1,0,0,0,3,54.5454545,9.0909091,0,9.0909091,0,0,0,27.2727273
1182,Municipio/TIOC,Santa Cruz,Obispo Santisteban,Fernández Alonso,Rural,48,0,0,0,0,0,0,48,0,0,0,0,0,0,0,100,0
1183,Municipio/TIOC,Santa Cruz,Obispo Santisteban,San Pedro,San Pedro,163,14,4,0,0,1,0,141,3,8.5889571,2.4539877,0,0,0.6134969,0,86.5030675,1.8404908
1184,Municipio/TIOC,Santa Cruz,Obispo Santisteban,San Pedro,Urbana,81,11,2,0,0,0,0,66,2,13.5802469,2.4691358,0,0,0,0,81.4814815,2.4691358
1185,Municipio/TIOC,Santa Cruz,Obispo Santisteban,San Pedro,Rural,82,3,2,0,0,1,0,75,1,3.6585366,2.4390244,0,0,1.2195122,0,91.4634146,1.2195122
1186,Provincia,Santa Cruz,Ñuflo de Chávez,,Ñuflo de Chávez,482,55,13,7,1,4,1,353,48,11.4107884,2.6970954,1.4522822,0.2074689,0.8298755,0.2074689,73.2365145,9.9585062
1187,Provincia,Santa Cruz,Ñuflo de Chávez,,Urbana,111,49,9,6,0,0,0,26,21,44.1441441,8.1081081,5.4054054,0,0,0,23.4234234,18.9189189
1188,Provincia,Santa Cruz,Ñuflo de Chávez,,Rural,371,6,4,1,1,4,1,327,27,1.6172507,1.0781671,0.2695418,0.2695418,1.0781671,0.2695418,88.1401617,7.277628
1189,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,Concepción,Concepción,99,12,3,2,0,1,0,54,27,12.1212121,3.030303,2.020202,0,1.010101,0,54.5454545,27.2727273
1190,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,Concepción,Urbana,30,12,2,2,0,0,0,3,11,40,6.6666667,6.6666667,0,0,0,10,36.6666667
1191,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,Concepción,Rural,69,0,1,0,0,1,0,51,16,0,1.4492754,0,0,1.4492754,0,73.9130435,23.1884058
1192,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Javier,San Javier,45,8,3,1,0,0,0,33,0,17.7777778,6.6666667,2.2222222,0,0,0,73.3333333,0
1193,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Javier,Urbana,13,7,2,1,0,0,0,3,0,53.8461538,15.3846154,7.6923077,0,0,0,23.0769231,0
1194,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Javier,Rural,32,1,1,0,0,0,0,30,0,3.125,3.125,0,0,0,0,93.75,0
1195,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Julián,San Julián,203,17,4,1,0,1,0,169,11,8.3743842,1.9704433,0.4926108,0,0.4926108,0,83.2512315,5.4187192
1196,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Julián,Urbana,34,16,3,1,0,0,0,9,5,47.0588235,8.8235294,2.9411765,0,0,0,26.4705882,14.7058824
1197,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Julián,Rural,169,1,1,0,0,1,0,160,6,0.591716,0.591716,0,0,0.591716,0,94.6745562,3.5502959
1198,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Antonio de Lomerio,San Antonio de Lomerio,6,3,0,0,0,0,0,1,2,50,0,0,0,0,0,16.6666667,33.3333333
1199,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Antonio de Lomerio,Urbana,,,,,,,,,,,,,,,,,
1200,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Antonio de Lomerio,Rural,6,3,0,0,0,0,0,1,2,50,0,0,0,0,0,16.6666667,33.3333333
1201,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Ramón,San Ramón,21,9,1,1,0,0,0,8,2,42.8571429,4.7619048,4.7619048,0,0,0,38.0952381,9.5238095
1202,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Ramón,Urbana,18,9,1,1,0,0,0,5,2,50,5.5555556,5.5555556,0,0,0,27.7777778,11.1111111
1203,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Ramón,Rural,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,100,0
1204,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,Cuatro Cañadas,Cuatro Cañadas,108,6,2,2,1,2,1,88,6,5.5555556,1.8518519,1.8518519,0.9259259,1.8518519,0.9259259,81.4814815,5.5555556
1205,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,Cuatro Cañadas,Urbana,16,5,1,1,0,0,0,6,3,31.25,6.25,6.25,0,0,0,37.5,18.75
1206,Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,Cuatro Cañadas,Rural,92,1,1,1,1,2,1,82,3,1.0869565,1.0869565,1.0869565,1.0869565,2.173913,1.0869565,89.1304348,3.2608696
1207,Provincia,Santa Cruz,Ángel Sandoval,,Ángel Sandoval,31,13,2,8,0,1,0,6,1,41.9354839,6.4516129,25.8064516,0,3.2258065,0,19.3548387,3.2258065
1208,Provincia,Santa Cruz,Ángel Sandoval,,Urbana,18,10,2,3,0,1,0,1,1,55.5555556,11.1111111,16.6666667,0,5.5555556,0,5.5555556,5.5555556
1209,Provincia,Santa Cruz,Ángel Sandoval,,Rural,13,3,0,5,0,0,0,5,0,23.0769231,0,38.4615385,0,0,0,38.4615385,0
1210,Municipio/TIOC,Santa Cruz,Ángel Sandoval,San Matías,San Matías,31,13,2,8,0,1,0,6,1,41.9354839,6.4516129,25.8064516,0,3.2258065,0,19.3548387,3.2258065
1211,Municipio/TIOC,Santa Cruz,Ángel Sandoval,San Matías,Urbana,18,10,2,3,0,1,0,1,1,55.5555556,11.1111111,16.6666667,0,5.5555556,0,5.5555556,5.5555556
1212,Municipio/TIOC,Santa Cruz,Ángel Sandoval,San Matías,Rural,13,3,0,5,0,0,0,5,0,23.0769231,0,38.4615385,0,0,0,38.4615385,0
1213,Provincia,Santa Cruz,Manuel María Caballero,,Manuel María Caballero,32,7,2,2,1,1,0,13,6,21.875,6.25,6.25,3.125,3.125,0,40.625,18.75
1214,Provincia,Santa Cruz,Manuel María Caballero,,Urbana,16,5,2,2,1,1,0,1,4,31.25,12.5,12.5,6.25,6.25,0,6.25,25
1215,Provincia,Santa Cruz,Manuel María Caballero,,Rural,16,2,0,0,0,0,0,12,2,12.5,0,0,0,0,0,75,12.5
1216,Municipio/TIOC,Santa Cruz,Manuel María Caballero,Comarapa,Comarapa,22,5,1,1,1,1,0,10,3,22.7272727,4.5454545,4.5454545,4.5454545,4.5454545,0,45.4545455,13.6363636
1217,Municipio/TIOC,Santa Cruz,Manuel María Caballero,Comarapa,Urbana,11,3,1,1,1,1,0,1,3,27.2727273,9.0909091,9.0909091,9.0909091,9.0909091,0,9.0909091,27.2727273
1218,Municipio/TIOC,Santa Cruz,Manuel María Caballero,Comarapa,Rural,11,2,0,0,0,0,0,9,0,18.1818182,0,0,0,0,0,81.8181818,0
1219,Municipio/TIOC,Santa Cruz,Manuel María Caballero,Saipina,Saipina,10,2,1,1,0,0,0,3,3,20,10,10,0,0,0,30,30
1220,Municipio/TIOC,Santa Cruz,Manuel María Caballero,Saipina,Urbana,5,2,1,1,0,0,0,0,1,40,20,20,0,0,0,0,20
1221,Municipio/TIOC,Santa Cruz,Manuel María Caballero,Saipina,Rural,5,0,0,0,0,0,0,3,2,0,0,0,0,0,0,60,40
1222,Provincia,Santa Cruz,Germán Busch,,Germán Busch,146,62,8,16,0,3,1,50,6,42.4657534,5.4794521,10.9589041,0,2.0547945,0.6849315,34.2465753,4.109589
1223,Provincia,Santa Cruz,Germán Busch,,Urbana,91,55,5,11,0,0,1,14,5,60.4395604,5.4945055,12.0879121,0,0,1.0989011,15.3846154,5.4945055
1224,Provincia,Santa Cruz,Germán Busch,,Rural,55,7,3,5,0,3,0,36,1,12.7272727,5.4545455,9.0909091,0,5.4545455,0,65.4545455,1.8181818
1225,Municipio/TIOC,Santa Cruz,Germán Busch,Puerto Suárez,Puerto Suárez,50,7,5,7,0,0,1,26,4,14,10,14,0,0,2,52,8
1226,Municipio/TIOC,Santa Cruz,Germán Busch,Puerto Suárez,Urbana,12,1,2,3,0,0,1,2,3,8.3333333,16.6666667,25,0,0,8.3333333,16.6666667,25
1227,Municipio/TIOC,Santa Cruz,Germán Busch,Puerto Suárez,Rural,38,6,3,4,0,0,0,24,1,15.7894737,7.8947368,10.5263158,0,0,0,63.1578947,2.6315789
1228,Municipio/TIOC,Santa Cruz,Germán Busch,Puerto Quijarro,Puerto Quijarro,63,37,2,8,0,0,0,14,2,58.7301587,3.1746032,12.6984127,0,0,0,22.2222222,3.1746032
1229,Municipio/TIOC,Santa Cruz,Germán Busch,Puerto Quijarro,Urbana,60,37,2,7,0,0,0,12,2,61.6666667,3.3333333,11.6666667,0,0,0,20,3.3333333
1230,Municipio/TIOC,Santa Cruz,Germán Busch,Puerto Quijarro,Rural,3,0,0,1,0,0,0,2,0,0,0,33.3333333,0,0,0,66.6666667,0
1231,Municipio/TIOC,Santa Cruz,Germán Busch,El Carmen Rivero Tórrez,El Carmen Rivero Tórrez,33,18,1,1,0,3,0,10,0,54.5454545,3.030303,3.030303,0,9.0909091,0,30.3030303,0
1232,Municipio/TIOC,Santa Cruz,Germán Busch,El Carmen Rivero Tórrez,Urbana,19,17,1,1,0,0,0,0,0,89.4736842,5.2631579,5.2631579,0,0,0,0,0
1233,Municipio/TIOC,Santa Cruz,Germán Busch,El Carmen Rivero Tórrez,Rural,14,1,0,0,0,3,0,10,0,7.1428571,0,0,0,21.4285714,0,71.4285714,0
1234,Provincia,Santa Cruz,Guarayos,,Guarayos,107,12,3,2,0,0,0,77,13,11.2149533,2.8037383,1.8691589,0,0,0,71.9626168,12.1495327
1235,Provincia,Santa Cruz,Guarayos,,Urbana,26,9,3,2,0,0,0,7,5,34.6153846,11.5384615,7.6923077,0,0,0,26.9230769,19.2307692
1236,Provincia,Santa Cruz,Guarayos,,Rural,81,3,0,0,0,0,0,70,8,3.7037037,0,0,0,0,0,86.4197531,9.8765432
1237,Municipio/TIOC,Santa Cruz,Guarayos,Ascención de Guarayos,Ascención de Guarayos,61,8,1,1,0,0,0,43,8,13.1147541,1.6393443,1.6393443,0,0,0,70.4918033,13.1147541
1238,Municipio/TIOC,Santa Cruz,Guarayos,Ascención de Guarayos,Urbana,20,8,1,1,0,0,0,5,5,40,5,5,0,0,0,25,25
1239,Municipio/TIOC,Santa Cruz,Guarayos,Ascención de Guarayos,Rural,41,0,0,0,0,0,0,38,3,0,0,0,0,0,0,92.6829268,7.3170732
1240,Municipio/TIOC,Santa Cruz,Guarayos,Urubichá,Urubichá,8,0,1,0,0,0,0,4,3,0,12.5,0,0,0,0,50,37.5
1241,Municipio/TIOC,Santa Cruz,Guarayos,Urubichá,Urbana,2,0,1,0,0,0,0,1,0,0,50,0,0,0,0,50,0
1242,Municipio/TIOC,Santa Cruz,Guarayos,Urubichá,Rural,6,0,0,0,0,0,0,3,3,0,0,0,0,0,0,50,50
1243,Municipio/TIOC,Santa Cruz,Guarayos,El Puente,El Puente,38,4,1,1,0,0,0,30,2,10.5263158,2.6315789,2.6315789,0,0,0,78.9473684,5.2631579
1244,Municipio/TIOC,Santa Cruz,Guarayos,El Puente,Urbana,4,1,1,1,0,0,0,1,0,25,25,25,0,0,0,25,0
1245,Municipio/TIOC,Santa Cruz,Guarayos,El Puente,Rural,34,3,0,0,0,0,0,29,2,8.8235294,0,0,0,0,0,85.2941176,5.8823529
1246,Departamento,Beni,,,Beni,1189,604,56,107,11,23,7,221,160,50.7989907,4.7098402,8.999159,0.9251472,1.9343987,0.58873,18.5870479,13.4566863
1247,Departamento,Beni,,,Urbana,894,552,52,83,11,9,7,55,125,61.7449664,5.8165548,9.2841163,1.2304251,1.0067114,0.7829978,6.1521253,13.9821029
1248,Departamento,Beni,,,Rural,295,52,4,24,0,14,0,166,35,17.6271186,1.3559322,8.1355932,0,4.7457627,0,56.2711864,11.8644068
1249,Provincia,Beni,Cercado,,Cercado,417,255,19,43,3,3,3,39,52,61.1510791,4.5563549,10.3117506,0.7194245,0.7194245,0.7194245,9.352518,12.470024
1250,Provincia,Beni,Cercado,,Urbana,374,240,19,39,3,3,3,19,48,64.171123,5.0802139,10.4278075,0.802139,0.802139,0.802139,5.0802139,12.8342246
1251,Provincia,Beni,Cercado,,Rural,43,15,0,4,0,0,0,20,4,34.8837209,0,9.3023256,0,0,0,46.5116279,9.3023256
1252,Municipio/TIOC,Beni,Cercado,Trinidad,Trinidad,385,241,19,43,3,3,3,23,50,62.5974026,4.9350649,11.1688312,0.7792208,0.7792208,0.7792208,5.974026,12.987013
1253,Municipio/TIOC,Beni,Cercado,Trinidad,Urbana,374,240,19,39,3,3,3,19,48,64.171123,5.0802139,10.4278075,0.802139,0.802139,0.802139,5.0802139,12.8342246
1254,Municipio/TIOC,Beni,Cercado,Trinidad,Rural,11,1,0,4,0,0,0,4,2,9.0909091,0,36.3636364,0,0,0,36.3636364,18.1818182
1255,Municipio/TIOC,Beni,Cercado,San Javier,San Javier,32,14,0,0,0,0,0,16,2,43.75,0,0,0,0,0,50,6.25
1256,Municipio/TIOC,Beni,Cercado,San Javier,Urbana,,,,,,,,,,,,,,,,,
1257,Municipio/TIOC,Beni,Cercado,San Javier,Rural,32,14,0,0,0,0,0,16,2,43.75,0,0,0,0,0,50,6.25
1258,Provincia,Beni,Vaca Diez,,Vaca Diez,264,146,16,22,6,4,3,31,36,55.3030303,6.0606061,8.3333333,2.2727273,1.5151515,1.1363636,11.7424242,13.6363636
1259,Provincia,Beni,Vaca Diez,,Urbana,220,136,14,17,6,4,3,13,27,61.8181818,6.3636364,7.7272727,2.7272727,1.8181818,1.3636364,5.9090909,12.2727273
1260,Provincia,Beni,Vaca Diez,,Rural,44,10,2,5,0,0,0,18,9,22.7272727,4.5454545,11.3636364,0,0,0,40.9090909,20.4545455
1261,Municipio/TIOC,Beni,Vaca Diez,Riberalta,Riberalta,101,40,8,15,1,1,2,18,16,39.6039604,7.9207921,14.8514851,0.990099,0.990099,1.980198,17.8217822,15.8415842
1262,Municipio/TIOC,Beni,Vaca Diez,Riberalta,Urbana,83,39,7,11,1,1,2,11,11,46.9879518,8.4337349,13.253012,1.2048193,1.2048193,2.4096386,13.253012,13.253012
1263,Municipio/TIOC,Beni,Vaca Diez,Riberalta,Rural,18,1,1,4,0,0,0,7,5,5.5555556,5.5555556,22.2222222,0,0,0,38.8888889,27.7777778
1264,Municipio/TIOC,Beni,Vaca Diez,Guayaramerín,Guayaramerín,163,106,8,7,5,3,1,13,20,65.0306748,4.9079755,4.2944785,3.0674847,1.8404908,0.6134969,7.9754601,12.2699387
1265,Municipio/TIOC,Beni,Vaca Diez,Guayaramerín,Urbana,137,97,7,6,5,3,1,2,16,70.8029197,5.1094891,4.379562,3.649635,2.189781,0.729927,1.459854,11.6788321
1266,Municipio/TIOC,Beni,Vaca Diez,Guayaramerín,Rural,26,9,1,1,0,0,0,11,4,34.6153846,3.8461538,3.8461538,0,0,0,42.3076923,15.3846154
1267,Provincia,Beni,General José Ballivián,,General José Ballivián,180,88,7,15,0,10,0,36,24,48.8888889,3.8888889,8.3333333,0,5.5555556,0,20,13.3333333
1268,Provincia,Beni,General José Ballivián,,Urbana,137,84,6,14,0,0,0,12,21,61.3138686,4.379562,10.2189781,0,0,0,8.7591241,15.3284672
1269,Provincia,Beni,General José Ballivián,,Rural,43,4,1,1,0,10,0,24,3,9.3023256,2.3255814,2.3255814,0,23.255814,0,55.8139535,6.9767442
1270,Municipio/TIOC,Beni,General José Ballivián,Reyes,Reyes,25,7,1,4,0,0,0,3,10,28,4,16,0,0,0,12,40
1271,Municipio/TIOC,Beni,General José Ballivián,Reyes,Urbana,23,7,1,3,0,0,0,2,10,30.4347826,4.3478261,13.0434783,0,0,0,8.6956522,43.4782609
1272,Municipio/TIOC,Beni,General José Ballivián,Reyes,Rural,2,0,0,1,0,0,0,1,0,0,0,50,0,0,0,50,0
1273,Municipio/TIOC,Beni,General José Ballivián,San Borja,San Borja,52,24,2,5,0,0,0,17,4,46.1538462,3.8461538,9.6153846,0,0,0,32.6923077,7.6923077
1274,Municipio/TIOC,Beni,General José Ballivián,San Borja,Urbana,40,24,2,5,0,0,0,6,3,60,5,12.5,0,0,0,15,7.5
1275,Municipio/TIOC,Beni,General José Ballivián,San Borja,Rural,12,0,0,0,0,0,0,11,1,0,0,0,0,0,0,91.6666667,8.3333333
1276,Municipio/TIOC,Beni,General José Ballivián,Santa Rosa,Santa Rosa,28,18,3,1,0,0,0,5,1,64.2857143,10.7142857,3.5714286,0,0,0,17.8571429,3.5714286
1277,Municipio/TIOC,Beni,General José Ballivián,Santa Rosa,Urbana,20,16,2,1,0,0,0,0,1,80,10,5,0,0,0,0,5
1278,Municipio/TIOC,Beni,General José Ballivián,Santa Rosa,Rural,8,2,1,0,0,0,0,5,0,25,12.5,0,0,0,0,62.5,0
1279,Municipio/TIOC,Beni,General José Ballivián,Puerto Menor de Rurrenabaque,Puerto Menor de Rurrenabaque,75,39,1,5,0,10,0,11,9,52,1.3333333,6.6666667,0,13.3333333,0,14.6666667,12
1280,Municipio/TIOC,Beni,General José Ballivián,Puerto Menor de Rurrenabaque,Urbana,54,37,1,5,0,0,0,4,7,68.5185185,1.8518519,9.2592593,0,0,0,7.4074074,12.962963
1281,Municipio/TIOC,Beni,General José Ballivián,Puerto Menor de Rurrenabaque,Rural,21,2,0,0,0,10,0,7,2,9.5238095,0,0,0,47.6190476,0,33.3333333,9.5238095
1282,Provincia,Beni,Yacuma,,Yacuma,42,18,1,3,2,0,1,9,8,42.8571429,2.3809524,7.1428571,4.7619048,0,2.3809524,21.4285714,19.047619
1283,Provincia,Beni,Yacuma,,Urbana,31,17,1,3,2,0,1,2,5,54.8387097,3.2258065,9.6774194,6.4516129,0,3.2258065,6.4516129,16.1290323
1284,Provincia,Beni,Yacuma,,Rural,11,1,0,0,0,0,0,7,3,9.0909091,0,0,0,0,0,63.6363636,27.2727273
1285,Municipio/TIOC,Beni,Yacuma,Santa Ana,Santa Ana,28,11,1,3,1,0,1,4,7,39.2857143,3.5714286,10.7142857,3.5714286,0,3.5714286,14.2857143,25
1286,Municipio/TIOC,Beni,Yacuma,Santa Ana,Urbana,24,11,1,3,1,0,1,2,5,45.8333333,4.1666667,12.5,4.1666667,0,4.1666667,8.3333333,20.8333333
1287,Municipio/TIOC,Beni,Yacuma,Santa Ana,Rural,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,50,50
1288,Municipio/TIOC,Beni,Yacuma,Exaltación,Exaltación,14,7,0,0,1,0,0,5,1,50,0,0,7.1428571,0,0,35.7142857,7.1428571
1289,Municipio/TIOC,Beni,Yacuma,Exaltación,Urbana,7,6,0,0,1,0,0,0,0,85.7142857,0,0,14.2857143,0,0,0,0
1290,Municipio/TIOC,Beni,Yacuma,Exaltación,Rural,7,1,0,0,0,0,0,5,1,14.2857143,0,0,0,0,0,71.4285714,14.2857143
1291,Provincia,Beni,Moxos,,Moxos,65,32,5,2,0,4,0,13,9,49.2307692,7.6923077,3.0769231,0,6.1538462,0,20,13.8461538
1292,Provincia,Beni,Moxos,,Urbana,44,28,5,2,0,0,0,5,4,63.6363636,11.3636364,4.5454545,0,0,0,11.3636364,9.0909091
