N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE VIVIENDAS | Total,"NÚMERO DE VIVIENDAS | Hotel, hostal, residencial, alojamiento",NÚMERO DE VIVIENDAS | Hospital o clínica con internación,NÚMERO DE VIVIENDAS | Cuartel o establecimiento militar o policial,NÚMERO DE VIVIENDAS | Residencia u otro de adultos mayores,NÚMERO DE VIVIENDAS | Albergue de niñas(os) y adolescentes,NÚMERO DE VIVIENDAS | Recinto penitenciario o de reintegración,NÚMERO DE VIVIENDAS | Campamento de trabajo,"NÚMERO DE VIVIENDAS | Otra 
(Instituto de rehabilitación, convento)","DISTRIBUCIÓN PORCENTUAL | Hotel, hostal, residencial, alojamiento",DISTRIBUCIÓN PORCENTUAL | Hospital o clínica con internación,DISTRIBUCIÓN PORCENTUAL | Cuartel o establecimiento militar o policial,DISTRIBUCIÓN PORCENTUAL | Residencia u otro de adultos mayores,DISTRIBUCIÓN PORCENTUAL | Albergue de niñas(os) y adolescentes,DISTRIBUCIÓN PORCENTUAL | Recinto penitenciario o de reintegración,DISTRIBUCIÓN PORCENTUAL | Campamento de trabajo,"DISTRIBUCIÓN PORCENTUAL | Otra 
(Instituto de rehabilitación, convento)"
1071,Municipio/TIOC,Santa Cruz,Velasco,San Rafael,Rural,17,1,0,0,0,0,0,14,2,5.8823529,0,0,0,0,0,82.3529412,11.7647059
1072,Provincia,Santa Cruz,Ichilo,,Ichilo,211,75,15,8,5,1,1,77,29,35.5450237,7.1090047,3.7914692,2.3696682,0.4739336,0.4739336,36.492891,13.7440758
1073,Provincia,Santa Cruz,Ichilo,,Urbana,97,62,11,6,2,0,1,6,9,63.9175258,11.3402062,6.185567,2.0618557,0,1.0309278,6.185567,9.2783505
1074,Provincia,Santa Cruz,Ichilo,,Rural,114,13,4,2,3,1,0,71,20,11.4035088,3.5087719,1.754386,2.6315789,0.877193,0,62.2807018,17.5438596
1075,Municipio/TIOC,Santa Cruz,Ichilo,Buena Vista,Buena Vista,65,15,2,3,0,0,1,39,5,23.0769231,3.0769231,4.6153846,0,0,1.5384615,60,7.6923077
1076,Municipio/TIOC,Santa Cruz,Ichilo,Buena Vista,Urbana,11,6,1,3,0,0,1,0,0,54.5454545,9.0909091,27.2727273,0,0,9.0909091,0,0
1077,Municipio/TIOC,Santa Cruz,Ichilo,Buena Vista,Rural,54,9,1,0,0,0,0,39,5,16.6666667,1.8518519,0,0,0,0,72.2222222,9.2592593
1078,Municipio/TIOC,Santa Cruz,Ichilo,San Carlos,San Carlos,28,7,3,1,3,1,0,2,11,25,10.7142857,3.5714286,10.7142857,3.5714286,0,7.1428571,39.2857143
1079,Municipio/TIOC,Santa Cruz,Ichilo,San Carlos,Urbana,12,6,2,1,0,0,0,0,3,50,16.6666667,8.3333333,0,0,0,0,25
1080,Municipio/TIOC,Santa Cruz,Ichilo,San Carlos,Rural,16,1,1,0,3,1,0,2,8,6.25,6.25,0,18.75,6.25,0,12.5,50
1081,Municipio/TIOC,Santa Cruz,Ichilo,Yapacaní,Yapacaní,106,50,7,2,2,0,0,36,9,47.1698113,6.6037736,1.8867925,1.8867925,0,0,33.9622642,8.490566
1082,Municipio/TIOC,Santa Cruz,Ichilo,Yapacaní,Urbana,65,47,5,1,2,0,0,6,4,72.3076923,7.6923077,1.5384615,3.0769231,0,0,9.2307692,6.1538462
1083,Municipio/TIOC,Santa Cruz,Ichilo,Yapacaní,Rural,41,3,2,1,0,0,0,30,5,7.3170732,4.8780488,2.4390244,0,0,0,73.1707317,12.195122
1084,Municipio/TIOC,Santa Cruz,Ichilo,San Juan,San Juan,12,3,3,2,0,0,0,0,4,25,25,16.6666667,0,0,0,0,33.3333333
1085,Municipio/TIOC,Santa Cruz,Ichilo,San Juan,Urbana,9,3,3,1,0,0,0,0,2,33.3333333,33.3333333,11.1111111,0,0,0,0,22.2222222
1086,Municipio/TIOC,Santa Cruz,Ichilo,San Juan,Rural,3,0,0,1,0,0,0,0,2,0,0,33.3333333,0,0,0,0,66.6666667
1087,Provincia,Santa Cruz,Chiquitos,,Chiquitos,440,92,11,20,0,1,0,292,24,20.9090909,2.5,4.5454545,0,0.2272727,0,66.3636364,5.4545455
1088,Provincia,Santa Cruz,Chiquitos,,Urbana,148,77,5,16,0,1,0,29,20,52.027027,3.3783784,10.8108108,0,0.6756757,0,19.5945946,13.5135135
1089,Provincia,Santa Cruz,Chiquitos,,Rural,292,15,6,4,0,0,0,263,4,5.1369863,2.0547945,1.369863,0,0,0,90.0684932,1.369863
