N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE PERSONAS(1) | 2001 | Total,NÚMERO DE PERSONAS(1) | 2001 | Tiene,NÚMERO DE PERSONAS(1) | 2001 | No tiene,NÚMERO DE PERSONAS(1) | 2012 | Total,NÚMERO DE PERSONAS(1) | 2012 | Tiene,NÚMERO DE PERSONAS(1) | 2012 | No tiene,NÚMERO DE PERSONAS(1) | 2024 | Total,NÚMERO DE PERSONAS(1) | 2024 | Tiene,NÚMERO DE PERSONAS(1) | 2024 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2001 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2001 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2012 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2012 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2024 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2024 | No tiene
334,Municipio/TIOC,La Paz,Sur Yungas,Palos Blancos,Palos Blancos,16152,4283,11869,24009,14801,9208,27002,18157,8845,26.51684,73.48316,61.6477154,38.3522846,67.2431672,32.7568328
335,Municipio/TIOC,La Paz,Sur Yungas,Palos Blancos,Urbana,2900,2294,606,5394,4435,959,7572,6300,1272,79.1034483,20.8965517,82.2209863,17.7790137,83.2012678,16.7987322
336,Municipio/TIOC,La Paz,Sur Yungas,Palos Blancos,Rural,13252,1989,11263,18615,10366,8249,19430,11857,7573,15.0090552,84.9909448,55.6862745,44.3137255,61.0241894,38.9758106
337,Municipio/TIOC,La Paz,Sur Yungas,La Asunta,La Asunta,17806,2182,15624,39583,17222,22361,45262,34945,10317,12.2542963,87.7457037,43.5085769,56.4914231,77.2060448,22.7939552
338,Municipio/TIOC,La Paz,Sur Yungas,La Asunta,Urbana,,,,2287,1755,532,2838,2766,72,,,76.7380848,23.2619152,97.4630021,2.5369979
339,Municipio/TIOC,La Paz,Sur Yungas,La Asunta,Rural,17806,2182,15624,37296,15467,21829,42424,32179,10245,12.2542963,87.7457037,41.4709352,58.5290648,75.8509334,24.1490666
340,Provincia,La Paz,Los Andes,,Los Andes,69227,28554,40673,78124,59746,18378,116489,96637,19852,41.2469123,58.7530877,76.4758589,23.5241411,82.9580475,17.0419525
341,Provincia,La Paz,Los Andes,,Urbana,,,,2249,2142,107,29627,25087,4540,,,95.2423299,4.7576701,84.67614,15.32386
342,Provincia,La Paz,Los Andes,,Rural,69227,28554,40673,75875,57604,18271,86862,71550,15312,41.2469123,58.7530877,75.9196046,24.0803954,82.3720384,17.6279616
343,Municipio/TIOC,La Paz,Los Andes,Pucarani,Pucarani,24433,11248,13185,29868,21780,8088,49615,40096,9519,46.0360987,53.9639013,72.9208517,27.0791483,80.8142699,19.1857301
344,Municipio/TIOC,La Paz,Los Andes,Pucarani,Urbana,,,,,,,15803,12589,3214,,,,,79.6620895,20.3379105
345,Municipio/TIOC,La Paz,Los Andes,Pucarani,Rural,24433,11248,13185,29868,21780,8088,33812,27507,6305,46.0360987,53.9639013,72.9208517,27.0791483,81.3527742,18.6472258
346,Municipio/TIOC,La Paz,Los Andes,Laja,Laja,16251,5311,10940,24433,18817,5616,38520,32511,6009,32.6810658,67.3189342,77.0146932,22.9853068,84.4003115,15.5996885
347,Municipio/TIOC,La Paz,Los Andes,Laja,Urbana,,,,,,,10934,9763,1171,,,,,89.2902872,10.7097128
348,Municipio/TIOC,La Paz,Los Andes,Laja,Rural,16251,5311,10940,24433,18817,5616,27586,22748,4838,32.6810658,67.3189342,77.0146932,22.9853068,82.4621185,17.5378815
349,Municipio/TIOC,La Paz,Los Andes,Batallas,Batallas,20799,8835,11964,17366,13817,3549,20533,17364,3169,42.4780038,57.5219962,79.5635149,20.4364851,84.5663079,15.4336921
350,Municipio/TIOC,La Paz,Los Andes,Batallas,Urbana,,,,2249,2142,107,2890,2735,155,,,95.2423299,4.7576701,94.6366782,5.3633218
351,Municipio/TIOC,La Paz,Los Andes,Batallas,Rural,20799,8835,11964,15117,11675,3442,17643,14629,3014,42.4780038,57.5219962,77.2309321,22.7690679,82.9167375,17.0832625
352,Municipio/TIOC,La Paz,Los Andes,Puerto Pérez,Puerto Pérez,7744,3160,4584,6457,5332,1125,7821,6666,1155,40.8057851,59.1942149,82.5770482,17.4229518,85.2320675,14.7679325
353,Municipio/TIOC,La Paz,Los Andes,Puerto Pérez,Urbana,,,,,,,,,,,,,,,
354,Municipio/TIOC,La Paz,Los Andes,Puerto Pérez,Rural,7744,3160,4584,6457,5332,1125,7821,6666,1155,40.8057851,59.1942149,82.5770482,17.4229518,85.2320675,14.7679325
355,Provincia,La Paz,Aroma,,Aroma,85578,25013,60565,97295,71484,25811,111788,92691,19097,29.2283063,70.7716937,73.4714014,26.5285986,82.916771,17.083229
356,Provincia,La Paz,Aroma,,Urbana,17353,10136,7217,27698,23980,3718,33539,30246,3293,58.4106495,41.5893505,86.5766481,13.4233519,90.1815797,9.8184203
357,Provincia,La Paz,Aroma,,Rural,68225,14877,53348,69597,47504,22093,78249,62445,15804,21.8057897,78.1942103,68.2558156,31.7441844,79.8029368,20.1970632
358,Municipio/TIOC,La Paz,Aroma,Sicasica,Sicasica,26714,7293,19421,31159,22703,8456,33784,26761,7023,27.300292,72.699708,72.8617735,27.1382265,79.212053,20.787947
359,Municipio/TIOC,La Paz,Aroma,Sicasica,Urbana,6781,3723,3058,11048,9340,1708,9608,8444,1164,54.9034066,45.0965934,84.5401883,15.4598117,87.8850958,12.1149042
360,Municipio/TIOC,La Paz,Aroma,Sicasica,Rural,19933,3570,16363,20111,13363,6748,24176,18317,5859,17.9099985,82.0900015,66.4462235,33.5537765,75.7652217,24.2347783
361,Municipio/TIOC,La Paz,Aroma,Umala,Umala,9551,1886,7665,8868,5488,3380,9076,7282,1794,19.7466234,80.2533766,61.8854308,38.1145692,80.2335831,19.7664169
362,Municipio/TIOC,La Paz,Aroma,Umala,Urbana,,,,,,,,,,,,,,,
363,Municipio/TIOC,La Paz,Aroma,Umala,Rural,9551,1886,7665,8868,5488,3380,9076,7282,1794,19.7466234,80.2533766,61.8854308,38.1145692,80.2335831,19.7664169
364,Municipio/TIOC,La Paz,Aroma,Ayo Ayo,Ayo Ayo,6959,1154,5805,7768,5178,2590,11242,8421,2821,16.5828424,83.4171576,66.6580844,33.3419156,74.9066002,25.0933998
365,Municipio/TIOC,La Paz,Aroma,Ayo Ayo,Urbana,,,,,,,,,,,,,,,
366,Municipio/TIOC,La Paz,Aroma,Ayo Ayo,Rural,6959,1154,5805,7768,5178,2590,11242,8421,2821,16.5828424,83.4171576,66.6580844,33.3419156,74.9066002,25.0933998
367,Municipio/TIOC,La Paz,Aroma,Calamarca,Calamarca,12079,2988,9091,12344,9188,3156,15249,13066,2183,24.7371471,75.2628529,74.4329229,25.5670771,85.6843072,14.3156928
368,Municipio/TIOC,La Paz,Aroma,Calamarca,Urbana,,,,,,,,,,,,,,,
369,Municipio/TIOC,La Paz,Aroma,Calamarca,Rural,12079,2988,9091,12344,9188,3156,15249,13066,2183,24.7371471,75.2628529,74.4329229,25.5670771,85.6843072,14.3156928
370,Municipio/TIOC,La Paz,Aroma,Patacamaya,Patacamaya,19413,9300,10113,22315,18087,4228,24462,21640,2822,47.9060423,52.0939577,81.0531033,18.9468967,88.4637397,11.5362603
371,Municipio/TIOC,La Paz,Aroma,Patacamaya,Urbana,8222,5806,2416,10779,9603,1176,12801,11802,999,70.615422,29.384578,89.089897,10.910103,92.1959222,7.8040778
372,Municipio/TIOC,La Paz,Aroma,Patacamaya,Rural,11191,3494,7697,11536,8484,3052,11661,9838,1823,31.2215173,68.7784827,73.5436893,26.4563107,84.3666924,15.6333076
373,Municipio/TIOC,La Paz,Aroma,Colquencha,Colquencha,8014,1470,6544,9862,6951,2911,12468,10585,1883,18.3428999,81.6571001,70.4826607,29.5173393,84.8973372,15.1026628
374,Municipio/TIOC,La Paz,Aroma,Colquencha,Urbana,2350,607,1743,3074,2667,407,7447,6576,871,25.8297872,74.1702128,86.7599219,13.2400781,88.304015,11.695985
375,Municipio/TIOC,La Paz,Aroma,Colquencha,Rural,5664,863,4801,6788,4284,2504,5021,4009,1012,15.2365819,84.7634181,63.111373,36.888627,79.8446525,20.1553475
376,Municipio/TIOC,La Paz,Aroma,Collana,Collana,2848,922,1926,4979,3889,1090,5507,4936,571,32.3735955,67.6264045,78.1080538,21.8919462,89.6313782,10.3686218
377,Municipio/TIOC,La Paz,Aroma,Collana,Urbana,,,,2797,2370,427,3683,3424,259,,,84.7336432,15.2663568,92.9676894,7.0323106
378,Municipio/TIOC,La Paz,Aroma,Collana,Rural,2848,922,1926,2182,1519,663,1824,1512,312,32.3735955,67.6264045,69.6150321,30.3849679,82.8947368,17.1052632
379,Provincia,La Paz,Nor Yungas,,Nor Yungas,22124,14109,8015,35495,29559,5936,49530,43568,5962,63.7723739,36.2276261,83.2765178,16.7234822,87.9628508,12.0371492
380,Provincia,La Paz,Nor Yungas,,Urbana,4090,3520,570,2205,2174,31,5620,5524,96,86.0635697,13.9364303,98.5941043,1.4058957,98.2918149,1.7081851
381,Provincia,La Paz,Nor Yungas,,Rural,18034,10589,7445,33290,27385,5905,43910,38044,5866,58.7168681,41.2831319,82.2619405,17.7380595,86.6408563,13.3591437
382,Municipio/TIOC,La Paz,Nor Yungas,Coroico,Coroico,10889,6097,4792,18727,14452,4275,26606,21836,4770,55.9922858,44.0077142,77.1719977,22.8280023,82.0717131,17.9282869
383,Municipio/TIOC,La Paz,Nor Yungas,Coroico,Urbana,1977,1787,190,2205,2174,31,2638,2570,68,90.389479,9.610521,98.5941043,1.4058957,97.4222896,2.5777104
384,Municipio/TIOC,La Paz,Nor Yungas,Coroico,Rural,8912,4310,4602,16522,12278,4244,23968,19266,4702,48.3617594,51.6382406,74.3130372,25.6869628,80.3821762,19.6178238
385,Municipio/TIOC,La Paz,Nor Yungas,Coripata,Coripata,11235,8012,3223,16768,15107,1661,22924,21732,1192,71.3128616,28.6871384,90.0942271,9.9057729,94.8002094,5.1997906
386,Municipio/TIOC,La Paz,Nor Yungas,Coripata,Urbana,2113,1733,380,,,,2982,2954,28,82.0160909,17.9839091,,,99.0610329,0.9389671
387,Municipio/TIOC,La Paz,Nor Yungas,Coripata,Rural,9122,6279,2843,16768,15107,1661,19942,18778,1164,68.8335891,31.1664109,90.0942271,9.9057729,94.1630729,5.8369271
388,Provincia,La Paz,Abel Iturralde,,Abel Iturralde,11193,3906,7287,16552,10890,5662,20974,16633,4341,34.8968105,65.1031895,65.7926535,34.2073465,79.3029465,20.6970535
389,Provincia,La Paz,Abel Iturralde,,Urbana,2226,1736,490,6948,6341,607,8581,8230,351,77.9874214,22.0125786,91.263673,8.736327,95.9095676,4.0904324
390,Provincia,La Paz,Abel Iturralde,,Rural,8967,2170,6797,9604,4549,5055,12393,8403,3990,24.1998439,75.8001561,47.365681,52.634319,67.8044057,32.1955943
391,Municipio/TIOC,La Paz,Abel Iturralde,Ixiamas,Ixiamas,5207,1256,3951,8338,5095,3243,11330,7850,3480,24.1213751,75.8786249,61.1057808,38.8942192,69.2850838,30.7149162
392,Municipio/TIOC,La Paz,Abel Iturralde,Ixiamas,Urbana,,,,3580,3089,491,4263,4095,168,,,86.2849162,13.7150838,96.0591133,3.9408867
393,Municipio/TIOC,La Paz,Abel Iturralde,Ixiamas,Rural,5207,1256,3951,4758,2006,2752,7067,3755,3312,24.1213751,75.8786249,42.1605717,57.8394283,53.1342861,46.8657139
394,Municipio/TIOC,La Paz,Abel Iturralde,San Buenaventura,San Buenaventura,5986,2650,3336,8214,5795,2419,9644,8783,861,44.2699632,55.7300368,70.55028,29.44972,91.0721692,8.9278308
395,Municipio/TIOC,La Paz,Abel Iturralde,San Buenaventura,Urbana,2226,1736,490,3368,3252,116,4318,4135,183,77.9874214,22.0125786,96.5558195,3.4441805,95.7619268,4.2380732
396,Municipio/TIOC,La Paz,Abel Iturralde,San Buenaventura,Rural,3760,914,2846,4846,2543,2303,5326,4648,678,24.3085106,75.6914894,52.4762691,47.5237309,87.2699962,12.7300038
397,Provincia,La Paz,Bautista Saavedra,,Bautista Saavedra,11287,1190,10097,16191,10149,6042,22223,17333,4890,10.5431027,89.4568973,62.682972,37.317028,77.9957701,22.0042299
398,Provincia,La Paz,Bautista Saavedra,,Urbana,,,,3274,2603,671,2752,2442,310,,,79.5051924,20.4948076,88.7354651,11.2645349
399,Provincia,La Paz,Bautista Saavedra,,Rural,11287,1190,10097,12917,7546,5371,19471,14891,4580,10.5431027,89.4568973,58.4191376,41.5808624,76.4778388,23.5221612
400,Municipio/TIOC,La Paz,Bautista Saavedra,Charazani,Charazani,9083,1040,8043,12927,8258,4669,15649,12848,2801,11.4499615,88.5500385,63.8817978,36.1182022,82.1010927,17.8989073
401,Municipio/TIOC,La Paz,Bautista Saavedra,Charazani,Urbana,,,,3274,2603,671,2752,2442,310,,,79.5051924,20.4948076,88.7354651,11.2645349
402,Municipio/TIOC,La Paz,Bautista Saavedra,Charazani,Rural,9083,1040,8043,9653,5655,3998,12897,10406,2491,11.4499615,88.5500385,58.582824,41.417176,80.6854307,19.3145693
403,Municipio/TIOC,La Paz,Bautista Saavedra,Curva,Curva,2204,150,2054,3264,1891,1373,6574,4485,2089,6.8058076,93.1941924,57.935049,42.064951,68.2233039,31.7766961
404,Municipio/TIOC,La Paz,Bautista Saavedra,Curva,Urbana,,,,,,,,,,,,,,,
405,Municipio/TIOC,La Paz,Bautista Saavedra,Curva,Rural,2204,150,2054,3264,1891,1373,6574,4485,2089,6.8058076,93.1941924,57.935049,42.064951,68.2233039,31.7766961
406,Provincia,La Paz,Manco Kapac,,Manco Kapac,22103,13614,8489,26675,21010,5665,33349,27460,5889,61.5934489,38.4065511,78.7628866,21.2371134,82.3412996,17.6587004
407,Provincia,La Paz,Manco Kapac,,Urbana,3819,3064,755,8824,7457,1367,9344,8244,1100,80.2304268,19.7695732,84.5081596,15.4918404,88.2277397,11.7722603
408,Provincia,La Paz,Manco Kapac,,Rural,18284,10550,7734,17851,13553,4298,24005,19216,4789,57.7007219,42.2992781,75.9229175,24.0770825,80.0499896,19.9500104
409,Municipio/TIOC,La Paz,Manco Kapac,Copacabana,Copacabana,14052,9178,4874,14487,12504,1983,17215,14525,2690,65.314546,34.685454,86.3118658,13.6881342,84.3740924,15.6259076
410,Municipio/TIOC,La Paz,Manco Kapac,Copacabana,Urbana,3819,3064,755,5381,4943,438,5877,5357,520,80.2304268,19.7695732,91.860249,8.139751,91.1519483,8.8480517
411,Municipio/TIOC,La Paz,Manco Kapac,Copacabana,Rural,10233,6114,4119,9106,7561,1545,11338,9168,2170,59.7478745,40.2521255,83.0331649,16.9668351,80.860822,19.139178
412,Municipio/TIOC,La Paz,Manco Kapac,San Pedro de Tiquina,San Pedro de Tiquina,5845,3441,2404,5943,4503,1440,8807,7517,1290,58.8708298,41.1291702,75.7698132,24.2301868,85.3525605,14.6474395
413,Municipio/TIOC,La Paz,Manco Kapac,San Pedro de Tiquina,Urbana,,,,,,,,,,,,,,,
414,Municipio/TIOC,La Paz,Manco Kapac,San Pedro de Tiquina,Rural,5845,3441,2404,5943,4503,1440,8807,7517,1290,58.8708298,41.1291702,75.7698132,24.2301868,85.3525605,14.6474395
415,Municipio/TIOC,La Paz,Manco Kapac,Tito Yupanqui,Tito Yupanqui,2206,995,1211,6245,4003,2242,7327,5418,1909,45.1042611,54.8957389,64.0992794,35.9007206,73.9456804,26.0543196
416,Municipio/TIOC,La Paz,Manco Kapac,Tito Yupanqui,Urbana,,,,3443,2514,929,3467,2887,580,,,73.0177171,26.9822829,83.2708393,16.7291607
417,Municipio/TIOC,La Paz,Manco Kapac,Tito Yupanqui,Rural,2206,995,1211,2802,1489,1313,3860,2531,1329,45.1042611,54.8957389,53.1406138,46.8593862,65.5699482,34.4300518
418,Provincia,La Paz,Gualberto Villarroel,,Gualberto Villarroel,15696,215,15481,17795,9493,8302,17892,13734,4158,1.3697757,98.6302243,53.3464456,46.6535544,76.7605634,23.2394366
419,Provincia,La Paz,Gualberto Villarroel,,Urbana,,,,,,,,,,,,,,,
420,Provincia,La Paz,Gualberto Villarroel,,Rural,15696,215,15481,17795,9493,8302,17892,13734,4158,1.3697757,98.6302243,53.3464456,46.6535544,76.7605634,23.2394366
421,Municipio/TIOC,La Paz,Gualberto Villarroel,San Pedro de Curahuara,San Pedro de Curahuara,8086,94,7992,8809,4373,4436,9203,7318,1885,1.1625031,98.8374969,49.6424112,50.3575888,79.5175486,20.4824514
422,Municipio/TIOC,La Paz,Gualberto Villarroel,San Pedro de Curahuara,Urbana,,,,,,,,,,,,,,,
423,Municipio/TIOC,La Paz,Gualberto Villarroel,San Pedro de Curahuara,Rural,8086,94,7992,8809,4373,4436,9203,7318,1885,1.1625031,98.8374969,49.6424112,50.3575888,79.5175486,20.4824514
424,Municipio/TIOC,La Paz,Gualberto Villarroel,Papel Pampa,Papel Pampa,6044,106,5938,6986,3866,3120,6641,5029,1612,1.7538054,98.2461946,55.3392499,44.6607501,75.7265472,24.2734528
425,Municipio/TIOC,La Paz,Gualberto Villarroel,Papel Pampa,Urbana,,,,,,,,,,,,,,,
426,Municipio/TIOC,La Paz,Gualberto Villarroel,Papel Pampa,Rural,6044,106,5938,6986,3866,3120,6641,5029,1612,1.7538054,98.2461946,55.3392499,44.6607501,75.7265472,24.2734528
427,Municipio/TIOC,La Paz,Gualberto Villarroel,Chacarilla,Chacarilla,1566,15,1551,2000,1254,746,2048,1387,661,0.9578544,99.0421456,62.7,37.3,67.7246094,32.2753906
428,Municipio/TIOC,La Paz,Gualberto Villarroel,Chacarilla,Urbana,,,,,,,,,,,,,,,
429,Municipio/TIOC,La Paz,Gualberto Villarroel,Chacarilla,Rural,1566,15,1551,2000,1254,746,2048,1387,661,0.9578544,99.0421456,62.7,37.3,67.7246094,32.2753906
430,Provincia,La Paz,General José Manuel Pando,,General José Manuel Pando,6075,519,5556,7409,3672,3737,12109,9422,2687,8.5432099,91.4567901,49.5613443,50.4386557,77.8098935,22.1901065
431,Provincia,La Paz,General José Manuel Pando,,Urbana,,,,,,,,,,,,,,,
432,Provincia,La Paz,General José Manuel Pando,,Rural,6075,519,5556,7409,3672,3737,12109,9422,2687,8.5432099,91.4567901,49.5613443,50.4386557,77.8098935,22.1901065
433,Municipio/TIOC,La Paz,General José Manuel Pando,Santiago de Machaca,Santiago de Machaca,4342,460,3882,4549,2018,2531,6774,5311,1463,10.5941962,89.4058038,44.3613981,55.6386019,78.4027163,21.5972837
434,Municipio/TIOC,La Paz,General José Manuel Pando,Santiago de Machaca,Urbana,,,,,,,,,,,,,,,
435,Municipio/TIOC,La Paz,General José Manuel Pando,Santiago de Machaca,Rural,4342,460,3882,4549,2018,2531,6774,5311,1463,10.5941962,89.4058038,44.3613981,55.6386019,78.4027163,21.5972837
436,Municipio/TIOC,La Paz,General José Manuel Pando,Catacora,Catacora,1733,59,1674,2860,1654,1206,5335,4111,1224,3.4045009,96.5954991,57.8321678,42.1678322,77.0571696,22.9428304
437,Municipio/TIOC,La Paz,General José Manuel Pando,Catacora,Urbana,,,,,,,,,,,,,,,
438,Municipio/TIOC,La Paz,General José Manuel Pando,Catacora,Rural,1733,59,1674,2860,1654,1206,5335,4111,1224,3.4045009,96.5954991,57.8321678,42.1678322,77.0571696,22.9428304
439,Provincia,La Paz,Caranavi,,Caranavi,49847,14695,35152,60070,35174,24896,68420,55317,13103,29.4802094,70.5197906,58.5550191,41.4449809,80.8491669,19.1508331
440,Provincia,La Paz,Caranavi,,Urbana,11334,9971,1363,12441,11126,1315,19810,18337,1473,87.9742368,12.0257632,89.4301101,10.5698899,92.5643614,7.4356386
441,Provincia,La Paz,Caranavi,,Rural,38513,4724,33789,47629,24048,23581,48610,36980,11630,12.2659881,87.7340119,50.4902475,49.5097525,76.0748817,23.9251183
442,Municipio/TIOC,La Paz,Caranavi,Caranavi,Caranavi,41965,13311,28654,49189,29997,19192,57985,48823,9162,31.7192899,68.2807101,60.9831466,39.0168534,84.1993619,15.8006381
443,Municipio/TIOC,La Paz,Caranavi,Caranavi,Urbana,11334,9971,1363,12441,11126,1315,19810,18337,1473,87.9742368,12.0257632,89.4301101,10.5698899,92.5643614,7.4356386
444,Municipio/TIOC,La Paz,Caranavi,Caranavi,Rural,30631,3340,27291,36748,18871,17877,38175,30486,7689,10.9039862,89.0960138,51.3524546,48.6475454,79.8585462,20.1414538
445,Municipio/TIOC,La Paz,Caranavi,Alto Beni,Alto Beni,7882,1384,6498,10881,5177,5704,10435,6494,3941,17.5589952,82.4410048,47.5783476,52.4216524,62.2328701,37.7671299
446,Municipio/TIOC,La Paz,Caranavi,Alto Beni,Urbana,,,,,,,,,,,,,,,
447,Municipio/TIOC,La Paz,Caranavi,Alto Beni,Rural,7882,1384,6498,10881,5177,5704,10435,6494,3941,17.5589952,82.4410048,47.5783476,52.4216524,62.2328701,37.7671299
448,Departamento,Cochabamba,,,Cochabamba,1423603,1004456,419147,1731480,1478400,253080,1982027,1810494,171533,70.5573113,29.4426887,85.3836025,14.6163975,91.345577,8.654423
449,Departamento,Cochabamba,,,Urbana,834836,777473,57363,1178229,1142274,35955,1393957,1368420,25537,93.1288301,6.8711699,96.9483861,3.0516139,98.168021,1.831979
450,Departamento,Cochabamba,,,Rural,588767,226983,361784,553251,336126,217125,588070,442074,145996,38.5522626,61.4477374,60.7547027,39.2452973,75.1737038,24.8262962
451,Provincia,Cochabamba,Cercado,,Cercado,504286,473688,30598,621184,603654,17530,652155,643190,8965,93.9324114,6.0675886,97.1779698,2.8220302,98.6253268,1.3746732
452,Provincia,Cochabamba,Cercado,,Urbana,503956,473544,30412,621184,603654,17530,652132,643187,8945,93.9653462,6.0346538,97.1779698,2.8220302,98.6283452,1.3716548
453,Provincia,Cochabamba,Cercado,,Rural,330,144,186,,,,23,3,20,43.6363636,56.3636364,,,13.0434783,86.9565217
454,Municipio/TIOC,Cochabamba,Cercado,Cochabamba,Cochabamba,504286,473688,30598,621184,603654,17530,652155,643190,8965,93.9324114,6.0675886,97.1779698,2.8220302,98.6253268,1.3746732
455,Municipio/TIOC,Cochabamba,Cercado,Cochabamba,Urbana,503956,473544,30412,621184,603654,17530,652132,643187,8945,93.9653462,6.0346538,97.1779698,2.8220302,98.6283452,1.3716548
456,Municipio/TIOC,Cochabamba,Cercado,Cochabamba,Rural,330,144,186,,,,23,3,20,43.6363636,56.3636364,,,13.0434783,86.9565217
457,Provincia,Cochabamba,Campero,,Campero,36043,10941,25102,35433,23069,12364,35994,29589,6405,30.3554088,69.6445912,65.1059747,34.8940253,82.2053676,17.7946324
458,Provincia,Cochabamba,Campero,,Urbana,6959,5266,1693,10835,10441,394,11429,11175,254,75.6717919,24.3282081,96.3636364,3.6363636,97.7775833,2.2224167
459,Provincia,Cochabamba,Campero,,Rural,29084,5675,23409,24598,12628,11970,24565,18414,6151,19.5124467,80.4875533,51.3375071,48.6624929,74.9603094,25.0396906
460,Municipio/TIOC,Cochabamba,Campero,Aiquile,Aiquile,25552,7634,17918,23052,14353,8699,22902,18599,4303,29.8763306,70.1236694,62.263578,37.736422,81.2112479,18.7887521
461,Municipio/TIOC,Cochabamba,Campero,Aiquile,Urbana,6959,5266,1693,7749,7498,251,8658,8534,124,75.6717919,24.3282081,96.7608724,3.2391276,98.5677986,1.4322014
462,Municipio/TIOC,Cochabamba,Campero,Aiquile,Rural,18593,2368,16225,15303,6855,8448,14244,10065,4179,12.7359759,87.2640241,44.7951382,55.2048618,70.6613311,29.3386689
463,Municipio/TIOC,Cochabamba,Campero,Pasorapa,Pasorapa,4580,869,3711,6794,4257,2537,6414,4839,1575,18.9737991,81.0262009,62.6582278,37.3417722,75.4443405,24.5556595
464,Municipio/TIOC,Cochabamba,Campero,Pasorapa,Urbana,,,,3086,2943,143,2771,2641,130,,,95.3661698,4.6338302,95.3085529,4.6914471
465,Municipio/TIOC,Cochabamba,Campero,Pasorapa,Rural,4580,869,3711,3708,1314,2394,3643,2198,1445,18.9737991,81.0262009,35.4368932,64.5631068,60.3348888,39.6651112
466,Municipio/TIOC,Cochabamba,Campero,Omereque,Omereque,5911,2438,3473,5587,4459,1128,6678,6151,527,41.2451362,58.7548638,79.8102739,20.1897261,92.1084157,7.8915843
467,Municipio/TIOC,Cochabamba,Campero,Omereque,Urbana,,,,,,,,,,,,,,,
468,Municipio/TIOC,Cochabamba,Campero,Omereque,Rural,5911,2438,3473,5587,4459,1128,6678,6151,527,41.2451362,58.7548638,79.8102739,20.1897261,92.1084157,7.8915843
469,Provincia,Cochabamba,Ayopaya,,Ayopaya,60566,6998,53568,53669,27520,26149,55890,39922,15968,11.5543374,88.4456626,51.2772737,48.7227263,71.4295938,28.5704062
470,Provincia,Cochabamba,Ayopaya,,Urbana,1941,1420,521,,,,,,,73.1581659,26.8418341,,,,
471,Provincia,Cochabamba,Ayopaya,,Rural,58625,5578,53047,53669,27520,26149,55890,39922,15968,9.5147122,90.4852878,51.2772737,48.7227263,71.4295938,28.5704062
472,Municipio/TIOC,Cochabamba,Ayopaya,Ayopaya,Ayopaya,26618,3997,22621,23392,11491,11901,21691,16704,4987,15.0161545,84.9838455,49.123632,50.876368,77.0088977,22.9911023
473,Municipio/TIOC,Cochabamba,Ayopaya,Ayopaya,Urbana,1941,1420,521,,,,,,,73.1581659,26.8418341,,,,
474,Municipio/TIOC,Cochabamba,Ayopaya,Ayopaya,Rural,24677,2577,22100,23392,11491,11901,21691,16704,4987,10.4429226,89.5570774,49.123632,50.876368,77.0088977,22.9911023
475,Municipio/TIOC,Cochabamba,Ayopaya,Morochata,Morochata,17023,2429,14594,12721,5942,6779,14667,9747,4920,14.2689303,85.7310697,46.7101643,53.2898357,66.4553078,33.5446922
476,Municipio/TIOC,Cochabamba,Ayopaya,Morochata,Urbana,,,,,,,,,,,,,,,
477,Municipio/TIOC,Cochabamba,Ayopaya,Morochata,Rural,17023,2429,14594,12721,5942,6779,14667,9747,4920,14.2689303,85.7310697,46.7101643,53.2898357,66.4553078,33.5446922
478,Municipio/TIOC,Cochabamba,Ayopaya,Cocapata,Cocapata,16925,572,16353,17556,10087,7469,19532,13471,6061,3.379616,96.620384,57.4561404,42.5438596,68.9688716,31.0311284
479,Municipio/TIOC,Cochabamba,Ayopaya,Cocapata,Urbana,,,,,,,,,,,,,,,
480,Municipio/TIOC,Cochabamba,Ayopaya,Cocapata,Rural,16925,572,16353,17556,10087,7469,19532,13471,6061,3.379616,96.620384,57.4561404,42.5438596,68.9688716,31.0311284
481,Provincia,Cochabamba,Esteban Arze,,Esteban Arze,31231,16029,15202,36439,26423,10016,52254,39343,12911,51.324005,48.675995,72.5129669,27.4870331,75.2918437,24.7081563
482,Provincia,Cochabamba,Esteban Arze,,Urbana,3218,2946,272,7118,6339,779,24195,18720,5475,91.5475451,8.4524549,89.0559146,10.9440854,77.3713577,22.6286423
483,Provincia,Cochabamba,Esteban Arze,,Rural,28013,13083,14930,29321,20084,9237,28059,20623,7436,46.7033163,53.2966837,68.4969817,31.5030183,73.4986992,26.5013008
484,Municipio/TIOC,Cochabamba,Esteban Arze,Tarata,Tarata,8572,5559,3013,7812,6038,1774,10750,8779,1971,64.8506766,35.1493234,77.2913466,22.7086534,81.6651163,18.3348837
485,Municipio/TIOC,Cochabamba,Esteban Arze,Tarata,Urbana,3218,2946,272,3562,3391,171,4014,3923,91,91.5475451,8.4524549,95.1993262,4.8006738,97.7329347,2.2670653
486,Municipio/TIOC,Cochabamba,Esteban Arze,Tarata,Rural,5354,2613,2741,4250,2647,1603,6736,4856,1880,48.8046321,51.1953679,62.2823529,37.7176471,72.0902613,27.9097387
