N°,NIVEL,DEPARTAMENTO,PROVINCIA,MUNICIPIO/TIOC,ÁREA,NÚMERO DE PERSONAS(1) | 2001 | Total,NÚMERO DE PERSONAS(1) | 2001 | Tiene,NÚMERO DE PERSONAS(1) | 2001 | No tiene,NÚMERO DE PERSONAS(1) | 2012 | Total,NÚMERO DE PERSONAS(1) | 2012 | Tiene,NÚMERO DE PERSONAS(1) | 2012 | No tiene,NÚMERO DE PERSONAS(1) | 2024 | Total,NÚMERO DE PERSONAS(1) | 2024 | Tiene,NÚMERO DE PERSONAS(1) | 2024 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2001 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2001 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2012 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2012 | No tiene,DISTRIBUCIÓN PORCENTUAL | 2024 | Tiene,DISTRIBUCIÓN PORCENTUAL | 2024 | No tiene
33,Municipio/TIOC,Chuquisaca,Zudáñez,Zudáñez,Rural,7265,1734,5531,7131,2121,5010,8903,7262,1641,23.8678596,76.1321404,29.743374,70.256626,81.5680108,18.4319892
34,Municipio/TIOC,Chuquisaca,Zudáñez,Presto,Presto,8853,754,8099,11837,4335,7502,12477,9390,3087,8.5168869,91.4831131,36.622455,63.377545,75.2584756,24.7415244
35,Municipio/TIOC,Chuquisaca,Zudáñez,Presto,Urbana,,,,2464,2133,331,2199,2137,62,,,86.5665584,13.4334416,97.1805366,2.8194634
36,Municipio/TIOC,Chuquisaca,Zudáñez,Presto,Rural,8853,754,8099,9373,2202,7171,10278,7253,3025,8.5168869,91.4831131,23.4930118,76.5069882,70.5682039,29.4317961
37,Municipio/TIOC,Chuquisaca,Zudáñez,Mojocoya,Mojocoya,7801,1922,5879,7938,4418,3520,9020,6926,2094,24.6378669,75.3621331,55.6563366,44.3436634,76.7849224,23.2150776
38,Municipio/TIOC,Chuquisaca,Zudáñez,Mojocoya,Urbana,,,,,,,2708,2686,22,,,,,99.1875923,0.8124077
39,Municipio/TIOC,Chuquisaca,Zudáñez,Mojocoya,Rural,7801,1922,5879,7938,4418,3520,6312,4240,2072,24.6378669,75.3621331,55.6563366,44.3436634,67.1736375,32.8263625
40,Municipio/TIOC,Chuquisaca,Zudáñez,Icla,Icla,8116,1114,7002,7603,4281,3322,9126,6915,2211,13.7259734,86.2740266,56.306721,43.693279,75.7725181,24.2274819
41,Municipio/TIOC,Chuquisaca,Zudáñez,Icla,Urbana,,,,,,,,,,,,,,,
42,Municipio/TIOC,Chuquisaca,Zudáñez,Icla,Rural,8116,1114,7002,7603,4281,3322,9126,6915,2211,13.7259734,86.2740266,56.306721,43.693279,75.7725181,24.2274819
43,Provincia,Chuquisaca,Tomina,,Tomina,36575,6561,30014,34737,15490,19247,33800,27554,6246,17.9384826,82.0615174,44.5922216,55.4077784,81.5207101,18.4792899
44,Provincia,Chuquisaca,Tomina,,Urbana,2563,2226,337,5209,4965,244,6090,6042,48,86.8513461,13.1486539,95.3157996,4.6842004,99.2118227,0.7881773
45,Provincia,Chuquisaca,Tomina,,Rural,34012,4335,29677,29528,10525,19003,27710,21512,6198,12.7455016,87.2544984,35.6441344,64.3558656,77.6326236,22.3673764
46,Municipio/TIOC,Chuquisaca,Tomina,Padilla,Padilla,12208,2721,9487,10099,4896,5203,9058,7350,1708,22.2886632,77.7113368,48.4800475,51.5199525,81.1437403,18.8562597
47,Municipio/TIOC,Chuquisaca,Tomina,Padilla,Urbana,2563,2226,337,3180,3014,166,4112,4085,27,86.8513461,13.1486539,94.7798742,5.2201258,99.3433852,0.6566148
48,Municipio/TIOC,Chuquisaca,Tomina,Padilla,Rural,9645,495,9150,6919,1882,5037,4946,3265,1681,5.1321928,94.8678072,27.2004625,72.7995375,66.0129397,33.9870603
49,Municipio/TIOC,Chuquisaca,Tomina,Tomina,Tomina,8769,1421,7348,8326,4039,4287,8446,7680,766,16.2048124,83.7951876,48.5106894,51.4893106,90.930618,9.069382
50,Municipio/TIOC,Chuquisaca,Tomina,Tomina,Urbana,,,,,,,1978,1957,21,,,,,98.9383215,1.0616785
