c_ut,count,mean,median,std,min,max,q10,q20,q25,q30,q40,q50,q60,q70,q75,q80,q90,IQR,name,province,department,num_dpto,surface,Population_2024,density
10304,1094,0.269,0.240,0.053,0.24,0.475,0.240,0.240,0.240,0.240,0.240,0.240,0.245,0.260,0.271,0.292,0.347,0.031,Icla,Zudanez,Chuquisaca,1,846.3,8854,10.46
10401,1659,0.515,0.353,0.341,0.24,1.636,0.240,0.240,0.240,0.251,0.284,0.353,0.470,0.607,0.695,0.794,1.064,0.455,Padilla,Tomina,Chuquisaca,1,1620,7542,4.66
10402,1291,0.354,0.272,0.164,0.24,0.933,0.240,0.240,0.240,0.240,0.248,0.272,0.311,0.368,0.408,0.468,0.622,0.168,Tomina,Tomina,Chuquisaca,1,826.9,8341,10.09
10403,753,0.488,0.387,0.282,0.24,1.393,0.240,0.240,0.247,0.258,0.310,0.387,0.480,0.572,0.639,0.716,0.926,0.392,Sopachuy,Tomina,Chuquisaca,1,620.4,6886,11.1
10404,741,0.294,0.241,0.096,0.24,0.631,0.240,0.240,0.240,0.240,0.240,0.241,0.250,0.277,0.300,0.335,0.454,0.060,Villa Alcala,Tomina,Chuquisaca,1,312.8,3752,11.99
10405,729,0.274,0.240,0.063,0.24,0.53,0.240,0.240,0.240,0.240,0.240,0.240,0.247,0.262,0.273,0.298,0.365,0.033,El Villar,Tomina,Chuquisaca,1,895.5,5636,6.29
10601,2129,0.288,0.247,0.077,0.24,0.563,0.240,0.240,0.240,0.240,0.240,0.247,0.261,0.285,0.302,0.325,0.415,0.062,Tarabuco,Yamparaez,Chuquisaca,1,1029,13251,12.88
10602,1533,0.283,0.242,0.071,0.24,0.531,0.240,0.240,0.240,0.240,0.240,0.242,0.254,0.279,0.298,0.319,0.398,0.058,Yamparaez,Yamparaez,Chuquisaca,1,598.8,8537,14.26
10702,3354,0.281,0.242,0.069,0.24,0.535,0.240,0.240,0.240,0.240,0.240,0.242,0.253,0.274,0.292,0.315,0.391,0.052,San Lucas,Nor Cinti,Chuquisaca,1,3872,26486,6.84
10801,2029,0.392,0.263,0.231,0.24,1.154,0.240,0.240,0.240,0.240,0.243,0.263,0.306,0.401,0.470,0.558,0.780,0.230,Villa Serrano,Belisario Boeto,Chuquisaca,1,1713,8961,5.23
11001,1107,0.703,0.585,0.504,0,2.245,0.240,0.256,0.311,0.373,0.474,0.585,0.701,0.841,0.925,1.061,1.496,0.614,Villa Vaca Guzman (Muyupampa),Luis Calvo,Chuquisaca,1,3793,13196,3.48
11003,869,0.781,0.653,0.517,0.099,2.399,0.240,0.294,0.341,0.401,0.530,0.653,0.787,0.939,1.065,1.181,1.562,0.724,Machareti,Luis Calvo,Chuquisaca,1,7880,7245,0.92
21802,866,0.240,0.240,0.000,0.24,0.24,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.000,Papel Pampa,Gualberto Villarroel,La Paz,2,914.1,6222,6.81
41101,1937,0.261,0.240,0.047,0.24,0.444,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.264,0.336,0.000,Eucaliptus,Tomas Barron,Oruro,4,333.8,5443,16.31
41301,374,0.248,0.240,0.025,0.203,0.36,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.264,0.000,Totora,San Pedro de Totora,Oruro,4,1443,6570,4.55
41601,743,0.240,0.240,0.000,0.24,0.24,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.000,Huayllamarca,Nor Carangas,Oruro,4,876.7,5980,6.82
50102,2898,0.248,0.240,0.017,0.24,0.314,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.242,0.249,0.254,0.274,0.009,Tinguipaya,Tomas Frias,Potosi,5,1464,28829,19.69
50103,1266,0.254,0.240,0.029,0.24,0.37,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.245,0.250,0.262,0.301,0.010,Yocalla,Tomas Frias,Potosi,5,880.7,11119,12.63
50104,252,0.252,0.240,0.021,0.24,0.323,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.244,0.251,0.266,0.289,0.011,Urmiri,Tomas Frias,Potosi,5,1304,3162,2.42
50202,1189,0.262,0.247,0.030,0.24,0.35,0.240,0.240,0.240,0.240,0.241,0.247,0.254,0.267,0.276,0.288,0.316,0.036,Chayanta,Rafael Bustillo,Potosi,5,614.5,16008,26.05
50301,5524,0.311,0.243,0.113,0.24,0.715,0.240,0.240,0.240,0.240,0.240,0.243,0.269,0.310,0.339,0.377,0.497,0.099,Betanzos,Cornelio Saavedra,Potosi,5,1909,31772,16.64
50302,2016,0.267,0.243,0.048,0.24,0.44,0.240,0.240,0.240,0.240,0.240,0.243,0.247,0.256,0.266,0.290,0.350,0.026,Chaqui,Cornelio Saavedra,Potosi,5,454.1,9262,20.4
50303,585,0.244,0.240,0.010,0.24,0.298,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.241,0.242,0.252,0.001,Tacobamba,Cornelio Saavedra,Potosi,5,833.9,14208,17.04
50401,4286,0.255,0.240,0.029,0.24,0.372,0.240,0.240,0.240,0.240,0.240,0.240,0.241,0.249,0.256,0.266,0.300,0.016,Colquechaca,Chayanta,Potosi,5,800,16163,20.2
50402,2502,0.243,0.240,0.006,0.24,0.27,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.241,0.242,0.245,0.252,0.002,Ravelo,Chayanta,Potosi,5,1241,16728,13.48
50403,3887,0.278,0.246,0.059,0.24,0.482,0.240,0.240,0.240,0.240,0.240,0.246,0.258,0.280,0.295,0.317,0.373,0.055,Pocoata,Chayanta,Potosi,5,1192,32307,27.1
50404,1374,0.254,0.240,0.028,0.24,0.365,0.240,0.240,0.240,0.240,0.240,0.240,0.241,0.246,0.252,0.260,0.300,0.012,Ocuri,Chayanta,Potosi,5,941.7,14367,15.26
50501,1333,0.258,0.242,0.032,0.24,0.396,0.240,0.240,0.240,0.240,0.240,0.242,0.246,0.253,0.259,0.269,0.302,0.019,San Pedro de Buena Vista,Charcas,Potosi,5,2170,27961,12.89
50502,1212,0.280,0.240,0.074,0.24,0.557,0.240,0.240,0.240,0.240,0.240,0.240,0.247,0.268,0.283,0.307,0.404,0.043,Toro Toro,Charcas,Potosi,5,1176,10719,9.11
