Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;f_min_prod;f_max_prod;Comment
Electricity;Electricity;Nuclear;NUCLEAR;4845.734619;102.930986;707.88;60;0.843906;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Electricity;Electricity;Nuclear;NUCLEAR_SMR;4845.734619;102.930986;707.88;60;0.843906;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Electricity;Electricity;Amonia combined cycle gas turbine;CCGT_AMMONIA;1217.490356;18.26220742;183.79;30;0.9615;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Electricity;Electricity;Ultra-supercritical coal power plant;COAL_US;2516.71;30.0225445;331.6;35;0.865396;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Electricity;Electricity;Intagrated gasification combined cycle with coal;COAL_IGCC;3245.81;49.47283735;331.6;35;0.853432;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Electricity;Electricity;Biomass power plant;BIOMASS_TO_POWER;1677.0152;69.9431;331.6;35;0.868;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Electricity;Electricity;Photovoltaic rooftop;PV_ROOFTOP;737.8867059;9.726688396;2081.43;30;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Electricity;Electricity;Photovoltaic utility scale;PV_UTILITY;882.2095856;23.95327618;2081.43;30;1.0;0.0;1.0;0.0004;0.0004;0.0;1000000000000000.0;
Electricity;Electricity;Parabolic trough collectors;PT_COLLECTOR;4504.71429;62.65;0.0;25;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Electricity;Electricity;Solar tower collectors;ST_COLLECTOR;5517.02;63.0;0.0;25;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Electricity;Electricity;Parabolic trough power block;PT_POWER_BLOCK;1044.57;62.65;0.0;25;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Electricity;Electricity;Solar tower power block;ST_POWER_BLOCK;768.19;63.0;0.0;25;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Electricity;Electricity;Wind onshore;WIND_ONSHORE;1518.10545;23.38311669;622.85;30;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Electricity;Electricity;Wind offshore;WIND_OFFSHORE;4974.63;36.31492615;622.85;30;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Electricity;Electricity;Hydro dam;HYDRO_DAM;2206.3;22.063;1262.82;100;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Electricity;Electricity;Hydro river;HYDRO_RIVER;2000.264;20.003;1262.82;100;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Electricity;Electricity;Tidal stream;TIDAL_STREAM;3752.0;165.0;0.0;20;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Electricity;Electricity;Tidal range;TIDAL_RANGE;2867.0;178.0;0.0;40;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Electricity;Electricity;Wave;WAVE;2912.5;97.4107;0.0;25;0.3995;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Electricity;Electricity;Geothermal power plant;GEOTHERMAL;3534.122231;88.35304846;24929.09;50;0.914;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Electricity;Electricity;Diesel genset;GENSET_DIESEL;384.6;5.769001632;516.55;30;1.0;0.0;1.0;0.00742;0.00742;0.0;1000000000000000.0;
Electricity;Electricity;Open cycle gas turbine;OCGT;915.1514369;22.87878592;183.79;30;0.85;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Electricity;Electricity;Combined cycle gas turbine;CCGT;1217.490356;18.26220742;183.79;30;0.85;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
