jeu,trajectoire,cluster,A_final_elec_GWh,B_final_elec_GWh,total_final_elec_GWh,share_dispersion
P0_P1,acces_2050,C1,30.204665374402325,4.558565519595481,34.76323089399781,0.13113181376885655
P0_P1,acces_2050,C2,2.2270208050891176,0.43137420303434093,2.6583950081234584,0.16226866275183266
P0_P1,acces_2050,C3,143.7964913538314,1.1108053302402416,144.90729668407167,0.007665627305587175
P0_P1,acces_2050,C4,72.7641923229923,5.580841213013016,78.34503353600532,0.07123414160577528
P0_P1,acces_2050,C5,72.00978574933832,6.068063302246377e-16,72.00978574933832,8.426720395154258e-18
P2,acces_2035,C1,30.204665374402325,4.558565519595481,34.76323089399781,0.13113181376885655
P2,acces_2035,C2,2.2270208050891176,0.43137420303434093,2.6583950081234584,0.16226866275183266
P2,acces_2035,C3,143.7964913538314,1.1108053302402416,144.90729668407167,0.007665627305587175
P2,acces_2035,C4,72.7641923229923,5.580841213013016,78.34503353600532,0.07123414160577528
P2,acces_2035,C5,72.00978574933832,6.068063302246377e-16,72.00978574933832,8.426720395154258e-18
