municipality,TOTAL_GWh,sufficiency_illumination,sufficiency_ICT,sufficiency_cold_storage,sufficiency_thermal_comfort,small_school_illumination,small_school_ICT,entertainment_business_illumination,entertainment_business_ICT,entertainment_business_cold_storage,rice_processing_rice_processing,restaurant_illumination,restaurant_cold_storage,restaurant_kitchen,store_illumination,store_ICT,store_cold_storage,workshop_illumination,workshop_ICT,workshop_machinery
Puerto_Gonzalo_Moreno,0.07357530065810002,0.012746897729566681,0.0048106980597333255,0.017095469606766667,0.0106901016787,2.232450865e-05,2.5343356683333332e-05,0.00014404093209999998,0.00019467753655,0.0028368964933,0.0036933225435333335,4.935608116666667e-05,0.0049872216512166665,0.00029477422319999997,0.0003392380173833333,7.64430615e-06,0.00661767117695,1.4906198516666668e-05,2.346755383333333e-06,0.009002369802550002
Puerto_Rico,0.11554914271605005,0.0175774799442167,0.00797122904635,0.03500868447903333,0.013458791130200003,2.1655303916666666e-05,2.6802896849999998e-05,0.00024260621813333334,0.0003095892502,0.004707845728300001,0.0037092925258833337,6.990865325e-05,0.007139811404333334,0.0004190844063666667,0.00048563672515,1.0914298116666665e-05,0.00942907847995,2.5035786850000002e-05,3.91911805e-06,0.014931777320900003
Reyes,0.12449633054945006,0.01976116888485004,0.007912468915583334,0.03945732999046667,0.014047353775616674,2.2098015533333335e-05,2.770560445e-05,0.00024147091324999996,0.00031080440825,0.0047252775534166675,0.003688277469216667,7.879192883333334e-05,0.007858869546066667,0.00046347672294999993,0.0005315014936166666,1.2002725116666667e-05,0.010378989288616669,2.417419765e-05,3.916289783333333e-06,0.014950652826183335
Riberalta,0.5850004781746677,0.0768473030680336,0.03981261832540059,0.18366602014431668,0.0885116047597502,2.2161188683333335e-05,2.591607026666667e-05,0.0011159536017166668,0.0014258628272333332,0.021696597578833333,0.022195330179883337,0.0003234100337166667,0.03287790476361667,0.0019345597722166673,0.0022269798232999994,5.019364388333332e-05,0.04336982631473333,0.00011357239653333333,1.8033298749999997e-05,0.06876663038380003
San_Lorenzo,0.08494117407561669,0.014715744917733356,0.005258035937249991,0.019824470863183334,0.011172560645066667,2.2129048466666662e-05,2.9192559416666667e-05,0.0001932232805833333,0.0002534649951,0.0037627944643333334,0.003683405844266667,5.504754571666666e-05,0.005702577311300001,0.00033677485983333325,0.00038845122175,8.730508283333333e-06,0.007540094118116667,1.970325096666667e-05,3.1407373166666667e-06,0.011971631966933334
San_Pedro,0.05452127564855001,0.013588571384350018,0.002902227746416661,0.0,0.003763730477233333,2.193546016666667e-05,2.6409795049999995e-05,0.0001941656041833333,0.00025374191515,0.003778198810916667,0.0038401275576500004,5.4258329050000004e-05,0.005711530927933335,0.00033730571964999995,0.0003899307886999999,8.736618066666666e-06,0.00756678291,2.0177898883333334e-05,3.1369069333333333e-06,0.012060306798216668
Santa_Rosa_Beni,0.23606872665016693,0.0341515901462168,0.01397296193951673,0.07073611553238335,0.0301011154673667,2.1994159599999998e-05,2.7020985933333333e-05,0.0004842814138166667,0.0006175467575333332,0.009430223652233335,0.011389862542966667,0.00014701021856666665,0.014279443220300003,0.0008425029677666665,0.0009643428273666667,2.1824721866666665e-05,0.018881828848300003,4.939050688333333e-05,7.840664183333333e-06,0.02994183007736667
Santa_Rosa_Pando,0.0473919483452,0.008160335057250003,0.0030503409597833295,0.015024903539433334,0.005956104609833332,2.150583201666667e-05,2.7393542549999997e-05,9.754075923333333e-05,0.00013299958699999998,0.0018789640051000002,0.0,2.7329875550000006e-05,0.002860634043766667,0.00016866745463333334,0.00019308069726666665,4.36777775e-06,0.0037674874155833337,1.0106191150000001e-05,1.5710619333333333e-06,0.006008615935366667
Santos_Mercado,0.05371196789740001,0.011414365330783343,0.003149331870199994,0.006238161071333335,0.006501160046566665,2.2143475816666668e-05,2.6548875566666665e-05,0.00014527611126666665,0.00019078714364999998,0.002836350527866667,0.003677830823366667,4.3248445149999995e-05,0.00428242274695,0.0002518461871333333,0.00029074816515,6.547055450000001e-06,0.005659233784016667,1.52770023e-05,2.3485392166666666e-06,0.008958340695616667
Sena,0.20891026638275023,0.037964722099250156,0.012391586256733384,0.03881802727211667,0.025279941173283353,2.1544897550000003e-05,2.69820493e-05,0.0005304473197166666,0.0006856829648499999,0.010373943216750002,0.0112066575567,0.00016144258063333333,0.01573945542095,0.0009245734230333332,0.00106302647,2.399018516666667e-05,0.02075527993875,5.406680793333333e-05,8.625678516666665e-06,0.03288027107151667
Villa_Nueva,0.061049782561550005,0.012166635530183345,0.0034611355126999937,0.0100756130779,0.007094914494066666,2.198240085e-05,2.731964363333333e-05,0.0001449252753833333,0.00019212780424999998,0.0028303235678166666,0.0037318224321666667,4.892517073333333e-05,0.004998769403833333,0.00029443594598333334,0.00033740074268333336,7.638700866666666e-06,0.0065939117469,1.5117428949999999e-05,2.3512379166666665e-06,0.009004432444733333
TOTAL,2.9697136059442024,0.5198135967929183,0.18663671456226746,0.6621755940096833,0.33998173243600033,0.0004586313508166667,0.0005757660133833332,0.007065465365949999,0.0091157225431,0.13772818983048335,0.14146725697456666,0.0021121619455833334,0.21439903391315002,0.01261684876195,0.014496522286433331,0.00032733785114999995,0.28296655874858334,0.00072732148125,0.00011442897036666664,0.43693472210656675
