municipality,TOTAL_GWh,sufficiency_illumination,sufficiency_ICT,sufficiency_cold_storage,sufficiency_thermal_comfort,small_school_illumination,small_school_ICT,entertainment_business_illumination,entertainment_business_ICT,entertainment_business_cold_storage,rice_processing_rice_processing,restaurant_illumination,restaurant_cold_storage,restaurant_kitchen,store_illumination,store_ICT,store_cold_storage,workshop_illumination,workshop_ICT,workshop_machinery
Bella_Flor,0.10318123190160004,0.017625749261066703,0.0062421071382999915,0.026235732261450005,0.01157223347105,2.1814263116666667e-05,2.7437810066666664e-05,0.00024283960773333329,0.00030160375913333335,0.004720747870983334,0.003717602431216667,7.045204901666666e-05,0.007140257118483334,0.00042089863508333326,0.00048141020878333333,1.0916352866666666e-05,0.0094239699337,2.435094995e-05,3.914767566666667e-06,0.014897194012033335
Bolpebra,0.10378140235411672,0.021999809508466722,0.006325584551116655,0.014461388133150002,0.010064949183716665,2.123364676666667e-05,2.7921535849999998e-05,0.00029081570786666664,0.0003726112595,0.005647639022600001,0.003722074258633334,9.153009031666666e-05,0.009289108144483334,0.0005469004061833333,0.0006318808025499999,1.4188327299999998e-05,0.012279146546966668,3.0228598600000005e-05,4.702911033333333e-06,0.017959689719016667
Cobija,0.12231806323606671,0.01380882941358335,0.009031443197033336,0.04891892667163334,0.01650254229095001,2.181070021666667e-05,2.9248443199999997e-05,0.00019216087206666666,0.0002515355153833333,0.0037758832233500002,0.00367083745955,5.6840037349999996e-05,0.005729819520966667,0.0003371365585333334,0.0003857627165333333,8.721309949999999e-06,0.007551400108633335,2.012763801666667e-05,3.143013216666667e-06,0.012021894545900002
Exaltación,0.19110792597011694,0.049700323642283564,0.01022406192905003,0.0,0.008585729633483332,2.1974460166666663e-05,2.5786958449999996e-05,0.0006795255843166667,0.0008781068343333333,0.013209044864650002,0.01484410819838333,0.00019827125995000006,0.020720567589083333,0.0012206017911333333,0.0013994353735833332,3.164201133333333e-05,0.027351036259516667,7.169784163333333e-05,1.0966772766666666e-05,0.04193504496600001
Filadelfia,0.20085422357473354,0.03451393238100013,0.011845368961150038,0.04552981685140001,0.021885996187700027,2.2082451699999998e-05,2.9312205049999996e-05,0.0004824058117,0.0006088299033333333,0.009435641139283335,0.011344437586183333,0.00013940341525,0.014298593989566668,0.0008414646762666665,0.0009658611406666666,2.1809738866666666e-05,0.018847943149133337,5.0567544116666666e-05,7.834324916666666e-06,0.029982922117450003
Guayaramerín,0.1387811805771835,0.03642286008026681,0.007423055957400011,0.0,0.006290785238583332,2.19089817e-05,2.767857958333333e-05,0.00048023734555,0.0006134464156666666,0.0094167435114,0.011303510878566667,0.00014391200041666665,0.0150209778915,0.0008821353092999998,0.0010140244902166666,2.290851796666667e-05,0.019773401031250006,5.074658879999999e-05,7.830143116666667e-06,0.029865017615900005
Ingavi,0.06645468480236669,0.015271941228650025,0.004347106342666657,0.0032225485265833334,0.0078049147780166655,2.128843241666667e-05,2.8539736266666662e-05,0.00019552752843333333,0.0002502617965833333,0.003768106057316667,0.003750144170116667,6.356921915e-05,0.006439334196150001,0.0003774337972333333,0.00043287273676666666,9.819381750000001e-06,0.0084931397747,1.9476382749999996e-05,3.1369132333333333e-06,0.011955523803583334
Ixiamas,0.24308240909700032,0.044070522708983526,0.01546920402608343,0.055934024588516665,0.018188600762750026,2.1780769283333336e-05,2.8420596849999995e-05,0.00062785696365,0.0008203770765333334,0.01227320820075,0.011044384270716667,0.00018447310723333334,0.018590411396250003,0.0010909484026666665,0.0012526523680999998,2.8365973583333334e-05,0.02453242479146667,6.334147436666666e-05,1.0183051933333333e-05,0.03885122856728335
Nueva_Esperanza,0.06617129063798335,0.015165397669950025,0.004901065066383324,0.0025895923065000002,0.009483669471716666,2.10598123e-05,2.6486656466666664e-05,0.00019309018018333335,0.00026523953581666666,0.003788073284066667,0.0036523291400333336,5.68027555e-05,0.005722497505966667,0.0003363607604833333,0.0003850642267,8.726227533333333e-06,0.007550818594283334,1.9942131366666666e-05,3.134909766666667e-06,0.012001940402966666
Porvenir,0.08876480013353336,0.012139416806233346,0.00613508282341666,0.029338769093516667,0.013024933160350005,2.22035419e-05,2.8298111899999994e-05,0.00014707433506666663,0.00018642525704999998,0.0028356870572166667,0.0036018991055333347,4.817914903333333e-05,0.0050088261204333335,0.00029496674229999997,0.00033722125016666664,7.649469283333333e-06,0.006603094537016667,1.5314665033333337e-05,2.3518748333333333e-06,0.008987407033250003
