municipality,department,sector,end_use,MWh,muni_ramp
Bolpebra,Pando,HOUSEHOLDS,HEAT_LOW_T_HW,15.3393,Bolpebra
Bolpebra,Pando,HOUSEHOLDS,LIGHTING_R_C,25.2230,Bolpebra
Bolpebra,Pando,HOUSEHOLDS,ELECTRICITY,19.8541,Bolpebra
Ixiamas,La Paz,HOUSEHOLDS,FOOD_PRESERVATION,684.1739,Ixiamas
Ixiamas,La Paz,HOUSEHOLDS,SPACE_COOLING,354.4026,Ixiamas
Ixiamas,La Paz,HOUSEHOLDS,HEAT_LOW_T_HW,127.3561,Ixiamas
Ixiamas,La Paz,HOUSEHOLDS,LIGHTING_R_C,316.2840,Ixiamas
Ixiamas,La Paz,HOUSEHOLDS,ELECTRICITY,273.7334,Ixiamas
San Lorenzo,Pando,HOUSEHOLDS,FOOD_PRESERVATION,569.6527,San_Lorenzo
San Lorenzo,Pando,HOUSEHOLDS,SPACE_COOLING,467.8723,San_Lorenzo
San Lorenzo,Pando,HOUSEHOLDS,HEAT_LOW_T_HW,34.5073,San_Lorenzo
San Lorenzo,Pando,HOUSEHOLDS,LIGHTING_R_C,250.5670,San_Lorenzo
San Lorenzo,Pando,HOUSEHOLDS,ELECTRICITY,215.9407,San_Lorenzo
Santa Rosa del Abuná,Pando,HOUSEHOLDS,FOOD_PRESERVATION,163.7423,Santa_Rosa_Pando
Santa Rosa del Abuná,Pando,HOUSEHOLDS,SPACE_COOLING,96.0711,Santa_Rosa_Pando
Santa Rosa del Abuná,Pando,HOUSEHOLDS,HEAT_LOW_T_HW,15.2115,Santa_Rosa_Pando
Santa Rosa del Abuná,Pando,HOUSEHOLDS,LIGHTING_R_C,51.8591,Santa_Rosa_Pando
Santa Rosa del Abuná,Pando,HOUSEHOLDS,ELECTRICITY,51.1460,Santa_Rosa_Pando
Santos Mercado,Pando,HOUSEHOLDS,FOOD_PRESERVATION,25.5107,Santos_Mercado
Santos Mercado,Pando,HOUSEHOLDS,SPACE_COOLING,53.3419,Santos_Mercado
Santos Mercado,Pando,HOUSEHOLDS,HEAT_LOW_T_HW,1.4435,Santos_Mercado
Santos Mercado,Pando,HOUSEHOLDS,LIGHTING_R_C,27.3748,Santos_Mercado
Santos Mercado,Pando,HOUSEHOLDS,ELECTRICITY,17.4490,Santos_Mercado
Nueva Esperanza,Pando,HOUSEHOLDS,FOOD_PRESERVATION,3.8964,Nueva_Esperanza
Nueva Esperanza,Pando,HOUSEHOLDS,SPACE_COOLING,21.4500,Nueva_Esperanza
Nueva Esperanza,Pando,HOUSEHOLDS,HEAT_LOW_T_HW,1.1416,Nueva_Esperanza
Nueva Esperanza,Pando,HOUSEHOLDS,LIGHTING_R_C,12.5948,Nueva_Esperanza
Nueva Esperanza,Pando,HOUSEHOLDS,ELECTRICITY,8.1672,Nueva_Esperanza
Ingavi,Pando,HOUSEHOLDS,FOOD_PRESERVATION,6.4579,Ingavi
Ingavi,Pando,HOUSEHOLDS,SPACE_COOLING,34.0156,Ingavi
Ingavi,Pando,HOUSEHOLDS,HEAT_LOW_T_HW,3.4856,Ingavi
Ingavi,Pando,HOUSEHOLDS,LIGHTING_R_C,18.9076,Ingavi
Ingavi,Pando,HOUSEHOLDS,ELECTRICITY,12.3433,Ingavi
San Pedro,Pando,HOUSEHOLDS,FOOD_PRESERVATION,0.0000,San_Pedro
San Pedro,Pando,HOUSEHOLDS,SPACE_COOLING,0.6616,San_Pedro
San Pedro,Pando,HOUSEHOLDS,HEAT_LOW_T_HW,0.0194,San_Pedro
San Pedro,Pando,HOUSEHOLDS,LIGHTING_R_C,0.3885,San_Pedro
San Pedro,Pando,HOUSEHOLDS,ELECTRICITY,0.2605,San_Pedro
Riberalta,Beni,SERVICES,ELECTRICITY,11718.5786,Riberalta
Riberalta,Beni,SERVICES,SPACE_COOLING,2007.9101,Riberalta
Riberalta,Beni,SERVICES,FOOD_PRESERVATION,1471.3134,Riberalta
Riberalta,Beni,SERVICES,COOKING,727.0019,Riberalta
Riberalta,Beni,SERVICES,MECHANICAL_ENERGY_COMM,467.3584,Riberalta
Riberalta,Beni,SERVICES,LIGHTING_R_C,519.2871,Riberalta
Riberalta,Beni,SERVICES,HEAT_LOW_T_HW,380.8105,Riberalta
Guayaramerín,Beni,SERVICES,ELECTRICITY,5792.6329,Guayaramerín
Guayaramerín,Beni,SERVICES,SPACE_COOLING,992.5339,Guayaramerín
Guayaramerín,Beni,SERVICES,FOOD_PRESERVATION,727.2877,Guayaramerín
Guayaramerín,Beni,SERVICES,COOKING,359.3657,Guayaramerín
Guayaramerín,Beni,SERVICES,MECHANICAL_ENERGY_COMM,231.0208,Guayaramerín
Guayaramerín,Beni,SERVICES,LIGHTING_R_C,256.6898,Guayaramerín
Guayaramerín,Beni,SERVICES,HEAT_LOW_T_HW,188.2392,Guayaramerín
Reyes,Beni,SERVICES,ELECTRICITY,634.3741,Reyes
Reyes,Beni,SERVICES,SPACE_COOLING,108.6963,Reyes
Reyes,Beni,SERVICES,FOOD_PRESERVATION,79.6481,Reyes
Reyes,Beni,SERVICES,COOKING,39.3556,Reyes
Reyes,Beni,SERVICES,MECHANICAL_ENERGY_COMM,25.3000,Reyes
Reyes,Beni,SERVICES,LIGHTING_R_C,28.1111,Reyes
Reyes,Beni,SERVICES,HEAT_LOW_T_HW,20.6148,Reyes
Santa Rosa,Beni,SERVICES,ELECTRICITY,569.7711,Santa_Rosa_Beni
Santa Rosa,Beni,SERVICES,SPACE_COOLING,97.6269,Santa_Rosa_Beni
Santa Rosa,Beni,SERVICES,FOOD_PRESERVATION,71.5370,Santa_Rosa_Beni
Santa Rosa,Beni,SERVICES,COOKING,35.3477,Santa_Rosa_Beni
Santa Rosa,Beni,SERVICES,MECHANICAL_ENERGY_COMM,22.7235,Santa_Rosa_Beni
Santa Rosa,Beni,SERVICES,LIGHTING_R_C,25.2483,Santa_Rosa_Beni
Santa Rosa,Beni,SERVICES,HEAT_LOW_T_HW,18.5155,Santa_Rosa_Beni
Exaltación,Beni,SERVICES,ELECTRICITY,50.5751,Exaltación
Exaltación,Beni,SERVICES,SPACE_COOLING,8.6657,Exaltación
Exaltación,Beni,SERVICES,FOOD_PRESERVATION,6.3499,Exaltación
