municipality,department,sector,end_use,MWh,muni_ramp
San Lorenzo,Pando,PUBLIC_LIGHTING,LIGHTING_P,259.4900,San_Lorenzo
Santa Rosa del Abuná,Pando,PUBLIC_LIGHTING,LIGHTING_P,38.9400,Santa_Rosa_Pando
Santos Mercado,Pando,PUBLIC_LIGHTING,LIGHTING_P,12.8900,Santos_Mercado
Nueva Esperanza,Pando,PUBLIC_LIGHTING,LIGHTING_P,4.8700,Nueva_Esperanza
Ingavi,Pando,PUBLIC_LIGHTING,LIGHTING_P,7.7500,Ingavi
San Pedro,Pando,PUBLIC_LIGHTING,LIGHTING_P,0.1400,San_Pedro
Riberalta,Beni,SERVICES_OTHER,ELECTRICITY,989.3200,Riberalta
Guayaramerín,Beni,SERVICES_OTHER,ELECTRICITY,61.9300,Guayaramerín
Reyes,Beni,SERVICES_OTHER,ELECTRICITY,31.7800,Reyes
Santa Rosa,Beni,SERVICES_OTHER,ELECTRICITY,115.8900,Santa_Rosa_Beni
Exaltación,Beni,SERVICES_OTHER,ELECTRICITY,22.2600,Exaltación
El Sena,Pando,SERVICES_OTHER,ELECTRICITY,30.2500,Sena
Puerto Gonzalo Moreno,Pando,SERVICES_OTHER,ELECTRICITY,0.0000,Puerto_Gonzalo_Moreno
Villa Nueva,Pando,SERVICES_OTHER,ELECTRICITY,1.4000,Villa_Nueva
Cobija,Pando,SERVICES_OTHER,ELECTRICITY,309.5600,Cobija
Porvenir,Pando,SERVICES_OTHER,ELECTRICITY,28.1300,Porvenir
Puerto Rico,Pando,SERVICES_OTHER,ELECTRICITY,26.3900,Puerto_Rico
Filadelfia,Pando,SERVICES_OTHER,ELECTRICITY,25.7600,Filadelfia
Bella Flor,Pando,SERVICES_OTHER,ELECTRICITY,4.9700,Bella_Flor
Bolpebra,Pando,SERVICES_OTHER,ELECTRICITY,1.3600,Bolpebra
Ixiamas,La Paz,SERVICES_OTHER,ELECTRICITY,19.8500,Ixiamas
San Lorenzo,Pando,SERVICES_OTHER,ELECTRICITY,17.4000,San_Lorenzo
Santa Rosa del Abuná,Pando,SERVICES_OTHER,ELECTRICITY,43.3000,Santa_Rosa_Pando
Santos Mercado,Pando,SERVICES_OTHER,ELECTRICITY,14.3300,Santos_Mercado
Nueva Esperanza,Pando,SERVICES_OTHER,ELECTRICITY,5.4100,Nueva_Esperanza
Ingavi,Pando,SERVICES_OTHER,ELECTRICITY,8.6100,Ingavi
San Pedro,Pando,SERVICES_OTHER,ELECTRICITY,0.1500,San_Pedro
