Cluster,Comunidad,Municipio_std,HH,distance_km,nearest_line_type,annual_extension_EUR_HH,annual_standalone_EUR_HH,dispersed,breakeven_distance_km,dispersed_glouton_noeud_seul,dispersed_breakeven_independant,km_arete_parent_glouton,attache_glouton,km_arete_parent_glouton_noeud_seul
C1,EXALTACION,Exaltación,123.03930860361235,0.0466155111328188,SIN,17.87,1258.21,False,145.602,False,False,0.04661551113272673,root,0.0466155111328188
C1,BOCORONDO,Exaltación,47.84948533695863,6.621175174356837,SIN,162.56,1258.21,False,56.624,False,False,6.6211751743568374,root,6.621175174356837
C1,20 DE ENERO,Exaltación,10.940104874732958,9.23373335335436,SIN,902.41,1258.21,False,12.946,False,False,9.23373335335443,root,9.23373335335436
C1,TROMPILLO,Exaltación,23.91481841134201,25.196975927875904,SIN,1122.16,1258.21,False,28.3,False,False,18.770373470401072,node,18.770373470401072
C1,PUERTO SANTIAGO,Exaltación,17.28638570596232,26.13837843789098,SIN,1602.85,1258.21,False,20.456,False,True,1.6625843413937527,node,1.6625843413937527
C1,SAN CARLOS,Exaltación,60.64342590794328,38.88060115910172,SIN,689.69,1258.21,False,71.764,False,False,7.638321429818993,tap,30.1105233595478
C1,RANCHO GINEBRA,Exaltación,70.3138473489998,47.53665032392087,SIN,726.31,1258.21,False,83.208,False,False,23.78256714996185,node,31.010513745299512
C1,NUEVO PARAISO,Exaltación,4.75474849485337,55.491363268560434,SIN,12253.94,1258.21,True,5.627,True,True,,,
C1,ANA MARIA,Exaltación,4.75474849485337,57.97884882569683,SIN,12802.46,1258.21,False,5.627,True,True,1.1495258068105365,tap,
C1,COOPERATIVA,Exaltación,49.280093221984856,59.63582981686783,SIN,1286.28,1258.21,False,58.317,False,True,3.4875400592910517,tap,49.684921230744905
C1,LAS MARAVILLAS,Exaltación,32.679238687123714,62.36583964672258,SIN,2018.41,1258.21,False,38.672,False,True,12.247915579945124,tap,15.602218855666218
C1,SANTA ROSA,Exaltación,23.491590600116528,65.39327980163179,SIN,2936.1,1258.21,True,27.799,True,True,,,
C1,EXALTACION DE SANTA CRUZ,Exaltación,12.390561274033793,65.73754362739461,SIN,5580.11,1258.21,True,14.663,True,True,,,
C1,LAS PEÑAS DE NAZARETH,Exaltación,24.498970673917263,66.86261596164935,SIN,2878.97,1258.21,False,28.991,False,True,6.684450240556258,tap,7.539549766639472
C1,PIRAQUINAL,Exaltación,23.491590600116528,68.1721909210026,SIN,3060.13,1258.21,False,27.799,False,True,1.8813020537034661,tap,4.20865869797959
C1,COQUINAL,Exaltación,258.9321033210332,71.91205849780054,SIN,308.66,1258.21,False,306.414,False,False,3.7647723196511707,root,71.91205849780054
