PV,SOLAR,WIND_ONSHORE
0.192333,0.221813,0.147000
0.085000,0.109063,0.094667
0.007333,0.023656,0.088000
0.000000,0.000000,0.092667
0.000000,0.000000,0.093667
0.000000,0.000000,0.102333
0.000000,0.000000,0.121000
0.000000,0.000000,0.136667
0.000000,0.000000,0.138333
0.000000,0.000000,0.140667
0.000000,0.000000,0.148667
0.000000,0.000000,0.148000
0.000000,0.000000,0.156333
0.000000,0.000000,0.165000
0.006000,0.022427,0.159667
0.081000,0.103533,0.108000
0.183000,0.209831,0.211667
0.278333,0.313364,0.353333
0.354333,0.399386,0.361667
0.395000,0.447312,0.336333
0.402000,0.455607,0.304667
0.394333,0.447005,0.265000
0.357000,0.404608,0.239667
0.296333,0.335791,0.187333
0.212667,0.243932,0.122333
0.101333,0.126267,0.085000
0.012333,0.030415,0.082667
0.000000,0.000000,0.098000
0.000000,0.000000,0.090000
0.000000,0.000000,0.080333
0.000000,0.000000,0.068333
0.000000,0.000000,0.061667
0.000000,0.000000,0.064000
0.000000,0.000000,0.068667
0.000000,0.000000,0.085000
0.000000,0.000000,0.104333
0.000000,0.000000,0.115667
0.000000,0.000000,0.110333
0.006667,0.023041,0.094000
0.078333,0.101075,0.072333
0.171333,0.199078,0.078333
0.259000,0.294931,0.092333
0.335667,0.384639,0.095667
0.390333,0.451306,0.085000
0.443333,0.514286,0.072000
0.453000,0.525346,0.064333
0.403333,0.464209,0.060333
0.316333,0.361598,0.046667
0.207000,0.239324,0.026667
0.088000,0.113057,0.008333
0.005333,0.021813,0.004667
0.000000,0.000000,0.011667
0.000000,0.000000,0.016667
0.000000,0.000000,0.032667
0.000000,0.000000,0.052333
0.000000,0.000000,0.067333
0.000000,0.000000,0.076333
0.000000,0.000000,0.079333
0.000000,0.000000,0.067000
0.000000,0.000000,0.061000
0.000000,0.000000,0.070000
0.000000,0.000000,0.066000
0.006333,0.019969,0.050667
0.060333,0.082028,0.029000
0.130667,0.155453,0.028000
0.197667,0.226728,0.032333
0.254667,0.287865,0.029333
0.297667,0.335177,0.020333
0.335333,0.378495,0.016000
0.353667,0.399693,0.017000
0.354000,0.400307,0.016000
0.301333,0.340707,0.007333
0.203000,0.233180,0.001000
0.096333,0.121045,0.000667
0.009667,0.026421,0.002333
0.000000,0.000000,0.009333
0.000000,0.000000,0.015000
0.000000,0.000000,0.023000
0.000000,0.000000,0.030667
0.000000,0.000000,0.035333
0.000000,0.000000,0.046333
0.000000,0.000000,0.045000
0.000000,0.000000,0.034667
0.000000,0.000000,0.048000
0.000000,0.000000,0.048333
0.000000,0.000000,0.043667
0.013333,0.031336,0.045000
0.112667,0.136713,0.014667
0.258000,0.289094,0.022000
0.388667,0.437788,0.049333
0.478000,0.549002,0.095000
0.527667,0.614747,0.141667
0.544333,0.637481,0.171667
0.529667,0.619662,0.193667
0.473000,0.547158,0.183667
0.380000,0.433794,0.156333
0.255000,0.290937,0.135333
0.116000,0.142243,0.109000
0.013000,0.031644,0.111667
0.000000,0.000000,0.119333
0.000000,0.000000,0.099000
0.000000,0.000000,0.087667
0.000000,0.000000,0.099667
0.000000,0.000000,0.112000
0.000000,0.000000,0.125000
0.000000,0.000000,0.160000
0.000000,0.000000,0.181333
0.000000,0.000000,0.156000
0.000000,0.000000,0.154333
0.000000,0.000000,0.161000
0.013333,0.031644,0.140000
0.114333,0.138863,0.097333
0.250333,0.281720,0.174667
0.372333,0.419355,0.259333
0.471667,0.540707,0.329333
0.529333,0.616897,0.367667
0.521000,0.607066,0.380000
0.480333,0.555453,0.358667
0.432333,0.496160,0.323333
0.348333,0.396313,0.277667
0.236000,0.270046,0.228333
0.110333,0.136406,0.172667
0.009667,0.027035,0.134667
0.000000,0.000000,0.109667
0.000000,0.000000,0.087333
0.000000,0.000000,0.085000
0.000000,0.000000,0.090667
0.000000,0.000000,0.079000
0.000000,0.000000,0.078667
0.000000,0.000000,0.082000
0.000000,0.000000,0.076667
0.000000,0.000000,0.082667
0.000000,0.000000,0.099000
0.000000,0.000000,0.088667
0.007333,0.023963,0.078000
0.091000,0.113978,0.057333
0.213000,0.241167,0.091333
0.310333,0.347158,0.171000
0.409333,0.462673,0.256333
0.472667,0.543472,0.301667
0.505667,0.587404,0.316667
0.498333,0.578802,0.287333
0.460333,0.530261,0.182667
0.364333,0.413825,0.099000
0.240667,0.275269,0.047667
0.111333,0.137020,0.013667
0.009333,0.027035,0.004333
0.000000,0.000000,0.003667
0.000000,0.000000,0.006333
0.000000,0.000000,0.021333
0.000000,0.000000,0.041333
0.000000,0.000000,0.045000
0.000000,0.000000,0.038000
0.000000,0.000000,0.036000
0.000000,0.000000,0.042333
0.000000,0.000000,0.043667
0.000000,0.000000,0.050000
0.000000,0.000000,0.070333
0.010667,0.027957,0.091000
0.105333,0.129032,0.088333
0.211333,0.240246,0.105667
0.286000,0.321966,0.150667
0.319667,0.361905,0.219333
0.338333,0.386175,0.281000
0.357000,0.409524,0.327000
0.347667,0.398771,0.317333
0.312333,0.357604,0.290333
0.253667,0.290630,0.252333
0.176667,0.206452,0.204333
0.076333,0.100768,0.141333
0.004333,0.020276,0.099667
0.000000,0.000000,0.091667
0.000000,0.000000,0.072000
0.000000,0.000000,0.052333
0.000000,0.000000,0.033667
0.000000,0.000000,0.020000
0.000000,0.000000,0.017667
0.000000,0.000000,0.029000
0.000000,0.000000,0.045333
0.000000,0.000000,0.059333
0.000000,0.000000,0.062667
0.000000,0.000000,0.063000
0.012000,0.029800,0.049000
0.111333,0.134869,0.015333
0.255667,0.286943,0.020333
0.385333,0.434409,0.029333
0.473000,0.542857,0.030333
0.503667,0.583103,0.034333
0.517333,0.601843,0.037333
0.504667,0.586175,0.037000
0.449667,0.517358,0.032000
0.354333,0.403687,0.028333
0.230000,0.263594,0.021000
0.098000,0.123195,0.010000
0.006333,0.023656,0.006667
0.000000,0.000000,0.009667
0.000000,0.000000,0.011333
0.000000,0.000000,0.013333
0.000000,0.000000,0.021333
0.000000,0.000000,0.036000
0.000000,0.000000,0.058667
0.000000,0.000000,0.087667
0.000000,0.000000,0.110000
0.000000,0.000000,0.109333
0.000000,0.000000,0.108667
0.000000,0.000000,0.075333
0.010667,0.028571,0.042667
0.105000,0.129032,0.009333
0.238333,0.270046,0.004000
0.357000,0.403687,0.001667
0.448000,0.513671,0.000333
0.496333,0.575115,0.000000
0.498000,0.578495,0.000667
0.452667,0.522888,0.003667
0.380333,0.435330,0.006333
0.276667,0.316436,0.007000
0.159000,0.188326,0.007000
0.066000,0.090015,0.006000
0.001667,0.016897,0.014000
0.000000,0.000000,0.043333
0.000000,0.000000,0.066000
0.000000,0.000000,0.082333
0.000000,0.000000,0.087667
0.000000,0.000000,0.099667
0.000000,0.000000,0.107667
0.000000,0.000000,0.111667
0.000000,0.000000,0.120000
0.000000,0.000000,0.123667
0.000000,0.000000,0.120000
0.000000,0.000000,0.107000
0.004000,0.019048,0.090667
0.071333,0.094009,0.045000
0.168333,0.195084,0.032667
0.261667,0.295545,0.045333
0.328333,0.372657,0.045333
0.383667,0.440553,0.038000
0.399667,0.459293,0.027000
0.389000,0.444854,0.019000
0.357667,0.406144,0.012333
0.277333,0.314900,0.010667
0.171667,0.200307,0.012000
0.065000,0.087865,0.014667
0.002667,0.015975,0.024000
0.000000,0.000000,0.046667
0.000000,0.000000,0.062333
0.000000,0.000000,0.075000
0.000000,0.000000,0.072667
0.000000,0.000000,0.067333
0.000000,0.000000,0.065667
0.000000,0.000000,0.052333
0.000000,0.000000,0.040333
0.000000,0.000000,0.038667
0.000000,0.000000,0.051667
0.000000,0.000000,0.068333
0.007667,0.024270,0.069333
0.092667,0.115822,0.036667
0.216667,0.244854,0.008333
0.330667,0.372350,0.006333
0.424667,0.487865,0.004000
0.490333,0.571736,0.002333
0.520667,0.613825,0.002000
0.501667,0.588018,0.002333
0.448333,0.519816,0.003000
0.351000,0.401536,0.003000
0.230667,0.264823,0.003333
0.099000,0.123810,0.007333
0.008667,0.024885,0.019333
0.000000,0.000000,0.050667
0.000000,0.000000,0.082000
0.000000,0.000000,0.099667
0.000000,0.000000,0.101333
0.000000,0.000000,0.097333
0.000000,0.000000,0.108667
0.000000,0.000000,0.113333
0.000000,0.000000,0.113333
0.000000,0.000000,0.108333
0.000000,0.000000,0.097000
0.000000,0.000000,0.083667
0.005333,0.021198,0.064667
0.083667,0.106298,0.033667
0.213000,0.242704,0.026333
0.347000,0.392627,0.031000
0.461000,0.530876,0.037667
0.547333,0.642704,0.050333
0.579667,0.686022,0.065333
0.565000,0.666667,0.079333
0.498333,0.579724,0.082667
0.391333,0.446697,0.079333
0.261667,0.297696,0.072333
0.118000,0.144086,0.066000
0.010000,0.027957,0.061000
0.000000,0.000000,0.068333
0.000000,0.000000,0.074667
0.000000,0.000000,0.080000
0.000000,0.000000,0.086667
0.000000,0.000000,0.097000
0.000000,0.000000,0.103667
0.000000,0.000000,0.107000
0.000000,0.000000,0.126333
0.000000,0.000000,0.140000
0.000000,0.000000,0.125000
0.000000,0.000000,0.093667
0.005667,0.021198,0.075000
0.078667,0.101382,0.046333
0.176000,0.203072,0.137000
0.246333,0.278341,0.255667
0.300333,0.338863,0.329667
0.337000,0.380645,0.371000
0.370333,0.419048,0.396333
0.369333,0.417819,0.412000
0.323333,0.365591,0.393000
