PV,SOLAR,WIND_ONSHORE
0.000000,0.000000,0.057000
0.000000,0.000000,0.029000
0.000000,0.000000,0.018000
0.000000,0.000000,0.014000
0.000000,0.000000,0.013000
0.000000,0.000000,0.014000
0.000000,0.000000,0.014000
0.000000,0.000000,0.021000
0.000000,0.000000,0.031000
0.000000,0.000000,0.044000
0.004000,0.021422,0.052000
0.093000,0.123661,0.008000
0.230000,0.275560,0.024000
0.351000,0.420643,0.018000
0.438000,0.536514,0.018000
0.486000,0.605648,0.035000
0.456000,0.565725,0.064000
0.383000,0.472249,0.103000
0.313000,0.383642,0.132000
0.251000,0.308666,0.141000
0.215000,0.264849,0.140000
0.121000,0.158715,0.133000
0.017000,0.038948,0.108000
0.000000,0.000000,0.163000
0.000000,0.000000,0.169000
0.000000,0.000000,0.117000
0.000000,0.000000,0.089000
0.000000,0.000000,0.061000
0.000000,0.000000,0.041000
0.000000,0.000000,0.025000
0.000000,0.000000,0.016000
0.000000,0.000000,0.010000
0.000000,0.000000,0.009000
0.000000,0.000000,0.011000
0.003000,0.019474,0.010000
0.086000,0.114898,0.002000
0.229000,0.274586,0.030000
0.373000,0.449854,0.054000
0.497000,0.618306,0.047000
0.569000,0.727361,0.046000
0.593000,0.767283,0.053000
0.563000,0.725414,0.063000
0.493000,0.625122,0.074000
0.350000,0.433301,0.084000
0.235000,0.291139,0.086000
0.109000,0.146056,0.074000
0.015000,0.036027,0.054000
0.000000,0.000000,0.136000
0.000000,0.000000,0.165000
0.000000,0.000000,0.121000
0.000000,0.000000,0.078000
0.000000,0.000000,0.060000
0.000000,0.000000,0.055000
0.000000,0.000000,0.049000
0.000000,0.000000,0.027000
0.000000,0.000000,0.020000
0.000000,0.000000,0.017000
0.000000,0.000000,0.024000
0.002000,0.018500,0.030000
0.079000,0.108082,0.002000
0.202000,0.243427,0.035000
0.322000,0.384615,0.146000
0.428000,0.521908,0.166000
0.481000,0.593963,0.123000
0.488000,0.607595,0.092000
0.457000,0.568647,0.075000
0.390000,0.481013,0.057000
0.260000,0.319377,0.036000
0.181000,0.226874,0.026000
0.084000,0.117819,0.024000
0.006000,0.024343,0.019000
0.000000,0.000000,0.084000
0.000000,0.000000,0.119000
0.000000,0.000000,0.077000
0.000000,0.000000,0.027000
0.000000,0.000000,0.015000
0.000000,0.000000,0.011000
0.000000,0.000000,0.010000
0.000000,0.000000,0.014000
0.000000,0.000000,0.019000
0.000000,0.000000,0.020000
0.000000,0.000000,0.024000
0.000000,0.014606,0.025000
0.067000,0.095424,0.008000
0.170000,0.208374,0.041000
0.259000,0.311587,0.069000
0.343000,0.412853,0.085000
0.388000,0.473223,0.093000
0.424000,0.521908,0.102000
0.444000,0.550146,0.112000
0.447000,0.555988,0.124000
0.373000,0.460565,0.133000
0.262000,0.323272,0.132000
0.119000,0.157741,0.119000
0.016000,0.037975,0.091000
0.000000,0.000000,0.217000
0.000000,0.000000,0.316000
0.000000,0.000000,0.173000
0.000000,0.000000,0.113000
0.000000,0.000000,0.103000
0.000000,0.000000,0.065000
0.000000,0.000000,0.037000
0.000000,0.000000,0.022000
0.000000,0.000000,0.030000
0.000000,0.000000,0.045000
0.000000,0.000000,0.042000
0.005000,0.022395,0.019000
0.086000,0.115871,0.002000
0.210000,0.252191,0.024000
0.331000,0.395326,0.035000
0.433000,0.526777,0.030000
0.478000,0.592016,0.027000
0.503000,0.629990,0.022000
0.524000,0.662123,0.019000
0.486000,0.610516,0.014000
0.392000,0.484907,0.010000
0.253000,0.312561,0.009000
0.115000,0.152872,0.013000
0.012000,0.032132,0.028000
0.000000,0.000000,0.063000
0.000000,0.000000,0.140000
0.000000,0.000000,0.183000
0.000000,0.000000,0.096000
0.000000,0.000000,0.044000
0.000000,0.000000,0.017000
0.000000,0.000000,0.011000
0.000000,0.000000,0.016000
0.000000,0.000000,0.020000
0.000000,0.000000,0.013000
0.000000,0.000000,0.015000
0.005000,0.022395,0.052000
0.096000,0.126582,0.008000
0.224000,0.268744,0.026000
