PV,SOLAR,WIND_ONSHORE
0.000000,0.000000,0.026000
0.000000,0.000000,0.014000
0.000000,0.000000,0.014000
0.000000,0.000000,0.025000
0.000000,0.000000,0.041000
0.000000,0.000000,0.043000
0.000000,0.000000,0.035000
0.000000,0.000000,0.031000
0.000000,0.000000,0.034000
0.000000,0.000000,0.038000
0.001000,0.016602,0.044000
0.080000,0.108398,0.010000
0.204000,0.246094,0.020000
0.324000,0.388672,0.012000
0.418000,0.508789,0.008000
0.476000,0.586914,0.010000
0.483000,0.598633,0.018000
0.426000,0.524414,0.031000
0.360000,0.439453,0.039000
0.280000,0.342773,0.041000
0.212000,0.261719,0.043000
0.108000,0.143555,0.046000
0.016000,0.038086,0.037000
0.000000,0.000000,0.056000
0.000000,0.000000,0.108000
0.000000,0.000000,0.146000
0.000000,0.000000,0.152000
0.000000,0.000000,0.079000
0.000000,0.000000,0.041000
0.000000,0.000000,0.020000
0.000000,0.000000,0.015000
0.000000,0.000000,0.019000
0.000000,0.000000,0.023000
0.000000,0.000000,0.034000
0.003000,0.019531,0.040000
0.070000,0.097656,0.009000
0.225000,0.269531,0.030000
0.376000,0.450195,0.041000
0.496000,0.609375,0.033000
0.571000,0.719727,0.025000
0.597000,0.760742,0.021000
0.560000,0.708984,0.019000
0.477000,0.593750,0.017000
0.362000,0.444336,0.015000
0.221000,0.272461,0.012000
0.107000,0.142578,0.009000
0.017000,0.039062,0.006000
0.000000,0.000000,0.008000
0.000000,0.000000,0.025000
0.000000,0.000000,0.073000
0.000000,0.000000,0.146000
0.000000,0.000000,0.187000
0.000000,0.000000,0.137000
0.000000,0.000000,0.102000
0.000000,0.000000,0.058000
0.000000,0.000000,0.031000
0.000000,0.000000,0.030000
0.000000,0.000000,0.053000
0.000000,0.012695,0.068000
0.070000,0.098633,0.023000
0.194000,0.234375,0.041000
0.304000,0.359375,0.076000
0.394000,0.472656,0.095000
0.466000,0.569336,0.089000
0.507000,0.628906,0.072000
0.498000,0.619141,0.055000
0.449000,0.552734,0.043000
0.356000,0.433594,0.031000
0.226000,0.278320,0.019000
0.103000,0.136719,0.013000
0.011000,0.031250,0.008000
0.000000,0.000000,0.028000
0.000000,0.000000,0.054000
0.000000,0.000000,0.053000
0.000000,0.000000,0.041000
0.000000,0.000000,0.035000
0.000000,0.000000,0.038000
0.000000,0.000000,0.041000
0.000000,0.000000,0.040000
0.000000,0.000000,0.037000
0.000000,0.000000,0.032000
0.000000,0.000000,0.034000
0.002000,0.017578,0.027000
0.084000,0.113281,0.015000
0.218000,0.262695,0.073000
0.349000,0.419922,0.104000
0.455000,0.558594,0.117000
0.517000,0.644531,0.117000
0.541000,0.682617,0.112000
0.516000,0.648437,0.098000
0.442000,0.548828,0.087000
0.315000,0.386719,0.075000
0.210000,0.261719,0.066000
0.113000,0.149414,0.055000
0.019000,0.041992,0.029000
0.000000,0.000000,0.118000
0.000000,0.000000,0.280000
0.000000,0.000000,0.280000
0.000000,0.000000,0.169000
0.000000,0.000000,0.148000
0.000000,0.000000,0.132000
0.000000,0.000000,0.050000
0.000000,0.000000,0.037000
0.000000,0.000000,0.063000
0.000000,0.000000,0.088000
0.000000,0.000000,0.067000
0.003000,0.019531,0.040000
0.081000,0.110352,0.006000
0.204000,0.246094,0.025000
0.329000,0.391602,0.036000
0.431000,0.521484,0.035000
0.502000,0.622070,0.036000
0.518000,0.648437,0.030000
0.493000,0.616211,0.018000
0.448000,0.554688,0.008000
0.368000,0.450195,0.003000
0.250000,0.306641,0.006000
0.117000,0.154297,0.014000
0.018000,0.040039,0.013000
0.000000,0.000000,0.066000
0.000000,0.000000,0.155000
0.000000,0.000000,0.171000
0.000000,0.000000,0.194000
0.000000,0.000000,0.192000
0.000000,0.000000,0.133000
0.000000,0.000000,0.078000
0.000000,0.000000,0.043000
0.000000,0.000000,0.048000
0.000000,0.000000,0.045000
0.000000,0.000000,0.054000
