PV,SOLAR,WIND_ONSHORE
0.000000,0.000000,0.107889
0.000000,0.000000,0.078889
0.000000,0.000000,0.062889
0.000000,0.000000,0.046444
0.000000,0.000000,0.033444
0.000000,0.000000,0.024111
0.000000,0.000000,0.020667
0.000000,0.000000,0.024556
0.000000,0.000000,0.028111
0.000000,0.000000,0.034667
0.009444,0.028017,0.039333
0.101000,0.130074,0.008667
0.235333,0.278257,0.034667
0.354889,0.421114,0.040667
0.442444,0.535741,0.053556
0.498556,0.615319,0.074556
0.512778,0.639501,0.098333
0.477222,0.593374,0.121444
0.408222,0.501971,0.138556
0.321778,0.392777,0.149333
0.213667,0.263449,0.156556
0.095556,0.128476,0.152111
0.009778,0.028763,0.145556
0.000000,0.000000,0.199333
0.000000,0.000000,0.176333
0.000000,0.000000,0.122111
0.000000,0.000000,0.097000
0.000000,0.000000,0.069444
0.000000,0.000000,0.049778
0.000000,0.000000,0.033444
0.000000,0.000000,0.022667
0.000000,0.000000,0.015333
0.000000,0.000000,0.012222
0.000000,0.000000,0.013556
0.009222,0.027378,0.011222
0.093667,0.122403,0.009333
0.239778,0.283371,0.044667
0.380667,0.453926,0.045556
0.486556,0.596996,0.034333
0.546222,0.685949,0.033778
0.564889,0.717695,0.036889
0.541556,0.686375,0.037889
0.471000,0.588580,0.037889
0.332222,0.407052,0.039556
0.217778,0.269096,0.043778
0.097889,0.131885,0.046556
0.009222,0.028337,0.048556
0.000000,0.000000,0.138556
0.000000,0.000000,0.178000
0.000000,0.000000,0.139778
0.000000,0.000000,0.102000
0.000000,0.000000,0.076889
0.000000,0.000000,0.064778
0.000000,0.000000,0.052889
0.000000,0.000000,0.043889
0.000000,0.000000,0.035111
0.000000,0.000000,0.033222
0.000000,0.000000,0.033444
0.006778,0.024076,0.026667
0.086222,0.114733,0.013000
0.203667,0.243315,0.045889
0.323778,0.382337,0.108778
0.414667,0.496644,0.136667
0.451556,0.547672,0.121444
0.456889,0.556621,0.099111
0.423222,0.514222,0.076889
0.355000,0.428784,0.049667
0.254222,0.307446,0.031222
0.160444,0.199425,0.018111
0.068222,0.097156,0.012889
0.001667,0.017684,0.025778
0.000000,0.000000,0.085444
0.000000,0.000000,0.101556
0.000000,0.000000,0.082889
0.000000,0.000000,0.059111
0.000000,0.000000,0.042111
0.000000,0.000000,0.031222
0.000000,0.000000,0.027556
0.000000,0.000000,0.028444
0.000000,0.000000,0.029000
0.000000,0.000000,0.031333
0.000000,0.000000,0.034889
0.001778,0.017258,0.031000
0.066778,0.093534,0.005333
0.168444,0.203792,0.022000
0.267444,0.316288,0.050889
0.357111,0.424630,0.074222
0.426889,0.515713,0.084667
0.471000,0.577607,0.088556
0.462000,0.569085,0.088444
0.420444,0.515926,0.085333
0.331778,0.404176,0.080000
0.217333,0.267285,0.075000
0.093111,0.125812,0.064778
0.007889,0.026206,0.064889
0.000000,0.000000,0.143778
0.000000,0.000000,0.192444
0.000000,0.000000,0.143889
0.000000,0.000000,0.111000
0.000000,0.000000,0.089222
0.000000,0.000000,0.053667
0.000000,0.000000,0.028222
0.000000,0.000000,0.021222
0.000000,0.000000,0.026778
0.000000,0.000000,0.034333
0.000000,0.000000,0.033556
0.009667,0.028124,0.019889
0.101556,0.130819,0.003222
0.232667,0.275168,0.019000
0.354444,0.419090,0.023667
0.450889,0.544370,0.020000
0.498111,0.613082,0.018889
0.522333,0.651539,0.018333
0.506778,0.632151,0.017222
0.447000,0.551081,0.014778
0.335444,0.408437,0.012222
0.202556,0.249281,0.014667
0.090778,0.122936,0.018667
0.006333,0.023969,0.029444
0.000000,0.000000,0.057000
0.000000,0.000000,0.061333
0.000000,0.000000,0.061889
0.000000,0.000000,0.048667
0.000000,0.000000,0.037333
0.000000,0.000000,0.023333
0.000000,0.000000,0.016000
0.000000,0.000000,0.014778
0.000000,0.000000,0.015778
0.000000,0.000000,0.014111
0.000000,0.000000,0.019778
0.009778,0.028337,0.038222
0.103000,0.132417,0.007222
0.238333,0.281773,0.026000
0.356222,0.420795,0.047889
0.426111,0.511239,0.048000
0.444778,0.538937,0.042667
0.453333,0.552253,0.039444
0.428556,0.520081,0.036333
0.371333,0.447321,0.036667
0.289889,0.347395,0.034111
0.187889,0.229040,0.022111
0.083333,0.113135,0.006000
0.004000,0.020560,0.010222
0.000000,0.000000,0.024222
0.000000,0.000000,0.024444
0.000000,0.000000,0.020333
0.000000,0.000000,0.020667
0.000000,0.000000,0.026556
0.000000,0.000000,0.033000
0.000000,0.000000,0.051333
0.000000,0.000000,0.067222
0.000000,0.000000,0.069444
0.000000,0.000000,0.068444
0.000000,0.000000,0.072889
0.000667,0.013955,0.074556
0.052000,0.076595,0.032111
0.128222,0.159369,0.009333
0.211667,0.250772,0.036333
0.279111,0.327581,0.063222
0.320333,0.376585,0.082778
0.350222,0.414829,0.089778
