Cluster,Comunidad,Municipio_std,HH,distance_km,nearest_line_type,annual_extension_EUR_HH,annual_standalone_EUR_HH,dispersed,breakeven_distance_km
C1,LAS MERCEDES,Ixiamas,25.38742393509128,10.416047097012902,Sist. Ais.,447.65,1547.35,False,37.044
C1,ALTO ZATARIAPU,Ixiamas,16.92494929006085,10.743158739502794,SIN,683.0,1547.35,False,24.696
C1,CARINDE,Ixiamas,16.92494929006085,12.05349735432156,SIN,764.17,1547.35,False,24.696
C1,SAN MARCOS,Ixiamas,16.92494929006085,12.656591167257314,SIN,801.53,1547.35,False,24.696
C1,5 DE JUNIO,Ixiamas,14.809330628803243,14.224354926757984,SIN,1024.53,1547.35,False,21.609
C1,SEGUNDO FLOR DE MAYO,Ixiamas,8.462474645030426,14.785646023967058,SIN,1849.37,1547.35,True,12.348
C1,PUERTO RUSO,Ixiamas,26.44523326572008,15.496088138281966,SIN,631.85,1547.35,False,38.587
C1,TACASO,Ixiamas,4.231237322515213,17.27113794566464,SIN,4297.16,1547.35,True,6.174
C1,MANANTIAL,Ixiamas,19.040567951318454,19.654082447993964,SIN,1099.73,1547.35,False,27.783
C1,NUEVA BELEN,Ixiamas,4.231237322515213,20.10085076249884,SIN,4998.34,1547.35,True,6.174
C1,NUEVO AMANECER,Ixiamas,7.404665314401623,20.46445265722924,SIN,2915.17,1547.35,True,10.804
C1,LOS ALMENDRILLO,Ixiamas,9.520283975659227,21.453721651767196,SIN,2380.19,1547.35,True,13.891
C1,PIEDRAS BLANCAS,Ixiamas,7.404665314401623,22.932159862699248,SIN,3264.59,1547.35,True,10.804
C1,SANTA ROSA DE LIMA,Ixiamas,6.346855983772819,23.292563386046066,SIN,3865.31,1547.35,True,9.261
C1,UNDUMO,Ixiamas,9.520283975659227,34.798220478556544,SIN,3849.83,1547.35,True,13.891
C1,EL ZAPATO,Ixiamas,1.0578093306288032,39.00306340262702,Sist. Ais.,38676.37,1547.35,True,1.543
C1,LAS PARRABAS,Ixiamas,2.1156186612576064,39.02252057171465,Sist. Ais.,19356.56,1547.35,True,3.087
C1,TOROMONAS,Ixiamas,20.09837728194726,39.21224298491429,Sist. Ais.,2063.07,1547.35,True,29.326
C1,LA MANSION,Ixiamas,2.1156186612576064,42.02909734840664,Sist. Ais.,20846.59,1547.35,True,3.087
