Municipio_std,Cluster,Municipio_raw,Comunidad,No_tiene_2012,Poblacion_2012,distance_km,Dist_band
Ixiamas,C1,Primera Sección - Ixiamas,SANTA FE,24.0,95.0,263.1770781791034,>50 km
Ixiamas,C1,Primera Sección - Ixiamas,ITURRALDE,8.0,15.0,263.8310173041485,>50 km
Ixiamas,C1,Primera Sección - Ixiamas,BUENA VISTA,11.0,41.0,264.3808453131474,>50 km
Ixiamas,C1,Primera Sección - Ixiamas,CORAZON DE LEON,11.0,21.0,264.6423956951001,>50 km
Ixiamas,C1,Primera Sección - Ixiamas,SAN PABLO,1.0,2.0,264.89984286957696,>50 km
Ixiamas,C1,Primera Sección - Ixiamas,RUSO,1.0,4.0,265.8275251242558,>50 km
Ixiamas,C1,Primera Sección - Ixiamas,COMANDO,15.0,59.0,270.08671952943166,>50 km
Ixiamas,C1,Primera Sección - Ixiamas,COROCORO,21.0,46.0,270.4380185633855,>50 km
Ixiamas,C1,Primera Sección - Ixiamas,EL TIGRE ALTO MADIDI,56.0,317.0,271.1745560524269,>50 km
Ixiamas,C1,Primera Sección - Ixiamas,NUEVO AMANECER,7.0,21.0,272.0002557193982,>50 km
Ixiamas,C1,Primera Sección - Ixiamas,ALTO ZATARIAPU,16.0,76.0,274.12931699417254,>50 km
Ixiamas,C1,Primera Sección - Ixiamas,AGUAS DE LA VIDA,5.0,6.0,274.64456864037237,>50 km
Ixiamas,C1,Primera Sección - Ixiamas,CARINDE,16.0,30.0,274.95533459738874,>50 km
Ixiamas,C1,Primera Sección - Ixiamas,5 DE JUNIO,14.0,30.0,275.9400547031831,>50 km
Ixiamas,C1,Primera Sección - Ixiamas,TACASO,4.0,6.0,276.3831377964123,>50 km
Ixiamas,C1,Primera Sección - Ixiamas,NUEVA BELEN,4.0,8.0,277.17656697586654,>50 km
Ixiamas,C1,Primera Sección - Ixiamas,PIEDRAS BLANCAS,7.0,24.0,278.1595383024464,>50 km
Ixiamas,C1,Primera Sección - Ixiamas,MANANTIAL,18.0,27.0,279.07124994961396,>50 km
Reyes,C1,Primera Sección - Reyes,PEÑA AMARILLA,12.0,359.0,38.948926496061944,25-50 km
Reyes,C1,Primera Sección - Reyes,CARMEN ALTO,71.0,378.0,39.186908686179905,25-50 km
Reyes,C1,Primera Sección - Reyes,LA ESPERANZA,2.0,93.0,44.72744296460607,25-50 km
Reyes,C1,Primera Sección - Reyes,LOS TUBOS,14.0,121.0,60.39505682800692,>50 km
Reyes,C1,Primera Sección - Reyes,CALIFORNIA,43.0,211.0,64.04643938031406,>50 km
Reyes,C1,Primera Sección - Reyes,CARNAVAL,8.0,51.0,67.65978599016432,>50 km
Reyes,C1,Primera Sección - Reyes,SANTA LOURDES,15.0,64.0,84.01481009517305,>50 km
Reyes,C1,Primera Sección - Reyes,LAS OLLITAS,1.0,16.0,89.25919840096377,>50 km
Reyes,C1,Primera Sección - Reyes,CAMPO BOLIVAR,26.0,118.0,90.09677084977221,>50 km
Reyes,C1,Primera Sección - Reyes,NUEVO REYES,5.0,107.0,95.6878372709061,>50 km
Reyes,C1,Primera Sección - Reyes,BAQUETI,10.0,100.0,99.29029216793514,>50 km
Reyes,C1,Primera Sección - Reyes,SAN JOSE,69.0,283.0,100.01567479156039,>50 km
Reyes,C1,Primera Sección - Reyes,CANDELARIA,27.0,195.0,101.28611283893706,>50 km
Reyes,C1,Primera Sección - Reyes,LAGO BUENA VISTA,21.0,96.0,104.07534896062876,>50 km
Reyes,C1,Primera Sección - Reyes,NATIVIDAD,7.0,46.0,104.95377204427477,>50 km
Reyes,C1,Primera Sección - Reyes,LAS MERCEDES,13.0,82.0,107.93973597560178,>50 km
Reyes,C1,Primera Sección - Reyes,SAN MIGUEL,18.0,19.0,109.79342310247307,>50 km
Reyes,C1,Primera Sección - Reyes,SANTA CATALINA,19.0,143.0,113.95108573408268,>50 km
Reyes,C1,Primera Sección - Reyes,PUERTO CAVINA,16.0,112.0,118.96437968442413,>50 km
Reyes,C1,Primera Sección - Reyes,NUEVA ALIANZA,1.0,41.0,118.98482504275353,>50 km
Reyes,C1,Primera Sección - Reyes,PEÑA GUARAYO,14.0,95.0,121.53622358488235,>50 km
Reyes,C1,Primera Sección - Reyes,MISION CAVINAS,37.0,140.0,121.86683720704558,>50 km
Reyes,C1,Primera Sección - Reyes,PUERTO SALINAS,26.0,87.0,124.37184086987237,>50 km
Reyes,C1,Primera Sección - Reyes,LAS PEÑITAS,7.0,139.0,124.81508766109083,>50 km
Reyes,C1,Primera Sección - Reyes,SAN PEDRO,28.0,176.0,147.73145003108357,>50 km
Reyes,C1,Primera Sección - Reyes,SAL SI PUEDES,4.0,33.0,168.3257494702793,>50 km
Reyes,C1,Primera Sección - Reyes,NUEVA ESPERANZA,15.0,72.0,182.72037180363085,>50 km
Reyes,C1,Primera Sección - Reyes,LOS TAJIBOS,7.0,50.0,186.3439118743752,>50 km
Reyes,C1,Primera Sección - Reyes,RATIJE,48.0,427.0,192.40834360541098,>50 km
