Municipio_std,Cluster,Municipio_raw,Comunidad,No_tiene_2012,Poblacion_2012,distance_km,Dist_band
Puerto_Gonzalo_Moreno,C3,Primera Sección - Puerto Gonzalo Moreno,21 DE SEPTIEMBRE,5.0,51.0,11.550321623421917,10-25 km
Puerto_Gonzalo_Moreno,C3,Primera Sección - Puerto Gonzalo Moreno,CANDELARIA,7.0,285.0,13.02920265821107,10-25 km
Puerto_Gonzalo_Moreno,C3,Primera Sección - Puerto Gonzalo Moreno,PORTACHUELO ALTO,11.0,219.0,13.325479160172911,10-25 km
Puerto_Gonzalo_Moreno,C3,Primera Sección - Puerto Gonzalo Moreno,PORTACHUELO MEDIO,25.0,440.0,13.932870449617317,10-25 km
Puerto_Gonzalo_Moreno,C3,Primera Sección - Puerto Gonzalo Moreno,PORTACHUELO BAJO,34.0,502.0,14.116286937731786,10-25 km
Puerto_Gonzalo_Moreno,C3,Primera Sección - Puerto Gonzalo Moreno,SAN CARLOS,12.0,127.0,14.69407908406396,10-25 km
Puerto_Gonzalo_Moreno,C3,Primera Sección - Puerto Gonzalo Moreno,SAN PABLO,4.0,306.0,18.6612810774771,10-25 km
Puerto_Gonzalo_Moreno,C3,Primera Sección - Puerto Gonzalo Moreno,MIRAFLORES,26.0,667.0,20.377073261264645,10-25 km
Riberalta,C3,Primera Sección - Riberalta,RIBERALTA,989.0,0.0,1.3850872148694529,<5 km
Riberalta,C3,Primera Sección - Riberalta,LAGO EL CARMEN,1.0,38.0,3.5292742032212234,<5 km
Riberalta,C3,Primera Sección - Riberalta,SAN JUAN DEL URUCU,17.0,115.0,4.527843255481478,<5 km
Riberalta,C3,Primera Sección - Riberalta,VILLA NAZARETH,9.0,93.0,5.246670678058819,5-10 km
Riberalta,C3,Primera Sección - Riberalta,FLOR DE OCTUBRE,18.0,172.0,5.511627135826788,5-10 km
Riberalta,C3,Primera Sección - Riberalta,LAS PALMERAS,28.0,148.0,5.963474650780122,5-10 km
Riberalta,C3,Primera Sección - Riberalta,BUENA VISTA,11.0,63.0,6.160385871515482,5-10 km
Riberalta,C3,Primera Sección - Riberalta,VILLA COTOCA,8.0,130.0,6.211898525453324,5-10 km
Riberalta,C3,Primera Sección - Riberalta,TUMICHUCUA,30.0,435.0,6.2159670328491,5-10 km
Riberalta,C3,Primera Sección - Riberalta,27 DE MAYO,11.0,42.0,6.413672276400956,5-10 km
Riberalta,C3,Primera Sección - Riberalta,LA ESPERANZA,4.0,472.0,7.209601092487771,5-10 km
Riberalta,C3,Primera Sección - Riberalta,LA UNION,35.0,139.0,7.227123875026729,5-10 km
Riberalta,C3,Primera Sección - Riberalta,LAS MERCEDES,15.0,65.0,8.609038377928895,5-10 km
Riberalta,C3,Primera Sección - Riberalta,AVAROA,10.0,73.0,8.700918798173284,5-10 km
Riberalta,C3,Primera Sección - Riberalta,LAGO SAN JOSE,10.0,39.0,9.015564938784706,5-10 km
Riberalta,C3,Primera Sección - Riberalta,SAN JOSE,14.0,76.0,9.23020042232759,5-10 km
Riberalta,C3,Primera Sección - Riberalta,SIGLO XX,7.0,57.0,9.348379128471647,5-10 km
Riberalta,C3,Primera Sección - Riberalta,PALESTINA,3.0,20.0,9.547724968195121,5-10 km
Riberalta,C3,Primera Sección - Riberalta,SAN CRISTOBAL,18.0,118.0,10.232071820875356,10-25 km
Riberalta,C3,Primera Sección - Riberalta,SAN ARIEL,35.0,210.0,10.703706224101934,10-25 km
Riberalta,C3,Primera Sección - Riberalta,POPECHI,39.0,225.0,11.919017393031861,10-25 km
Riberalta,C3,Primera Sección - Riberalta,WARNES,36.0,407.0,11.96649629399243,10-25 km
Riberalta,C3,Primera Sección - Riberalta,SAN ANTONIO,6.0,247.0,12.036226167413902,10-25 km
Riberalta,C3,Primera Sección - Riberalta,NUEVA UNION,12.0,54.0,12.361281825032115,10-25 km
Riberalta,C3,Primera Sección - Riberalta,PALMIRA,18.0,81.0,12.627917594762595,10-25 km
Riberalta,C3,Primera Sección - Riberalta,12 DE OCTUBRE,12.0,104.0,12.8471954204456,10-25 km
Riberalta,C3,Primera Sección - Riberalta,CAMPO CENTRAL,32.0,197.0,14.724321280434369,10-25 km
Riberalta,C3,Primera Sección - Riberalta,ESTANCIAS DISPERSAS,2.0,16.0,15.120033124886666,10-25 km
Riberalta,C3,Primera Sección - Riberalta,7 DE JULIO,30.0,170.0,15.414257811076508,10-25 km
Riberalta,C3,Primera Sección - Riberalta,CANDELARIA,12.0,218.0,16.186500030734155,10-25 km
Riberalta,C3,Primera Sección - Riberalta,SAN LORENZO DE PAMPA,20.0,73.0,16.394596795182007,10-25 km
Riberalta,C3,Primera Sección - Riberalta,SANTA ROSA DEL IVON,19.0,67.0,16.56519373358094,10-25 km
Riberalta,C3,Primera Sección - Riberalta,BOLIVAR,30.0,298.0,16.582358114441984,10-25 km
Riberalta,C3,Primera Sección - Riberalta,SAN ARIEL,6.0,56.0,16.73191093909134,10-25 km
Riberalta,C3,Primera Sección - Riberalta,MONTE CRISTO,2.0,15.0,17.247655657546645,10-25 km
Riberalta,C3,Primera Sección - Riberalta,SANTA FE,17.0,126.0,17.81972495661862,10-25 km
Riberalta,C3,Primera Sección - Riberalta,BELLA FLOR,26.0,141.0,17.923354658173466,10-25 km
Riberalta,C3,Primera Sección - Riberalta,ANTOFAGASTA,26.0,120.0,17.924543619362048,10-25 km
Riberalta,C3,Primera Sección - Riberalta,BERLIN,29.0,172.0,18.415256147801628,10-25 km
Riberalta,C3,Primera Sección - Riberalta,SANTA MARIA,43.0,268.0,18.500359603873736,10-25 km
Riberalta,C3,Primera Sección - Riberalta,SAN JUAN KM 42,20.0,92.0,19.974074771303616,10-25 km
Riberalta,C3,Primera Sección - Riberalta,MEDIO MONTE,15.0,113.0,20.23593625135229,10-25 km
Riberalta,C3,Primera Sección - Riberalta,PARAISO,3.0,40.0,20.548577953438222,10-25 km
Riberalta,C3,Primera Sección - Riberalta,SANTA RITA,11.0,40.0,20.959007381130085,10-25 km
Riberalta,C3,Primera Sección - Riberalta,SANTUARIO,8.0,87.0,21.019766895511545,10-25 km
Riberalta,C3,Primera Sección - Riberalta,SANTA AMALIA,31.0,208.0,21.387413443780048,10-25 km
Riberalta,C3,Primera Sección - Riberalta,HAMBURGO,3.0,13.0,21.461606883102736,10-25 km
Riberalta,C3,Primera Sección - Riberalta,EL HONDO,19.0,82.0,22.182361997468462,10-25 km
Riberalta,C3,Primera Sección - Riberalta,SAN ANTONIO,35.0,19.0,23.103663468378326,10-25 km
Riberalta,C3,Primera Sección - Riberalta,PALESTINA,9.0,12.0,23.68668916905577,10-25 km
Riberalta,C3,Primera Sección - Riberalta,PALMIRA DEL IVON,27.0,90.0,23.74395585246041,10-25 km
Riberalta,C3,Primera Sección - Riberalta,EL TRIANGULO,1.0,35.0,23.926095644776282,10-25 km
Riberalta,C3,Primera Sección - Riberalta,DESVELO,27.0,70.0,24.426417924505618,10-25 km
Riberalta,C3,Primera Sección - Riberalta,26 DE OCTUBRE,29.0,120.0,24.589804712026606,10-25 km
Riberalta,C3,Primera Sección - Riberalta,AGUA CLARA,2.0,124.0,25.03632921982185,25-50 km
Riberalta,C3,Primera Sección - Riberalta,PALESTINA,10.0,55.0,25.089127475894337,25-50 km
Riberalta,C3,Primera Sección - Riberalta,ALADITA,7.0,24.0,25.157329541073,25-50 km
Riberalta,C3,Primera Sección - Riberalta,ALTA GRACIA,12.0,73.0,25.501449388955397,25-50 km
Riberalta,C3,Primera Sección - Riberalta,SAN JUAN,42.0,179.0,25.94140300457971,25-50 km
Riberalta,C3,Primera Sección - Riberalta,BRILLANTE,13.0,103.0,26.00245807383381,25-50 km
Riberalta,C3,Primera Sección - Riberalta,LOS ANGELES,1.0,57.0,27.84042271294687,25-50 km
Riberalta,C3,Primera Sección - Riberalta,CENTRITO,5.0,28.0,28.163025243660307,25-50 km
Riberalta,C3,Primera Sección - Riberalta,BUEN RETIRO,11.0,67.0,28.761902387882717,25-50 km
Riberalta,C3,Primera Sección - Riberalta,PUERTO CHACOBO,87.0,287.0,29.055668634843,25-50 km
Riberalta,C3,Primera Sección - Riberalta,CONSUELO DEL ROSARIO,34.0,197.0,29.08012434980318,25-50 km
Riberalta,C3,Primera Sección - Riberalta,IVARENDA,2.0,2.0,29.778858246598993,25-50 km
Riberalta,C3,Primera Sección - Riberalta,BUENA VISTA,10.0,64.0,29.838728988275623,25-50 km
Riberalta,C3,Primera Sección - Riberalta,POZA NEGRA,12.0,55.0,32.048148348817996,25-50 km
Riberalta,C3,Primera Sección - Riberalta,PUERTO ROMAN,23.0,142.0,32.70754152850186,25-50 km
Riberalta,C3,Primera Sección - Riberalta,COSTA RICA,10.0,101.0,37.44086980874057,25-50 km
Riberalta,C3,Primera Sección - Riberalta,VICTORIA,15.0,103.0,38.49999844764202,25-50 km
Riberalta,C3,Primera Sección - Riberalta,5 DE AGOSTO,12.0,95.0,38.7327275874631,25-50 km
Riberalta,C3,Primera Sección - Riberalta,CANDELARIA,29.0,37.0,38.889112415149484,25-50 km
Riberalta,C3,Primera Sección - Riberalta,TOKIO,11.0,53.0,45.14371420007937,25-50 km
Riberalta,C3,Primera Sección - Riberalta,SANTA ELENA DEL LAGO,5.0,58.0,48.18814220746707,25-50 km
Riberalta,C3,Primera Sección - Riberalta,LAS LIMAS,10.0,67.0,54.156263442417554,>50 km
Riberalta,C3,Primera Sección - Riberalta,LOS CAYUCES,1.0,2.0,55.6247998464879,>50 km
Riberalta,C3,Primera Sección - Riberalta,LA SABANA,7.0,66.0,57.542585843946384,>50 km
Riberalta,C3,Primera Sección - Riberalta,LA UNION II,10.0,6.0,60.29283743870528,>50 km
Riberalta,C3,Primera Sección - Riberalta,EL RECREO,26.0,124.0,63.21069947269025,>50 km
Riberalta,C3,Primera Sección - Riberalta,SAN FRANCISCO,15.0,108.0,65.66317468158296,>50 km
Riberalta,C3,Primera Sección - Riberalta,SANTA DELMIRA,8.0,59.0,65.70171006701216,>50 km
Riberalta,C3,Primera Sección - Riberalta,ALTO IVON,90.0,585.0,67.97041468755486,>50 km
Riberalta,C3,Primera Sección - Riberalta,CACHUELITA,9.0,54.0,69.03714330147065,>50 km
Riberalta,C3,Primera Sección - Riberalta,SANTA ROSA DEL BIATA,11.0,71.0,69.12238111237338,>50 km
Riberalta,C3,Primera Sección - Riberalta,LA UNION II,1.0,65.0,69.2000199129693,>50 km
Riberalta,C3,Primera Sección - Riberalta,PUERTO CHACOBO,11.0,44.0,72.02690841048131,>50 km
Riberalta,C3,Primera Sección - Riberalta,FORTALEZA,7.0,50.0,75.19912197784025,>50 km
Riberalta,C3,Primera Sección - Riberalta,SANTA ROSA DEL FLORIDA,18.0,74.0,75.60081066853616,>50 km
Riberalta,C3,Primera Sección - Riberalta,BUEN DESTINO,29.0,210.0,81.72335977436977,>50 km
Riberalta,C3,Primera Sección - Riberalta,3 BOCAS,2.0,17.0,83.52540236742054,>50 km
Riberalta,C3,Primera Sección - Riberalta,LOS CAYUCES,26.0,138.0,86.60195364121209,>50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,SAN PEDRO,11.0,62.0,18.99719041243626,10-25 km
Bella_Flor,C4,Tercera Sección - Bella Flor,SANTA LOURDES,19.0,216.0,33.9861670201444,25-50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,VERONICA,9.0,40.0,35.48758834044496,25-50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,16 DE MAYO,11.0,47.0,44.09902432588211,25-50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,NUEVO BELEN,8.0,53.0,44.926498409639514,25-50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,KARAMANU,7.0,106.0,49.17475762354174,25-50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,PERLA DEL ORIENTE,2.0,36.0,55.00079509549012,>50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,FLORIDA,6.0,37.0,56.493245815607146,>50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,PALACIOS,9.0,40.0,56.63762050304172,>50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,NUEVO HORIZONTE,13.0,30.0,60.85950931387929,>50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,FORTIN,41.0,127.0,62.043029168616236,>50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,VILLA AMAZONICA,7.0,215.0,62.54049082495697,>50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,EL CARMEN,26.0,166.0,63.94913713916095,>50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,NUEVA VIDA,12.0,172.0,71.00895329729134,>50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,SAN ANTONIO,29.0,256.0,74.74684886295448,>50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,SAN PEDRO,14.0,190.0,76.25860174977873,>50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,ALEGRIA,7.0,25.0,77.85775421221942,>50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,MONTEVIDEO PUERTO EVO,23.0,721.0,78.83522186620057,>50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,CINCO ESTRELLAS,7.0,31.0,78.8386294855841,>50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,SANTA ELENA,40.0,113.0,78.84657770761748,>50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,CAMPOANA CASTAÑERA,23.0,143.0,79.5366762665655,>50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,MONTE VIDEO,14.0,46.0,79.90154697958943,>50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,INTEGRAL CIVICA,4.0,11.0,83.20994579976006,>50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,SANTA LUCIA,18.0,308.0,83.6302391190475,>50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,NUEVA ESPERANZA,7.0,27.0,84.70812597001584,>50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,SANTA RITA,29.0,184.0,85.14470799414376,>50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,SANTA MARIA,13.0,150.0,86.7914477701812,>50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,VILLA MAVARI,4.0,64.0,92.25970065435823,>50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,PUERTO VARGAS ARROYO GRANDE,16.0,99.0,96.20667587085894,>50 km
Bella_Flor,C4,Tercera Sección - Bella Flor,MAPAJO,33.0,247.0,99.93520140684085,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,FILADELFIA,21.0,368.0,29.230926705666697,25-50 km
Filadelfia,C4,Tercera Sección - Filadelfia,NUEVA UNION,7.0,114.0,33.62470871745286,25-50 km
Filadelfia,C4,Tercera Sección - Filadelfia,RIMBER ECUARI,6.0,34.0,36.44815051128163,25-50 km
Filadelfia,C4,Tercera Sección - Filadelfia,PURISIMA,15.0,81.0,37.10643733362157,25-50 km
Filadelfia,C4,Tercera Sección - Filadelfia,LAGO 2,17.0,51.0,39.45100560626243,25-50 km
Filadelfia,C4,Tercera Sección - Filadelfia,PLANCHON,9.0,74.0,40.24098972695376,25-50 km
Filadelfia,C4,Tercera Sección - Filadelfia,VILLA BELLA,14.0,134.0,40.61841502306077,25-50 km
Filadelfia,C4,Tercera Sección - Filadelfia,AMAZONICA,21.0,134.0,43.311806666745674,25-50 km
Filadelfia,C4,Tercera Sección - Filadelfia,LAGO,24.0,98.0,43.65988083384014,25-50 km
Filadelfia,C4,Tercera Sección - Filadelfia,EMPRESIÑA,8.0,157.0,46.278124936322335,25-50 km
Filadelfia,C4,Tercera Sección - Filadelfia,SAN FRANCISCO DE ASIS,7.0,20.0,47.187683541960254,25-50 km
Filadelfia,C4,Tercera Sección - Filadelfia,SAN ANTONIO,6.0,109.0,47.30500218809031,25-50 km
Filadelfia,C4,Tercera Sección - Filadelfia,LONDRES,16.0,133.0,49.804420365921814,25-50 km
Filadelfia,C4,Tercera Sección - Filadelfia,10 DE NOVIEMBRE,9.0,97.0,52.247072773129055,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,LONDRES II,8.0,68.0,54.33581891411343,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,FELIX ROCA,1.0,82.0,54.91188814675781,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,19 DE AGOSTO,14.0,76.0,55.66650868116102,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,NUEVA ALIANZA,22.0,88.0,55.82439986757258,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,VISTA HERMOSA,15.0,42.0,56.91023668440293,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,BUYUYO 2,11.0,86.0,58.7607531454365,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,NUEVA ALEGRIA,9.0,61.0,58.88900939631856,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,BUYUYO,11.0,158.0,58.97871224232365,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,COMPENSACION ESPIRITU I,1.0,7.0,60.73184885684687,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,REINO DE LOS LOBOS,2.0,15.0,61.30782745966669,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,GRAN TULAPA,3.0,22.0,61.78931846577955,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,CAPERNAUN,2.0,21.0,61.99548572503026,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,PUERTO SUCRE,11.0,71.0,63.20015636847994,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,SAN FRANCISCO,10.0,56.0,64.05763877341764,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,VILLA SACRIFICIO,10.0,71.0,64.2296065924848,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,PETRONILA,3.0,101.0,64.42422397701687,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,NUEVA FRONTERA,17.0,19.0,65.82488263543209,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,VILLA PRIMERO DE MAYO,8.0,109.0,66.23097191919302,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,18 DE NOVIEMBRE,15.0,109.0,66.95172495465586,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,MONTECARLO,1.0,51.0,67.92603466313908,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,ESPIRITU II,12.0,93.0,68.92679422970267,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,HONDURAS,1.0,40.0,69.02328194754843,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,ESPIRITU,15.0,126.0,72.64911679135928,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,11 DE SEPTIEMBRE,21.0,62.0,72.88304779310698,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,LIMON,12.0,107.0,75.05033362998925,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,NUEVA JERUSALEN,8.0,60.0,75.10728716783292,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,HOLANDA,14.0,132.0,76.1850673471989,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,UCIA,43.0,173.0,77.44590367821893,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,ALTO MONTE EL PINPOLLO SAMARIA,29.0,94.0,79.55297248584888,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,ALTA GRACIA,1.0,86.0,80.06166563090254,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,EL CHORRO,2.0,72.0,86.95239719111936,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,NUEVA HOLANDA,15.0,34.0,90.0343747266647,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,SOBERANIA BELLA VISTA,37.0,387.0,91.02198231138382,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,CURICHON,18.0,238.0,97.71326717596925,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,SAN ANTONIO,3.0,65.0,108.68501224111142,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,CATOLICA LA CRUZ,7.0,155.0,112.53811259683604,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,LUZ DE AMERICA,9.0,205.0,116.60900310355912,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,FLORIDA,8.0,184.0,124.23533289091142,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,CHIVE,24.0,463.0,146.22083261115668,>50 km
Filadelfia,C4,Tercera Sección - Filadelfia,GRAN PROGRESO,9.0,54.0,147.24360569897163,>50 km
Ingavi,C4,Segunda Sección - Ingavi,INGAVI,42.0,386.0,0.07185694602991648,<5 km
Ingavi,C4,Segunda Sección - Ingavi,HUMAITA,17.0,554.0,0.09839541557805034,<5 km
Ingavi,C4,Segunda Sección - Ingavi,LAS AMALIAS,3.0,48.0,3.9311414195246313,<5 km
Ingavi,C4,Segunda Sección - Ingavi,SAN JUAN DE NUEVO MUNDO,13.0,69.0,7.838327675160487,5-10 km
Ingavi,C4,Segunda Sección - Ingavi,DERREPENTE,9.0,161.0,12.280321562514395,10-25 km
Ingavi,C4,Segunda Sección - Ingavi,SAN LUIS,2.0,91.0,13.661376987511353,10-25 km
Ingavi,C4,Segunda Sección - Ingavi,GENESIS UNIDO,7.0,26.0,20.284430055029137,10-25 km
Ingavi,C4,Segunda Sección - Ingavi,PUERTO SUCRE,14.0,57.0,24.95058599089008,10-25 km
Ingavi,C4,Segunda Sección - Ingavi,SANTA CLAUDIA,5.0,29.0,30.478982428658856,25-50 km
Ingavi,C4,Segunda Sección - Ingavi,CONFLICTO,9.0,151.0,42.62979509650902,25-50 km
Ingavi,C4,Segunda Sección - Ingavi,JERUSALEN,15.0,73.0,68.0090529718373,>50 km
Ingavi,C4,Segunda Sección - Ingavi,11 DE OCTUBRE,3.0,22.0,74.84172398100142,>50 km
Ingavi,C4,Segunda Sección - Ingavi,TAJIBO,12.0,60.0,95.20762936189617,>50 km
Nueva_Esperanza,C4,Primera Sección - Nueva Esperanza,PUERTO CONSUELO II,17.0,216.0,1.8040097389075727,<5 km
Nueva_Esperanza,C4,Primera Sección - Nueva Esperanza,PUERTO CONSUELO I,29.0,92.0,7.213943380082009,5-10 km
Nueva_Esperanza,C4,Primera Sección - Nueva Esperanza,ASERRADERO LOS INDIOS,3.0,145.0,11.210261866637643,10-25 km
Nueva_Esperanza,C4,Primera Sección - Nueva Esperanza,LA GRAN CRUZ,19.0,124.0,27.81117201228249,25-50 km
Nueva_Esperanza,C4,Primera Sección - Nueva Esperanza,NUEVA UNION,51.0,315.0,37.26644827026421,25-50 km
Nueva_Esperanza,C4,Primera Sección - Nueva Esperanza,16 DE MAYO,9.0,208.0,37.47789175163105,25-50 km
Nueva_Esperanza,C4,Primera Sección - Nueva Esperanza,EL TIGRE,22.0,55.0,37.75800654683214,25-50 km
Nueva_Esperanza,C4,Primera Sección - Nueva Esperanza,ARCA DE ISRAEL,38.0,237.0,42.49885853482343,25-50 km
Nueva_Esperanza,C4,Primera Sección - Nueva Esperanza,LA LOMA,1.0,21.0,45.81883793160469,25-50 km
Nueva_Esperanza,C4,Primera Sección - Nueva Esperanza,NUEVA ESPERANZA,14.0,655.0,59.26567671446194,>50 km
Porvenir,C4,Primera Sección - Porvenir,AGUA RICA,23.0,156.0,11.132630983632858,10-25 km
Porvenir,C4,Primera Sección - Porvenir,5 DE AGOSTO,10.0,153.0,14.360830532987066,10-25 km
Porvenir,C4,Primera Sección - Porvenir,GRAN CHACO,10.0,43.0,14.43665681348035,10-25 km
Porvenir,C4,Primera Sección - Porvenir,NUEVA VIDA,10.0,125.0,15.465415420107954,10-25 km
Porvenir,C4,Primera Sección - Porvenir,VILLA ROJAS,42.0,1231.0,15.549576060188569,10-25 km
Porvenir,C4,Primera Sección - Porvenir,SANTA FE,26.0,116.0,15.677905883321515,10-25 km
Porvenir,C4,Primera Sección - Porvenir,COCAMITA,7.0,181.0,16.099745961091525,10-25 km
Porvenir,C4,Primera Sección - Porvenir,SAN JORGE,9.0,60.0,17.229608593862277,10-25 km
Porvenir,C4,Primera Sección - Porvenir,CACHUELITA ALTA,10.0,147.0,17.552951361823848,10-25 km
Porvenir,C4,Primera Sección - Porvenir,PORVENIR,94.0,4391.0,18.444606989207134,10-25 km
Porvenir,C4,Primera Sección - Porvenir,COLORADO,13.0,125.0,18.483086572025957,10-25 km
Porvenir,C4,Primera Sección - Porvenir,EL CEDRO,2.0,19.0,19.297819059109788,10-25 km
Porvenir,C4,Primera Sección - Porvenir,NUEVA ESPERANZA,12.0,137.0,20.74794345139255,10-25 km
Porvenir,C4,Primera Sección - Porvenir,CACHUELITA BAJO,8.0,122.0,21.206107354180656,10-25 km
Porvenir,C4,Primera Sección - Porvenir,BUENA VISTA,13.0,95.0,21.323143458162466,10-25 km
Porvenir,C4,Primera Sección - Porvenir,TRES BARRACAS,3.0,51.0,21.47400463340147,10-25 km
Porvenir,C4,Primera Sección - Porvenir,CAMPO ANA,13.0,116.0,22.40041852828742,10-25 km
Porvenir,C4,Primera Sección - Porvenir,SAN JOSE,11.0,161.0,24.240998859315248,10-25 km
Porvenir,C4,Primera Sección - Porvenir,VILLA MARIETA,8.0,40.0,26.35661909651637,25-50 km
Porvenir,C4,Primera Sección - Porvenir,CASTAÑERA,6.0,92.0,26.58045486278023,25-50 km
Porvenir,C4,Primera Sección - Porvenir,SAN LUIS,12.0,127.0,27.786926597390245,25-50 km
Porvenir,C4,Primera Sección - Porvenir,TRINCHERA,13.0,171.0,29.787777900252188,25-50 km
Porvenir,C4,Primera Sección - Porvenir,SAN LUIS,15.0,83.0,54.40661339692635,>50 km
Puerto_Rico,C4,Primera Sección - Puerto Rico,PUERTO MADRE DE DIOS,3.0,64.0,2.1565366521019547,<5 km
Puerto_Rico,C4,Primera Sección - Puerto Rico,SACRIFICIO,8.0,176.0,11.601803666194204,10-25 km
Puerto_Rico,C4,Primera Sección - Puerto Rico,IRAK,15.0,117.0,14.14436189469337,10-25 km
Puerto_Rico,C4,Primera Sección - Puerto Rico,FLORENCIA,1.0,3.0,16.370955126908296,10-25 km
Puerto_Rico,C4,Primera Sección - Puerto Rico,BUENA VENTURA,5.0,35.0,19.767687691177443,10-25 km
Puerto_Rico,C4,Primera Sección - Puerto Rico,JERICO,14.0,128.0,20.18952777046046,10-25 km
Puerto_Rico,C4,Primera Sección - Puerto Rico,CONQUISTA,10.0,504.0,21.172810028567355,10-25 km
Puerto_Rico,C4,Primera Sección - Puerto Rico,BATRAJA,32.0,264.0,22.418637774106152,10-25 km
Puerto_Rico,C4,Primera Sección - Puerto Rico,VICTORIA,1.0,20.0,23.622238430258207,10-25 km
Puerto_Rico,C4,Primera Sección - Puerto Rico,SAN ANTONIO EL MATI,6.0,238.0,26.314884739629058,25-50 km
Puerto_Rico,C4,Primera Sección - Puerto Rico,MOTACUZAL,11.0,63.0,26.85828940502117,25-50 km
Puerto_Rico,C4,Primera Sección - Puerto Rico,LOS ANGELES,6.0,64.0,27.592798438281054,25-50 km
Puerto_Rico,C4,Primera Sección - Puerto Rico,CAMPEONES,21.0,152.0,28.15279698967119,25-50 km
Puerto_Rico,C4,Primera Sección - Puerto Rico,CANAN AGUADA,11.0,52.0,30.05242896489246,25-50 km
Puerto_Rico,C4,Primera Sección - Puerto Rico,NACEBECITO,12.0,81.0,31.131849259115718,25-50 km
Puerto_Rico,C4,Primera Sección - Puerto Rico,MANDARINO,4.0,163.0,33.04663569242896,25-50 km
Puerto_Rico,C4,Primera Sección - Puerto Rico,DESLINDE,5.0,41.0,33.836149556067355,25-50 km
Puerto_Rico,C4,Primera Sección - Puerto Rico,COCAL,14.0,142.0,33.92654302907289,25-50 km
