Cluster,Comunidad,Municipio_std,HH,distance_km,nearest_line_type,annual_extension_EUR_HH,annual_standalone_EUR_HH,dispersed,breakeven_distance_km,Panel_2024,Motor_2024,Otra_2024
C1,EXALTACION,Exaltación,123.03930860361235,0.0466155111328188,SIN,17.87,1605.3,False,186.332,70.75409836065573,21.434782608695652,1.9714285714285715
C1,BOCORONDO,Exaltación,47.84948533695863,6.621175174356837,SIN,162.56,1605.3,False,72.464,27.21311475409836,1.2608695652173911,4.6000000000000005
C1,20 DE ENERO,Exaltación,10.940104874732958,9.23373335335436,SIN,902.41,1605.3,False,16.568,2.7213114754098364,0.0,0.0
C1,TROMPILLO,Exaltación,23.91481841134201,25.196975927875904,SIN,1122.16,1605.3,False,36.217,5.442622950819673,8.826086956521738,0.0
C1,PUERTO SANTIAGO,Exaltación,17.28638570596232,26.13837843789098,SIN,1602.85,1605.3,False,26.179,8.163934426229508,3.782608695652174,0.0
C1,SAN CARLOS,Exaltación,60.64342590794328,38.88060115910172,SIN,689.69,1605.3,False,91.839,35.377049180327866,7.565217391304348,0.32857142857142857
C1,RANCHO GINEBRA,Exaltación,70.3138473489998,47.53665032392087,SIN,726.31,1605.3,False,106.484,35.377049180327866,18.913043478260867,0.6571428571428571
C1,NUEVO PARAISO,Exaltación,4.75474849485337,55.491363268560434,SIN,12253.94,1605.3,True,7.201,2.7213114754098364,1.2608695652173911,0.0
C1,ANA MARIA,Exaltación,4.75474849485337,57.97884882569683,SIN,12802.46,1605.3,True,7.201,5.442622950819673,0.0,0.0
C1,COOPERATIVA,Exaltación,49.280093221984856,59.63582981686783,SIN,1286.28,1605.3,False,74.63,5.442622950819673,23.956521739130434,0.32857142857142857
C1,LAS MARAVILLAS,Exaltación,32.679238687123714,62.36583964672258,SIN,2018.41,1605.3,True,49.49,5.442622950819673,1.2608695652173911,0.32857142857142857
C1,SANTA ROSA,Exaltación,23.491590600116528,65.39327980163179,SIN,2936.1,1605.3,True,35.576,27.21311475409836,2.5217391304347823,0.0
C1,EXALTACION DE SANTA CRUZ,Exaltación,12.390561274033793,65.73754362739461,SIN,5580.11,1605.3,True,18.764,10.885245901639346,1.2608695652173911,0.0
C1,LAS PEÑAS DE NAZARETH,Exaltación,24.498970673917263,66.86261596164935,SIN,2878.97,1605.3,True,37.102,16.327868852459016,7.565217391304348,0.0
C1,PIRAQUINAL,Exaltación,23.491590600116528,68.1721909210026,SIN,3060.13,1605.3,True,35.576,5.442622950819673,0.0,3.2857142857142856
C1,COQUINAL,Exaltación,258.9321033210332,71.91205849780054,SIN,308.66,1605.3,False,392.13,152.39344262295083,39.08695652173913,8.871428571428572
C1,BIENVENIDO,Exaltación,34.008467663624,76.56691313909643,SIN,2378.02,1605.3,True,51.503,24.491803278688526,7.565217391304348,0.32857142857142857
C1,SANTA FE,Exaltación,18.43484171683822,81.44804871313407,Sist. Ais.,4649.8,1605.3,True,27.918,2.7213114754098364,5.0434782608695645,0.0
C1,LAS ABRAS,Exaltación,85.60532142163527,102.83551200173416,Sist. Ais.,1276.98,1605.3,False,129.642,54.42622950819672,29.0,0.0
C1,PALMERA,Exaltación,23.612818022917068,105.98506383034974,SIN,4723.51,1605.3,True,35.76,2.7213114754098364,3.782608695652174,0.0
C1,SAN JUAN DEL RIO JORDAN,Exaltación,20.590677801514857,108.63006591687127,SIN,5548.91,1605.3,True,31.183,2.7213114754098364,1.2608695652173911,0.6571428571428571
C1,LAS PETAS,Exaltación,48.393940570984654,120.12380051721308,Sist. Ais.,2620.01,1605.3,True,73.288,29.934426229508198,3.782608695652174,0.0
C1,ESTANCIAS DISPERSAS,Exaltación,136.59817440279664,128.11332687214735,SIN,1000.82,1605.3,False,206.866,119.73770491803279,13.869565217391305,1.6428571428571428
C1,CARMEN TAHUA,Ixiamas,62.03355420329051,0.0004381443347964,SIN,17.48,1547.35,False,90.516,0.0,0.0,37.127906976744185
C1,IXIAMAS,Ixiamas,254.893968897904,0.0404778045096563,SIN,17.64,1547.35,False,371.927,14.408163265306122,44.93333333333333,4.790697674418604
C1,SANTA ANA,Ixiamas,13.395744872661709,0.0406040349345042,SIN,20.65,1547.35,False,19.546,21.612244897959183,1.0698412698412698,0.0
C1,TARENE,Ixiamas,9.520283975659227,0.0441934250365481,SIN,22.34,1547.35,False,13.891,0.0,0.0,0.0
C1,EL CARMEN DE PECHA,Ixiamas,29.969677710164525,0.0481916777161336,SIN,19.16,1547.35,False,43.73,7.204081632653061,1.0698412698412698,0.0
C1,MACHAJ MARKA,Ixiamas,14.809330628803243,0.0525118787219095,SIN,21.19,1547.35,False,21.609,0.0,0.0,0.0
C1,FLOR DE MAYO,Ixiamas,8.109078205995042,0.0615083501681539,SIN,25.43,1547.35,False,11.832,0.0,1.0698412698412698,0.0
C1,MACAHUA,Ixiamas,2.8200315528510256,0.0796388744760145,SIN,47.08,1547.35,False,4.115,0.0,1.0698412698412698,0.0
C1,30 DE AGOSTO,Ixiamas,2.1156186612576064,0.1103038796185135,SIN,72.14,1547.35,False,3.087,0.0,0.0,0.0
C1,NUEVA EDEN,Ixiamas,1.0578093306288032,0.1119245748864452,SIN,128.41,1547.35,False,1.543,0.0,0.0,0.0
C1,SANTA ROSA DE MARAVILLA,Ixiamas,26.0823168807753,0.1184126375546518,SIN,22.23,1547.35,False,38.058,14.408163265306122,2.1396825396825396,10.779069767441861
C1,SAN FELIPE,Ixiamas,23.966698219517692,0.1301892366289315,SIN,23.17,1547.35,False,34.971,7.204081632653061,5.349206349206349,8.383720930232558
C1,RUSO,Ixiamas,4.582253775073248,0.2014349003677267,SIN,63.57,1547.35,False,6.686,14.408163265306122,0.0,0.0
C1,ITURRALDE,Ixiamas,8.462474645030426,0.3241022690739487,SIN,57.63,1547.35,False,12.348,0.0,0.0,0.0
C1,PALMA  REAL,Ixiamas,6.346855983772819,0.970402419584973,SIN,177.78,1547.35,False,9.261,0.0,0.0,0.0
C1,ALAMOS,Ixiamas,4.231237322515213,1.38101036220025,SIN,359.68,1547.35,False,6.174,0.0,0.0,0.0
C1,3 DE JUNIO,Ixiamas,5.289046653144016,1.4307217062899211,SIN,301.09,1547.35,False,7.717,0.0,0.0,0.0
C1,SANTA FE,Ixiamas,32.43631282398017,1.82896771982947,SIN,76.59,1547.35,False,47.329,0.0,4.279365079365079,0.0
C1,SAN PABLO,Ixiamas,1.0578093306288032,1.877658646441145,SIN,1878.56,1547.35,True,1.543,0.0,0.0,0.0
C1,CORAZON DE LEON,Ixiamas,11.635902636916835,4.68522658108807,SIN,439.65,1547.35,False,16.978,0.0,0.0,0.0
C1,BUENA VISTA,Ixiamas,23.97145819247239,5.18041963631259,SIN,244.06,1547.35,False,34.978,0.0,7.488888888888889,0.0
C1,PUERTO PEREZ,Ixiamas,44.76948839305837,6.147346071861433,Sist. Ais.,161.44,1547.35,False,65.325,0.0,12.838095238095239,2.395348837209302
C1,COROCORO,Ixiamas,25.738440387649312,7.467829026019695,SIN,321.68,1547.35,False,37.556,0.0,2.1396825396825396,0.0
C1,COMANDO,Ixiamas,15.867139959432048,7.968352252652989,SIN,544.01,1547.35,False,23.152,0.0,0.0,0.0
C1,SAN PEDRO,Ixiamas,20.09837728194726,8.686355655204979,SIN,470.62,1547.35,False,29.326,0.0,0.0,0.0
C1,LAS MERCEDES,Ixiamas,43.009646157313504,10.416047097012902,Sist. Ais.,271.39,1547.35,False,62.757,0.0,10.698412698412698,0.0
C1,ALTO ZATARIAPU,Ixiamas,31.02272706783863,10.743158739502794,SIN,380.56,1547.35,False,45.267,43.224489795918366,2.1396825396825396,0.0
C1,CARINDE,Ixiamas,16.92494929006085,12.05349735432156,SIN,764.17,1547.35,False,24.696,0.0,0.0,0.0
C1,SAN MARCOS,Ixiamas,92.70050484561641,12.656591167257314,SIN,160.63,1547.35,False,135.263,21.612244897959183,42.79365079365079,0.0
C1,5 DE JUNIO,Ixiamas,14.809330628803243,14.224354926757984,SIN,1024.53,1547.35,False,21.609,0.0,0.0,0.0
C1,SEGUNDO FLOR DE MAYO,Ixiamas,8.462474645030426,14.785646023967058,SIN,1849.37,1547.35,True,12.348,0.0,0.0,0.0
C1,PUERTO RUSO,Ixiamas,26.44523326572008,15.496088138281966,SIN,631.85,1547.35,False,38.587,0.0,0.0,0.0
