municipality,annual_mean_temp,summer_mean_temp,fall_mean_temp,winter_mean_temp,spring_mean_temp,summer_max_temp,winter_min_temp,annual_min_hour,annual_max_hour
Bella_Flor,25.972098287671233,25.350737087912087,24.892579257246375,25.583567481884064,28.061505952380955,28.084021978021976,20.471902173913044,9.931,39.224
Bolpebra,25.7864299086758,25.436135256410257,24.46007880434783,25.792713315217394,27.457268772893766,28.808395604395606,20.405499999999996,10.047,39.057
Cobija,25.807366894977168,25.21563626373626,24.607270380434784,25.551281702898553,27.8548663003663,28.047527472527477,20.33911956521739,10.034,39.322
Exaltación,26.274133561643833,25.61493388278388,25.163620923913044,25.92888903985508,28.39173946886446,28.230197802197807,20.698565217391305,10.262,38.469
Filadelfia,25.703714611872147,25.1560630952381,24.53956204710145,25.253862318840575,27.867051282051282,27.924527472527473,20.178282608695653,9.658,39.424
Guayaramerín,26.520298630136985,25.764593498168498,25.272304800724633,26.3655,28.676851648351647,28.808076923076925,21.247,12.197,38.925
Ingavi,26.146785730593606,25.475331868131864,25.20622010869565,25.761852807971017,28.142180402930403,28.112329670329668,20.71086956521739,10.973,38.232
Ixiamas,23.976595776255706,23.94638983516484,23.347269021739127,21.972079257246378,26.6679674908425,26.5473956043956,18.47025,9.35,36.779
Nueva_Esperanza,25.832038470319635,25.509972893772897,24.93918614130435,24.617939311594203,28.274948260073266,28.224,19.869913043478256,8.544,38.671
Porvenir,25.750137671232878,25.18843708791209,24.584291213768118,25.34624547101449,27.88269505494506,27.965439560439567,20.24216304347826,9.739,39.401
Puerto_Gonzalo_Moreno,26.41126906392694,25.629471794871794,25.299629076086955,26.28456023550725,28.429732600732603,28.23658241758242,21.10542391304348,11.487,38.748
Puerto_Rico,26.066693493150684,25.393954212454204,24.97917300724638,25.77826585144928,28.113840659340653,28.136450549450547,20.602173913043476,10.251,39.152
Reyes,25.36603219178082,25.234628205128207,24.374531249999997,23.23662001811594,28.649596153846158,27.912131868131866,18.93565217391304,8.98,39.803
Riberalta,26.411253538812787,25.64591172161172,25.30660597826087,26.2291625905797,28.461811355311355,28.302736263736264,21.092684782608696,11.582,38.819
Santa_Rosa_Beni,27.01213287671233,26.2298847069597,25.45006385869565,26.22254076086956,30.156329212454217,29.450241758241752,20.125184782608695,8.955,41.779
Santa_Rosa_Pando,26.251917579908678,25.46377847985348,25.10397282608696,26.210977355072462,28.22428342490843,28.36858241758241,20.87478260869565,11.027,39.112
Santos_Mercado,28.160081967213117,27.169283967391305,26.241284873188405,28.498833786231877,30.737990842490838,31.15360869565217,22.291771739130432,16.622,41.977
San_Lorenzo,26.240415296803654,25.622555860805857,25.14001811594203,25.788939311594202,28.414313186813185,28.276780219780214,20.581434782608696,9.929,38.561
San_Pedro,25.884457648401824,25.290900366300367,24.799646286231877,25.48343025362319,27.964266941391937,28.064373626373627,20.378608695652172,9.838,39.273
Sena,27.54202527322404,27.128640126811597,25.93671920289855,27.258616394927536,29.865728479853473,30.769195652173913,21.13866304347826,15.067,41.887
Villa_Nueva,27.881208333333333,27.277969565217393,26.062620923913045,28.173289402173914,30.031920787545793,30.97928260869566,21.848315217391306,15.772,41.479
