day,Bella_Flor,Bolpebra,Cobija,Exaltación,Filadelfia,Guayaramerín,Ingavi,Ixiamas,Nueva_Esperanza,Porvenir,Puerto_Gonzalo_Moreno,Puerto_Rico,Reyes,Riberalta,Santa_Rosa_Beni,Santa_Rosa_Pando,Santos_Mercado,San_Lorenzo,San_Pedro,Sena,Villa_Nueva
1,4397.340480278763,4459.427986214835,4452.426657995658,4296.339884662325,4487.087981465977,4214.022285758215,4338.92499936552,5064.6365200961145,4444.176483201137,4471.5641104157485,4250.481772698854,4365.707843566434,4600.008982744516,4250.486964297027,4049.55291370342,4303.768908954561,3665.6787378399563,4307.615272424881,4426.647510050452,3872.3568963099037,3758.9340810093563
2,4394.628316761724,4456.715822697796,4449.714494478619,4293.627721145286,4484.375817948938,4211.310122241176,4336.2128358484815,5061.924356579076,4441.464319684098,4468.85194689871,4247.769609181815,4362.995680049396,4597.296819227477,4247.774800779988,4046.8407501863812,4301.056745437522,3662.9665743229175,4304.903108907843,4423.935346533413,3869.6447327928645,3756.221917492317
3,4392.0039539267,4454.091459862772,4447.090131643596,4291.003358310262,4481.751455113915,4208.685759406153,4333.5884730134585,5059.299993744052,4438.839956849074,4466.227584063687,4245.145246346791,4360.371317214372,4594.672456392454,4245.150437944964,4044.2163873513578,4298.432382602498,3660.3422114878945,4302.278746072818,4421.31098369839,3867.020369957841,3753.5975546572936
4,4389.4681694290375,4451.555675365111,4444.554347145932,4288.4675738126,4479.215670616252,4206.14997490849,4331.052688515796,5056.764209246389,4436.3041723514125,4463.691799566024,4242.609461849129,4357.835532716709,4592.136671894791,4242.614653447302,4041.6806028536953,4295.896598104836,3657.806426990232,4299.742961575155,4418.775199200728,3864.4845854601786,3751.061770159631
5,4387.02171467641,4449.109220612483,4442.107892393305,4286.021119059972,4476.769215863624,4203.703520155862,4328.606233763167,5054.317754493762,4433.857717598784,4461.245344813396,4240.163007096501,4355.3890779640815,4589.6902171421625,4240.168198694674,4039.234148101067,4293.450143352208,3655.3599722376034,4297.2965068225285,4416.328744448099,3862.038130707551,3748.6153154070034
6,4384.665314606159,4446.752820542231,4439.751492323054,4283.664718989721,4474.412815793374,4201.347120085611,4326.2498336929175,5051.961354423511,4431.501317528533,4458.888944743145,4237.806607026249,4353.032677893831,4587.333817071913,4237.811798624423,4036.8777480308163,4291.093743281957,3653.003572167353,4294.940106752277,4413.972344377849,3859.6817306372996,3746.258915336752
7,4382.399667470481,4444.487173406554,4437.485845187376,4281.3990718540435,4472.147168657695,4199.081472949933,4323.984186557239,5049.695707287832,4429.235670392855,4456.623297607467,4235.540959890572,4350.767030758153,4585.068169936235,4235.546151488746,4034.6121008951386,4288.828096146279,3650.7379250316753,4292.674459616599,4411.706697242172,3857.416083501622,3743.9932682010744
8,4380.225444629517,4442.31295056559,4435.311622346413,4279.22484901308,4469.972945816732,4196.90725010897,4321.809963716276,5047.521484446869,4427.061447551891,4454.449074766503,4233.366737049608,4348.592807917189,4582.893947095271,4233.371928647782,4032.437878054175,4286.653873305316,3648.5637021907114,4290.500236775635,4409.532474401208,3855.2418606606584,3741.819045360111
9,4378.143290352423,4440.230796288496,4433.2294680693185,4277.142694735986,4467.890791539637,4194.825095831876,4319.727809439181,5045.4393301697755,4424.979293274798,4452.366920489409,4231.284582772514,4346.510653640095,4580.811792818177,4231.289774370688,4030.355723777081,4284.571719028221,3646.4815479136173,4288.4180824985415,4407.450320124114,3853.159706383564,3739.736891083017
10,4376.153821626443,4438.241327562517,4431.239999343338,4275.153226010006,4465.901322813657,4192.835627105896,4317.738340713201,5043.449861443795,4422.9898245488175,4450.377451763429,4229.295114046535,4344.521184914114,4578.822324092196,4229.300305644707,4028.3662550511003,4282.582250302242,3644.4920791876375,4286.428613772561,4405.460851398133,3851.170237657584,3737.7474223570366
11,4374.2576279741,4436.345133910172,4429.343805690995,4273.257032357662,4464.005129161314,4190.939433453553,4315.842147060857,5041.5536677914515,4421.093630896474,4448.4812581110855,4227.398920394191,4342.624991261771,4576.926130439853,4227.404111992364,4026.470061398757,4280.686056649897,3642.5958855352937,4284.532420120218,4403.56465774579,3849.2740440052403,3735.8512287046933
12,4372.455271278494,4434.542777214567,4427.541448995389,4271.454675662057,4462.202772465708,4189.1370767579465,4314.039790365253,5039.751311095846,4419.291274200868,4446.67890141548,4225.596563698585,4340.822634566166,4575.123773744248,4225.601755296759,4024.6677047031517,4278.883699954293,3640.793528839688,4282.730063424612,4401.762301050185,3847.471687309635,3734.0488720090875
13,4370.747285616813,4432.834791552887,4425.833463333709,4269.7466900003765,4460.494786804028,4187.429091096266,4312.331804703573,5038.043325434166,4417.583288539188,4444.9709157538,4223.8885780369055,4339.114648904485,4573.415788082568,4223.893769635079,4022.959719041472,4277.175714292613,3639.085543178008,4281.022077762932,4400.054315388505,3845.763701647955,3732.340886347408
14,4369.1341771020725,4431.221683038145,4424.220354818968,4268.133581485636,4458.881678289287,4185.8159825815255,4310.718696188831,5036.430216919425,4415.970180024447,4443.357807239058,4222.275469522164,4337.501540389744,4571.802679567826,4222.280661120337,4021.34661052673,4275.56260577787,3637.4724346632665,4279.408969248191,4398.441206873763,3844.150593133213,3730.727777832666
15,4367.616423733135,4429.703929669207,4422.702601450031,4266.615828116698,4457.363924920349,4184.298229212588,4309.200942819893,5034.912463550487,4414.452426655509,4441.840053870121,4220.757716153226,4335.983787020807,4570.284926198889,4220.762907751399,4019.8288571577923,4274.0448524089325,3635.954681294329,4277.891215879254,4396.923453504825,3842.6328397642756,3729.2100244637286
16,4366.194475253081,4428.281981189154,4421.2806529699765,4265.193879636644,4455.941976440295,4182.876280732534,4307.778994339839,5033.490515070433,4413.030478175456,4440.418105390067,4219.335767673172,4334.561838540753,4568.862977718835,4219.340959271346,4018.406908677739,4272.622903928879,3634.5327328142753,4276.469267399199,4395.501505024772,3841.2108912842223,3727.788075983675
17,4364.868753015932,4426.9562589520065,4419.954930732828,4263.868157399495,4454.616254203147,4181.550558495385,4306.453272102691,5032.164792833285,4411.704755938308,4439.092383152919,4218.0100454360245,4333.236116303605,4567.537255481686,4218.015237034197,4017.08118644059,4271.297181691732,3633.207010577127,4275.143545162052,4394.175782787623,3839.8851690470738,3726.4623537465263
18,4363.639649861802,4425.727155797877,4418.725827578698,4262.6390542453655,4453.387151049017,4180.321455341255,4305.224168948561,5030.935689679155,4410.475652784177,4437.863279998789,4216.780942281895,4332.007013149474,4566.308152327557,4216.786133880068,4015.85208328646,4270.068078537602,3631.9779074229973,4273.914442007921,4392.946679633494,3838.656065892944,3725.233250592397
19,4362.50753000048,4424.595035936553,4417.593707717376,4261.506934384043,4452.255031187694,4179.189335479933,4304.092049087239,5029.803569817832,4409.343532922855,4436.731160137467,4215.648822420571,4330.874893288153,4565.176032466235,4215.654014018745,4014.7199634251383,4268.9359586762785,3630.8457875616746,4272.782322146599,4391.814559772171,3837.5239460316216,3724.101130731074
20,4361.472728903513,4423.560234839586,4416.558906620408,4260.472133287076,4451.2202300907275,4178.154534382966,4303.057247990271,5028.768768720865,4408.308731825888,4435.6963590404985,4214.614021323604,4329.840092191184,4564.141231369266,4214.619212921777,4013.68516232817,4267.901157579312,3629.810986464707,4271.747521049631,4390.779758675203,3836.4891449346537,3723.0663296341063
21,4360.535553204798,4422.623059140871,4415.621730921694,4259.534957588361,4450.283054392013,4177.217358684251,4302.120072291556,5027.831593022151,4407.371556127173,4434.759183341784,4213.676845624889,4328.90291649247,4563.204055670552,4213.682037223063,4012.7479866294557,4266.963981880597,3628.8738107659924,4270.810345350917,4389.842582976489,3835.5519692359394,3722.1291539353924
22,4359.696280609724,4421.783786545798,4414.78245832662,4258.695684993288,4449.443781796939,4176.3780860891775,4301.280799696483,5026.992320427077,4406.5322835320985,4433.91991074671,4212.837573029816,4328.063643897396,4562.364783075478,4212.842764627989,4011.908714034382,4266.124709285523,3628.0345381709185,4269.971072755843,4389.003310381415,3834.7126966408655,3721.289881340318
23,4358.95515981287,4421.042665748944,4414.041337529766,4257.954564196433,4448.702661000085,4175.636965292323,4300.5396788996295,5026.251199630223,4405.791162735246,4433.178789949857,4212.096452232962,4327.322523100543,4561.623662278625,4212.101643831135,4011.1675932375288,4265.383588488669,3627.293417374065,4269.229951958989,4388.262189584561,3833.971575844012,3720.5487605434646
24,4358.312410424326,4420.3999163604,4413.398588141222,4257.311814807888,4448.059911611541,4174.99421590378,4299.896929511086,5025.60845024168,4405.1484133467,4432.536040561313,4211.453702844417,4326.679773711998,4560.98091289008,4211.458894442591,4010.524843848985,4264.740839100126,3626.650667985521,4268.587202570446,4387.6194401960165,3833.3288264554685,3719.906011154921
25,4357.768222904606,4419.855728840679,4412.854400621502,4256.767627288169,4447.515724091821,4174.450028384059,4299.352741991364,5025.064262721959,4404.604225826981,4431.991853041592,4210.909515324697,4326.1355861922775,4560.43672537036,4210.914706922871,4009.9806563292636,4264.196651580405,3626.1064804658004,4268.0430150507245,4387.075252676297,3832.7846389357474,3719.3618236352004
26,4357.322758508217,4419.41026444429,4412.4089362251125,4256.32216289178,4447.070259695432,4174.00456398767,4298.907277594975,5024.618798325569,4404.158761430591,4431.5463886452035,4210.464050928308,4325.690121795888,4559.99126097397,4210.469242526481,4009.5351919328746,4263.751187184015,3625.6610160694113,4267.597550654335,4386.629788279907,3832.339174539358,3718.916359238811
27,4356.976149235873,4419.063655171945,4412.062326952768,4255.975553619435,4446.723650423088,4173.657954715325,4298.5606683226315,5024.272189053225,4403.812152158247,4431.199779372859,4210.117441655963,4325.343512523545,4559.644651701627,4210.122633254137,4009.1885826605303,4263.404577911671,3625.314406797067,4267.250941381991,4386.283179007563,3831.9925652670136,3718.569749966466
28,4356.728497795381,4418.816003731455,4411.814675512277,4255.7279021789445,4446.475998982596,4173.410303274834,4298.313016882141,5024.024537612734,4403.564500717756,4430.952127932367,4209.869790215473,4325.095861083053,4559.397000261136,4209.874981813647,4008.9409312200396,4263.15692647118,3625.066755356576,4267.0032899415,4386.035527567073,3831.7449138265224,3718.3220985259754
29,4356.57987757121,4418.667383507283,4411.666055288106,4255.579281954773,4446.327378758425,4173.261683050663,4298.164396657969,5023.875917388563,4403.415880493584,4430.803507708197,4209.721169991302,4324.947240858882,4559.248380036964,4209.726361589474,4008.792310995868,4263.0083062470085,3624.9181351324046,4266.854669717329,4385.8869073429005,3831.596293602351,3718.173478301804
30,4356.53033260274,4418.617838538812,4411.616510319635,4255.529736986302,4446.277833789954,4173.212138082192,4298.114851689497,5023.8263724200915,4403.366335525114,4430.7539627397255,4209.671625022831,4324.897695890411,4559.198835068493,4209.676816621004,4008.742766027397,4262.958761278537,3624.8685901639333,4266.805124748858,4385.837362374429,3831.5467486338803,3718.1239333333333
31,4356.57987757121,4418.667383507283,4411.666055288106,4255.579281954773,4446.327378758425,4173.261683050663,4298.164396657969,5023.875917388563,4403.415880493584,4430.803507708197,4209.721169991302,4324.947240858882,4559.248380036964,4209.726361589474,4008.792310995868,4263.0083062470085,3624.9181351324046,4266.854669717329,4385.8869073429005,3831.596293602351,3718.173478301804
32,4356.728497795381,4418.816003731455,4411.814675512277,4255.7279021789445,4446.475998982596,4173.410303274834,4298.313016882141,5024.024537612734,4403.564500717756,4430.952127932367,4209.869790215473,4325.095861083053,4559.397000261136,4209.874981813647,4008.9409312200396,4263.15692647118,3625.066755356576,4267.0032899415,4386.035527567073,3831.7449138265224,3718.3220985259754
33,4356.976149235873,4419.063655171945,4412.062326952768,4255.975553619435,4446.723650423088,4173.657954715325,4298.5606683226315,5024.272189053225,4403.812152158247,4431.199779372859,4210.117441655963,4325.343512523545,4559.644651701627,4210.122633254137,4009.1885826605303,4263.404577911671,3625.314406797067,4267.250941381991,4386.283179007563,3831.9925652670136,3718.569749966466
34,4357.322758508217,4419.41026444429,4412.4089362251125,4256.32216289178,4447.070259695432,4174.00456398767,4298.907277594975,5024.618798325569,4404.158761430591,4431.5463886452035,4210.464050928308,4325.690121795888,4559.99126097397,4210.469242526481,4009.5351919328746,4263.751187184015,3625.6610160694113,4267.597550654335,4386.629788279907,3832.339174539358,3718.916359238811
35,4357.768222904606,4419.855728840679,4412.854400621502,4256.767627288169,4447.515724091821,4174.450028384059,4299.352741991364,5025.064262721959,4404.604225826981,4431.991853041592,4210.909515324697,4326.1355861922775,4560.43672537036,4210.914706922871,4009.9806563292636,4264.196651580405,3626.1064804658004,4268.0430150507245,4387.075252676297,3832.7846389357474,3719.3618236352004
36,4358.312410424326,4420.3999163604,4413.398588141222,4257.311814807888,4448.059911611541,4174.99421590378,4299.896929511086,5025.60845024168,4405.1484133467,4432.536040561313,4211.453702844417,4326.679773711998,4560.98091289008,4211.458894442591,4010.524843848985,4264.740839100126,3626.650667985521,4268.587202570446,4387.6194401960165,3833.3288264554685,3719.906011154921
37,4358.95515981287,4421.042665748944,4414.041337529766,4257.954564196433,4448.702661000085,4175.636965292323,4300.5396788996295,5026.251199630223,4405.791162735246,4433.178789949857,4212.096452232962,4327.322523100543,4561.623662278625,4212.101643831135,4011.1675932375288,4265.383588488669,3627.293417374065,4269.229951958989,4388.262189584561,3833.971575844012,3720.5487605434646
38,4359.696280609724,4421.783786545798,4414.78245832662,4258.695684993288,4449.443781796939,4176.3780860891775,4301.280799696483,5026.992320427077,4406.5322835320985,4433.91991074671,4212.837573029816,4328.063643897396,4562.364783075478,4212.842764627989,4011.908714034382,4266.124709285523,3628.0345381709185,4269.971072755843,4389.003310381415,3834.7126966408655,3721.289881340318
39,4360.535553204798,4422.623059140871,4415.621730921694,4259.534957588361,4450.283054392013,4177.217358684251,4302.120072291556,5027.831593022151,4407.371556127173,4434.759183341784,4213.676845624889,4328.90291649247,4563.204055670552,4213.682037223063,4012.7479866294557,4266.963981880597,3628.8738107659924,4270.810345350917,4389.842582976489,3835.5519692359394,3722.1291539353924
40,4361.472728903513,4423.560234839586,4416.558906620408,4260.472133287076,4451.2202300907275,4178.154534382966,4303.057247990271,5028.768768720865,4408.308731825888,4435.6963590404985,4214.614021323604,4329.840092191184,4564.141231369266,4214.619212921777,4013.68516232817,4267.901157579312,3629.810986464707,4271.747521049631,4390.779758675203,3836.4891449346537,3723.0663296341063
41,4362.50753000048,4424.595035936553,4417.593707717376,4261.506934384043,4452.255031187694,4179.189335479933,4304.092049087239,5029.803569817832,4409.343532922855,4436.731160137467,4215.648822420571,4330.874893288153,4565.176032466235,4215.654014018745,4014.7199634251383,4268.9359586762785,3630.8457875616746,4272.782322146599,4391.814559772171,3837.5239460316216,3724.101130731074
42,4363.639649861802,4425.727155797877,4418.725827578698,4262.6390542453655,4453.387151049017,4180.321455341255,4305.224168948561,5030.935689679155,4410.475652784177,4437.863279998789,4216.780942281895,4332.007013149474,4566.308152327557,4216.786133880068,4015.85208328646,4270.068078537602,3631.9779074229973,4273.914442007921,4392.946679633494,3838.656065892944,3725.233250592397
43,4364.868753015932,4426.9562589520065,4419.954930732828,4263.868157399495,4454.616254203147,4181.550558495385,4306.453272102691,5032.164792833285,4411.704755938308,4439.092383152919,4218.0100454360245,4333.236116303605,4567.537255481686,4218.015237034197,4017.08118644059,4271.297181691732,3633.207010577127,4275.143545162052,4394.175782787623,3839.8851690470738,3726.4623537465263
44,4366.194475253081,4428.281981189154,4421.2806529699765,4265.193879636644,4455.941976440295,4182.876280732534,4307.778994339839,5033.490515070433,4413.030478175456,4440.418105390067,4219.335767673172,4334.561838540753,4568.862977718835,4219.340959271346,4018.406908677739,4272.622903928879,3634.5327328142753,4276.469267399199,4395.501505024772,3841.2108912842223,3727.788075983675
45,4367.616423733135,4429.703929669207,4422.702601450031,4266.615828116698,4457.363924920349,4184.298229212588,4309.200942819893,5034.912463550487,4414.452426655509,4441.840053870121,4220.757716153226,4335.983787020807,4570.284926198889,4220.762907751399,4019.8288571577923,4274.0448524089325,3635.954681294329,4277.891215879254,4396.923453504825,3842.6328397642756,3729.2100244637286
46,4369.1341771020725,4431.221683038145,4424.220354818968,4268.133581485636,4458.881678289287,4185.8159825815255,4310.718696188831,5036.430216919425,4415.970180024447,4443.357807239058,4222.275469522164,4337.501540389744,4571.802679567826,4222.280661120337,4021.34661052673,4275.56260577787,3637.4724346632665,4279.408969248191,4398.441206873763,3844.150593133213,3730.727777832666
47,4370.747285616813,4432.834791552887,4425.833463333709,4269.7466900003765,4460.494786804028,4187.429091096266,4312.331804703573,5038.043325434166,4417.583288539188,4444.9709157538,4223.8885780369055,4339.114648904485,4573.415788082568,4223.893769635079,4022.959719041472,4277.175714292613,3639.085543178008,4281.022077762932,4400.054315388505,3845.763701647955,3732.340886347408
48,4372.455271278494,4434.542777214567,4427.541448995389,4271.454675662057,4462.202772465708,4189.1370767579465,4314.039790365253,5039.751311095846,4419.291274200868,4446.67890141548,4225.596563698585,4340.822634566166,4575.123773744248,4225.601755296759,4024.6677047031517,4278.883699954293,3640.793528839688,4282.730063424612,4401.762301050185,3847.471687309635,3734.0488720090875
49,4374.2576279741,4436.345133910172,4429.343805690995,4273.257032357662,4464.005129161314,4190.939433453553,4315.842147060857,5041.5536677914515,4421.093630896474,4448.4812581110855,4227.398920394191,4342.624991261771,4576.926130439853,4227.404111992364,4026.470061398757,4280.686056649897,3642.5958855352937,4284.532420120218,4403.56465774579,3849.2740440052403,3735.8512287046933
50,4376.153821626443,4438.241327562517,4431.239999343338,4275.153226010006,4465.901322813657,4192.835627105896,4317.738340713201,5043.449861443795,4422.9898245488175,4450.377451763429,4229.295114046535,4344.521184914114,4578.822324092196,4229.300305644707,4028.3662550511003,4282.582250302242,3644.4920791876375,4286.428613772561,4405.460851398133,3851.170237657584,3737.7474223570366
51,4378.143290352423,4440.230796288496,4433.2294680693185,4277.142694735986,4467.890791539637,4194.825095831876,4319.727809439181,5045.4393301697755,4424.979293274798,4452.366920489409,4231.284582772514,4346.510653640095,4580.811792818177,4231.289774370688,4030.355723777081,4284.571719028221,3646.4815479136173,4288.4180824985415,4407.450320124114,3853.159706383564,3739.736891083017
52,4380.225444629517,4442.31295056559,4435.311622346413,4279.22484901308,4469.972945816732,4196.90725010897,4321.809963716276,5047.521484446869,4427.061447551891,4454.449074766503,4233.366737049608,4348.592807917189,4582.893947095271,4233.371928647782,4032.437878054175,4286.653873305316,3648.5637021907114,4290.500236775635,4409.532474401208,3855.2418606606584,3741.819045360111
53,4382.399667470481,4444.487173406554,4437.485845187376,4281.3990718540435,4472.147168657695,4199.081472949933,4323.984186557239,5049.695707287832,4429.235670392855,4456.623297607467,4235.540959890572,4350.767030758153,4585.068169936235,4235.546151488746,4034.6121008951386,4288.828096146279,3650.7379250316753,4292.674459616599,4411.706697242172,3857.416083501622,3743.9932682010744
54,4384.665314606159,4446.752820542231,4439.751492323054,4283.664718989721,4474.412815793374,4201.347120085611,4326.2498336929175,5051.961354423511,4431.501317528533,4458.888944743145,4237.806607026249,4353.032677893831,4587.333817071913,4237.811798624423,4036.8777480308163,4291.093743281957,3653.003572167353,4294.940106752277,4413.972344377849,3859.6817306372996,3746.258915336752
55,4387.02171467641,4449.109220612483,4442.107892393305,4286.021119059972,4476.769215863624,4203.703520155862,4328.606233763167,5054.317754493762,4433.857717598784,4461.245344813396,4240.163007096501,4355.3890779640815,4589.6902171421625,4240.168198694674,4039.234148101067,4293.450143352208,3655.3599722376034,4297.2965068225285,4416.328744448099,3862.038130707551,3748.6153154070034
56,4389.4681694290375,4451.555675365111,4444.554347145932,4288.4675738126,4479.215670616252,4206.14997490849,4331.052688515796,5056.764209246389,4436.3041723514125,4463.691799566024,4242.609461849129,4357.835532716709,4592.136671894791,4242.614653447302,4041.6806028536953,4295.896598104836,3657.806426990232,4299.742961575155,4418.775199200728,3864.4845854601786,3751.061770159631
57,4392.0039539267,4454.091459862772,4447.090131643596,4291.003358310262,4481.751455113915,4208.685759406153,4333.5884730134585,5059.299993744052,4438.839956849074,4466.227584063687,4245.145246346791,4360.371317214372,4594.672456392454,4245.150437944964,4044.2163873513578,4298.432382602498,3660.3422114878945,4302.278746072818,4421.31098369839,3867.020369957841,3753.5975546572936
58,4394.628316761724,4456.715822697796,4449.714494478619,4293.627721145286,4484.375817948938,4211.310122241176,4336.2128358484815,5061.924356579076,4441.464319684098,4468.85194689871,4247.769609181815,4362.995680049396,4597.296819227477,4247.774800779988,4046.8407501863812,4301.056745437522,3662.9665743229175,4304.903108907843,4423.935346533413,3869.6447327928645,3756.221917492317
59,4397.340480278763,4459.427986214835,4452.426657995658,4296.339884662325,4487.087981465977,4214.022285758215,4338.92499936552,5064.6365200961145,4444.176483201137,4471.5641104157485,4250.481772698854,4365.707843566434,4600.008982744516,4250.486964297027,4049.55291370342,4303.768908954561,3665.6787378399563,4307.615272424881,4426.647510050452,3872.3568963099037,3758.9340810093563
60,4400.139640805232,4462.227146741306,4455.225818522128,4299.1390451887955,4489.887141992446,4216.821446284685,4341.724159891991,5067.435680622585,4446.975643727607,4474.363270942218,4253.280933225324,4368.507004092904,4602.808143270987,4253.286124823497,4052.3520742298897,4306.568069481031,3668.477898366427,4310.414432951351,4429.446670576923,3875.1560568363734,3761.733241535826
61,4403.024968889459,4465.112474825533,4458.111146606355,4302.024373273022,4492.772470076674,4219.706774368912,4344.609487976219,5070.321008706812,4449.860971811835,4477.248599026447,4256.166261309551,4371.392332177133,4605.693471355214,4256.171452907724,4055.237402314118,4309.4533975652585,3671.363226450654,4313.299761035579,4432.3319986611505,3878.041384920601,3764.6185696200537
62,4405.995609546461,4468.083115482534,4461.081787263356,4304.995013930024,4495.743110733675,4222.677415025913,4347.58012863322,5073.291649363813,4452.831612468835,4480.219239683447,4259.136901966552,4374.362972834133,4608.664112012215,4259.142093564726,4058.2080429711186,4312.424038222259,3674.3338671076554,4316.270401692579,4435.302639318152,3881.012025577602,3767.5892102770545
