day,Bella_Flor,Bolpebra,Cobija,Exaltación,Filadelfia,Guayaramerín,Ingavi,Ixiamas,Nueva_Esperanza,Porvenir,Puerto_Gonzalo_Moreno,Puerto_Rico,Reyes,Riberalta,Santa_Rosa_Beni,Santa_Rosa_Pando,Santos_Mercado,San_Lorenzo,San_Pedro,Sena,Villa_Nueva
71,4436.4170685065765,4498.504574442649,4491.503246223471,4335.416472890139,4526.16456969379,4253.098873986029,4378.001587593334,5103.713108323927,4483.2530714289505,4510.640698643562,4289.558360926667,4404.784431794248,4639.085570972329,4289.56355252484,4088.6295019312333,4342.845497182374,3704.75532606777,4346.691860652694,4465.724098278266,3911.4334845377166,3798.0106692371696
72,4440.188384039931,4502.275889976005,4495.274561756827,4339.187788423495,4529.935885227146,4256.870189519384,4381.77290312669,5107.484423857284,4487.0243869623055,4514.412014176917,4293.329676460023,4408.555747327603,4642.856886505685,4293.334868058196,4092.4008174645887,4346.616812715731,3708.5266416011254,4350.46317618605,4469.495413811622,3915.2048000710724,3801.781984770525
73,4444.0339998241,4506.121505760174,4499.120177540995,4343.033404207663,4533.7815010113145,4260.715805303553,4385.618518910859,5111.3300396414525,4490.870002746476,4518.257629961086,4297.175292244192,4412.401363111771,4646.702502289854,4297.180483842365,4096.246433248759,4350.462428499899,3712.3722573852947,4354.308791970218,4473.341029595791,3919.050415855241,3805.6276005546943
74,4447.952776320131,4510.040282256205,4503.038954037027,4346.952180703694,4537.700277507346,4264.634581799584,4389.53729540689,5115.248816137483,4494.788779242506,4522.176406457118,4301.094068740223,4416.320139607803,4650.621278785885,4301.099260338396,4100.1652097447895,4354.38120499593,3716.291033881326,4358.227568466249,4477.259806091822,3922.9691923512723,3809.546377050725
75,4451.943552309973,4514.031058246046,4507.0297300268685,4350.942956693536,4541.691053497188,4268.625357789426,4393.528071396732,5119.2395921273255,4498.779555232348,4526.167182446959,4305.084844730064,4420.310915597645,4654.612054775727,4305.090036328238,4104.155985734631,4358.371980985772,3720.2818098711673,4362.2183444560915,4481.250582081664,3926.959968341114,3813.537153040567
76,4456.005145240573,4518.092651176647,4511.091322957469,4355.004549624136,4545.752646427788,4272.686950720026,4397.589664327332,5123.301185057926,4502.841148162948,4530.22877537756,4309.1464376606655,4424.372508528245,4658.673647706327,4309.151629258838,4108.2175786652315,4362.433573916373,3724.343402801768,4366.279937386692,4485.312175012264,3931.0215612717147,3817.5987459711673
77,4460.136351574289,4522.223857510363,4515.222529291184,4359.135755957852,4549.8838527615035,4276.818157053742,4401.720870661048,5127.432391391641,4506.972354496665,4534.359981711275,4313.277643994381,4428.503714861961,4662.804854040043,4313.282835592554,4112.348784998948,4366.564780250088,3728.4746091354837,4370.411143720408,4489.44338134598,3935.1527676054307,3821.729952304883
78,4464.335947145527,4526.423453081599,4519.422124862422,4363.335351529088,4554.083448332741,4281.017752624979,4405.9204662322845,5131.631986962878,4511.171950067901,4538.559577282513,4317.477239565617,4432.703310433199,4667.0044496112805,4317.482431163791,4116.548380570184,4370.764375821324,3732.674204706721,4374.610739291645,4493.642976917216,3939.3523631766675,3825.92954787612
79,4468.602687523482,4530.690193459556,4523.688865240378,4367.602091907045,4558.350188710697,4285.284493002935,4410.1872066102405,5135.898727340835,4515.438690445857,4542.826317660469,4321.743979943574,4436.970050811154,4671.271189989236,4321.749171541746,4120.81512094814,4375.031116199281,3736.940945084677,4378.877479669601,4497.909717295172,3943.6191035546235,3830.196288254076
80,4472.935308380897,4535.02281431697,4528.021486097793,4371.9347127644605,4562.682809568112,4289.61711386035,4414.519827467656,5140.23134819825,4519.771311303271,4547.158938517883,4326.076600800989,4441.302671668569,4675.603810846651,4326.081792399162,4125.147741805555,4379.363737056697,3741.2735659420914,4383.210100527016,4502.242338152588,3947.9517244120384,3834.528909111491
81,4477.332525868708,4539.420031804781,4532.418703585604,4376.331930252271,4567.080027055923,4294.014331348161,4418.917044955467,5144.628565686061,4524.168528791082,4551.556156005694,4330.4738182887995,4445.69988915638,4680.001028334462,4330.479009886973,4129.5449592933655,4383.760954544507,3745.6707834299023,4387.607318014827,4506.639555640399,3952.348941899849,3838.926126599302
82,4481.793036996473,4543.880542932547,4536.879214713369,4380.7924413800365,4571.540538183687,4298.474842475926,4423.377556083231,5149.089076813825,4528.629039918847,4556.016667133459,4334.934329416565,4450.160400284145,4684.461539462227,4334.939521014738,4134.005470421131,4388.221465672272,3750.1312945576674,4392.067829142592,4511.100066768164,3956.8094530276144,3843.386637727067
83,4486.315520018478,4548.403025954551,4541.401697735374,4385.3149244020415,4576.063021205693,4302.997325497931,4427.900039105237,5153.61155983583,4533.151522940852,4560.539150155464,4339.45681243857,4454.68288330615,4688.984022484232,4339.462004036743,4138.527953443136,4392.743948694277,3754.6537775796724,4396.590312164597,4515.622549790169,3961.331936049619,3847.909120749072
84,4490.898634825401,4552.986140761474,4545.984812542296,4389.898039208963,4580.646136012615,4307.580440304853,4432.48315391216,5158.194674642753,4537.734637747776,4565.122264962387,4344.039927245492,4459.265998113073,4693.567137291155,4344.045118843666,4143.111068250059,4397.3270635011995,3759.236892386595,4401.17342697152,4520.2056645970915,3965.915050856542,3852.4922355559947
85,4495.541023341412,4557.628529277486,4550.627201058308,4394.540427724975,4585.288524528627,4312.222828820865,4437.125542428171,5162.837063158765,4542.377026263787,4569.764653478399,4348.6823157615045,4463.908386629084,4698.209525807166,4348.687507359677,4147.7534567660705,4401.969452017212,3763.8792809026068,4405.815815487531,4524.848053113103,3970.5574393725537,3857.1346240720063
86,4500.241309926605,4562.328815862678,4555.327487643501,4399.240714310168,4589.98881111382,4316.923115406058,4441.8258290133645,5167.537349743958,4547.07731284898,4574.464940063592,4353.382602346697,4468.608673214277,4702.9098123923595,4353.38779394487,4152.453743351263,4406.669738602404,3768.5795674878,4410.516102072724,4529.548339698296,3975.2577259577465,3861.8349106571995
