municipality,season,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
Bella_Flor,fall,23.403945652173913,23.171891304347824,22.949923913043477,22.762684782608694,22.60054347826087,22.46711956521739,22.367369565217388,22.88794565217391,24.11414130434783,25.343945652173915,26.3405,27.137391304347826,27.671184782608695,27.912728260869564,27.894815217391304,27.637347826086955,27.221445652173912,26.623119565217394,25.746076086956524,24.976967391304346,24.488989130434785,24.153923913043478,23.892434782608692,23.655467391304345
Bella_Flor,spring,25.241384615384614,24.844582417582416,24.512043956043957,24.22245054945055,23.958879120879118,23.727252747252745,23.572604395604394,24.39046153846154,26.24650549450549,28.537131868131866,30.525417582417585,31.925725274725274,32.862967032967035,33.37276923076923,33.4988021978022,33.24949450549451,32.62374725274725,31.592945054945055,29.98436263736264,28.409747252747252,27.471824175824178,26.7958021978022,26.218296703296705,25.690945054945058
Bella_Flor,summer,23.96627777777778,23.796444444444443,23.63928888888889,23.4941,23.356033333333336,23.222266666666666,23.18062222222222,23.868322222222222,24.81708888888889,25.737533333333335,26.5605,27.286577777777776,27.79876666666667,28.049766666666663,28.05506666666667,27.842499999999998,27.45302222222222,26.93207777777778,26.201044444444445,25.38576666666667,24.906044444444444,24.597055555555556,24.35622222222222,24.141166666666667
Bella_Flor,winter,22.614152173913045,22.160326086956523,21.756239130434782,21.395521739130434,21.089445652173914,20.82325,20.57116304347826,21.065728260869566,23.221467391304348,25.995554347826086,28.27938043478261,29.835565217391302,30.848413043478264,31.41955434782609,31.574521739130436,31.31621739130435,30.655239130434783,29.48375,27.577934782608697,26.039467391304346,25.067065217391306,24.344239130434783,23.715445652173912,23.155978260869563
Bolpebra,fall,22.92008695652174,22.717478260869562,22.531521739130437,22.36625,22.214804347826085,22.059923913043477,21.92529347826087,22.335619565217392,23.57858695652174,24.803358695652175,25.824739130434786,26.65713043478261,27.234989130434784,27.519000000000002,27.54490217391304,27.324108695652175,26.92629347826087,26.32969565217391,25.41734782608696,24.533065217391304,24.01719565217391,23.682597826086955,23.40980434782609,23.168097826086957
Bolpebra,spring,24.736186813186812,24.333241758241755,23.978978021978023,23.663604395604395,23.37442857142857,23.10325274725275,22.895186813186815,23.597483516483518,25.322879120879122,27.567626373626375,29.655725274725274,31.199791208791208,32.22158241758242,32.79228571428571,32.95135164835165,32.73220879120879,32.15008791208791,31.18068131868132,29.59501098901099,27.89853846153846,26.92876923076923,26.247989010989013,25.681362637362636,25.1661978021978
Bolpebra,summer,23.834055555555555,23.62392222222222,23.4335,23.256444444444444,23.0913,22.9508,22.879733333333334,23.490711111111107,24.482966666666666,25.529155555555555,26.57158888888889,27.520022222222224,28.2465,28.667555555555555,28.776777777777777,28.5867,28.143766666666664,27.48367777777778,26.566688888888887,25.576733333333333,25.005255555555554,24.62102222222222,24.319944444444445,24.055466666666668
Bolpebra,winter,22.766119565217394,22.278532608695652,21.832782608695652,21.43282608695652,21.083010869565218,20.77595652173913,20.49142391304348,20.789804347826088,22.886597826086955,25.701293478260872,28.214184782608694,30.036391304347827,31.241141304347824,31.949032608695653,32.20438043478261,32.01864130434783,31.391760869565218,30.242347826086956,28.13028260869565,26.3305,25.350695652173915,24.609891304347826,23.94046739130435,23.327054347826085
Cobija,fall,23.113282608695652,22.88941304347826,22.683239130434785,22.514793478260867,22.364510869565216,22.21288043478261,22.08305434782609,22.55001086956522,23.78194565217391,25.04083695652174,26.030978260869563,26.81529347826087,27.350347826086956,27.61019565217391,27.609684782608696,27.35833695652174,26.945086956521738,26.366663043478262,25.49792391304348,24.690445652173914,24.202239130434783,23.879021739130433,23.613228260869565,23.371076086956524
Cobija,spring,25.055296703296705,24.646725274725274,24.307912087912086,24.018945054945057,23.741582417582418,23.48475824175824,23.31869230769231,24.06153846153846,25.879428571428573,28.17976923076923,30.231637362637365,31.70845054945055,32.67137362637363,33.20189010989011,33.33756043956044,33.10895604395604,32.50668131868132,31.491362637362638,29.858956043956045,28.222747252747254,27.282439560439563,26.627252747252747,26.05620879120879,25.516626373626373
