Region 1;Region 2;dist
C1;C2;384.4
C2;C1;384.4
C1;C3;328.9
C3;C1;328.9
C1;C4;304.3
C4;C1;304.3
C1;C5;385.0
C5;C1;385.0
C2;C3;283.3
C3;C2;283.3
C2;C4;113.1
C4;C2;113.1
C2;C5;15.4
C5;C2;15.4
C3;C4;179.2
C4;C3;179.2
C3;C5;270.7
C5;C3;270.7
C4;C5;104.4
C5;C4;104.4
