Code;Municipio;Departamento;Population density;Latitude;Longitude;Cp_PV;Cp_Wind;GDP;Altitude;Temp;Relative_humidity;Num_vehicles;FG_network_access;EL_network_access;Polyduct_access;EL_demand
10601;Tarabuco;Chuquisaca;12.88;-19.1824;-64.915;21.6;15.4;1216;3295;14.953;70.7;1.397515528;1;1;0;0.288
10602;Yamparaez;Chuquisaca;14.26;-19.1888;-65.1229;22.1;15;1225;3097;13.839;64.93;12.27208976;1;1;0;0.283
10701;Camargo;Chuquisaca;7.39;-20.6411;-65.2091;23.8;15.4;1910;2414;12.868;55.03;36.12990528;1;1;0;0.39
10702;San Lucas;Chuquisaca;6.84;-20.1022;-65.1338;23.6;14.8;1234;3048;12.25;62.99;9.941520468;0;1;0;0.281
10703;Incahuasi;Chuquisaca;18.75;-20.7815;-64.8686;23;13.2;1022;2937;14.601;74.78;0.8;0;1;0;0.248
10704;Villa Charcas;Chuquisaca;13.92;-20.7236;-64.8853;23;13.5;1013;2956;14.387;74.15;0;0;1;0;0.217
10801;Villa Serrano;Chuquisaca;5.23;-19.1227;-64.3238;20.2;19.5;1571;2121;18.374;77.33;7.456978967;0;1;0;0.392
10901;Villa Abecia;Chuquisaca;7.59;-20.9745;-65.2307;23.9;15.4;1572;2316;12.87;53.24;0.263504611;1;1;0;0.234
10902;Culpina;Chuquisaca;3.8;-20.8265;-64.9438;23.2;13.6;1606;2962;13.91;69.93;24.73684211;0;1;0;0.257
10903;Las Carreras;Chuquisaca;5.03;-21.2078;-65.2104;24;15.6;1885;2329;12.771;55.12;1.391650099;1;1;0;0.281
11001;Villa Vaca Guzman (Muyupampa);Chuquisaca;3.48;-19.8963;-63.754;19.9;27.2;2510;1170;22.818;73.33;2.586206897;1;1;0;0.703
11002;Huacaya;Chuquisaca;2.15;-20.7442;-63.6647;20.3;27.6;63527;909;24.081;71.89;0;0;1;0;0.45
11003;Machareti;Chuquisaca;0.92;-20.8151;-63.3612;20;37.9;5539;651;25.043;65.93;7.608695652;1;1;0;0.781
20101;La Paz;La Paz;377.68;-16.4955;-68.1336;22.1;13.7;5372;3650;8.68;77.33;830.6820589;1;1;1;1.469
20102;Palca;La Paz;29.1;-16.5611;-67.953;21.4;9.88;2092;3466;10.025;80.56;32.06185567;0;1;0;0.267
20103;Mecapaca;La Paz;38.37;-16.668;-68.0179;22.1;12.1;1567;2878;9.284;72.72;17.43549648;1;1;0;0.46
20104;Achocalla;La Paz;234.8;-16.5681;-68.171;22.4;14.2;1564;3767;8.621;73.4;113.3730835;1;1;0;0.423
20105;El Alto;La Paz;2519.31;-16.5048;-68.1624;22.2;13.9;2515;4098;8.663;73.4;50.52137292;1;1;1;0.783
20201;Achacachi;La Paz;67.23;-16.0439;-68.685;22.2;19.2;1599;3840;9.173;66.48;12.30105608;0;1;0;0.188
20202;Ancoraimes;La Paz;51.29;-15.8975;-68.9056;22.4;18.5;1192;3881;9.483;71.16;0;0;1;0;0.134
20203;Chua Cocani;La Paz;410.46;-16.1925;-68.7447;22.7;19.6;3891;3828;8.94;66.22;0.131559713;0;1;0;0.113
20204;Huarina;La Paz;42.23;-16.1907;-68.601;22.3;17.3;1575;3842;9.267;67.44;20.15155103;0;1;0;0.154
20205;Santiago de Huata;La Paz;74.06;-16.0569;-68.8165;22.6;20;1423;3852;9.033;61.59;40.08911693;0;1;0;0.162
20206;Huatajata;La Paz;164.39;-16.2089;-68.7005;22.6;18.8;4564;3836;9.031;63.56;5.493034856;0;1;0;0.104
20301;Coro Coro;La Paz;11.7;-17.177;-68.4537;24.1;19.2;3742;4014;8.957;55.17;0;0;1;0;0.115
20302;Caquiaviri;La Paz;9.75;-17.0233;-68.6059;24;19.2;1210;3945;8.995;57.47;0.205128205;0;1;0;0.065
20303;Calacoto;La Paz;3.05;-16.5392;-68.0842;22;12.8;1629;3292;8.966;77.42;0.983606557;0;1;0;0.085
