fid,OBJECTID,Titular,SIN,SHAPE_Leng
584,1002,DELBENI,SIN,0.45432842591
585,1003,DELBENI,SIN,0.00103077588
586,1004,DELBENI,SIN,0.00115757087
587,1005,DELBENI,SIN,9.6914911E-4
588,1006,DELBENI,SIN,0.00118713587
589,1007,DELBENI,SIN,0.00293876043
590,1008,DELBENI,SIN,0.0022154483
591,1009,DELBENI,SIN,0.00100149686
592,1010,DELBENI,SIN,0.00428439448
593,1011,DELBENI,SIN,6.0451224E-4
616,1034,ENDE Cobija,Sist. Ais.,0.48797685557
617,1035,ENDE Cobija,Sist. Ais.,0.05639204382
618,1036,ENDE Cobija,Sist. Ais.,0.03260428347
619,1037,ENDE Cobija,Sist. Ais.,0.06811004581
620,1038,ENDE Cobija,Sist. Ais.,0.04588864197
621,1039,ENDE Cobija,Sist. Ais.,0.04346026256
622,1040,ENDE DELBENI,Sist. Ais.,1.81893599078
623,1041,COOPSEL,SIN,12.5965701777
624,1042,ATOCHA,SIN,1.76339909228
625,1043,15 de Nov,SIN,0.08162528143
626,1044,ENDE UYUNI,SIN,2.88020203386
627,1045,Gob Oruro,SIN,6.36673982419
628,1046,Gob. Mun. Llallagua,SIN,1.18585137609
629,1047,HB,SIN,0.01839463311
630,1048,ENDE GUARACACHI,Sist. Ais.,3.05159062563
631,1049,SERELCO S.R.L,SIN,0.61626408755
632,1050,Gob. Mun. Uncia,SIN,1.98324614104
633,1051,ENDE CAMARGO,SIN,14.6631066957
634,1052,EMDEECRUZ,SIN,0.93913860381
650,1068,COSEP,SIN,2.133783158
651,1069,SEPSA,SIN,5.52879206889
652,1070,SEPSA,SIN,0.07529361451
653,1071,SEPSA,SIN,0.04726826594
654,1072,COOPELECT,SIN,0.60998600849
