Cluster,N_connectable,N_dispersed,N_total_communities,extension_capex_EUR,extension_capex_annualise_EUR,extension_capex_ligne_EUR,extension_capex_transformateur_EUR,extension_capex_raccordement_EUR,extension_capex_star_EUR,extension_capex_star_annualise_EUR,extension_capex_star_sans_transfo_EUR,demande_dispersee_GWh,km_MT_arbre,km_MT_a_raccorder,menages_cluster,N_connectable_breakeven_independant,N_dispersed_breakeven_independant,N_total_communities_breakeven_independant,extension_capex_EUR_breakeven_independant,extension_capex_annualise_EUR_breakeven_independant,extension_capex_ligne_EUR_breakeven_independant,extension_capex_transformateur_EUR_breakeven_independant,extension_capex_raccordement_EUR_breakeven_independant,extension_capex_star_EUR_breakeven_independant,extension_capex_star_annualise_EUR_breakeven_independant,extension_capex_star_sans_transfo_EUR_breakeven_independant,demande_dispersee_GWh_breakeven_independant,km_MT_arbre_breakeven_independant,km_MT_a_raccorder_breakeven_independant,menages_cluster_breakeven_independant
C1,146,18,164,15151722.0,1607283.0,13770821.0,472164.0,908737.0,53346911.0,5659000.0,52874747.0,0.203,1655.94,6248.92,14873.0,85,79,164,8755867.0,928816.0,7797665.0,274890.0,683313.0,14966113.0,1587594.0,14691223.0,2.0786,937.67,1684.45,14873.0
C2,16,0,16,1349150.0,143117.0,1162988.0,51744.0,134418.0,3893943.0,413067.0,3842199.0,0.0,139.85,445.86,1204.0,12,4,16,1324213.0,140472.0,1166684.0,38808.0,118721.0,2201271.0,233509.0,2162463.0,0.1321,140.29,245.76,1204.0
C3,152,8,160,7969622.0,845412.0,6275314.0,491568.0,1202740.0,21524411.0,2283293.0,21032843.0,0.1246,754.61,2384.57,55641.0,130,30,160,6264003.0,664481.0,4702553.0,420420.0,1141030.0,11897601.0,1262089.0,11477181.0,0.6478,565.48,1242.92,55641.0
C4,312,31,343,17938194.0,1902870.0,15283054.0,1009008.0,1646132.0,47927487.0,5084112.0,46918479.0,0.2284,1837.79,5444.01,25487.0,250,93,343,13499926.0,1432062.0,11200446.0,808500.0,1490981.0,25913590.0,2748894.0,25105090.0,1.5431,1346.85,2839.6,25487.0
C5,14,0,14,245061.0,25996.0,68122.0,45276.0,131663.0,245061.0,25996.0,199785.0,0.0,8.19,8.19,22994.0,14,0,14,245061.0,25996.0,68122.0,45276.0,131663.0,245061.0,25996.0,199785.0,0.0,8.19,8.19,22994.0
TOTAL,640,57,697,42653749.0,4524678.0,36560299.0,2069760.0,4023690.0,126937813.0,13465468.0,124868053.0,0.556,4396.38,14531.550000000001,120199.0,491,206,697,30089070.0,3191827.0,24935470.0,1587894.0,3565708.0,55223636.0,5858082.0,53635742.0,4.4016,2998.48,6020.919999999999,120199.0
